id,created_at,text
887371016862924800,2017-07-18 17:58:31,b'What is going on in the world?'
887370927238983680,2017-07-18 17:58:10,b'I have divine health in Jesus name Amen'
887370800180887553,2017-07-18 17:57:39,"b""You don't know what you are missing until you met the Lord"""
887370681377325056,2017-07-18 17:57:11,"b'Please pray for blessings for me and my family and friends, we need them'"
887370535537168384,2017-07-18 17:56:36,b'Barbara Bush is not getting married'
887370420965564416,2017-07-18 17:56:09,b'I am blessed blessed blessed Hallelujah'
887370271707017218,2017-07-18 17:55:33,b'I am an Ordained Minister bless me love me .  I want to get married.'
887370115888680960,2017-07-18 17:54:56,b'God is good'
887370060918128640,2017-07-18 17:54:43,b'Please pray for my eyes'
887369965636112384,2017-07-18 17:54:21,b'Donald @FLOTUS He is a great President'
887043058885419008,2017-07-17 20:15:20,b'God bless me today with complete healing of my left eyes'
887042924231393280,2017-07-17 20:14:48,b'I love you with the Love of the Lord'
887042796200308736,2017-07-17 20:14:17,b'I am a Minister Of the Lord Please pray for me'
887042663941386242,2017-07-17 20:13:46,b'I want to get married Please say a prayer for me'
887042552708435969,2017-07-17 20:13:19,b'I am thankful for all blesings. PTL'
887042364451282946,2017-07-17 20:12:34,b'Donald Trump is a great President.  Love him'
887042248365486080,2017-07-17 20:12:07,"b'I am an Ordained Minister, I want to get married please pray for me and love me.  PLEASE'"
887042067079233536,2017-07-17 20:11:23,"b'God is good,  I can see better now, just had cataract surgery in my left eyes,   please pray for my complete healing.'"
876583766264881153,2017-06-18 23:33:50,b'Lets legalize pot'
876583621372588032,2017-06-18 23:33:16,b'Donald Trump is a great man'
876583489914769408,2017-06-18 23:32:44,b'I am an Ordained Minister love me'
876583255713206272,2017-06-18 23:31:48,"b""Let's legalize medical pot Yeah We need it"""
876583117787729920,2017-06-18 23:31:16,b'Go Dallas Mavericks Win'
876206983308881920,2017-06-17 22:36:38,"b""Let's legalize pot"""
876206700428218374,2017-06-17 22:35:31,b'I love to be loved'
876206163314044928,2017-06-17 22:33:23,b'I am an Ordained Minister love me'
876205295890026500,2017-06-17 22:29:56,b'Love ME'
875467314111578114,2017-06-15 21:37:27,"b""Everybody let's lgalize pot"""
875467150387007489,2017-06-15 21:36:48,"b""Let's legalize medical pot!!!"""
875467030530600965,2017-06-15 21:36:20,b'Go Mighty Dallas Mavericks WIN'
874419842631311360,2017-06-13 00:15:11,b'hell'
874419694232645632,2017-06-13 00:14:35,b'When God made HELL He made UT Psychiatrists'
874419515861413889,2017-06-13 00:13:53,b'Go Dallas Mavericks WIN'
874419376602173440,2017-06-13 00:13:19,b'Let\ns legalize medical pot'
872218589843116033,2017-06-06 22:28:11,b'Legalize pot'
872218479826481152,2017-06-06 22:27:45,"b'Dear Washington please, legalize medical pot'"
872218231767015428,2017-06-06 22:26:46,b'Win Dallas Mavericks win the championship please'
871844906226130945,2017-06-05 21:43:18,b'Barbara Bush is not getting married.'
871844559885619201,2017-06-05 21:41:55,b'I am an Ordained Minister I want to get married. love me'
871844365664124928,2017-06-05 21:41:09,b'Legalize Medical marijuana in Texas'
871844206385475584,2017-06-05 21:40:31,b'Prayer Poem by Nanette Tron is an excellant book buy one at https://t.co/ep1p8Dq50o'
871843955943645185,2017-06-05 21:39:31,b'I am an Oradianed Minister please pray for me bless me'
871843743162396673,2017-06-05 21:38:41,b'Donald Trump is a great President'
871843559053438976,2017-06-05 21:37:57,b'We love you Donald Trump praying for you'
871843407546781696,2017-06-05 21:37:21,"b""Let's legalize Medical Pot in the state of Texas today"""
871843227267207168,2017-06-05 21:36:38,b'Legalize medical pot in Texass Yes'
871843086342787073,2017-06-05 21:36:04,b'Go Dallas Mavericks Win every game YES'
871842886949773312,2017-06-05 21:35:16,b'God bless Washington and Donald Trump YES'
871842525795012609,2017-06-05 21:33:50,b'Dear Washington please legalize medical pot'
871112196448702464,2017-06-03 21:11:46,b'We love you Donald Trump keep up the good work'
871111889345945600,2017-06-03 21:10:33,b'Wisdom and protection to Donald Trump today'
871111561481379841,2017-06-03 21:09:15,b'Blessings and peace to Washington today'
871111253984280576,2017-06-03 21:08:02,b'Love and kisses to all'
871111103547285504,2017-06-03 21:07:26,b'Happy Birthday to Susan Cottrell'
871110579875856384,2017-06-03 21:05:21,b'Everybody needs a little love love me'
871110406151913472,2017-06-03 21:04:39,b'I am sorry for all of my sins and mistakes forgive and forget please'
871110125225779200,2017-06-03 21:03:32,b'I have been born again forgive and forget my sins'
871109913908400128,2017-06-03 21:02:42,b'I have a tattoo of an angel on my back and but'
871109717426294785,2017-06-03 21:01:55,b'Psychiatrists are demons from HRLL'
871109537746403328,2017-06-03 21:01:12,b'Give me some love I need you'
871109188256006144,2017-06-03 20:59:49,b'When God made hell he made UT psychiatrists'
871108933133385732,2017-06-03 20:58:48,b'Please bless me and love me'
871108142574194688,2017-06-03 20:55:40,b'Donald Trump is a great President'
871107909605666816,2017-06-03 20:54:44,b'Please pray blessings for me'
871107766449872896,2017-06-03 20:54:10,b'God loves all of his children'
871107253364867072,2017-06-03 20:52:08,b'I am an Ordained inister love me'
871107035575631872,2017-06-03 20:51:16,b'Go Dallas Mavericks WIN'
863466299124572160,2017-05-13 18:49:42,b'Smart people smoke pot'
863465834072739841,2017-05-13 18:47:51,"b""Let's make pot the norm"""
863465642644688897,2017-05-13 18:47:06,b'Donald Trump is a good President'
863465422955450372,2017-05-13 18:46:13,b'make pot legal in Texas'
863465093979406336,2017-05-13 18:44:55,b'pot is good'
863464914966503427,2017-05-13 18:44:12,b'legalize pot'
863464666386878465,2017-05-13 18:43:13,"b""Let's legalize medical pot"""
863464369954459649,2017-05-13 18:42:02,b'Legalize Pot'
863463131137413121,2017-05-13 18:37:07,b'Go Dallas Mavericks win'
863097437619191812,2017-05-12 18:23:59,b'I am a Minister love me'
863096830514614272,2017-05-12 18:21:34,b'I am an Ordained Minister of God'
863096675317026816,2017-05-12 18:20:57,b'Bless me Lord Bless me Lord'
863096410421555200,2017-05-12 18:19:54,b'No more hospital no more no more'
863096204707717120,2017-05-12 18:19:05,b'Donald Trump is a good President'
863095964864843777,2017-05-12 18:18:08,b'Go Dallas Mavericks Go'
862107801186967552,2017-05-10 00:51:31,b'legalize pot'
862107679325642753,2017-05-10 00:51:02,b'Pot is good'
862107599084417024,2017-05-10 00:50:43,b'I love you so love me too'
862107456297631744,2017-05-10 00:50:09,b'Medical pot for all'
862107321845129216,2017-05-10 00:49:37,b'Legalize pot YES'
862106978046414848,2017-05-10 00:48:15,b'God loves you and so do I'
862106872777760769,2017-05-10 00:47:50,b'Love Jesusu love your friends and family and give a cup of cool water'
862106633660493824,2017-05-10 00:46:53,b'I desire you blessing prayers.'
862106472544698368,2017-05-10 00:46:14,b'i love all of my friends and followers love me too'
862106324657733632,2017-05-10 00:45:39,b'I am not retarded'
862106131883315200,2017-05-10 00:44:53,b'Lay hands on the sick and they will recover'
862105811190992898,2017-05-10 00:43:37,b'Pray healing for me no more hospital no more no more'
862105619259695104,2017-05-10 00:42:51,"b'I love you with agape unconditional love, love me too'"
862105412530831360,2017-05-10 00:42:02,b'I am not retarded love me'
862105276249501696,2017-05-10 00:41:29,b'I am an Ordained Minister of the Lord love me'
862105147090010113,2017-05-10 00:40:58,"b""Everybody let's make pot legal"""
861733437006336000,2017-05-09 00:03:56,b'pray for pot legalization'
861733312737497090,2017-05-09 00:03:26,b'love to Donald Trump'
861733164263374848,2017-05-09 00:02:51,b'We need pot legalize it'
861733011070562304,2017-05-09 00:02:14,b'Chandler of the Dallas Mavericks is the BEST'
861732841213898753,2017-05-09 00:01:34,b'God bless Donald Trump and Washington'
861732693779914752,2017-05-09 00:00:59,b'Donald Trump is the best'
861732554357055488,2017-05-09 00:00:25,b'thank God for pot and all blessings'
861732363537133569,2017-05-08 23:59:40,b'make medical pot legal for everyone'
861732234927144961,2017-05-08 23:59:09,b'medicl pot legal in every state'
861732103741988864,2017-05-08 23:58:38,b'pot is good'
861732003951017990,2017-05-08 23:58:14,b'pot is the positive future'
861731875844476929,2017-05-08 23:57:44,b'love pot'
861731636261662720,2017-05-08 23:56:46,b'Make marijuana legal'
861731499468607489,2017-05-08 23:56:14,"b""Dear Washington let's legalize pot"""
861731360200949761,2017-05-08 23:55:41,b'pot is medicine'
861731255800516609,2017-05-08 23:55:16,b'legalize pot'
861731163517460480,2017-05-08 23:54:54,"b""Let's make medical ot legal"""
861730963012935685,2017-05-08 23:54:06,b'Chandler of the Dallas Mavericks is a superstar'
861730722213765121,2017-05-08 23:53:09,b'Go Dallas Mavericks win win win'
861338419972235265,2017-05-07 21:54:16,b'Donald Trump is good'
861338282470367232,2017-05-07 21:53:44,b'medical pot everywherere make it legal'
861338122461863940,2017-05-07 21:53:05,b'pot is smart'
861338020259262465,2017-05-07 21:52:41,b'love me with the love of God'
861337898737598465,2017-05-07 21:52:12,b'Everybody smoke pot if it is legal there'
861337753073721344,2017-05-07 21:51:37,b'I need a car love me'
861337605706838017,2017-05-07 21:51:02,b'I have had pain love me'
861337440589676544,2017-05-07 21:50:23,b'I am smart I am a friend'
861337229494546436,2017-05-07 21:49:33,b'If it is legala smoke ot'
861337017317285891,2017-05-07 21:48:42,b'Dear Washington please make pot legal'
861336883837718529,2017-05-07 21:48:10,b'Pot is beneficial legalize it'
861336757698273281,2017-05-07 21:47:40,b'Love you with the love of the LORD'
861336631290339328,2017-05-07 21:47:10,b'love you MORE'
