id,created_at,text
1059507520346210307,2018-11-05 18:07:32,b'I added a video to a @YouTube playlist https://t.co/51BsSxio1B Christian Praise And Worship Songs - Top 100 Worship Songs Collection -'
1046624880429608960,2018-10-01 04:56:31,b'Opps I just woke up and it is still dark. It is 1 am.  Hopefully I can go back to sleep. https://t.co/wqqWypnW9k'
1046557987802734592,2018-10-01 00:30:43,b'End of my day. Time for devotions and nightly prayer. Good night all. God bless May He give us another day. In Jesus name I pray Amen \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc'
1046544830455660545,2018-09-30 23:38:26,b'I love to write. Most of my books are on mental health and addictions. You have a chance go on\xe2\x80\xa6 https://t.co/xFGymfe4au'
1046543984481320960,2018-09-30 23:35:04,b'I just had a medication change and I\xe2\x80\x99m starting to feel it. I\xe2\x80\x99m not feeling so depressed during the day. Still feel\xe2\x80\xa6 https://t.co/AuN5dLrdG5'
1046542432010006528,2018-09-30 23:28:54,b'Check out my book I wrote about Chronic Fatigue Syndrome &amp; Me. It is about my experience with CFS. Order thru me an\xe2\x80\xa6 https://t.co/wWaOrPFCvY'
1045831966652866560,2018-09-29 00:25:46,b'I added a video to a @YouTube playlist https://t.co/K5M8X26hpI Sleep in Peace Guided Meditation for sleeping (Spoken Hypnosis'
1039723453534756865,2018-09-12 03:52:43,"b'I added a video to a @YouTube playlist https://t.co/Ysld0WBKxL Journey to Mars ASMR SLEEP STORY ""Deep Sleep in Space""'"
1034961304279179264,2018-08-30 00:29:38,b'I added a video to a @YouTube playlist https://t.co/67fvtsNxfV HALLELUJAH - Good Friday Meditation'
1032094558761275392,2018-08-22 02:38:12,b'I added a video to a @YouTube playlist https://t.co/RxcDEo9bFk (Music) SLEEP SOURCE A profound guided meditation to help you sleep'
1005332047764905984,2018-06-09 06:13:33,"b""Check out what I'm selling on letgo! - White window type air conditioner https://t.co/IXdEdmod3Z"""
1001205035320184832,2018-05-28 20:54:16,b'@BayePolar I\xe2\x80\x99m being weaned off seoquel and I feel more depressed than before'
1001198991315480577,2018-05-28 20:30:15,b'@just_whisper_it Thanks'
1001198488871407616,2018-05-28 20:28:15,b'@just_whisper_it I might take my bedtime meds early. I see my therapist tomorrow morning'
1001194063809384448,2018-05-28 20:10:40,b'I\xe2\x80\x99m so damn depressed I don\xe2\x80\x99t know what to do'
998278149904457728,2018-05-20 19:03:52,"b'RT @Franklin_Graham: There\xe2\x80\x99s a wedding today\xe2\x80\x94and I\xe2\x80\x99ll bet you didn\xe2\x80\x99t get an invitation! Congratulations to the royal couple, Prince Harry a\xe2\x80\xa6'"
986288641231159296,2018-04-17 17:01:51,b'Trust God in all things. Have faith you will get thru your storm. He is right there with you'
986287678542045185,2018-04-17 16:58:01,b'Check out my latest book. It is available on https://t.co/AAcwheuzzf or my website. https://t.co/GZOoL8wfBT https://t.co/pZOoCsqYlP'
984595087060623360,2018-04-13 00:52:16,b'Seems like some days I could sleep all day and night\nI have COPD along with diabetes and CFS. These illnesses does\xe2\x80\xa6 https://t.co/hwoj8wDikq'
984512436224057344,2018-04-12 19:23:50,b'@hatttiegladwell So true'
984512361779421186,2018-04-12 19:23:33,b'RT @hatttiegladwell: One of the things that\xe2\x80\x99s most confusing and what people need to remember is that mental illness can strike at any time\xe2\x80\xa6'
983004446618783744,2018-04-08 15:31:38,b'Chronic Fatigue Syndrome is  real illness despite what some doctors say. Check out my book Chronic Fatigue Syndrome\xe2\x80\xa6 https://t.co/f86oTSCAbb'
980676557638381568,2018-04-02 05:21:26,"b""I've just updated my website,  https://t.co/2LpH4ioK87 check it out! I did it using https://t.co/jZ8TnpInky"""
980572925446287361,2018-04-01 22:29:38,b'Check out my website https://t.co/GZOoL8wfBT https://t.co/4oP699MMhQ'
