id,created_at,text
1064718150476996608,2018-11-20 03:12:43,"b'RT @alexishouse01: hardest pill I had to swallow this year was learning that no matter how good you could be to someone, no matter how much\xe2\x80\xa6'"
1062161824353796096,2018-11-13 01:54:47,"b'RT @Maddierawrk: My brother died from depression. He also frequently exercised, had supportive friends/family, was successful in school &amp; i\xe2\x80\xa6'"
1061480171642019840,2018-11-11 04:46:08,b'RT @leigheakraemer: it me. https://t.co/ewdYJVzVsu'
1061286737803128832,2018-11-10 15:57:30,"b""RT @Think_Become: This Christmas advert has been banned from TV for being too political.\n\nI think what's happening to our rain forests shou\xe2\x80\xa6"""
1056361332742733824,2018-10-28 01:45:42,b'This spooky weekend has been great\xf0\x9f\x91\xbb https://t.co/UmTgNRCPCx'
1054741370064097280,2018-10-23 14:28:33,b'RT @finogaga: @BurciagaSaralee We hope all is well. GG'
1048019608966500352,2018-10-05 01:18:40,b'RT @JillEngel_: I\xe2\x80\x99m a school photographer and we got to take a service dog\xe2\x80\x99s picture for the yearbook today \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/HtryGOvafI'
1043907091277271040,2018-09-23 16:57:00,b'RT @TdashWon: Just gonna leave this here to let ppl know I\xe2\x80\x99m still very much in the studio making hits \xf0\x9f\xa4\xaa https://t.co/j0hG77X1uW'
1041880135677489152,2018-09-18 02:42:36,b'RT @claridodi: Nobody likes you when you\xe2\x80\x99re depressed n that\xe2\x80\x99s just real \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f y\xe2\x80\x99all can sit here and try to tweet sympathetic shit abt men\xe2\x80\xa6'
1039841230144905216,2018-09-12 11:40:43,b'RT @bricherise: yall talk about anxiety and stress but have never had a real panic attack in your life. Shit feels like a heart attack. yal\xe2\x80\xa6'
1035193512873091072,2018-08-30 15:52:21,b'RT @lextra0rdinary: don\xe2\x80\x99t say you\xe2\x80\x99re depressed if you\xe2\x80\x99re just upset. don\xe2\x80\x99t say you\xe2\x80\x99re bipolar if you have one mood swing. don\xe2\x80\x99t say you hav\xe2\x80\xa6'
1010725379504525312,2018-06-24 03:24:43,b'RT @leigheakraemer: \xf0\x9f\x8d\x93\xf0\x9f\x90\x9d https://t.co/pZ724THm0T'
1007300203832070144,2018-06-14 16:34:17,b'My best friend\xe2\x9d\xa4\xef\xb8\x8f https://t.co/LDQ2s70sgw'
1006735357205995520,2018-06-13 03:09:48,b'RT @alfonso_burciag: Please help my sister out! She\xe2\x80\x99s in need of a service dog. A simple retweet would help!                    https://t.c\xe2\x80\xa6'
1006689917139906560,2018-06-13 00:09:14,"b""I've been clinically diagnosed with depression ptsd and an anxiety disorder. I qualify for a service dog, but can't\xe2\x80\xa6 https://t.co/rxu4yAQx1d"""
1002203706912399360,2018-05-31 15:02:38,"b'RT @leigheakraemer: pls tell your family you love them, you never know when you will lose them. it\xe2\x80\x99s ok to forgive, we need more love in th\xe2\x80\xa6'"
991797811447517184,2018-05-02 21:53:19,b'RT @leigheakraemer: hello @nature u rock!\xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x8d\x83\xe2\x98\x81\xef\xb8\x8f https://t.co/cZcaNX7H9s'
989972369820266496,2018-04-27 20:59:40,b'RT @SallyTrinh1: Happy 11th birthday DUDE!! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8e\x89 https://t.co/nrkNyrVsJ3'
981582377892892673,2018-04-04 17:20:50,b'RT @Eve_macias17: Every just wonder why such awful things happen to good people and sure people will say \xe2\x80\x9ceverything happens for a reason\xe2\x80\x9d\xe2\x80\xa6'
978094020844015617,2018-03-26 02:19:21,b'RT @SallyTrinh1: #NationalPuppyDay \xe2\x9d\xa4\xef\xb8\x8f https://t.co/7Bx0ujCU6Q'
977238529720930304,2018-03-23 17:39:56,b'Happy #NationalPuppyDay to blue \xf0\x9f\x92\x99 https://t.co/bTBOyMgGho'
976931544429481986,2018-03-22 21:20:05,b'RT @leigheakraemer: yeeeeehawwwwww\xf0\x9f\xa4\xa0 https://t.co/p8Pe0kc0A8'
967238362968059904,2018-02-24 03:22:50,b'RT @_leighea_: \xe2\x98\x81\xef\xb8\x8f\xe2\x98\x81\xef\xb8\x8f\xe2\x98\x81\xef\xb8\x8f https://t.co/NaC3xop0bt'
964672248681558017,2018-02-17 01:26:01,b'RT @SallyTrinh1: \xf0\x9f\x93\xb8: @caila_lucero https://t.co/D4rV35pZji'
957816272435150848,2018-01-29 03:22:49,b'RT @_leighea_: hellooooooooooo https://t.co/FX2tjMy4AE'
940671642426052608,2017-12-12 19:56:11,b'RT @SallyTrinh1: happy holidays \xe2\x9d\x84\xef\xb8\x8f https://t.co/EdFTOMMwIj'
904167088658501632,2017-09-03 02:20:07,b'RT @grecia_serna: #NewProfilePic https://t.co/sDdZsgNtHg'
903792443220525056,2017-09-02 01:31:24,b'RT @SallyTrinh1: thats my best friend #PraisintheAsian https://t.co/Z2eMYzgyD7'
901861737242259456,2017-08-27 17:39:28,"b""RT @ericweiskott: Stop whatever you're doing and watch this.\nhttps://t.co/CFXmsBAQMW"""
896564484701118465,2017-08-13 02:50:05,"b'RT @BarackObama: ""No one is born hating another person because of the color of his skin or his background or his religion..."" https://t.co/\xe2\x80\xa6'"
896238952952320002,2017-08-12 05:16:32,"b""RT @Drebae_: People trying to go home. Hand them an invitation to your church &amp; sit down. If this was an Islamic person or atheist y'all wo\xe2\x80\xa6"""
895163375365361665,2017-08-09 06:02:34,"b""RT @lilmsragerr: if you're not rolling around pounding the floor you're not really listening to The Killers https://t.co/wInJ919ZLH"""
892912893385207809,2017-08-03 00:59:57,b'Summer glow\xe2\x98\x80\xef\xb8\x8f https://t.co/B9AqVBZEoI'
890364976199852036,2017-07-27 00:15:27,b'RT @grecia_serna: Mexico has been a lot of fun but I miss my friends\xf0\x9f\x98\xad\xf0\x9f\x98\xab'
888538963396440068,2017-07-21 23:19:31,"b'RT @ashearmstrong: I mean, we could all mind our own fucking business and let the woman enjoy her swim time. That seems the right way. http\xe2\x80\xa6'"
886798294122364931,2017-07-17 04:02:43,"b""Leighea's cat needs help! @_leighea_ \nhttps://t.co/Fcd91NG410"""
883371246905425922,2017-07-07 17:04:52,"b""RT @jones1_rachel: no actually it's getting in my car at night and there being a murderer in the backseat https://t.co/iCJeXBb9PV"""
882724684768452608,2017-07-05 22:15:39,"b""RT @ridak96: Stop taking unsolicited pictures of brown people being normal people as if that's a surprise in 2017 https://t.co/2bIKNukHuE"""
873968441308434434,2017-06-11 18:21:28,"b""RT @_leighea_: i don't tweet anymore but pls enjoy this pic of me n my lil friend Kahlua&lt;3 https://t.co/nfPL19VUYs"""
868184304257556481,2017-05-26 19:17:22,"b'RT @TCHS_XC: We are so proud of all of you, and know that you will do great things. Thanks for being apart of this family! https://t.co/3mL\xe2\x80\xa6'"
866455171987058688,2017-05-22 00:46:25,b'Prom 2k17\xe2\x9d\xa4\xef\xb8\x8f #TcRoaring17s https://t.co/9bW3XpfhTl'
866346070976200706,2017-05-21 17:32:53,"b""RT @Eve_macias17: #TcRoaring17s gonna miss these seniors:') love you guys\xf0\x9f\x96\xa4\xf0\x9f\xa5\x80 https://t.co/T5JG14CQI6"""
860690217765920768,2017-05-06 02:58:33,b'@karlazavvala HAPPY BIRTHDAY\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
851973083892260864,2017-04-12 01:39:46,b'RT @shellbell0124: Michael is not a murderer #PrisonBreak https://t.co/uul8u110Oj'
851527174519754754,2017-04-10 20:07:53,b'RT @feministculture: This gets scary when you realize almost one in five women will be a victim of attempted or completed rape during their\xe2\x80\xa6'
845731225293721604,2017-03-25 20:16:51,"b""RT @tbrownmedia: it's not always as blatant as someone getting snatched &amp; thrown in a van. They're luring ppl in. Talk to your siblings. ht\xe2\x80\xa6"""
845594028762546180,2017-03-25 11:11:41,b'@Leigheaaa_K HAPPY 18th  BIRTHDAY !!!\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8e\x88 https://t.co/byCksWdvei'
837065176134352896,2017-03-01 22:21:04,b'RT @caila_lucero: Blessed to have been able to take my senior pics in the bay\xe2\x9c\xa8 https://t.co/ZE3MTTwRCN'
831146804917985280,2017-02-13 14:23:34,b'RT @LaytonMulligan7: \xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f https://t.co/rrtTv3pGBs'
826631409620107264,2017-02-01 03:21:00,b'RT @elyssa11299: so ready to graduate &amp; surround myself w new people'
825903704696090624,2017-01-30 03:09:22,"b""RT @Leigheaaa_K: since i never tweet anymore, here's a pic of me!!!!!! https://t.co/gpvVcmCyq5"""
823241615930232833,2017-01-22 18:51:10,"b""RT @jules_su: okay guys Trump has only been President for a few hours let's just wait and see what happ- https://t.co/AqRkWUjK6n"""
822603633200087041,2017-01-21 00:36:04,b'RT @ObamaWhiteHouse: Yes we can.\nYes we did.\nThank you for being a part of the past eight years. https://t.co/mjmr4RkxpV'
