id,created_at,text
1066924779641409536,2018-11-26 05:21:04,b'RT @MorganGrace30: drunk? Call me\nPut in a bad situation? Call me\nNeed a DD? Call me\n\nPeople ask why I always do things for people who take\xe2\x80\xa6'
1066841673718734854,2018-11-25 23:50:50,b'RT @sparkIy: my mental health. https://t.co/Q7P7d68pNT'
1066837732029317120,2018-11-25 23:35:10,b'\xe2\x80\xbc\xef\xb8\x8f https://t.co/ParwvmYyZi'
1066815012491206662,2018-11-25 22:04:54,"b'What a beautiful day we had today, men are still trash.'"
1066788863698444288,2018-11-25 20:20:59,b'@cantbetooschorr Knew I liked her'
1066085408746942464,2018-11-23 21:45:43,b'RT @kaiteasley: might fuck around and stop being a sensitive little bitch probably not but i might ok'
1066084664438390784,2018-11-23 21:42:45,b'RT @bwaylou: you know what breaks innocence? \n\n\xe2\x80\xa2 (school) shootings\n\xe2\x80\xa2 (mass) murder \n\xe2\x80\xa2 (gun) violence\n\nget your head out of your disgusting\xe2\x80\xa6'
1066084215928823808,2018-11-23 21:40:58,b'RT @Amandaa_Hewitt: And on today\xe2\x80\x99s episode of men are trash'
1065805617347080193,2018-11-23 03:13:55,b'RT @ArianaGrande: thank u fuckin next'
1064713577930649600,2018-11-20 02:54:33,b'@erinbreslin27 @Matty_Natty_Ice Ugh we have the best boys'
1064711455281418240,2018-11-20 02:46:06,b'The best part about being the only single friend is that you literally have 6 boyfriends to choose from daily @erinbreslin27 am I right'
1064365855167909888,2018-11-19 03:52:49,b'RT @JakeLangston_7: RT if you\xe2\x80\x99re completely fine being Brecca in this situation https://t.co/nzL5YByeWB'
1064059071614132224,2018-11-18 07:33:46,b'@dani_powers1 False'
1063809317818810369,2018-11-17 15:01:20,b'@KristinRotan Even better \xf0\x9f\x98\x82'
1063615322253611009,2018-11-17 02:10:28,b'Kristin just asked her mom how long it would take to cook a 25lb turkey and she responds \xe2\x80\x9cwell your dad cooked a wh\xe2\x80\xa6 https://t.co/36Jnks9vQK'
1063280775506927616,2018-11-16 04:01:06,b'@dani_powers1 https://t.co/gjB8y2lVG0'
