id,created_at,text
1066804528585035776,2018-11-25 21:23:14,b'RT @WritersDigest: Learn how to fail smarter and set yourself up for success: https://t.co/TmT4G1q9Gl @PSHoffmanAuthor https://t.co/7bw9QlK\xe2\x80\xa6'
1066760978816266240,2018-11-25 18:30:11,b'What to Do If You Want to Die https://t.co/WX54OuOsHo #depression'
1066753583939534851,2018-11-25 18:00:48,"b""Chronic Illness Requires Chronic Effort -- It's Ridiculous | New #Bipolar Burble https://t.co/fwFJiHfXK7 #depression"""
1066729958133907457,2018-11-25 16:26:55,b'RT @karenkho: *stares directly at camera* https://t.co/3QPIZukbkj https://t.co/sYji2wJ1VE'
1066715683034202112,2018-11-25 15:30:12,b'Can a Person with #Bipolar Disorder Be Happy? https://t.co/pIqDA8m6xg #mentalillness #mentalhealth'
1066711881157627904,2018-11-25 15:15:05,b'What to Do If You Want to Die https://t.co/WX54OuOsHo #mentalhealth'
1066708348198928391,2018-11-25 15:01:03,"b""Chronic Illness Requires Chronic Effort -- It's Ridiculous | New #Bipolar Burble https://t.co/fwFJiHfXK7 #spoonie\xe2\x80\xa6 https://t.co/mozr7mpprs"""
1066704935348330496,2018-11-25 14:47:29,"b""@JamColley Caught on with Trump voters. Just sayin'."""
1066542165088706560,2018-11-25 04:00:42,"b'My week on Twitter \xf0\x9f\x8e\x89: 20 Mentions, 11.4K Mention Reach, 102 Likes, 11 Retweets, 23.5K Retweet Reach. See yours with\xe2\x80\xa6 https://t.co/ASgUtnr1EM'"
1066372150410571783,2018-11-24 16:45:07,b'What Does #Bipolar Hypomania Feel Like? https://t.co/BeMiPlYu6p #mentalhealth #mentalillness'
1066355918772809728,2018-11-24 15:40:37,"b""@MentalIllPolicy @JacquelineHine1 @DaWierComposer You're such a sweetie."""
1066355792968847360,2018-11-24 15:40:07,b'This is great. Congrats on taking it on. RT @MrsSElisabet: With the help of the list by @natasha_tracy of bad hypom\xe2\x80\xa6 https://t.co/h7fZfIEi59'
1066061777702711297,2018-11-23 20:11:48,b'RT @TWLOHA: ICYMI: We\xe2\x80\x99re giving you FREE SHIPPING worldwide on all orders of $25 or more! Now\xe2\x80\x99s the perfect time to grab our new Hope Is De\xe2\x80\xa6'
1066014092429860869,2018-11-23 17:02:19,"b'Our biggest fans this week: @MentalIllPolicy, @JacquelineHine1, @DaWierComposer. Thank you! via\xe2\x80\xa6 https://t.co/FGw9FJmPMe'"
1065986707894484992,2018-11-23 15:13:30,b'Thx RT @MrsSElisabet: @natasha_tracy This is a great read on what it feels like when the smallest of things become\xe2\x80\xa6 https://t.co/FKO5xBrbg5'
1065975865379561473,2018-11-23 14:30:25,"b""Why I Don't Tell People My #Bipolar Medications, Treatment Plan https://t.co/7kXK99ZaGu #mentalillness #mentalhealth"""
1065787080024997890,2018-11-23 02:00:15,b'What to Do If You Want to Die https://t.co/WX54OuOsHo #mentalillness'
1065741847677599744,2018-11-22 23:00:31,b'What to Do If You Want to Die https://t.co/WX54OuOsHo #unsuicide'
1065703434014392320,2018-11-22 20:27:53,"b""RT @CanauthorsV: @RoomMagazine's Call for submissions with a sports theme. Deadline Jan 31 https://t.co/5uIw68HUgv"""
1065692658272624640,2018-11-22 19:45:04,b'What to Do If You Want to Die https://t.co/WX54OuwRiO #psych'
1065667691795685381,2018-11-22 18:05:51,b'RT @MentalIllPolicy: https://t.co/fj77sSgm0j'
1065646257769725954,2018-11-22 16:40:41,"b""RT @mikercarpenter: Trump knows his impulsive divisiveness plays well with a segment of his base, and that's all he cares about. His instin\xe2\x80\xa6"""
1065644734885040129,2018-11-22 16:34:38,b'What to Do If You Want to Die https://t.co/WX54OuOsHo'
1065642342290464768,2018-11-22 16:25:07,b'What Does #Bipolar Hypomania Feel Like? https://t.co/BeMiPlYu6p #mentalhealth #mentalillness https://t.co/b2zaXzaKKU'
1065639846969044992,2018-11-22 16:15:12,"b""Psychiatric #Medications Don't Work -- A Fact? https://t.co/F2img1BUIH"""
1065628613129711622,2018-11-22 15:30:34,b'Judging Those Who Get Electroconvulsive Therapy (#ECT) https://t.co/M1pUz09LU3 #depression'
1065624739736166401,2018-11-22 15:15:10,"b""Chronic Illness Requires Chronic Effort -- It's Ridiculous | New #Bipolar Burble https://t.co/fwFJiHfXK7 #psych"""
1065408557590487042,2018-11-22 00:56:09,b'@STARCHILD0920 Thank you. You too.'
1065408474329374722,2018-11-22 00:55:49,"b'@sami02305094 I think you can feel under medication, sure. Sometimes long-term medication is critical.'"
1065405784006238210,2018-11-22 00:45:07,b'Can a Person with #Bipolar Disorder Be Happy? https://t.co/pIqDA8m6xg #mentalillness'
1065356729863610368,2018-11-21 21:30:12,b'Can a Person with #Bipolar Disorder Be Happy? https://t.co/pIqDA8m6xg #mentalhealth'
1065337852194635776,2018-11-21 20:15:11,b'Why Would a Person with Mental Illness Stop Talking to You? https://t.co/J6uN5tbeUR #psych'
1065307632049762305,2018-11-21 18:15:06,b'Can a Person with #Bipolar Disorder Be Happy? https://t.co/pIqDA8m6xg #depression'
1065304298584719360,2018-11-21 18:01:51,b'What to Do When Someone Tells You They Have a Mental Illness https://t.co/CriRFcgWMT #psych #depression'
1065281334933884928,2018-11-21 16:30:36,"b""I'm Too Tired to Keep Fighting #Bipolar Disorder https://t.co/BRM2zmuNzS #mentalhealth #mentalillness"""
1065257128615702528,2018-11-21 14:54:25,b'Can a Person with #Bipolar Disorder Be Happy? https://t.co/pIqDA8m6xg'
1065254885308985344,2018-11-21 14:45:30,b'@sami02305094 Sorry?'
1065251094484475905,2018-11-21 14:30:26,b'What to Do When Someone Refuses to Take Their #Medication \xe2\x80\x93 Treatment Noncompliance/Nonadherence https://t.co/kogCO2kavs #mentalhealth'
1065062330373939200,2018-11-21 02:00:22,"b""Chronic Illness Requires Chronic Effort -- It's Ridiculous | New #Bipolar Burble https://t.co/fwFJiHfXK7 #mentalillness"""
1065013182199144448,2018-11-20 22:45:04,"b""Chronic Illness Requires Chronic Effort -- It's Ridiculous | New #Bipolar Burble https://t.co/fwFJiHfXK7 #mentalhealth"""
1064964177008185356,2018-11-20 19:30:20,"b""Chronic Illness Requires Chronic Effort -- It's Ridiculous | New #Bipolar Burble https://t.co/fwFJiHfXK7 #spoonie https://t.co/XQy8ffJO4u"""
1064960364608143360,2018-11-20 19:15:11,b'The First Day on a New Antipsychotic Is Terrible https://t.co/ZSNhZyMCT2 #psych #depression #bipolar'
1064957101007622157,2018-11-20 19:02:13,b'The Pressure to Function Perfectly Because of #Bipolar Disorder https://t.co/570d1YkU2I #depression #psych'
1064929621609775104,2018-11-20 17:13:01,b'Thx 4 RT @NjeriWaGakuo: My #Bipolar Makes Me Hate Everything and Everyone - https://t.co/MWwEMXO3PY'
1064916386533859330,2018-11-20 16:20:26,"b""Chronic Illness Requires Chronic Effort -- It's Ridiculous | New #Bipolar Burble https://t.co/fwFJiHfXK7"""
1064911934070407168,2018-11-20 16:02:44,b'Escaping a #Bipolar Brain https://t.co/cjMmKwJxHv #mentalillness #psych'
1064907517363408896,2018-11-20 15:45:11,b'Should More People with Mental Illness Be Institutionalized? https://t.co/dxcmJCFr68 #mentalillness #mentalhealth'
1064889881699209216,2018-11-20 14:35:07,b'Getting the Flu Makes #Bipolar Worse https://t.co/8spyQmrS1V #mentalillness #mentalhealth #psych'
1064680990843576320,2018-11-20 00:45:03,b'What Does #Bipolar Hypomania Feel Like? https://t.co/BeMiPlYu6p #mentalillness'
1064631951682928646,2018-11-19 21:30:11,b'What Does #Bipolar Hypomania Feel Like? https://t.co/BeMiPlYu6p #mentalhealth'
1064584109698310144,2018-11-19 18:20:05,b'What Does #Bipolar Hypomania Feel Like? https://t.co/BeMiPlYu6p #psych'
1064546566722256901,2018-11-19 15:50:54,"b'Thx 4 RT @CalculatingMind: Why I Don\xe2\x80\x99t Tell People My Bipolar Medications, Treatment Plan https://t.co/nQKNzcu3pn via @rightrelevance thanks'"
1064535991824846849,2018-11-19 15:08:53,b'What Does #Bipolar Hypomania Feel Like? https://t.co/BeMiPlYu6p'
1064190266725330945,2018-11-18 16:15:05,b'Judging Those Who Get Electroconvulsive Therapy (#ECT) https://t.co/M1pUz09LU3 #bipolar'
1064182712347623426,2018-11-18 15:45:04,b'Escaping a #Bipolar Brain https://t.co/cjMmKwJxHv #mentalhealth'
1064175159354032128,2018-11-18 15:15:04,"b""Why I Don't Tell People My #Bipolar Medications, Treatment Plan https://t.co/7kXK99ZaGu #depression"""
1064005440491724800,2018-11-18 04:00:39,"b'My week on Twitter \xf0\x9f\x8e\x89: 15 Mentions, 16.3K Mention Reach, 47 Likes, 6 Retweets, 4.91K Retweet Reach. See yours with\xe2\x80\xa6 https://t.co/2yNHC1e6rP'"
1063824352951582720,2018-11-17 16:01:05,b'What to Do When Someone Refuses to Take Their #Medication \xe2\x80\x93 Treatment Noncompliance/Nonadherence https://t.co/kogCO2kavs #depression'
1063597685016616960,2018-11-17 01:00:23,"b""Why I Don't Tell People My #Bipolar Medications, Treatment Plan https://t.co/7kXK99ZaGu #mentalillness"""
1063552461120696322,2018-11-16 22:00:41,"b""Why I Don't Tell People My #Bipolar Medications, Treatment Plan https://t.co/7kXK99ZaGu #mentalhealth"""
1063503235686768640,2018-11-16 18:45:04,"b""Why I Don't Tell People My #Bipolar Medications, Treatment Plan https://t.co/7kXK99ZaGu #psych"""
1063477273377075205,2018-11-16 17:01:55,"b'Our biggest fans this week: @NjeriWaGakuo, @paulanewman930, @MadHatt31334264. Thank you! via https://t.co/ymMTjRGjA3 https://t.co/754nVrGYEQ'"
1063451836504596481,2018-11-16 15:20:50,"b""Why I Don't Tell People My #Bipolar Medications, Treatment Plan https://t.co/7kXK99ZaGu"""
1063446898533679104,2018-11-16 15:01:13,b'Did you know people with #depression often experience these 6 hidden struggles? https://t.co/3ce81E0TKy\xe2\x80\xa6 https://t.co/3mooAi7KvD'
1063439157610065920,2018-11-16 14:30:27,"b""Mental Illness -- It's Your Fault https://t.co/FPXNtRSKqy #psych #bipolar #depression"""
1063436615308255232,2018-11-16 14:20:21,b'RT @waltshaub: Trump has fired the heads of the nation\xe2\x80\x99s two top law enforcement agencies to evade investigation. Right now he\xe2\x80\x99s tweeting a\xe2\x80\xa6'
