id,created_at,text
1066797987488325632,2018-11-25 20:57:15,b'I found the mandarin duck in Central Park! Now I must find the jade monkey before the next full moon. https://t.co/vctsxiap8B'
1066143595265171462,2018-11-24 01:36:55,b'Sad boyz \xf0\x9f\x96\xa4 https://t.co/2811iidvQb https://t.co/A41xLW68R4'
1065345755991416832,2018-11-21 20:46:36,"b'@frizzlefreckle Still, not enough eagles.'"
1065345716057460739,2018-11-21 20:46:26,"b'@frizzlefreckle There was another one on the left, out of frame.'"
1065344826290388992,2018-11-21 20:42:54,b'I think it needs more eagles. https://t.co/SKgskcJjLK'
1064994474798010369,2018-11-20 21:30:44,"b'Also, Meal Ticket fucked me up and I can\xe2\x80\x99t stop thinking about it.'"
1064994355172265986,2018-11-20 21:30:15,b'I keep trying to read each chapter before they go to the next vignette in Buster Scruggs. I want the book. Make it real. #panshot'
1064991906483060736,2018-11-20 21:20:31,"b'RT @OhNoSheTwitnt: Calm down, everyone, Saudi Arabia just murdered a journalist, it\xe2\x80\x99s not like they did anything really evil like kneeling\xe2\x80\xa6'"
1064989801353482243,2018-11-20 21:12:09,"b'RT @aliciakennedy: This month\xe2\x80\x99s @HowWeGetToNext column is about tortillas, narrative capital, EATING NAFTA, and @CiaoSamin\xe2\x80\x99s SALT FAT ACID\xe2\x80\xa6'"
1064989782755938304,2018-11-20 21:12:05,b'@aliciakennedy @HowWeGetToNext @CiaoSamin You are quickly becoming one of my favorite writers.'
1064926237821464576,2018-11-20 16:59:35,b'My office this week @thecampdavid https://t.co/9b2wfVarTn'
1064753292327170049,2018-11-20 05:32:21,"b""RT @bthmrsh: this bit of Anne Carson's Euripides has made a wreck of what's left of my heart https://t.co/XWQoD67wSU"""
1064735462869409793,2018-11-20 04:21:30,b'RT @AgnesJones87: An octopus named Otto caused an aquarium power outage by climbing to the edge of his tank and shooting a jet of water at\xe2\x80\xa6'
1064652794731397121,2018-11-19 22:53:01,"b'RT @DothTheDoth: Happy 33rd birthday, Calvin and Hobbes. Thank you for giving me a foundation. https://t.co/ETMZkLpZxq'"
1064643178404429825,2018-11-19 22:14:48,b'@Angelous8103 My heart \xf0\x9f\x98\xbb'
1064630672776724480,2018-11-19 21:25:06,b'@Angelous8103 https://t.co/2V3bMd7umz'
1064629156963590144,2018-11-19 21:19:05,b'Why is it so satisfying to vent on Twitter re: bad customer service? I feel like such a tool immediately after I @\xe2\x80\xa6 https://t.co/wejfuE30Ol'
1064625792272015362,2018-11-19 21:05:43,b'RT @Jordanlauch: Help me in my fight against Pediatric cancer by donating to my fundraiser page: \nhttps://t.co/U9viyoRngy'
1064383349316349953,2018-11-19 05:02:20,"b'RT @Kristen_Arnett: forget self care, try self scare - do all the things you\xe2\x80\x99ve been putting off that scare the shit out of you'"
1064379824192585728,2018-11-19 04:48:19,"b""RT @mental_floss: The Time Nikola Tesla Paid for His Hotel Room With a 'Death Ray' \xe2\x80\x94 https://t.co/OMMyd3HHbt https://t.co/wH4cqob65o"""
1064368599014547461,2018-11-19 04:03:43,b'@AnitaBlanchard Bad allergic reaction \xf0\x9f\x91\x8e\xf0\x9f\x8f\xbb'
1064264160710672385,2018-11-18 21:08:43,"b'@PopCultRainman I even know I\xe2\x80\x99ve become allergic to PPD already, so I have no excuse \xf0\x9f\x98\x91'"
1064257628249997313,2018-11-18 20:42:46,b'@PopCultRainman I had an allergic reaction that gave me itchy hives \xf0\x9f\x98\x95'
1064257252477956096,2018-11-18 20:41:16,b'@AmyLangeKawmura Just changing color. For reference: https://t.co/oWHWxMdnhz'
1064254579859177473,2018-11-18 20:30:39,"b'I dyed my hair and it was not worth it, but please tell me how nice it looks because I need validation for my poor\xe2\x80\xa6 https://t.co/teONNV1TGo'"
1063924651481550850,2018-11-17 22:39:38,b'@thebilljim Make him your best friend.'
1063918615907442688,2018-11-17 22:15:39,"b'@bookoisseur Christmas is coming up, the timing is perfect to remedy this problem.'"
1063918306749554690,2018-11-17 22:14:25,b'@Mona I\xe2\x80\x99d wear that.'
1063915686442033153,2018-11-17 22:04:00,b'@literarynessie @Its_Just_Wayne My heart hurts'
1063914842036285443,2018-11-17 22:00:39,b'@WAPratt There needs to be a big X right in the middle.'
1063914198391013376,2018-11-17 21:58:06,b'I dyed my hair black (again) and had an allergic reaction (again) so I\xe2\x80\x99ve been living like a house goblin for the p\xe2\x80\xa6 https://t.co/R4xH3EvWA4'
1063913317771689986,2018-11-17 21:54:36,b'@Its_Just_Wayne That\xe2\x80\x99s the one'
1063912507310522368,2018-11-17 21:51:22,"b'No one told me Queer Eye would be so emotional. It thawed my cold, icy heart and I had to turn it off because it made me FEEL.'"
1063104850685292545,2018-11-15 16:22:02,b'@Kiopta1Rash Well I have been swaggering about in a garish new hat...'
1063101623864623104,2018-11-15 16:09:13,b'Just because you can doesn\xe2\x80\x99t mean that you should. https://t.co/tMDdVQiK7X'
1063095678270869504,2018-11-15 15:45:35,b'@CColeWritings It sounds like a whole thing. I just want a shelf and maybe a meatball on my way out.'
1063095418626719744,2018-11-15 15:44:33,b'I\xe2\x80\x99m 31 today and this is how I feel about it. https://t.co/P8yBF3QQpL'
1063095212757696514,2018-11-15 15:43:44,b'@WeTheCurators2 I think it has meatballs and maybe furniture.'
1063094643414519811,2018-11-15 15:41:28,b'True Life: I Have Never Been to IKEA'
1062124847269056513,2018-11-12 23:27:51,b'@ALostGinger I\xe2\x80\x99m not sure yet. I might go with something simple.'
1062101659973763073,2018-11-12 21:55:43,b'I want some birthday ink. Does anyone know a good tattoo artist in New York/Brooklyn?'
1061522391283761157,2018-11-11 07:33:54,b'\xe2\x80\x9cLife would be easier if we went back to a horse-based transportation.\xe2\x80\x9d\n\n\xe2\x80\x9cI think you\xe2\x80\x99re playing too much Red Dead\xe2\x80\xa6 https://t.co/Lsznxf2vO7'
1061145224351768577,2018-11-10 06:35:11,"b'@knownforms I\xe2\x80\x99m no doctor, but yes.'"
1061144777759035392,2018-11-10 06:33:24,b'My insomnia is back and I\xe2\x80\x99m doing things again. This time it\xe2\x80\x99s pocket knives and a spiral slicer for zucchini noodl\xe2\x80\xa6 https://t.co/Q79gVCce1Z'
1061064084173524992,2018-11-10 01:12:45,b'@rgibson103 He did a lot of dumb shit.'
1061012471861927941,2018-11-09 21:47:40,b'Art is what you can get away with.\n\xe2\x80\x94Andy Warhol. @whitneymuseum https://t.co/Acpz6QBJeu'
1060960193050275840,2018-11-09 18:19:56,b'@aliciakennedy I was in that exact spot today too! Happy birthday!'
1060742024444420096,2018-11-09 03:53:00,b'@thespiffycookie @Nadeena I\xe2\x80\x99ve been in many a suburban basement like this one.'
