id,created_at,text
1066824514074525696,2018-11-25 22:42:39,b'@shoutywhisper @CarlDunnJr @WellbeingWiener @FieldingPolly @janeymachine Aw he must really love you I wish I could\xe2\x80\xa6 https://t.co/b4MhfLV536'
1066822812793327616,2018-11-25 22:35:53,b'@shoutywhisper @CarlDunnJr @WellbeingWiener @FieldingPolly @janeymachine Well done and he sounds very supportive'
1066821209395027969,2018-11-25 22:29:31,b'@shoutywhisper @WellbeingWiener @CarlDunnJr @FieldingPolly @janeymachine Yes it is'
1066820453589749760,2018-11-25 22:26:31,b'@shoutywhisper @WellbeingWiener @CarlDunnJr @FieldingPolly @janeymachine I would love to go out on my own'
1066819353440600069,2018-11-25 22:22:09,"b'@WellbeingWiener @CarlDunnJr @shoutywhisper @FieldingPolly @janeymachine Yeah I hate them too, oh that\xe2\x80\x99s sounds lovely'"
1066817262995283972,2018-11-25 22:13:50,b'@shoutywhisper @CarlDunnJr Goodnight'
1066815575324712960,2018-11-25 22:07:08,b'@Borderline_OK Goodnight x'
1066814450177585152,2018-11-25 22:02:40,b'@FieldingPolly Yey Thankyou so much very happy x'
1066812644990930944,2018-11-25 21:55:29,b'@shoutywhisper @FieldingPolly @restamon1 @CarlDunnJr @janeymachine Omg Yeah me to'
1066811935243595777,2018-11-25 21:52:40,b'@shoutywhisper @FieldingPolly @restamon1 @CarlDunnJr @janeymachine Me too I do that'
1066810621763690496,2018-11-25 21:47:27,b'@FieldingPolly @restamon1 @CarlDunnJr @shoutywhisper @janeymachine No not at all x'
1066809955032973313,2018-11-25 21:44:48,b'@CarlDunnJr But I like twitter because on here I can express how I\xe2\x80\x99m feeling without being judged and I don\xe2\x80\x99t feel\xe2\x80\xa6 https://t.co/3Thkx2XW8P'
1066808861368057856,2018-11-25 21:40:27,b'@CarlDunnJr Yes very true'
1066807750120869889,2018-11-25 21:36:02,b'@Borderline_OK @CarlDunnJr @shoutywhisper @FieldingPolly @janeymachine Oh really maybe I can do it without realising x'
1066807369659809792,2018-11-25 21:34:31,b'@restamon1 @shoutywhisper @CarlDunnJr @janeymachine Yes me too'
1066807191032741888,2018-11-25 21:33:49,b'@CarlDunnJr @shoutywhisper @FieldingPolly @janeymachine Trying to focus and not thinking about my worries which my mind always wonders'
1066806831664848896,2018-11-25 21:32:23,b'@CarlDunnJr No I use Facebook and I makes me worse when you see your friends life\xe2\x80\x99s compared to your own it\xe2\x80\x99s depressing #BPDChat'
1066806487157215233,2018-11-25 21:31:01,b'@shoutywhisper @restamon1 @CarlDunnJr @janeymachine Omg yes even in winter I\xe2\x80\x99m the same'
1066806219728396288,2018-11-25 21:29:57,"b'@CarlDunnJr @shoutywhisper @FieldingPolly @janeymachine I can\xe2\x80\x99t get mindfulness, we do it in DBT group but I don\xe2\x80\x99t\xe2\x80\xa6 https://t.co/qu1qcQ44IQ'"
1066805833487519745,2018-11-25 21:28:25,b'@shoutywhisper @restamon1 @CarlDunnJr @janeymachine Yeah me too Im always hot and wet through all the time it\xe2\x80\x99s embarrassing #BPDChat'
1066802947869290496,2018-11-25 21:16:57,b'@shoutywhisper @CarlDunnJr @janeymachine Hi I\xe2\x80\x99m the same can\xe2\x80\x99t go out on my own #BPDChat'
1066802032097587200,2018-11-25 21:13:19,b'Anyone who follows me I will follow back'
1066801900039929856,2018-11-25 21:12:47,"b'One more follower to hit 160 please help me out, never even thought I would reach this many followers so thankyou x'"
1066304418331717641,2018-11-24 12:15:58,"b'Thankyou very much too everyone for following me, I know I don\xe2\x80\x99t post very interesting things but thankyou for stic\xe2\x80\xa6 https://t.co/sjYnL1KalO'"
1066074448267276288,2018-11-23 21:02:09,"b'@alexdaviespbts Thankyou so much, same here xx'"
1066071459657850880,2018-11-23 20:50:17,b'@alexdaviespbts Thanks so much x'
1066067212358877185,2018-11-23 20:33:24,b'#bpdproblems https://t.co/VXNAO9jHi4'
1065524542616014848,2018-11-22 08:37:02,b'@sandratmartin Thankyou x'
1065368079608279040,2018-11-21 22:15:18,b'@sandratmartin Aw thankyou so much it went ok my friends are from a therapy group so they understand how I feel x'
1063541937620303873,2018-11-16 21:18:52,b'@Borderline_OK Thanks so much x'
1062449731652280320,2018-11-13 20:58:50,b'@EllieBrenkley Thankyou so much x'
1062442400419926019,2018-11-13 20:29:42,b'@EllieBrenkley No but thankyou for asking'
1062288672383471616,2018-11-13 10:18:50,b'@itsameshlife Thanks x'
1062082925657817090,2018-11-12 20:41:16,"b""I'm getting people just following me then unfollow me why do some do that what's wrong with me \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f"""
1062032509637193731,2018-11-12 17:20:56,b'@crayzcatladyy I sometimes feel like that x'
1062025944393805824,2018-11-12 16:54:51,b'@itsameshlife Aw thankyou xx'
1062018105055043587,2018-11-12 16:23:42,b'Feeling unloved \xf0\x9f\x98\xa2 https://t.co/mCfQU9FWgU'
1061985638231273473,2018-11-12 14:14:41,b'@TheBodyShopUK \xe2\x9d\x84\xef\xb8\x8f\xe2\x98\x83\xef\xb8\x8f\xf0\x9f\x8e\x85\xf0\x9f\x8f\xbc @DianeDisley #thebodyshop #EnchantedByNature'
