id,created_at,text
1067072938288078849,2018-11-26 15:09:48,"b'RT @SoCassandra: Ladies, if he:\n\n-Never responds to your texts\n-Stole your heart \n-Acts like a pompous ass\n-Has the body of a cat \n-Is actu\xe2\x80\xa6'"
1067066609074884608,2018-11-26 14:44:39,b'listen. to must be feyt'
1067065598209912832,2018-11-26 14:40:38,"b""RT @mustbefey_t: Episode 14 is now out! \nhttps://t.co/RoWvmf3c3S\nThe plot thickens as our heroes continue the hunt for D'anny's would-be as\xe2\x80\xa6"""
1067057166861897728,2018-11-26 14:07:08,"b""RT @mybigmood: this is stella songsung, a character i'm gonna be playing with a group of my friends on new years eve! i couldn't resist dra\xe2\x80\xa6"""
1067057095739101184,2018-11-26 14:06:51,b'RT @RiddleRaccoon: Found this graph online that you can use to find the best times to post your art!\n\nThought it might be helpful to share!\xe2\x80\xa6'
1066890806223622145,2018-11-26 03:06:04,b'@Its_Keego THANK U SO MYCH THIS IS SO KIND ;__;'
1066883945789353990,2018-11-26 02:38:49,"b""( it's me. i guest starred in this. )"""
1066883495908319232,2018-11-26 02:37:01,"b""hey. hey there's a real. fun guest star in this. hey https://t.co/atkzrKR5NW"""
1066875515762544640,2018-11-26 02:05:19,b'the day they all confront me and leave\n\nis this irrational? probably. am i still scared? fuck yeah!'
1066875514764312576,2018-11-26 02:05:18,"b""i know i try to keep unproblematic! if i do something problematic it's because i genuinely did not know i did it. b\xe2\x80\xa6 https://t.co/DmRBbKbbPJ"""
1066875202968215553,2018-11-26 02:04:04,"b""sure yeah nightmares whatever \n\ni fear i'm actually very problematic without anyone telling me i am and my friends\xe2\x80\xa6 https://t.co/5oxoAzfdUo"""
1066872974186295296,2018-11-26 01:55:13,b'RT @NoContextOnett: the long awaited full version... https://t.co/AOZYQXbpu1'
1066856310145253376,2018-11-26 00:49:00,b'@Cutieapple_pie ........pew??????? what the fuck???????'
1066855663798751233,2018-11-26 00:46:26,b'the thing that sucks about being triggered is like. it lingers for the rest of the day. i can be okay but i still l\xe2\x80\xa6 https://t.co/cvhMS4ebK4'
1066851377064886272,2018-11-26 00:29:24,b'DEVIATION FROM THE NORM WILL BE PUNISHED UNLESS IT IS EXPLOITABLE'
1066836591304470528,2018-11-25 23:30:38,"b""this is stella songsung, a character i'm gonna be playing with a group of my friends on new years eve! i couldn't r\xe2\x80\xa6 https://t.co/B9FAEAyBfQ"""
1066764335610032128,2018-11-25 18:43:31,"b'RT @chiquitasdave: doing an experiment bc i\xe2\x80\x99m curious: if you\xe2\x80\x99re LBGTQ, how do you feel about tieflings? please rt when you\xe2\x80\x99ve voted\xe2\x9c\xa8'"
1066741209119498241,2018-11-25 17:11:38,b'@JustAWeeRabbit YANDERE SUZY https://t.co/EwNgxhaUOl'
1066714819531890688,2018-11-25 15:26:46,b'RT @sunflowerals: |_____|  \n   {_}       put\n  {__}      this\n/|_|_|\\     sword\n\\| | | |/     on\n   |   |       your\n   |   |       page\xe2\x80\xa6'
1066574418946768896,2018-11-25 06:08:52,"b""RT @Johnny_Allman: Ladies, if he:\n\n- doesn't text back\n- is bad at everything but circus tricks\n- rocks a tunic\n- briefly kills his dad\n- t\xe2\x80\xa6"""
1066566977471291395,2018-11-25 05:39:17,b'RT @CF_History: Commission this beannnnnn https://t.co/VkvmQTPaRo'
1066504454709657600,2018-11-25 01:30:51,"b""RT @detectivedoods: As someone whose been surprised with one of these it's worth the money Alex is a god. She thinks so hard about the lyri\xe2\x80\xa6"""
1066478207506018307,2018-11-24 23:46:33,"b'RT @_AlexHirsch: Excited to announce the Gravity Falls LIVE ACTION REBOOT starring Danny DeVito as Grunkle Stan, Danny DeVito as Dipper, Da\xe2\x80\xa6'"
1066478172861079552,2018-11-24 23:46:25,"b'RT @KateBrauning: By age 30 you should have:\n\n$3 in savings\n$5,000 in credit card debt\nExistential dread\nA favorite spoon\nOne half-dead pla\xe2\x80\xa6'"
1066423433720934400,2018-11-24 20:08:54,"b""@LTMusical Idk what you're talking about, I feel like Mr. D would also have a dump in the woods. He is the god of w\xe2\x80\xa6 https://t.co/a7qcQGTvhS"""
1066419433839738880,2018-11-24 19:53:00,b'RT @LTMusical: the only acceptable moods from now until dec 26 https://t.co/rk7Bp00pL3'
1066416180532002816,2018-11-24 19:40:05,b'@theipre laura'
1066414444278890496,2018-11-24 19:33:11,b'@theipre followed u on aria/laura B)'
1066406681851191297,2018-11-24 19:02:20,"b'RT @kirigiridotexe: i looked at the crime scene for more than 5 seconds, something the rest of you could try doing some time'"
1066385174743711744,2018-11-24 17:36:52,b'RT @HulkHogan: I am so sad. HH'
1066371305774243840,2018-11-24 16:41:46,b'@STICKMASTER178 @LTMusical https://t.co/cqKvbn5EDd'
1066367399543345159,2018-11-24 16:26:14,"b""RT @LightningFast11: @mybigmood Oh come on listen to D'anny talk for five seconds ofc he's a tighty whitey type"""
1066355002195746817,2018-11-24 15:36:59,"b""RT @meridazzled: Here's a tip. If u cant draw, but want to, then DRAW! If u think u suck at it but like drawing, then DRAW! Art is a skill\xe2\x80\xa6"""
1066338264871768064,2018-11-24 14:30:28,"b'me in call: imagine being a little worm, just... undulating\n@minkeroo &amp; @RoyalFoxbat at the same time, cutting me off: nnnnnnooooooooooooo'"
1066337814747467777,2018-11-24 14:28:41,b'RT @KentingtonC: Marie                The skater guy\nAntoinette        from the \xe2\x80\x9cso\nafter                  no head\xe2\x80\x9d vine\nOctober 17\n1793\xe2\x80\xa6'
1066337559113068544,2018-11-24 14:27:40,b'@RoyalFoxbat @minkeroo THIS IS A DIRECT CALL OUT https://t.co/sR6LvvNbst'
1066337410508890112,2018-11-24 14:27:04,b'RT @kawoahru: me to my mcdonalds fries https://t.co/ZSa3dJRD9p'
1066215971751366656,2018-11-24 06:24:31,"b""Sam Sykes' entire persona 5 livetweet thread is so nice to read"""
1066215264142925824,2018-11-24 06:21:42,b'RT @redphlannel: Leggy Boi wants to battle https://t.co/mirpeufZyo'
1066213941364297729,2018-11-24 06:16:27,b'RT @seasofrhyes: killer queen ACAPELLA in a cathedral is ethereal dear god https://t.co/rp63TXi6dl'
1066201512320385024,2018-11-24 05:27:04,b'( nods thoughtfully ) arte'
1066200473865265152,2018-11-24 05:22:56,b'we still loving @dreamdaddygame in twenty gayteen? https://t.co/lWMKHKZKy1'
1066198612214976512,2018-11-24 05:15:32,b'RT @racquetball38: 268. me https://t.co/TYjMLsItJO'
1066198585342070784,2018-11-24 05:15:26,"b""i lied i'm going to shade it more and then post it again"""
1066198396854255616,2018-11-24 05:14:41,"b""the more i look at it the more shading i could have done but it's over now. no more"""
1066165485241290752,2018-11-24 03:03:54,b'@Its_Keego ( i have a full audio boot if you want it )'
1066163960649535488,2018-11-24 02:57:51,b'@Its_Keego IM SO GLAD YOU AGREE'
1066133854430392320,2018-11-24 00:58:13,"b""RT @sparkIy: do you ever miss someone and want to tell them you miss them but don't because you have this odd feeling that they are doing j\xe2\x80\xa6"""
1066127215937638400,2018-11-24 00:31:50,"b'@LTMusical that nonbinary rep, we stan'"
1066126990820954112,2018-11-24 00:30:56,"b""RT @LTMusical: ladies, gents, and non-binary friends, if he:\n\n- never responds to your texts \n- hasn't watched your insta story \n- changes\xe2\x80\xa6"""
1066116834955591680,2018-11-23 23:50:35,b'RT @kirigiridotexe: self-care is adding nyquil to your coffee and getting into a knife fight with togami-kun'
1066116051962904576,2018-11-23 23:47:28,"b""@ThatScarletMoth It's a little gore-y but I recommend Sawbones highly!"""
1066073355445514246,2018-11-23 20:57:49,"b'""i will do this thing for free!""\nme, very quickly realizing how much i literally can\'t afford to do shit for free:'"
1066071037262131201,2018-11-23 20:48:36,b'AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA ANXIETY'
1066054529127464960,2018-11-23 19:43:00,b'RT @animatedtext: https://t.co/jADgW5l0xz'
1066054468146475008,2018-11-23 19:42:46,b'@SleepLesseeMore YOU CANT HIDE FROM CANON'
1066049756122816513,2018-11-23 19:24:02,b'RT @shinobu0425: My fav sibling! #TheDragonPrince https://t.co/56LKCJqvj3'
1066030488610062336,2018-11-23 18:07:29,"b""RT @AyaGolender: She's amazing and good get a song from her! https://t.co/2dpLZLGyEO"""
1066012190594031616,2018-11-23 16:54:46,b'https://t.co/EdckhWtZ90'
1066009515513008128,2018-11-23 16:44:08,"b""@mustangsart that's a lie"""
1066008742842507264,2018-11-23 16:41:04,b'RT @mustbefey_t: You COULD spend ungodly amounts of black friday money on merchandise OR you could listen to our VERY FREE dnd actual play\xe2\x80\xa6'
1066007263763210241,2018-11-23 16:35:11,b'RT @shonenlesbian: Please please please P L E A S E commission alex!!!!!!!!  They are unbelievably talented and sweet! https://t.co/mH12huD\xe2\x80\xa6'
1066007138500337664,2018-11-23 16:34:41,"b'must be fey-t is a good podcast, actually https://t.co/qB7izCo4Se'"
1065992026062237696,2018-11-23 15:34:38,b'example https://t.co/d2HKmPYFoi'
1065990844514222080,2018-11-23 15:29:57,"b'i love all my characters but i made sun, my fire genasi bard, specifically to be a piece of shit awful terrible human and i love her a lot'"
1065987082739478528,2018-11-23 15:15:00,"b""( i should also mention that if you want a commission for a song i won't be getting the end product to you for a wh\xe2\x80\xa6 https://t.co/kqlz16m225"""
1065986446690041857,2018-11-23 15:12:28,"b""\xf0\x9f\x8e\xb5$20 OFF TODAY ONLY\xf0\x9f\x8e\xb5\nI'm Alex! I write personalized songs for you/a loved one/an oc! These make really great, long-\xe2\x80\xa6 https://t.co/5rhomOs5vt"""
1065980887463006209,2018-11-23 14:50:23,b'RT @starkdear: IM SCREAMING LMFAOOO https://t.co/JRxdDACc0h'
1065871550673559552,2018-11-23 07:35:55,"b""@ThatScarletMoth That's a Good Question. i'm sure my Real Mom Shelbert will approve of her anyway but here we are"""
1065857432809889793,2018-11-23 06:39:49,b'YOOOO NOT TO BE GAY ON MAIN BUT LEGIT AS SOON AS MELLIE AND I STARTED DATING MY DAY GOT REALLY JUST A WHOLE LOT BETTER'
1065818877253292032,2018-11-23 04:06:36,"b""( also to mads and joa and toki who are all fucking awesome friends who i don't talk to anymore because cursed crit\xe2\x80\xa6 https://t.co/M7ICR8nUtN"""
1065818655383015425,2018-11-23 04:05:44,b'i am also thankful for my must be fey-t friends who i love and look forward to talking to on saturday mornings! i g\xe2\x80\xa6 https://t.co/IC6gukJQYd'
1065818443482566656,2018-11-23 04:04:53,b'@Anti_Cabbage THANK YOU'
1065810967345414144,2018-11-23 03:35:11,"b'@parleyparlor thank you, Queen.'"
1065803514486685696,2018-11-23 03:05:34,b'RT @JustinMcElroy: This episode also includes the WORLD EXCLUSIVE announcement of The Worst Idea of All Time: Season 4 https://t.co/dcAApSR\xe2\x80\xa6'
1065803425433247744,2018-11-23 03:05:12,"b""it's important for me to tell you that this is Not a goof! i do have a girlfriend, they're great, and very Smart"""
1065802121604472832,2018-11-23 03:00:02,b'i am happy to announce that i Do have girlfriend now. who is brilliant and lovely and also My Girlfriend.'
1065744958542553088,2018-11-22 23:12:53,"b""there's little / no fanart of demon amanda based off of the cult ending of ddadds and i GUESS i gotta do this shit MYSELF"""
1065741820271960064,2018-11-22 23:00:25,b'ONCE AGAIN MY BIRTHDAY IS DECEMBER 10TH https://t.co/MdkIkzNCMD'
1065735780402909185,2018-11-22 22:36:25,b'https://t.co/L2ZLYEeDtQ'
1065731746627534849,2018-11-22 22:20:23,"b""it's time for the return of my favorite holiday layout ever, and by that i just mean my header, which i put up ever\xe2\x80\xa6 https://t.co/2J4uzLfSgS"""
1065731520994963463,2018-11-22 22:19:29,b'@shonenlesbian @genkaiko @mustangsart @thirtyskeletons https://t.co/4fseW18v3d'
1065730847901446144,2018-11-22 22:16:49,b'AGGRESSIVELY JINGLES MY BELLS'
1065730102603014154,2018-11-22 22:13:51,"b""YOU PEOPLE CAN'T STOP ME FROM BEING CHRISTMAS ON MAIN NOW"""
1065727942523793408,2018-11-22 22:05:16,b'RT @vintagespooky: Happy Thanksgiving \xf0\x9f\xa6\x83 https://t.co/6R4Dg9pX1O'
1065727605821849600,2018-11-22 22:03:56,b'RT @peepeeplayhouse: if i doant get my dinre soone. ... ime Gona Misbahave'
1065727481590747138,2018-11-22 22:03:26,b'RT @peepeeplayhouse: g'
1065726945902632961,2018-11-22 22:01:18,b'RT @PrinceSomnio: Rana Liu\nA gunslinger-class lightning elemental who left her town to bring her weapon-smithing skills across the nations.\xe2\x80\xa6'
