id,created_at,text
1061612399424389120,2018-11-11 13:31:34,"b'RT @ThuliMadonsela3: Life\xe2\x80\x99s chances don\xe2\x80\x99t end at second chances. We have a third, forth, fifth and many more chances as long as we are stil\xe2\x80\xa6'"
1061611889216626689,2018-11-11 13:29:32,b'At long last!!!!!!! https://t.co/dDPTKOqoAS'
1061575686547259393,2018-11-11 11:05:41,b'I wanna run to you'
1061315931949932545,2018-11-10 17:53:31,"b'Good Company, Good Music, Bubbly and a decent Conversation goes a long way.'"
1054252737846751232,2018-10-22 06:06:54,"b'RT @MaSisulu100: Walter Sisulu, Archbishop Desmond Tutu &amp; Albertina Sisulu celebrate Walter\xe2\x80\x99s release from Robben Island.\n\nThe Sisulus were\xe2\x80\xa6'"
1052657248957292544,2018-10-17 20:27:00,b'RT @MMacmoto: The One Thing That Make Wits Students Different From These Other Universities Is The Ability To Think Critically And Take Inf\xe2\x80\xa6'
1052653941702443008,2018-10-17 20:13:51,"b""@SASCO_Wits I'm so proud of your achievements comrades. You have shown the capability of shaking the ground. Now th\xe2\x80\xa6 https://t.co/pwg0Kh2R4n"""
1052653237034201088,2018-10-17 20:11:03,b'The comrades have reclaimed their home ground by full force. Godukani maqabane niphate!!! \xe2\x9c\x8a\xe2\x9c\x8a\xe2\x9c\x8a\n#WitsPYA13'
1049951637593313282,2018-10-10 09:15:52,"b""It's been 4 years this month Eversince I've been diagnosed with depression and anxiety disorder and this day just h\xe2\x80\xa6 https://t.co/VWydZXwamC"""
1049629307327442945,2018-10-09 11:55:02,"b"". Yes, we all have our problems but mental health in institutions will never be an administrative issue it's in fac\xe2\x80\xa6 https://t.co/gAQdxXZUq1"""
1049629104180473856,2018-10-09 11:54:14,"b"". Anywho take care of those around you\n. It's YOU before anything or anyone\n. Don't let anyone make you feel like y\xe2\x80\xa6 https://t.co/hc8KAeBWIf"""
1049629099445157888,2018-10-09 11:54:13,b'Also this administrative issue of just expecting a student to pack their bags and move out of res just because they\xe2\x80\xa6 https://t.co/zuwMWt8fl1'
1049629094571323392,2018-10-09 11:54:11,"b'just because they want to defer etc due to their ""laziness"". Sometimes it\'s hard for one to even get out of bed and face toxic environments.'"
1049629091681447936,2018-10-09 11:54:11,"b'UCT kawume maaan.... People are losing their lives left, right and centre especially during this crucial time of th\xe2\x80\xa6 https://t.co/mKkolkvraG'"
1049047387484946432,2018-10-07 21:22:42,b'When October and November is already canceled. https://t.co/m1XeVp7YaO'
1041651142181236736,2018-09-17 11:32:39,"b'As SASCO we are members of the community before we are students. We commit ourselves to a non racial, non sexist an\xe2\x80\xa6 https://t.co/CLI4oZWf2n'"
1040271008282947584,2018-09-13 16:08:30,b'@sasco_uct @SASCO_Jikelele  \xf0\x9f\x92\xaf\xe2\x9c\x8a\xe2\x9c\x8a'
1030101692338122752,2018-08-16 14:39:16,b'Rest Easy you QUEEN. Your legacy will live on. LEGENDS be leaving us everyday \xf0\x9f\x92\x94. #ArethaFranklin\xe2\x80\xa6 https://t.co/4EunAyoyIj'
1004485876632772608,2018-06-06 22:11:10,b'Umgowo\xf0\x9f\x98\x92'
1004289451605086209,2018-06-06 09:10:38,"b'They can\'t just rename a person they\'ve ""isolated"" after an isolated and surprisingly unknown ""international airport"" angeke nje.'"
1004288534214307840,2018-06-06 09:06:59,"b""They are seriously shooting themselves in the foot ahead of the 2019 elections and they're just increasing the dark\xe2\x80\xa6 https://t.co/WY03MEQwPw"""
1004287031156109318,2018-06-06 09:01:01,"b""I love my party and all but this time they have missed the whole narrative. I disagree with what they're doing and\xe2\x80\xa6 https://t.co/aKR3j2m8Ez"""
997411942078828545,2018-05-18 09:41:52,b'RT @ThuliMadonsela3: Never lose your temper because someone will find it and use it against you'
983027956384747520,2018-04-08 17:05:03,"b""Jill Scott and Erykah Badu I can't ask for more on a Sunday night\xf0\x9f\x98\x8d"""
980230477893300224,2018-03-31 23:48:52,b'Insomnia.... Oh dearest insomnia....'
945393126159593472,2017-12-25 20:37:40,b'Robbie Malinga gone too soon. The South African music industry has lost such a great giant and musical genuis. He w\xe2\x80\xa6 https://t.co/HzjMWbcRk6'
943422107983245313,2017-12-20 10:05:33,b'This festive season is just a drain  nje\xf0\x9f\x98\x8f'
