id,created_at,text
1067099528942235648,2018-11-26 16:55:28,b'@xoLadyArchangel OH SHIT THATS RIGHT FUCK I FORGOT TWITCH CON. WELP FRIDAY'
1067098754883493888,2018-11-26 16:52:23,b'See u Wednesday https://t.co/dWcF7oelDB'
1067092680340054016,2018-11-26 16:28:15,b'@dmpeyer FUCK YESSS'
1067091284060446720,2018-11-26 16:22:42,b'@StereoAbs He mentally and sexually abused me for 2 years. But yeah sure. He\xe2\x80\x99s a fun dude.'
1066923485610606592,2018-11-26 05:15:56,b'This woman is my spirit animal https://t.co/o77K4Y2Q4c'
1066921620097384448,2018-11-26 05:08:31,b'@Meg_Kaylee I\xe2\x80\x99ve been trying for him FOREVER. Game won\xe2\x80\x99t give him! I\xe2\x80\x99ve got others but not the blue ducky'
1066887340998750208,2018-11-26 02:52:18,b'@okayLJ Dude you have nooooo ideaaaaaa.'
1066872610531758080,2018-11-26 01:53:46,"b'So I got your message, are you having fun?\nWith your fugly girlfriend? I\xe2\x80\x99ve moved on. https://t.co/zLHw6i70Ss'"
1066850022267002881,2018-11-26 00:24:01,b'@Zackaryathe1st @Dilfix I\xe2\x80\x99ve got him blocked on every social media. And then he followed me on tik tok. Dudes got no sense of boundaries'
1066828097838698496,2018-11-25 22:56:53,b'Me rn https://t.co/xaQRon1i3C'
1066825952834007041,2018-11-25 22:48:22,b'@Courrtana Omw'
1066821370208768001,2018-11-25 22:30:09,b'@TwitchAnchor I mean better late than never. Idk why he keeps trying to be in my life'
1066820323658600448,2018-11-25 22:26:00,b'For those wondering; this is my psychotic ex who followed me on tik tok today. LOL. https://t.co/VYFj3jLN8D'
1066819717678145537,2018-11-25 22:23:35,b'ACTUALLY CRYING. BWAHAHAH. ONLY TOOK HIM 3 YEARS TO FINALLY FUCK OFF https://t.co/Um8UCsxq13'
1066811686512930817,2018-11-25 21:51:41,b'Booker got a sweater. https://t.co/rJYFdp2QOf'
1066810360219516928,2018-11-25 21:46:24,b'@SJSchauer My boys https://t.co/IBkiI8OEV8'
1066784550234320900,2018-11-25 20:03:51,b'I\xe2\x80\x99m a mother fucking woman baby https://t.co/ncgUQUawxM'
1066775226476888066,2018-11-25 19:26:48,b'@brandontwray 1. He doesn\xe2\x80\x99t have social media\n2. I\xe2\x80\x99m a big girl. I can handle my shit'
1066759723519741954,2018-11-25 18:25:12,"b'@_LikeTheSauce We\xe2\x80\x99ve been broken up over 3 years. Last year July I had to tell him not to follow me on twitch, and\xe2\x80\xa6 https://t.co/BtZVNYRpTz'"
1066759476877897729,2018-11-25 18:24:13,"b""RT @Mancaptainpokey: @SilentUschi That's a yikes from me dawg https://t.co/JCgCs9n0Ip"""
1066755525910646786,2018-11-25 18:08:31,b'I unblock my ex to tweet at him to check his DMs so I can move this whole thing along. First thing on his page? Fur\xe2\x80\xa6 https://t.co/NWNrRHbMiZ'
1066755215804833793,2018-11-25 18:07:17,b'@Dilfix go check your Instagram DMs.'
1066751668514156544,2018-11-25 17:53:11,b'@Purplecliffe This is my boyfriend every Sunday LOL'
1066751306889658369,2018-11-25 17:51:45,b'How early is too early to drink?'
1066746433112551425,2018-11-25 17:32:23,b'@Rayhallax Because he\xe2\x80\x99ll just find the next social media I haven\xe2\x80\x99t blocked him on and do it again.'
1066746118434893825,2018-11-25 17:31:08,b'Guess who has to unblock her abusive crazy ex to fucking tell him off because he followed her on tik tok. REE'
1066740114091585537,2018-11-25 17:07:16,b'If you\xe2\x80\x99re going to message me for business related stuff please actually have a business plan set up. I\xe2\x80\x99m not going\xe2\x80\xa6 https://t.co/7SjISh4R9X'
1066569930802380800,2018-11-25 05:51:02,b'My buzz has worn off. I\xe2\x80\x99m tired and I wanna go to home https://t.co/Fj2lX9cnx6'
1066550216789278720,2018-11-25 04:32:41,b'We\xe2\x80\x99re drunk btw https://t.co/7IvmKLmffd'
1066549222269493249,2018-11-25 04:28:44,b'Help https://t.co/h0iBjepgi9'
1066536019812589569,2018-11-25 03:36:17,b'I\xe2\x80\x99m out drinking at a friends house and I miss my cat'
1066482056841056262,2018-11-25 00:01:51,b'@SJSchauer We just bought my cat a sweater. Will show tomorrow.'
1066464265958240257,2018-11-24 22:51:09,b'Yummy https://t.co/qLQwdqxwqO'
1066412136094552064,2018-11-24 19:24:00,b'@randomgerm101 Welcome back to sober land'
1066412076636258315,2018-11-24 19:23:46,b'@xiiihearts @MissAliCatt @TheHaleyBaby @dmpeyer @TheSherb @ItsKengu @Zozofrg https://t.co/6VQqMSpvFi'
1066350592761712640,2018-11-24 15:19:27,b'I\xe2\x80\x99m probably not going to stream today. Probably just gonna sleep relax. If I do stream no cam. I\xe2\x80\x99m so exhausted af\xe2\x80\xa6 https://t.co/WDUG010gKl'
1066186308404547584,2018-11-24 04:26:39,b'I\xe2\x80\x99m seriously so grateful for each one of my friends. You are all such amazing humans. Seriously. My heart has neve\xe2\x80\xa6 https://t.co/cFVg9VGM7q'
1066184201257521152,2018-11-24 04:18:16,b'Hi! Go follow/lurk in my friend @RHosage twitch! He\xe2\x80\x99s trying for affiliate!!\nhttps://t.co/D5IqTkf7Hb'
1066183626553987072,2018-11-24 04:15:59,b'Go watch as I fill in as the best co-host ever. *ahem* @randomgerm101 https://t.co/oXmCCMTk2E'
1066178380586983424,2018-11-24 03:55:09,b'Daily I love @RaebeillaLOL tweet.'
1066141253329453056,2018-11-24 01:27:37,b'@Fikuwu It was fun! Even though we were a mess. It was super fun to meet you! Let\xe2\x80\x99s play casuals to chill you out after a tilting game'
1066116030479691779,2018-11-23 23:47:23,b'Update I bought both. Someone send me $ so I can eat LOL https://t.co/tvrcaB2HWC'
1066107204372185096,2018-11-23 23:12:19,b'I\xe2\x80\x99m not rich rn. I kinda want both. But picks one\n1.                                 2. https://t.co/1QQgnXhLIz'
1066027877945225221,2018-11-23 17:57:06,b'If you dress like a Pok\xc3\xa9mon the shinys are more likely to appear. @ZoneGG \nhttps://t.co/h5uyiYB9He https://t.co/ecEgytcVKE'
1066026557205032961,2018-11-23 17:51:51,b'My Christmas gift is a new Xbox one S. YEET! I love my day one but she uh she makes some noises.'
1066024911532163073,2018-11-23 17:45:19,b'@RHosage @itzgoldfsuion I\xe2\x80\x99ll be live in 15. Subs get Pok\xc3\xa9mon named after them :3'
1066022548998111232,2018-11-23 17:35:56,b'@itzgoldfsuion Yup \xf0\x9f\x91\x80'
1066011572038975493,2018-11-23 16:52:18,b'@EvosaintSilentX @FoxySongbird @Tweet4nita uschiHug'
1066011444448235521,2018-11-23 16:51:48,b'So I figured out how to connect the switch to my set up. Pok\xc3\xa9mon stream today?'
1065846172387082240,2018-11-23 05:55:04,b'I kinda wanna go for shiny sandshrew(slash) or for gengar. Hep https://t.co/T1PEyLWfmq'
1065838858774945792,2018-11-23 05:26:00,b'Huge shoutout to @dmpeyer for helping me complete my Pok\xc3\xa9dex! Time to shiny hunt https://t.co/uI32X12vPF'
1065747221231136768,2018-11-22 23:21:52,b'RT @ArianaGrande: Ellen is an incredible &amp; kind human being.. I use my talent AND my sexuality all the time because i choose to. women can\xe2\x80\xa6'
1065715895631298562,2018-11-22 21:17:24,b'@brandontwray I know there are exclusives I need to trade for'
1065715549420904451,2018-11-22 21:16:01,b'@Rayhallax @Ampharos95 @DuffyGoesRawr @Courrtana @RaebeillaLOL @HxkagePapi @KawaiiTotodile @eSportsPhoenix @MTNLSS\xe2\x80\xa6 https://t.co/MO1TYs194k'
1065674413268500486,2018-11-22 18:32:34,b'@GamrEnchantment Humans'
1065653629523238913,2018-11-22 17:09:58,b'We got booker a mat for laying outside our door and uh https://t.co/42MBfHbZIy'
1065491328635715585,2018-11-22 06:25:03,b'This is the list of Pok\xc3\xa9mon I still need. Let\xe2\x80\x99s get it. https://t.co/Ng6wjLP8oU'
1065473867311972354,2018-11-22 05:15:40,b'@RHosage @itzgoldfsuion AAAHHH'
1065438823839137792,2018-11-22 02:56:25,b'Ty to @itzgoldfsuion for the extra shinys \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d'
1065417740868116480,2018-11-22 01:32:38,b'@itzgoldfsuion @dmpeyer I\xe2\x80\x99m trying to fill up. 100 so far.'
1065417199614074881,2018-11-22 01:30:29,b'@itzgoldfsuion I\xe2\x80\x99m also working on getting a full dex. Thank god for @dmpeyer catching me extras for when I\xe2\x80\x99m further along'
1065415749899087872,2018-11-22 01:24:43,b'@itzgoldfsuion Now pray I get out of this thanksgiving soon'
1065415462773772288,2018-11-22 01:23:35,b'@itzgoldfsuion I\xe2\x80\x99m not home yet either. I\xe2\x80\x99m down in 45 ish?'
1065415018118897669,2018-11-22 01:21:49,b'@itzgoldfsuion https://t.co/u2Q5xSQ9ej'
1065414764187303937,2018-11-22 01:20:48,b'@itzgoldfsuion You\xe2\x80\x99d give me one?'
1065410310658580481,2018-11-22 01:03:07,b'@CaptainBanshee I want it baaaad. It\xe2\x80\x99s between that and jolteon'
1065391883357167616,2018-11-21 23:49:53,b'@randomgerm101 Already had some. It\xe2\x80\x99s not well with my meds and I\xe2\x80\x99m ready to pass out.'
1065390828334579712,2018-11-21 23:45:42,b'@RHosage I\xe2\x80\x99m hiding in the bathroom. Help'
1065390622859804672,2018-11-21 23:44:53,b'@xiiihearts Get well love'
1065390570087043072,2018-11-21 23:44:40,b'Dains upset that I\xe2\x80\x99m not making small talk with his stepdads family but news flash: I don\xe2\x80\x99t even do that with my ow\xe2\x80\xa6 https://t.co/ASlUQg3Evq'
1065374469479378945,2018-11-21 22:40:41,b'@Rayhallax He said that\xe2\x80\x99s some cute shit'
1065368801573777408,2018-11-21 22:18:10,b'@eSportsPhoenix A shiny you goof'
1065364374985031680,2018-11-21 22:00:35,b'Should he become vaporeon or jolteon?! https://t.co/j52Vdgkl6C'
1065360375703572491,2018-11-21 21:44:41,"b'Walked into a grassy area, popped a lure for a dragonite spawn and UH WHAY?!? https://t.co/firRYYv5Wq'"
1065150939995217920,2018-11-21 07:52:28,b'Tell me why vulpix has a 20% spawn rate on route 5 BUT IVE NEVER SEEN IT AND IVE SEEN ABRAS'
1065106891028733952,2018-11-21 04:57:26,b'@Fikuwu We legit bout to make an online one'
1065065885017231360,2018-11-21 02:14:29,b'Want to see more of my cosplays? \nhttps://t.co/3Qd4EMynHq\n(I post behind the scene and cool stuff at the $20 and up\xe2\x80\xa6 https://t.co/uayG0XU3rC'
1064972911163908099,2018-11-20 20:05:02,b'Sorry for the short stream today. Not in a good mental. Makes it hard. Ily guys. See you Friday with a better mental'
1064954960780111872,2018-11-20 18:53:43,b'@Araslay_Goon Dead serious dude. I\xe2\x80\x99m sick of my group'
1064954547888693248,2018-11-20 18:52:04,b'@Araslay_Goon I\xe2\x80\x99m thinking of doing it on roll20?! \xf0\x9f\x91\x80'
1064947921920106497,2018-11-20 18:25:45,b'@misshonoredxx I just signed up with roll20 but idk how to use it you\xe2\x80\x99ll have to teach a homie'
1064946194458312704,2018-11-20 18:18:53,b'Comfy vibes only. @ZoneGG \nhttps://t.co/h5uyiYB9He https://t.co/zH8SPUSt31'
1064939045468413953,2018-11-20 17:50:28,b'I\xe2\x80\x99m gonna need a few before stream I\xe2\x80\x99m so heated about my shitty DnD group'
1064937680662904832,2018-11-20 17:45:03,b'One of our members just left because I spat truth at him. Never liked him anyway. https://t.co/IVsdxPXKIa'
1064931101821607936,2018-11-20 17:18:54,b'My DnD group is pissing me the fuck off. They\xe2\x80\x99ve done 2 sessions without myself and Dain and we had one planned ton\xe2\x80\xa6 https://t.co/fzRc6SLDZP'
