id,created_at,text
1066913386993086464,2018-11-26 04:35:48,"b'RT @ParkerMolloy: @ChrisCuomo Hey Chris, which party was it that refused to take up the bill that passed the Senate in 2013? https://t.co/F\xe2\x80\xa6'"
1066913135095832576,2018-11-26 04:34:48,"b'RT @owillis: by hosting people like corey lewandowski, a known liar? dems have repeatedly proposed solutions to the issue. the gop has said\xe2\x80\xa6'"
1066911756809732101,2018-11-26 04:29:19,"b'RT @DrChaya: Once again will you DO anything? Or just put this statement out? You failed to act on legislation to protect Mueller, you have\xe2\x80\xa6'"
1066911700790607872,2018-11-26 04:29:06,"b'RT @DrCat4ME: I am running to represent the people of Maine - government of the people, by the people FOR the people. My announcement: http\xe2\x80\xa6'"
1066911605835755520,2018-11-26 04:28:43,"b""RT @SoCalJoy: @SenatorCollins Hi Senator, just wanted to update you...My second monthly donation  to Dr. Cathleen London's campaign was pai\xe2\x80\xa6"""
1066911014896058368,2018-11-26 04:26:22,"b""RT @Monte_Alto: \xf0\x9f\x94\xa5BREAKING: I wouldn't have run across this were it not for the #BorderShutdown #BS but I wanted to share it. \nPlease watch\xe2\x80\xa6"""
1066910584203923457,2018-11-26 04:24:40,b'RT @GadiNBC: Remember that picture of fortified border #POTUS tweeted showing barbed wire wrapped around a fence? Here at the ocean it only\xe2\x80\xa6'
1066909622064168962,2018-11-26 04:20:50,b'RT @PSYCH_HYPE: We\xe2\x80\x99re gassing babies at the border.\n\nThis is Trump\xe2\x80\x99s America. https://t.co/Dbew75bHs9'
1066909589772226560,2018-11-26 04:20:43,b'RT @johniadarola: @realDonaldTrump None of this is true.'
1066909527004504064,2018-11-26 04:20:28,"b'@bmangh My guess? Yes, if it benefitted him in some way.'"
1066909054075777024,2018-11-26 04:18:35,b'RT @SethAbramson: 3/ The kicker:\n\n1. Prince lied about his contact w/ an assassination-scheme chief.\n2. Jr. lied about his contact w/ an as\xe2\x80\xa6'
1066909038552657921,2018-11-26 04:18:31,"b""RT @SethAbramson: 2/ The article linked to here is from 8 months ago\xe2\x80\x94and became *vital* context the moment we learned of Khashoggi's murder\xe2\x80\xa6"""
1066908978741829632,2018-11-26 04:18:17,"b""RT @SethAbramson: 1 of the 4 men who runs the assassination scheme responsible for Khashoggi's murder met a Trump envoy in the Seychelles i\xe2\x80\xa6"""
1066908375336673280,2018-11-26 04:15:53,"b""RT @lizfones: @brianschatz And why was @msnbc's defense correspondent so well placed to cover it? Almost like journalists were tipped off t\xe2\x80\xa6"""
1066908361323503617,2018-11-26 04:15:50,"b'RT @lizfones: @brianschatz @MSNBC And so there they were slavishly showing a clip of refugees becoming agitated on an endless loop, complet\xe2\x80\xa6'"
1066908304847196161,2018-11-26 04:15:36,"b""They're up! https://t.co/bs16TSsCWI"""
1066906123406438401,2018-11-26 04:06:56,b'RT @brianschatz: WHO GAVE THE ORDER?'
1066906062438035457,2018-11-26 04:06:42,b'RT @neeratanden: @ChrisCuomo You do realize that solid majorities of Americans support comprehensive immigration reform and we\xe2\x80\x99ve had more\xe2\x80\xa6'
1066905996507832322,2018-11-26 04:06:26,b'RT @wvjoe911: Ayn Rand raged against government benefits \xe2\x80\x94 but grabbed Social Security and Medicare when she needed them https://t.co/NtY3f\xe2\x80\xa6'
1066905840974684160,2018-11-26 04:05:49,"b""@existentialfish She's right! At this very moment, there is a bunch of ice in my glass. Would there be ice in my gl\xe2\x80\xa6 https://t.co/4JKyfLBVFU"""
1066905437730070528,2018-11-26 04:04:13,"b'RT @existentialfish: Right-wing panelist on Meet the Press on climate change: ""I\'m not a scientist ... We need to also recognize we had two\xe2\x80\xa6'"
1066905138311290880,2018-11-26 04:03:01,"b'@Fled81 @Scooterstation @Annie_Rose23 *english \xf0\x9f\xa4\xaa\xf0\x9f\xa4\xa3\nTry ""English"" instead.'"
1066904655253299200,2018-11-26 04:01:06,b'RT @Annie_Rose23: Residents + local business owners from #Tijuana begin to riot as federal police try to calm them - the border crossing ha\xe2\x80\xa6'
1066904575595110400,2018-11-26 04:00:47,b'RT @Annie_Rose23: Current Situation: Migrants broke through this wooden fence to try and cross into the US via the train tracks and are now\xe2\x80\xa6'
1066904466622865408,2018-11-26 04:00:21,b'RT @JohnFugelsang: For I was a stranger &amp; you tear-gassed me\nI asked for asylum &amp; you stole my children\nI fled violence in my country from\xe2\x80\xa6'
1066904303846080512,2018-11-26 03:59:42,b'RT @TheRynheart: \xe2\x80\x98RICK SANTORUM AGREES WITH TRUMP THAT RAKING WOULD HAVE PREVENTED CALIFORNIA WILDFIRES\xe2\x80\x99\n\n@RickSantorum \xf0\x9f\x99\x84\n\nhttps://t.co/hNF\xe2\x80\xa6'
1066904073285197825,2018-11-26 03:58:47,"b'RT @JoyceWhiteVance: 2/2  you find financial misconduct involving Russia, China &amp; Saudi. Prosecutors must have the ability to follow the ev\xe2\x80\xa6'"
1066904061411119104,2018-11-26 03:58:45,"b""RT @JoyceWhiteVance: 1/2 This helps us understand why Rod Rosenstein gave Mueller authority to investigate links between Trump's campaign &amp;\xe2\x80\xa6"""
1066904029354065920,2018-11-26 03:58:37,"b""RT @amjoyshow: .@JillWineBanks: You mentioned Russians &amp; what #Trump might owe to them, how they might be the reason he's acting this way.\xe2\x80\xa6"""
1066903542454079489,2018-11-26 03:56:41,b'RT @joshchafetz: We ... just attacked Mexico? https://t.co/EZGg4kRryn'
1066902760803590145,2018-11-26 03:53:34,b'https://t.co/0Db79m1kam'
1066829024964435968,2018-11-25 23:00:34,b'RT @jacobsoboroff: Trump administration just closed the world\xe2\x80\x99s *busiest* land border crossing in response to a protest over the internatio\xe2\x80\xa6'
1066799791495991296,2018-11-25 21:04:25,b'RT @byronesk: @realDonaldTrump The Trump Foundation - just another criminal enterprise from the #TraitorousPuppet and his misbegotten spawn\xe2\x80\xa6'
1066799628656373760,2018-11-25 21:03:46,"b'RT @HowardA_Esq: @realDonaldTrump Meanwhile, your ""foundation"" is being sued by New York for being a fraudulent cover. You are a criminal,\xe2\x80\xa6'"
