id,created_at,text
289434259226234880,2013-01-10 18:11:19,b'\xe8\x8b\xb1\xe5\x80\xab\xe5\xb0\x8f\xe6\x98\x9f\xe5\x85\x89_\xe5\xb0\x8f\xe5\xba\xb7\xe5\xa6\xaeConnie Talbot\xe3\x80\x8aBeautiful World \xe7\xbe\x8e\xe9\xba\x97\xe6\x96\xb0\xe4\xb8\x96\xe7\x95\x8c\xe3\x80\x8b\xe7\xb9\x81\xe4\xb8\xad\xe5\xae\x98\xe6\x96\xb9\xe5\x85\xa8\xe6\x9b\xb2MV: \xe8\x8b\xb1\xe5\x80\xab\xe5\xb0\x8f\xe6\x98\x9f\xe5\x85\x89\xe5\xb0\x8f\xe5\xba\xb7\xe5\xa6\xaeConnie Talbot 2012\xe6\x9c\x80\xe6\x96\xb0\xe5\xb0\x88\xe8\xbc\xafBeautiful World \xe7\xbe\x8e\xe9\xba\x97\xe6\x96\xb0\xe4\xb8\x96\xe7\x95\x8c{\xe4\xbe\x86\xe5\x8f\xb0\xe6\xbc\x94\xe5\x87\xba\xe5\xa4\xa7... http://t.co/IaaFBvyz'
289432586755923968,2013-01-10 18:04:40,"b""Top Met Officer Guilty Over 'Cash For Leaks'. http://t.co/6czYjWzJ"""
289432585904484352,2013-01-10 18:04:40,b'Worst Car Crash in Iran - YouTube.flv http://t.co/TXtqoAFc'
289432584922992641,2013-01-10 18:04:40,b'Sworn to Silence (2013) http://t.co/qyf3e7Gc'
289432584046383104,2013-01-10 18:04:40,b'Refuzer - Fuck The Police State http://t.co/ejoF7hOp'
289432583253680130,2013-01-10 18:04:39,b'90 minutes enqu\xc3\xaates Petite d\xc3\xa9linquance quand la police veille sur la ville http://t.co/qdNvbKm6'
289421816617902080,2013-01-10 17:21:52,b'\xd0\xa0\xd0\xb5\xd0\xba\xd0\xbb\xd0\xb0\xd0\xbc\xd0\xb0 888 poker \xd0\xb2 \xd0\xa0\xd0\xbe\xd1\x81\xd1\x81\xd0\xb8\xd0\xb8 http://t.co/S9RpRpdE'
289421815837777921,2013-01-10 17:21:52,b'LA PERA 09 // Guille Placencia &amp; George Privatti &amp; Carlos Perez http://t.co/sIaL48DR'
289421814810165248,2013-01-10 17:21:52,b'kyle wauters scandal 2013 sex show wi/mn usa http://t.co/2BXjoFeU'
289421813631569920,2013-01-10 17:21:52,b'Deadly Bug Sex...!! http://t.co/QswYdssM'
289421812637507585,2013-01-10 17:21:51,b'Young. | a german jiley story| part eins. http://t.co/JPk35nmg'
