id,created_at,text
1067037104767528961,2018-11-26 12:47:25,b'Tak mampu tgk sampai habis. Sebab sebak jugak. Hmm https://t.co/bzKsh3IYLY'
1067036581834309632,2018-11-26 12:45:20,b'RT @makloubae: Close your eyes and listen to this\xe2\x80\x94 so beautiful mashallah https://t.co/8RAEqRdFPl'
1067034907963088897,2018-11-26 12:38:41,b'@SyeddSyafiq Ok syed. Pasal pindah taktau camne sbb member aku kat kilang aku sorg nak tolong teman gak dia kata sbb dulu dia duk hostel tu'
1067033265108791297,2018-11-26 12:32:09,"b""RT @faizalhamssin: The Amazon is literally the Earth's pair of lungs. By far, the world's largest rainforest. 5.5 million sq km. Supplies u\xe2\x80\xa6"""
1067032969347399682,2018-11-26 12:30:59,"b'RT @brgsjks: Bincangkan, dan hayatilah. https://t.co/fREOmXmSn2'"
1066992290835521537,2018-11-26 09:49:20,b'@SyeddSyafiq \xf0\x9f\x99\x84'
1066992118147645440,2018-11-26 09:48:39,b'@SyeddSyafiq Tak payah buat. Kita dah member.'
1066988929251913728,2018-11-26 09:35:59,b'@SyeddSyafiq Tulah kalau member payung sedap jugak ni'
1066988020413292545,2018-11-26 09:32:22,"b'RT @IqbalSheikhAli: you say you love clingy girls until you meet one that needs attention, affection and reassurance. Then you start saying\xe2\x80\xa6'"
1066986733298806784,2018-11-26 09:27:15,b'RT @ToneFlvcko_: RT if you never seen this a day in your life lol https://t.co/xjWla2lMpu'
1066986372370579456,2018-11-26 09:25:49,b'Hai syed nampak sedap la syed. Em https://t.co/LEkJC56x9v'
1066985271760056320,2018-11-26 09:21:27,"b'RT @AshrafAriff: Boyfriend i every week belikan i duck scarf because he said i deserve it.\n\nIf you have vagina, use it wisely \xf0\x9f\x98\x89 \xe2\x80\x94 Exactly.\xe2\x80\xa6'"
1066917556101931010,2018-11-26 04:52:22,b'Ei malasnya'
1066916238561968128,2018-11-26 04:47:08,b'RT @LowkeyNerdyOG: shhhhhhh they\xe2\x80\x99re sleeping https://t.co/cY00xyANoX'
1066916132697698304,2018-11-26 04:46:43,b'RT @ssofiasfl: Aku rasa dia ni suneo in reality lah \xf0\x9f\xa4\xa3 https://t.co/DbeUtyXLIw'
1066915476956078081,2018-11-26 04:44:06,"b""RT @dodo: This elephant mom wouldn't stop crying until rescuers figured out what she wanted \xf0\x9f\x90\x98\xe2\x9d\xa4\xef\xb8\x8f https://t.co/MjVHDZN55B"""
1066912759642607616,2018-11-26 04:33:18,"b'RT @aimiashri: *in the car at petronas*\n\nadik: kenapa time musim sejuk, helicopter selalu terhempas\nme: sebab langgar ais\nadik: salah\nme: h\xe2\x80\xa6'"
