id,created_at,text
398649662565265408,2013-11-08 03:14:20,"b""So apparently you're a doctor and are able to diagnose me with depression and bipolar disorder? Wow when the fuck did that happen?"""
390527689918259200,2013-10-16 17:20:31,b'RT @codyjohnathan: straight guys that hate gays but are turned on by lesbians'
390332283011743745,2013-10-16 04:24:02,b'I just want you to talk to me is that so damn hard'
390331336449613825,2013-10-16 04:20:17,"b'RT @codyjohnathan: got me wrapped around your finger, do you have to let it linger'"
388552301847539713,2013-10-11 06:31:02,b'Definitely think a spider bit me during coitus'
385112390343593984,2013-10-01 18:42:03,b'RT @nicolejenna39: One Headlight - The Wallflowers &gt;&gt;&gt;&gt;'
383988873317339136,2013-09-28 16:17:36,b'And then you ask me to stay an extra hour? Yeeeeah no'
383983814231736320,2013-09-28 15:57:30,"b""Do not even tell me you're going to let me leave 2 1/2 hours early and then take it back. That's cruel."""
383960038584627200,2013-09-28 14:23:01,b'Do not take adderall and stay up all night partying when you have work at 8 in the morning #whydoimakestupiddecisions'
383723562710085633,2013-09-27 22:43:21,"b""Don't tease me like that because I will take you seriously."""
383386774401470465,2013-09-27 00:25:04,"b'RT @LifeAsStoner: I smoke two joints in time of peace, and two in time of war. I smoke two joints before I smoke two joints, and then I smo\xe2\x80\xa6'"
381208753426927616,2013-09-21 00:10:23,"b'@nicolejenna39 not even shitting you right now, just saw Chris (kohls LP) at the mall lolol'"
380088568322228224,2013-09-17 21:59:11,b'@Btflly_Rcklssxo okay see you soooooon \xe2\x9d\xa4\xf0\x9f\x92\x9b\xf0\x9f\x92\x9a'
380087246986424320,2013-09-17 21:53:56,b'@Btflly_Rcklssxo I think we should run out and get stuff to drink and possibly munch on at some point!'
380087038365929472,2013-09-17 21:53:06,"b""@Btflly_Rcklssxo I'm up for any of that. Killer bunnies is at beeges so if he doesn't hang out and you wanna play well have to swing by."""
380041883869011968,2013-09-17 18:53:40,"b""@Btflly_Rcklssxo can't wait to see you tonight! :D what do you wanna dooooo"""
379654698032431104,2013-09-16 17:15:08,b'RT @codyjohnathan: people who actually make the effort to make you feel wanted are the people you want to keep in your life'
379654569351188480,2013-09-16 17:14:37,"b""I seriously hope you're not doing coke because that puts me in a very difficult position \xf0\x9f\x92\x80"""
379448967454818304,2013-09-16 03:37:38,b'When did I become so alone? When can I finally feel wanted?'
379439333146918912,2013-09-16 02:59:21,"b""It's been two days and you've already reverted back to the selfishness. Disappointment is not a good feeling."""
378756361880104960,2013-09-14 05:45:28,"b""I just want to be okay and you're taking that from me."""
376220461849640960,2013-09-07 05:48:42,b'I am way too drunk for my own good yay autocorrect for knowing what I wanna say \xf0\x9f\x98\x8d\xf0\x9f\x98\x82\xf0\x9f\x8d\xba\xf0\x9f\x8d\xba\xf0\x9f\x8d\xba\xf0\x9f\x8d\xba\xf0\x9f\x8d\xba'
376220278822797312,2013-09-07 05:47:58,b'Why do you have to ruin fucking everything?'
376207357422096384,2013-09-07 04:56:38,"b""Finally I'm not the driver and I can drink at a party and my life is great right now."""
376204651932430336,2013-09-07 04:45:53,b'Ooooh boy you are still looking good and still keep your eyes on me and just whyyyyy. So hot.'
373656253266153472,2013-08-31 03:59:27,"b""To stop you from killing your people, we're gonna kill your people."""
373111110494593024,2013-08-29 15:53:15,b'Interview at Camp Bow Wow in a few minutes! So excited! Wish me luck \xf0\x9f\x90\xb6'
372583579269992448,2013-08-28 04:57:02,"b""@Btflly_Rcklssxo yeah I want to. I'm trying to schedule and interview with camp bow wow but we're playing phone tag haha"""
372360047000825856,2013-08-27 14:08:47,b'@Btflly_Rcklssxo me too! And camp bow wow called me too but I called them back and no one answered so idk haha'
372051005753806848,2013-08-26 17:40:46,"b""Why does anyone care? It's not your life. Don't like it, don't watch."""
372050921221799936,2013-08-26 17:40:26,"b""I too think Miley Cyrus's act was horrendous and trashy, but people are allowed to act how they want to. I that's what she wants to be, fine"""
372049438107500544,2013-08-26 17:34:33,b'I love my new job and I keep getting called in yaaaaay money \xf0\x9f\x92\xb0\xf0\x9f\x92\xb8'
369137153965453312,2013-08-18 16:42:10,b'First day of work! So far I love it \xf0\x9f\x98\x8d'
368927918673518592,2013-08-18 02:50:44,"b""I'm drunk and depressed please send help"""
368855611426873344,2013-08-17 22:03:25,b'And one shifts an overnight shift!'
368855532213248000,2013-08-17 22:03:06,b'Yay got my schedule for this week! So excited to be working again\xf0\x9f\x92\xb0\xf0\x9f\x92\xb8'
368204134568460288,2013-08-16 02:54:41,"b""RT @kennyalagusto: Nothing's better than eating a peanut M&amp;M that's missing the nut."""
368184952678256640,2013-08-16 01:38:27,"b""@Btflly_Rcklssxo that's what happens when you become an adult unfortunately. Yay life"""
368183874607935488,2013-08-16 01:34:10,b'@Btflly_Rcklssxo me too. Those were the best. I miss being stupid stupid'
367482226172526593,2013-08-14 03:06:04,b'I am just so bored and tired of everything.'
367436445608574976,2013-08-14 00:04:09,b'Drinkin cheap whiskey to celebrate the fact that I found a job so fucking quick'
367409413948461056,2013-08-13 22:16:45,b'Had my orientation today. Officially work at Forever 21! \xf0\x9f\x98\x84\xf0\x9f\x91\x8d'
366705323353972736,2013-08-11 23:38:56,"b""Jesus fucking Christ I'm seriously not happy. Someone please kill me I won't even be mad \xf0\x9f\x94\xab"""
366317782901587968,2013-08-10 21:58:59,b'Okay 14 year old go and tell me you want to see me naked. I am waaaay too old for you. Wtf today has been very strange.'
366290298717999104,2013-08-10 20:09:47,"b'Are you serious my old, scumbag, married with children mechanic just asked me out for drinks and to not tell my dad. #fuckinggross \xf0\x9f\x98\xa4\xf0\x9f\x98\xa1'"
365828245691699201,2013-08-09 13:33:45,b'RT @katreenawhh: cinderella by the cheetah girls is literally my life anthem'
365828108202409984,2013-08-09 13:33:12,"b""RT @LifeAsStoner: Don't get me wrong I like alcohol, but weed is better."""
365655661855514625,2013-08-09 02:07:58,"b""I'm bored and have no data and playing kingdom hearts on my ds and slightly drunk so TEXT ME"""
365641216685129729,2013-08-09 01:10:34,"b""Are you fucking kidding me I've seriously used 75% of my data for the month and its only the 8th. I have till the 26th. FUCK YOU VERIZON"""
365634500312576002,2013-08-09 00:43:52,b'Uuugh my orientation was moved from tomorrow to Tuesday cries \xf0\x9f\x98\xad\xf0\x9f\x98\xad'
365333220952256512,2013-08-08 04:46:42,b'Ugh I hate finishing a book and feeling so empty afterwards'
365276631234912256,2013-08-08 01:01:50,b'@Btflly_Rcklssxo @FinePickUpLine LMAO THAT WOULD DEFF WORK ON ME \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
365224803017310208,2013-08-07 21:35:53,b'RT @kennyalagusto: I would do it in a graveyard. Just sayin.'
365180935970369536,2013-08-07 18:41:34,b'Is it sad that at 22 I hangout with my mom more than any other person besides my boyfriend? Cause I deff think so \xf0\x9f\x98\xb0\xf0\x9f\x94\xab'
365143334555099137,2013-08-07 16:12:09,b'I should probably specify that I had just come from my boyfriends house and yes we just had sex and I planned to change my clothes and yeah'
365142601369788417,2013-08-07 16:09:14,"b""My mum just saw my vagina like all of it holy shit I'm dying I should probably wear underwear under my dresses when I'm playing with my pup"""
365108586403614721,2013-08-07 13:54:05,"b""RT @codyjohnathan: logan lerman is too perfect it's not fair"""
364944530094555136,2013-08-07 03:02:10,"b""@Btflly_Rcklssxo yeah that's what normal people do. Unfortunately I'm a weak person."""
364943808657494017,2013-08-07 02:59:18,b'This just in dying seems so sweet right about now'
364925756847038466,2013-08-07 01:47:35,b'This is my life my god what have I done'
364923482536427520,2013-08-07 01:38:32,b'RT @_SamanthaaD: Bellingham is literally the most boring town on the face of the planet.'
