id,created_at,text
469555085240836096,2014-05-22 19:07:10,b'As of right now I have lost 7 pounds with this amazing fruit! http://t.co/bBPOFi5V86'
469169683468648449,2014-05-21 17:35:43,b'You want to lose that extra fat? Burn it off with no exercise! http://t.co/jzcVqnlOOd'
462027535921184768,2014-05-02 00:35:23,b'Thank you!!! This has seriously made my life soo much better! http://t.co/9CamPnsfly'
105895868556771329,2011-08-23 06:55:17,"b""RT @nickasaur: What are the odds of the person you're thinking of is thinking about you at the same time you are?"""
105891877240320001,2011-08-23 06:39:25,b'God i am such a bitch #bestfeeling'
101180261642928128,2011-08-10 06:37:08,b'#Prayforlondon &lt;3'
101180227295780865,2011-08-10 06:37:00,b'Wtf twitter is so old xD &lt;3'
78659617743319042,2011-06-09 03:08:08,b'Photo:  http://tumblr.com/x2u2wvqvx8'
78653444432478209,2011-06-09 02:43:37,"b""Can't we just fall in love again. Or at least try to? http://tumblr.com/x2u2wvbkex"""
71967615282712576,2011-05-21 15:56:31,b'#ZombieApocalypse ... jsut saying'
71964700543434753,2011-05-21 15:44:56,"b""RT @WeEatQuotes: I hate that time before you go to sleep at night cause thats when all the thoughts you've been trying to avoid, start t ..."""
71963119517306880,2011-05-21 15:38:39,b'Its the end of the world today! &lt;3 I was more thinking a Zombie Apocalypse sounds way more fun but i guess judgement day is chill too.'
69639887288147968,2011-05-15 05:46:57,b'Wow fuck you - Week 1: i feel in love Week 2: i showed you how i felt Week 3: I gave everything away to you.... http://tumblr.com/x2u2izw9rf'
69066464367345665,2011-05-13 15:48:22,b'Whats so good about picking up the pieces?[; http://tumblr.com/x2u2i1e66t'
67502720369704960,2011-05-09 08:14:37,"b""If you can't hang than theres the door baby, I don\xe2\x80\x99t wanna take your precious time, \xe2\x80\x98Cuz you\xe2\x80\x99re such a... http://tumblr.com/x2u2g5d1wm"""
67497104695754752,2011-05-09 07:52:18,b'Audio: yumcookies: http://tumblr.com/x2u2g57mt9'
66983610070212608,2011-05-07 21:51:51,b'so i realized everything innocent about me is gone :P'
66983158335279104,2011-05-07 21:50:04,b'Hi twitter! i missed you!'
66907318104756224,2011-05-07 16:48:42,b'My tumblr is full of bullshit http://tumblr.com/x2u2f9fobx'
66901995147116544,2011-05-07 16:27:33,b'Photo:  http://tumblr.com/x2u2f93cj5'
66901012027416576,2011-05-07 16:23:38,b'frankinafishtank: http://tumblr.com/x2u2f9130k'
66900091574820864,2011-05-07 16:19:59,b'Things are shaping up to be pretty condoms.: When Bandit starts dating... - myfamouslastwords-: http://tumblr.com/x2u2f8yzbv'
66899187224154112,2011-05-07 16:16:23,b'frankinafishtank: http://tumblr.com/x2u2f8wy7f'
66898599367282689,2011-05-07 16:14:03,"b""I finally gave everything away. Now lets hope trusting him won't be a problem http://tumblr.com/x2u2f8vmg8"""
64735764499542016,2011-05-01 16:59:43,b'My tumblr sucks but thats alright - My tumblr is just made for my enjoyment and VERY few others xD http://tumblr.com/x2u2cf06ay'
64734723435544576,2011-05-01 16:55:35,b'Video: thenightwillgoasfollowed: http://tumblr.com/x2u2cexpci'
64734351379808256,2011-05-01 16:54:06,b'Photo:  http://tumblr.com/x2u2cewtg1'
64733707487027200,2011-05-01 16:51:33,b'Overheard: Talking to my boyfriend... - Me:What are you doing? Him:Driving home Me:Oh yay![x Him:Haha yeah... http://tumblr.com/x2u2cevbax'
64731088068681728,2011-05-01 16:41:08,b'Depression is not an act. Eating disorders aren\xe2\x80\x99t simply adolescent phases. Suicide isn\xe2\x80\x99t an escape route... http://tumblr.com/x2u2cep588'
64730835504467970,2011-05-01 16:40:08,b'This is adorable http://tumblr.com/x2u2ceojqo'
64730457681559552,2011-05-01 16:38:38,b'Photo:  http://tumblr.com/x2u2cennsc'
64729682297364481,2011-05-01 16:35:33,b'Photo:  http://tumblr.com/x2u2celuxd'
64729564902989824,2011-05-01 16:35:05,b'Photo: Arizona tea http://tumblr.com/x2u2celkex'
