id,created_at,text
1066946993698697217,2018-11-26 06:49:20,b'RT @jdbpurpcses: \xe2\x80\x9cWhatever you want\xe2\x80\x9d\n\xe2\x80\x9cYou\xe2\x80\x99re my wife\xe2\x80\x9d \xf0\x9f\x98\x8d https://t.co/ghnp9S5zr4'
1066932830775754753,2018-11-26 05:53:04,b'Had an incredible weekend in Sacramento with my favorite people in the world! My throat is starting to bug me but I\xe2\x80\xa6 https://t.co/CXBlt8SR0D'
1066888144576929792,2018-11-26 02:55:30,b'RT @modernmodeIs: MY COUPLE https://t.co/lFB1N9SeG3'
1065475403765100544,2018-11-22 05:21:46,b'The difference between then &amp; now is that I\xe2\x80\x99ve learned to love myself. I could never let myself go through that ever again.'
1065315362030243840,2018-11-21 18:45:49,b'Ariana Grande is one of the most attractive people I\xe2\x80\x99ve ever seen. Look at her. Just look at her. https://t.co/I8mPrtIStn'
1065113795402461184,2018-11-21 05:24:52,"b'I had a dream about you last night, I\xe2\x80\x99m convinced you went to bed thinking of me.'"
1064785690938888192,2018-11-20 07:41:06,"b'RT @Yourwavygod: Y\xe2\x80\x99all need to watch this, at some point she knew there\xe2\x80\x99s something wrong with her Dad \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 that look on her face https://\xe2\x80\xa6'"
1064772266645381120,2018-11-20 06:47:45,b'Why tweet about it if you\xe2\x80\x99re not going to tell us? https://t.co/xUXIC9OEtu'
1064739627741794306,2018-11-20 04:38:03,b'\xf0\x9f\x98\x8b'
1064736346441314307,2018-11-20 04:25:01,b'@PikaChulita @cisnerosalexx51 People are free to think whatever they want about any artist. He\xe2\x80\x99s already dead. Let him Rest In Peace.'
1064728025621831680,2018-11-20 03:51:57,b'I\xe2\x80\x99m almost 23 &amp; I\xe2\x80\x99m so excited to go watch Ralph Breaks The Internet tomorrow!\xf0\x9f\x98\x82\xf0\x9f\xa4\x97'
1064693278283509760,2018-11-20 01:33:53,b'I just realized that Quavo is Takeoff\xe2\x80\x99s uncle &amp; Offset is Quavo\xe2\x80\x99s cousin...\xf0\x9f\x98\xb3'
1064605177456414721,2018-11-19 19:43:48,b'Jireh made a Snapchat &amp; that\xe2\x80\x99s honestly the best thing ever. She\xe2\x80\x99s so funny.'
1064421374729478144,2018-11-19 07:33:26,b'\xf0\x9f\x92\x9b\xe2\x9c\xa8 https://t.co/l4ZNS96qCH'
1064366124291186689,2018-11-19 03:53:53,b'RT @reann_jayla: Y\xe2\x80\x99all look at my little sister running away from these dogs. \xf0\x9f\x98\x82\xf0\x9f\x98\xa9 https://t.co/D8i0vvx72l'
1064102964099334145,2018-11-18 10:28:11,b'RT @FLJBieber: My fatass was drunk last night and had a photo shoot with my McDonald\xe2\x80\x99s hashbrown at 4AM https://t.co/8iz80eXsEY'
1064014969602097152,2018-11-18 04:38:31,"b'Spotted these beauties at Oakridge Mall in San Jose, CA \xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f @gabcake @nikidemar https://t.co/IPORJBfB2A'"
1063974423793942528,2018-11-18 01:57:24,b'RT @ArianaGrande: .... n I\xe2\x80\x99m so good with that https://t.co/ETjKieQfoh'
1063934225919881216,2018-11-17 23:17:41,b'RT @FriendlyAssh0le: Y\xe2\x80\x99all ever lost all respect for someone? You don\xe2\x80\x99t hate them you just don\xe2\x80\x99t have nothing to say to them anymore'
1063885456637476864,2018-11-17 20:03:53,b'This is not okay. This is not okay at all... https://t.co/BLqr0a7dAb'
1063884379569586176,2018-11-17 19:59:36,b'Kelly Moore Paints is handing out free masks! This air quality is so unhealthy! Make sure to go get one &amp; let your\xe2\x80\xa6 https://t.co/mvtFZ3MgAg'
1063861621750038528,2018-11-17 18:29:10,b'RT @AustinMcbroom: Don\xe2\x80\x99t stop dreaming just because you\xe2\x80\x99re awake.'
1063676146116513792,2018-11-17 06:12:10,"b'RT @milkstrology: water (cancer, scorpio, pisces) and earth (capricorn, taurus, virgo) signs reclaiming their self worth: https://t.co/dZ7x\xe2\x80\xa6'"
1063676091611508741,2018-11-17 06:11:57,b'Imagine having the absolute world right in front you but letting your pride blind you. Can\xe2\x80\x99t relate.'
1063531225531314176,2018-11-16 20:36:18,"b""RT @lramgoolam28: @CatherinePaiz YEAH WE LOVE IT\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82I'M ADDICTED TO YOUR LAUGH\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/CJHseAWwDB"""
1063531156878974976,2018-11-16 20:36:01,b'@CatherinePaiz Didn\xe2\x80\x99t think I could love you more but after hearing that laugh I love you even more lol!\xf0\x9f\x98\x82\xe2\x9d\xa4\xef\xb8\x8f'
1063510281202987008,2018-11-16 19:13:04,b'RT @atxpapi: girls &amp; gays going into 2019\n\n https://t.co/R6iwvwDlxj'
1063506263491760129,2018-11-16 18:57:06,b'Everything is never enough'
1063337145799106560,2018-11-16 07:45:06,b'The \xe2\x80\x9clittle things\xe2\x80\x9d aren\xe2\x80\x99t so little anymore.'
1063135372962492416,2018-11-15 18:23:19,b'This is so disgusting!!! This woman in sick in the head! This makes me so angry! I\xe2\x80\x99m glad she got arrested. Those p\xe2\x80\xa6 https://t.co/KaupFgX2rl'
1062986885172158464,2018-11-15 08:33:17,b'If I was so bad for your heart &amp; for your soul\nwhy didn\xe2\x80\x99t you let me go?\nWhy did you decide to keep me so close?'
1062986798647803904,2018-11-15 08:32:56,b'A little sneak peak'
1062986749243097088,2018-11-15 08:32:45,b'Writing my first song &amp; the lyrics are so deep'
1062985106690732032,2018-11-15 08:26:13,b'RT @ArianaGrande: good at overthinking w my heart .... how u even think it got this far'
1062983436569317376,2018-11-15 08:19:35,b'RT @CapricornTerms: For a #Capricorn sensitivity &amp; compassion for others flows freely.'
1062980137451319296,2018-11-15 08:06:28,b'Don\xe2\x80\x99t push me away &amp; then ask me why I\xe2\x80\x99ve distanced myself.'
1062969540785561600,2018-11-15 07:24:22,b'@g_lara16 RIGHT!\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb'
1062966660095631360,2018-11-15 07:12:55,b'God honestly loves me. I had a test tomorrow I really didn\xe2\x80\x99t wanna take lol\xf0\x9f\x98\x82'
1062966274072793088,2018-11-15 07:11:23,b'Yessssss! https://t.co/3zwKIfaOH5'
1062491801376841728,2018-11-13 23:46:00,b'Still listen to this album. One of my all times favorites. Thank you Biebs.\xf0\x9f\x92\x9b https://t.co/yTmHvChZkt'
1062230922521538560,2018-11-13 06:29:21,b'RT @_jayfigs: People be mad as hell when you put the same effort on them that they do to you. What\xe2\x80\x99s the issue here? Lol'
1062209672013180928,2018-11-13 05:04:55,b'No one is gonna force me to have \xe2\x80\x9cfake feelings\xe2\x80\x9d for them.'
1062209460624515072,2018-11-13 05:04:04,"b'I\xe2\x80\x99ll never understand some boys, yes BOYS. One minute they like you &amp; then when you\xe2\x80\x99re finally honest with them &amp; t\xe2\x80\xa6 https://t.co/zCKRfVT5vJ'"
1062182346168758272,2018-11-13 03:16:20,b'#HowHardDidPubertyHitYou \xf0\x9f\x98\x9d https://t.co/sePtcpS24q'
1062109870793445381,2018-11-12 22:28:20,b'When you live close to your best friend so you 2 end up randomly making plans to get lunch &gt;&gt;&gt;'
1062070899065516032,2018-11-12 19:53:29,b'I don\xe2\x80\x99t understand why people self diagnose themselves with depression. Feeling sad isn\xe2\x80\x99t being depressed. Stop usi\xe2\x80\xa6 https://t.co/dB2q1BOP8O'
1062061656815988736,2018-11-12 19:16:45,"b'RT @RickMalambri: Sad sad loss today. Stan Lee helped shape a lot of our childhoods and well into our adult lives, filling them with hero\xe2\x80\x99s\xe2\x80\xa6'"
1062055966768738305,2018-11-12 18:54:09,b'@denzeldion https://t.co/T8vusBLoVd'
1061894540762566656,2018-11-12 08:12:42,b'RT @karenitatas: the whites are at it again https://t.co/E779VlBAEV'
1061894349733093376,2018-11-12 08:11:56,b'Intense planning for convention starts now. 2 weeks away \xf0\x9f\x98\xad'
1061885803356254209,2018-11-12 07:37:59,b'Everyone stop what you\xe2\x80\x99re doing &amp; go watch Elite on Netflix!'
1061885251452948481,2018-11-12 07:35:47,"b'RT @kassgiojimenez: Elite is the most INSANE show, I\xef\xb8\x8fm hooked'"
