id,created_at,text
1065498019393548288,2018-11-22 06:51:38,b'@troyesivan I know you were just here.. but you spelled Canada wrong! ;)'
1064003818550001664,2018-11-18 03:54:13,b'@ArtGreenCanuck I remember that beautiful lady!'
1062029593786245127,2018-11-12 17:09:21,b'@Crossd_Out ??'
1058134865483194368,2018-11-01 23:13:05,b'@JoeyGraceffa @ahgoodday And already shipped!  Impressive!'
1054173362547679232,2018-10-22 00:51:29,b'@Crossd_Out BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB\xe2\x80\xa6 https://t.co/Q6BI12gZac'
1053852276048056320,2018-10-21 03:35:36,b'@ahgoodday @JoeyGraceffa @itsjojosiwa Tomorrow. https://t.co/qsxOGgiFQk'
1053445419928174593,2018-10-20 00:38:54,b'@TELUSsupport We are.  Everything has been reset. Internet light on the modem is amber.'
1053433259219013633,2018-10-19 23:50:35,b'@TELUSsupport Any known outages in the Squamish area?'
1051554772866588672,2018-10-14 19:26:09,b'@Crossd_Out Bahahhaha'
1049081023256915968,2018-10-07 23:36:21,b'@Crossd_Out You will learn :)'
1048320300826353664,2018-10-05 21:13:31,"b'@YVRObserver @Vancity @martinigurl If you have late fees on your bills or on non-Vancity products, they would have\xe2\x80\xa6 https://t.co/KEiQi295jb'"
1046925677599973376,2018-10-02 00:51:47,b'@ahgoodday Come for a walk then :)'
1041151674868363264,2018-09-16 02:27:57,b'@jthornthwaite @choprawellness @NirmalaRaniga @joan_isaacs @John_Yap Nirmala and Jeff!  2 beautiful souls!!'
1033182395858468865,2018-08-25 02:40:53,b'@harto I did! Thank you for the recognition.. and the reminder.  &lt;3'
1031728137594273792,2018-08-21 02:22:11,b'@ahgoodday @MisterPreda https://t.co/elf14vPVx8'
1017143549249241088,2018-07-11 20:28:14,"b""@g_r_a_c_e_f_f_a @JoeyGraceffa @MisterPreda I know :(  I'm sorry we haven't been able to get you one yet."""
1009295092190883840,2018-06-20 04:41:16,"b'RT @TheAaronChapman: If you actually believe in #pizzagate, but still see nothing wrong with the #TrumpCamps. Your mind &amp; soul were deporte\xe2\x80\xa6'"
1001659022104121344,2018-05-30 02:58:15,"b'RT @tyleroakley: NEW VIDEO: ""TRAILER - Chosen Family: Season 2"": https://t.co/pjCClXAx6D (RT for a DM full of rainbows!!) \xf0\x9f\x8c\x88\xe2\x9c\xa8 https://t.co/J\xe2\x80\xa6'"
998384740234231809,2018-05-21 02:07:25,"b'RT @seastarbatita: Hey, just as an FYI, if a disabled person says it\xe2\x80\x99s an #accessibility issue, as a non-disabled person, I don\xe2\x80\x99t get to qu\xe2\x80\xa6'"
995794501758173185,2018-05-13 22:34:44,"b""RT @tyleroakley: happy mother's day to any &amp; all women who rise to the challenge of raising &amp; loving those in need, regardless of blood rel\xe2\x80\xa6"""
994342165512830977,2018-05-09 22:23:40,b'RT @KellKe11: https://t.co/fZBo1ta4Sf'
993891006029295617,2018-05-08 16:30:56,"b""RT @RAOKSquamish: I've spent the last 20 years of my life struggling just to make it through each day. I had been diagnosed with with unipo\xe2\x80\xa6"""
993890653208592384,2018-05-08 16:29:31,"b""RT @ShibeTown: Don't say anything just RT \xf0\x9f\x90\x95 https://t.co/vX2G5Nq9A1"""
993630871742627840,2018-05-07 23:17:15,b'@tyleroakley Thank you for providing some sanity!!\n\nhttps://t.co/bf2lIiv0SE'
993621600791478272,2018-05-07 22:40:24,"b'Biggest and best love to those who have supported me, cried with me, and fought for me by fighting with me.  You st\xe2\x80\xa6 https://t.co/qs0cDSiZEe'"
993620348271714304,2018-05-07 22:35:26,"b""...your friends, co-workers, family members or others you trust if you see someone struggling... sometimes we just can't find the words..."""
993620005492146176,2018-05-07 22:34:04,"b""I wasn't in the right frame of mind to be making life changing decisions, but no one else was in my head and knew w\xe2\x80\xa6 https://t.co/7TBbrsij81"""
993619181907017728,2018-05-07 22:30:48,b'And I knew something wrong. Now with the new diagnosis things are clearer but will now have to wean off of these me\xe2\x80\xa6 https://t.co/BghXUoJG3Y'
993618436000370689,2018-05-07 22:27:50,"b""I knew I wasn't ready and I panicked and resigned from my position at Vancity. In that one day I felt like I'd lost\xe2\x80\xa6 https://t.co/MRCNzXfEMV"""
993617898382938112,2018-05-07 22:25:42,b'About a year ago I had a breakdown and went on long term disability. After a year of treatment for depression and a\xe2\x80\xa6 https://t.co/LAIJcmn8g0'
993616616716779520,2018-05-07 22:20:36,"b""I've spent the last 20 years of my life struggling just to make it through each day. I had been diagnosed with with\xe2\x80\xa6 https://t.co/x9Ob8WytqZ"""
956603647948812288,2018-01-25 19:04:17,"b'RT @_celia_marie_: Sexual predator Larry Nassar assaults over 150 girls over the course of 30 yrs, sentenced to 175 yrs in prison &amp; men are\xe2\x80\xa6'"
950087170584297472,2018-01-07 19:30:07,b'https://t.co/PLIlzw29Km'
949333999519916032,2018-01-05 17:37:17,"b'@MirandaSings Oh honey, it is all a jealous conspiracy.'"
942971208408088576,2017-12-19 04:13:50,"b'@Harpy_the_eagle @JoeyGraceffa that\'s an a""cute"" angle! https://t.co/9ArDWOJih4'"
925192322991583232,2017-10-31 02:46:53,b'RT @AP: BREAKING: US court bars Trump from changing military policy on service by transgender people.'
922169343525261314,2017-10-22 18:34:39,b'@PTXofficial Too soon? https://t.co/nLQZE3fZ6N'
920879998277361666,2017-10-19 05:11:15,"b""@ColleenB123 Miranda's long lost twin brother? https://t.co/SPcvjqUuS9"""
907664575763406848,2017-09-12 17:57:53,b'@ScottHelman @JonRoyOfficial @riaisawake @WarnerCanada @CoalitionMUS @CMaudsley @julianpsihogios @sampomanti\xe2\x80\xa6 https://t.co/HdUSFRez6z'
904400046774337536,2017-09-03 17:45:48,b'@ScottHelman And today my daughters end up on the same flight as him.. Must be a sign that things will be better!! https://t.co/PwPXNpBm8l'
904305240450637828,2017-09-03 11:29:05,"b""@ScottHelman And on the same flight.  Must be a sign that I'll be okay?"""
904295970652823552,2017-09-03 10:52:15,b'@ScottHelman My kids are on their way to YVR to visit me after 5 weeks away and they see you at the airport.  Machine is still my anthem!!'
900861481444548608,2017-08-24 23:24:49,"b""@Harpy_the_eagle I don't know!!"""
894271518196121600,2017-08-06 18:58:39,b'@ScottHelman In treatment for PTSD and this is my anthem https://t.co/KeZodbyTw9'
894230054955130880,2017-08-06 16:13:53,b'@gmacmedic Looks so tired!'
890632397103878144,2017-07-27 17:58:05,"b""@realDonaldTrump I never thought I'd say this. Kindness is paramount. But you sir, are a piece of shit."""
887179257650192384,2017-07-18 05:16:32,b'@anthonypadilla @Harpy_the_eagle Fan-fucking-tastic!'
884094790480011264,2017-07-09 16:59:58,"b""RT @NKDmag: We've got one signed @connorfranta polaroid to giveaway from our JUN15 cover shoot! RT to enter! Winner chosen 7/10 @ 4PM EST.\xe2\x80\xa6"""
