id,created_at,text
1065769196036837378,2018-11-23 00:49:12,b'@Juniorstuny @_Elipzr @GameBattles ?'
1065755419266535424,2018-11-22 23:54:27,b'@Juniorstuny Lmao?'
1065755079754403840,2018-11-22 23:53:06,b'RT @BruhReport: let\xe2\x80\x99s talk about injuries during the Warriors rings\n\nInjured opponents in 2015: \n- Jrue Holiday\n- Mike Conley\n- Patrick Bev\xe2\x80\xa6'
1063135261431721985,2018-11-15 18:22:53,b'RT @ellimitedelbien: Hombre ayuda a un pobre potro que se queda atrapado en la madera.\nLa madre no se separa de \xc3\xa9l en ning\xc3\xban momento.\nNeces\xe2\x80\xa6'
1062756902357000192,2018-11-14 17:19:25,b'RT @try2shootusdown: migos and james corden bopping to i wanna dance with somebody is exactly what you needed to see today https://t.co/S36\xe2\x80\xa6'
1062529027204767744,2018-11-14 02:13:55,b'@Juniorstuny @CMG_eSports Let me know'
1062182801171042304,2018-11-13 03:18:08,b'RT @RobSSmith_: https://t.co/AuheqzdCCl\n\nCheck out my Laurier career highlights! Thankful for every moment here!\n\nEnjoy and share!!'
1062161581029625857,2018-11-13 01:53:49,"b'RT @EricHaywood: Drunk bar patrons open fire on a bar.\n\nJemel Roberson, the bar\xe2\x80\x99s black male security guard, saves the day by returning fir\xe2\x80\xa6'"
1062000810534461442,2018-11-12 15:14:58,b'RT @kwakuspeaks: please get that man out of Charlotte https://t.co/PLK77GJLgE'
1062000302214144000,2018-11-12 15:12:57,"b'RT @DalaiLama: The quality of what we do depends on our motivation, which is why we have to learn how to cultivate a compassionate mind.'"
1061709059575898113,2018-11-11 19:55:40,"b'RT @MadelnCanada: At the 11th hour of the 11th day of the 11th month, we will remember them. #LestWeForget https://t.co/jnEhXwwCQF'"
1059448147288588289,2018-11-05 14:11:36,b'RT @culeenmadrid: Ithis semester is coming to an end and I ain\xe2\x80\x99t taking no chances https://t.co/QW9WOqv0mc'
1059211690300952577,2018-11-04 22:32:00,b'@two_dice prayers and speedy recovery! Need you back asap'
1057863729189085185,2018-11-01 05:15:41,"b""D rose played like 2011 d rose and Steph's winning his third MVP"""
1057863514079916032,2018-11-01 05:14:50,b'RT @BruhReport: Derrick Rose went for 50 points. He\xe2\x80\x99s really back. https://t.co/NIKfIAc7fk'
1057568291193970688,2018-10-31 09:41:43,b'RT @youngasadd: Baby shark is like sicko mode for babies'
1056973562735550464,2018-10-29 18:18:29,b'RT @TheKingLatifah: Idk meth is pretty fucking bad https://t.co/fph7uUSVqV'
1055863899088576514,2018-10-26 16:49:05,b'RT @TomSleeman11: That one person who always likes your tweets https://t.co/7OlgvbsmK6'
1055706505767399424,2018-10-26 06:23:39,b'New York is like Scranton on acid'
1055681782169784320,2018-10-26 04:45:25,b'@StephensonLance with the hot hand #showtime'
1055166715313549312,2018-10-24 18:38:43,b'RT @RlCHESTREVENGE: I will never delete this app https://t.co/ALOKMTMabW'
1054792432271863811,2018-10-23 17:51:27,b'RT @vinnybrack: Y\xe2\x80\x99all only care about mental health for men after they\xe2\x80\x99re dead https://t.co/K4uCAXeiEh'
1054567325410590725,2018-10-23 02:56:57,b'RT @RomySimpson_: i just wanna do better'
1053418342822727680,2018-10-19 22:51:19,b'@jenna_parent \xf0\x9f\x98\xa1'
1053314017391857664,2018-10-19 15:56:46,"b'RT @YL_Mimz: if you do ANYTHING today, please please please watch this video. you wont regret it. \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\n\n https://t.co/rPSyTOccPg'"
