id,created_at,text
1066608715271426048,2018-11-25 08:25:09,b'Listening to my coworkers talking about being a hoe and using men for financial reasons... And all I keep thinking\xe2\x80\xa6 https://t.co/vsu0rmly6l'
1066608002390740993,2018-11-25 08:22:19,"b""I'ma bored ass individual. I looooove spontaneity and adventure. I try new things only once. I decide whether of I\xe2\x80\xa6 https://t.co/nQNmwVOSJf"""
1066607422494703617,2018-11-25 08:20:00,b'Like shidd! One thing about me is that I am introverted to a certain degree... I was never fully intoverted. I know\xe2\x80\xa6 https://t.co/70z5OPrCql'
1066606772776042496,2018-11-25 08:17:25,"b""It be a whole 265 days this year where my family hasn't even talked to me... Call me or have a conversation but as\xe2\x80\xa6 https://t.co/JRfM2FBYy9"""
1066606254213292033,2018-11-25 08:15:22,b'Something gots to fuckin give!!! I need a career that will full fill me and make a whole lotta money from. I sure a\xe2\x80\xa6 https://t.co/4cYM4uqNqO'
1066605723864444928,2018-11-25 08:13:15,b'I am so tired of feeling like a fuckin robot!!! I work a job everyday just to make ends meet and it barely pays...\xe2\x80\xa6 https://t.co/c46cxHEJlO'
1066605362667814914,2018-11-25 08:11:49,b'What the F!!! This cannot be life. \xf0\x9f\x98\x95'
1066115920202993666,2018-11-23 23:46:57,b'So I am just thinking hard about it. I am doing my research. I am doing my reading on what it takes to become a Con\xe2\x80\xa6 https://t.co/zcZx5HOaO0'
1066115161017249792,2018-11-23 23:43:56,b'Cause I am considering doing this... Here is my backstory. I am African American. 27 years old. I work as a nurse a\xe2\x80\xa6 https://t.co/B93XmZMqbr'
1066114834524192769,2018-11-23 23:42:38,b'I am thinking... Should I invest in running for Congress or Senator? Just talked to someone about it and they said\xe2\x80\xa6 https://t.co/SzzDgqEHd9'
1066114525391409152,2018-11-23 23:41:24,b'But the issues I care about so deeply is healthcare. Affordable and universal healthcare. Education. Affordable and\xe2\x80\xa6 https://t.co/C5ZfRPrqBf'
