id,created_at,text
1066984525769699328,2018-11-26 09:18:29,b'RT @russdiemon: Keep it pushin hours'
1066801685601882113,2018-11-25 21:11:56,b'RT @ItsJoshPeck: Always be yourself. Unless yourself sucks.'
1066800108535193601,2018-11-25 21:05:40,"b""RT @_samanthaskylar: i don't even know if nala realizes this, but it hurts my heart \xf0\x9f\x98\xad\xf0\x9f\x92\x97 https://t.co/9YoxPVuLQx"""
1066799656901009408,2018-11-25 21:03:53,"b'RT @LuisMadrazo1: I hate when you know someone but you aren\xe2\x80\x99t close to them, but you still know them and they don\xe2\x80\x99t say hi'"
1066797869397618690,2018-11-25 20:56:46,b'RT @ericksworldtour: Me after my first rave. https://t.co/rOamdqYR6o'
1066792331729342465,2018-11-25 20:34:46,b'RT @princetyy_: If girls had a dick for a day: https://t.co/VinUcDFr5X'
1066791507158593536,2018-11-25 20:31:29,b'RT @brittney_reyes: here\xe2\x80\x99s a video of my bulldog politely asking to hold a tiny bird https://t.co/vXEFSByhLF'
1066790739835846657,2018-11-25 20:28:27,b'RT @Marinate_OnThat: Idk why I\xe2\x80\x99m hurt but I am. https://t.co/JAj1kfN8ka'
1066789928930091009,2018-11-25 20:25:13,b'RT @xvvvier: never let your loneliness drive you back to toxic relationships. read that again'
1066789564394741761,2018-11-25 20:23:46,b'RT @arnellarmon: I just can\xe2\x80\x99t get over how cute he is \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad my heart isn\xe2\x80\x99t ready https://t.co/Ogl2cowKtx'
1066788724648935424,2018-11-25 20:20:26,b'RT @launica9x: nothing is sexier than someone who can swallow their pride and speak their true feelings for you. I love that shit fr.'
1066781128361689088,2018-11-25 19:50:15,b'UGHHHH TELL ME ABOUT IT \xf0\x9f\x98\x92 https://t.co/CjCWmrK1Rn'
1066781046103056385,2018-11-25 19:49:55,b'RT @moibrahim29: Texting your parents be like https://t.co/mjU227hoDA'
1066761510121283584,2018-11-25 18:32:18,b'So I\xe2\x80\x99m about to go get my nails done.. HELP'
1066758373515935744,2018-11-25 18:19:50,b'RT @glitterytearz_: You wanna grow as an influencer and as a makeup artist? Step one: **Don\xe2\x80\x99t be a fucking dumb Ass**Don\xe2\x80\x99t knock other peop\xe2\x80\xa6'
1066758337927307265,2018-11-25 18:19:41,b'RT @ArianaGrande: sending u all a shit ton of love'
1066750512018702337,2018-11-25 17:48:35,b'RT @marshmellomusic: I\xe2\x80\x99m ready for this new lion king LET ME TELL YOU'
1066750430187790337,2018-11-25 17:48:16,b'RT @therealqua_t: .......later \xf0\x9f\x90\xb6\xf0\x9f\x92\x97 https://t.co/FbpkIPNyZS'
1066749807417536512,2018-11-25 17:45:47,b'I love pink \xf0\x9f\x92\x95 https://t.co/19VXpdoOX2'
1066749775226314758,2018-11-25 17:45:40,b'RT @PigmentPalace: Influencers Needed! No follower count necessary\xf0\x9f\x92\x95 MUST BE U.S. Based\xf0\x9f\x98\x98 https://t.co/KfAb34kobX'
1066749546728837120,2018-11-25 17:44:45,"b'@PigmentPalace I would love to try this! Please get back to me if interested, this is STUNNING \xf0\x9f\xa5\xb0'"
1066605799911362560,2018-11-25 08:13:33,b'RT @bmarcmx21: When Riley realizes I made him a plate\n Happy thanksgiving y\xe2\x80\x99all! I hope you enjoy these photos as much as he enjoyed his fo\xe2\x80\xa6'
1066605731770712064,2018-11-25 08:13:17,b'RT @bretmanrock: I woke up feeling cute today \xf0\x9f\xa4\xaa\xf0\x9f\xa4\xaa'
1066605649415557120,2018-11-25 08:12:58,b'RT @_jestoo: Him: You still mad?\nMe: Nah\n\nMy Brain\nDon\xe2\x80\x99t Say it\nDon\xe2\x80\x99t Say it\nDon\xe2\x80\x99t Say it\nDon\xe2\x80\x99t Say it \nDon\xe2\x80\x99t Say it \nDon\xe2\x80\x99t Say it \nDon\xe2\x80\x99t S\xe2\x80\xa6'
1066605586777849856,2018-11-25 08:12:43,b'RT @ArianaGrande: like fuck'
1066605462198644736,2018-11-25 08:12:13,b'RT @JeffreeStar: I\xe2\x80\x99m craving @Wendys and I also wanna suck dick so I don\xe2\x80\x99t know what to do first \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
1066605391742668800,2018-11-25 08:11:56,b'RT @melissafossati: There are many people who can clearly see your worth and you\xe2\x80\x99re out here stressin over the one\xe2\x80\x99s that don\xe2\x80\x99t for what??'
1066605233449721856,2018-11-25 08:11:18,"b'RT @jeansforfreeman: Dear girl who sees her friends getting engaged, pregnant, married, moving into her first home, posting pics with her m\xe2\x80\xa6'"
1066605028616691712,2018-11-25 08:10:30,"b'RT @ohdasKiana: men are such big babies, be wanting to lay their big asses on you. like BOY! ok come here'"
1066604794222178304,2018-11-25 08:09:34,b'RT @kais8962_: cat training harder than I do  https://t.co/66nSzfxX4H'
1066604678601998336,2018-11-25 08:09:06,"b'RT @AlienHere2Love: If you\xe2\x80\x99re a visionary &amp; big dreamer, recognize that when ppl say you\xe2\x80\x99re \xe2\x80\x9cnot based in reality\xe2\x80\x9d that you\xe2\x80\x99re just not bas\xe2\x80\xa6'"
1066604661111734273,2018-11-25 08:09:02,b'RT @ChrisDVBBS: Unleash the you the world has yet to see'
1066604585278730240,2018-11-25 08:08:44,b'RT @Theswagboyq: When you realize your break is over and you didn\xe2\x80\x99t touch your homework https://t.co/lBmeQjUkV7'
1066604485143871488,2018-11-25 08:08:20,b'RT @JessBelll1: why is it that your bestest friends are the ones you hardly get pics with????'
1066581626900160512,2018-11-25 06:37:30,"b'RT @FrankyJuarez11: me: *knows deadmau5 is pronounced deadmouse*\nmy one brain cell: ""deadmow-five""'"
1066581263304282112,2018-11-25 06:36:03,b'RT @Matt_Teo16: Are there Black Friday deals on molly?'
1066581106403753984,2018-11-25 06:35:26,b'RT @wifeyhails: they\xe2\x80\x99re so cute and look how happy they are bitch i love them https://t.co/zE2SsTeOos'
1066580895459667969,2018-11-25 06:34:36,"b'RT @cammmilla_: sorry boys, but I already got my eyes on a guy who\xe2\x80\x99s not interested \xf0\x9f\x98\x86\xf0\x9f\x98\x9d\xf0\x9f\x98\x8b'"
1066580867106185217,2018-11-25 06:34:29,"b'RT @Trendingjoey: ""but you said your 5 mins away"" \n\nFirst of all I didn\'t say where I\'m 5 mins away from'"
1066580779109617664,2018-11-25 06:34:08,"b'RT @taystellium: When manifesting, be VERY specific. Down to every single detail. Finite. So acute, that when it comes, you KNOW that\xe2\x80\x99s it\xe2\x80\x99\xe2\x80\xa6'"
1066578918877143040,2018-11-25 06:26:44,b'RT @omaanahi: I need a blunt'
1066578886983589888,2018-11-25 06:26:37,b'RT @Jayo_NF: She already can\xe2\x80\x99t drive u playing with fire https://t.co/E0NaQCDkBE'
1066577155579101185,2018-11-25 06:19:44,b'RT @Ariana_Garcia21: I\xe2\x80\x99m definitely not ready to have children rn but I\xe2\x80\x99d definitely have this mans children rn ya feel https://t.co/z944q9\xe2\x80\xa6'
1066577083051229184,2018-11-25 06:19:27,b'RT @samanthapaigeu: i was today years old when i found out that Walt Disney put in his will that all Disney classics are to be remade every\xe2\x80\xa6'
1066577002260545536,2018-11-25 06:19:08,b'RT @JennyBernal15: I just wanna know if I was born with these pendejada traits'
1066576974943043585,2018-11-25 06:19:01,"b""RT @djsnake: As long as you are learning you're not failing"""
1066576647443423232,2018-11-25 06:17:43,b'RT @queenkimbaby: i can cry right now for a guy and 10mins later act like i never knew him.'
1066576611447840768,2018-11-25 06:17:34,b'RT @mamakarls: if ur man doesn\xe2\x80\x99t save you after u fall is he really ur man???? \xf0\x9f\xa4\xa9\xf0\x9f\xa4\xaa\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/yrcM7rAKI6'
1066576503650029569,2018-11-25 06:17:09,"b'RT @ChanelMurder: I am mad sweet and none of y\xe2\x80\x99all deserve me, I see no lies in this tweet here'"
1066576324301651969,2018-11-25 06:16:26,b'RT @plspeeaftersex: dick just be tastin different when you in love that shit hit like fun dip'
1066520383824769025,2018-11-25 02:34:09,b'RT @analibot3llo: You know what\xe2\x80\x99s worse than stuck up bitches? Stuck up dudes \xf0\x9f\x98\xad y\xe2\x80\x99all are ugly and nobody wants to sit with y\xe2\x80\x99all \xf0\x9f\x98\xa2 my girl\xe2\x80\xa6'
1066487321527287808,2018-11-25 00:22:46,b'RT @Dr_Sweets23: Is it just me or is this song complete ass? https://t.co/EKfH2DSU7S'
1066486676791443456,2018-11-25 00:20:12,b'AND MAKEUP ARTIST FRIENDS \xf0\x9f\xa5\xb0 https://t.co/yIhBXuokNV'
1066486525062496257,2018-11-25 00:19:36,b'RT @DeionsPage: You don\xe2\x80\x99t have to be like everyone else. \n\nEmbrace your weirdness.'
1066486317633232896,2018-11-25 00:18:47,b'RT @jamescharles: last night\xe2\x80\x99s fall glam inspired by my bby @RiquelleMedrano using my palette with @MorpheBrushes \xf0\x9f\x8d\x81\xf0\x9f\x92\x9b https://t.co/EhPiJ1j0oC'
1066485933770457089,2018-11-25 00:17:15,b'RT @itsbillieshotme: Retweet and I\xe2\x80\x99ll find an anime character that looks like ur avi'
1066396650237816840,2018-11-24 18:22:28,"b'BRB, IM MELTING \xf0\x9f\xa4\xa4\xf0\x9f\xa4\xa4 https://t.co/Yj6CxbwiWR'"
