id,created_at,text
1066860772708495361,2018-11-26 01:06:44,b'RT @h4ckysack: croissants: dropped\nchickens: looked at \nroad: works ahead \nyour actions: have consequences \njunior: really handsome\nthem: w\xe2\x80\xa6'
1066515210649960454,2018-11-25 02:13:35,b'3 generations of flossing https://t.co/ZvaFW7TABl'
1066437111971291137,2018-11-24 21:03:15,"b'Date a guy from Ohio, they said. It\xe2\x80\x99ll be fun, they said. https://t.co/fcSSMIghys'"
1066156143238676480,2018-11-24 02:26:47,b'@lemonsand @Abercrombie YES just saw this coat in person today and basically drooled over it!'
1065813912136937473,2018-11-23 03:46:53,b'@JuliaGuerra_ Happy thanksgiving!'
1065797826171600896,2018-11-23 02:42:57,"b'Does \xe2\x80\x9cThank(sgiving) you, next\xe2\x80\x9d work as a pun? \xf0\x9f\xa6\x83 https://t.co/jpJfkehSKD https://t.co/ljwDNzmNIM'"
1065748966434893824,2018-11-22 23:28:48,b'RT @katiebhockey: Who did this https://t.co/JcGn4dWJui'
1065731922305998851,2018-11-22 22:21:05,"b'\xe2\x80\x9cGod I love \xe2\x80\x98A Star is Born\xe2\x80\x99 man, I\xe2\x80\x99ll tell you that.\xe2\x80\x9d - my uncle turning up \xe2\x80\x9cShallow\xe2\x80\x9d for his second listen tonight.'"
1065654956454223873,2018-11-22 17:15:15,b'This dog herded a lost llama \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
1065654233507266560,2018-11-22 17:12:22,b'THERE IS A DOG HANDLER NAMED MARK BARKER.'
1065651948081332224,2018-11-22 17:03:17,b'DOG SHOW DOG SHOW DOG SHOW DOG SHOW DOG SHOW DOG SHOW DOG SHOW DOG SHOW DOG SHOW DOG SHOW DOG SHOW DOG SHOW'
1065631972079427586,2018-11-22 15:43:55,b'I am glad my brand is strong. https://t.co/MacOqdke7Y'
1065630898249523200,2018-11-22 15:39:39,"b""RT @dilemmalord: WHOMSTEVER FUCKED UP RITA ORA'S SOUND JUST MADE A THANKSGIVING ARCH NEMESIS OF ME!!!! SLEEP WITH ONE GOBBLE OPEN! #MacysPa\xe2\x80\xa6"""
1065630587510239232,2018-11-22 15:38:25,b'RITA NO #macysthanksgivingparade'
1065618713091678208,2018-11-22 14:51:14,b'RT @ashleyimdrunk: Kind women are not free therapists'
1065610973686452229,2018-11-22 14:20:28,b'God bless the cast of prom for serving us prom looks in the frigid cold!! #MacysParade'
1065591918384553984,2018-11-22 13:04:45,b'RT @Johnny_Allman: Townspeople:\n\nHarold Hill: https://t.co/0EfYnv9vqz'
1065366448414040064,2018-11-21 22:08:49,b'RT @KimBhasin: .@TIME interviewed @GrittyNHL and asked about his favorite Thanksgiving dish. https://t.co/bChhm6TWKr https://t.co/GHSZT0k86p'
1065294165590925313,2018-11-21 17:21:35,"b""It's weird how pleasant and nice work is when my Italian grandmother is just silently placing coffee and food in fr\xe2\x80\xa6 https://t.co/tChyDDkFlb"""
1065092360986603520,2018-11-21 03:59:41,b'@allegrakirkland !!!!! I must know everything'
1064873452983775235,2018-11-20 13:29:50,"b'RT @alleemanning: pssst hot tip for my journalist friends, specifically those who are generalists: if you find yourself tasked with writing\xe2\x80\xa6'"
1063523074203635712,2018-11-16 20:03:54,b'Evergreen tweet relevant to every subject https://t.co/mXSppZLMK5'
1063432148441550849,2018-11-16 14:02:36,"b""Hi, you should be extremely cool like me and buy @carriesnotscary's new book for you and your loved ones!!\xe2\x80\xa6 https://t.co/CfG4CmHVcO"""
1063406565108125696,2018-11-16 12:20:56,"b""RT @Trodgers_4: *sees a flock of ducks*\n\nMy Brain:\nDon't say it\nDon't say it\nDon't say it\nDon't say it\nDon't say it\nDon't say it\nDon't say\xe2\x80\xa6"""
1063223245619499008,2018-11-16 00:12:30,b'RT @gilbertjasono: EXCLUSIVE: The So-Called \xe2\x80\x9cMiddle-Class\xe2\x80\x9d Alexandria Ocasio-Cortez Has Not Once Pressed Her Face Up to the Window of a Bak\xe2\x80\xa6'
1063179234108231681,2018-11-15 21:17:36,"b""@JayShams i have vitamin d on my desk if you need (don't tell the health team) since this is my internal monologue always."""
1062878801191931906,2018-11-15 01:23:48,"b'RT @kittenwithawhip: Nikki Delamotte, the reporter who wrote this incredible story about mental health struggles in the restaurant industry\xe2\x80\xa6'"
1062856564292415488,2018-11-14 23:55:26,"b""RT @thisisjelli: hello ppl. if you are looking for a great holiday gift or just a great holiday read, buy my friend @carriesnotscary's book\xe2\x80\xa6"""
1062853064330301442,2018-11-14 23:41:32,b'@NYCTSubway Clearly!!!'
1062852332604530688,2018-11-14 23:38:37,"b'@NYCTSubway My sweet friends, I\xe2\x80\x99m going southbound tho!!!'"
1062851906953994241,2018-11-14 23:36:56,b'@thisisjelli @NYCTSubway WHAT IS HAPPENING I BLAME YOU JELLI'
1062851693002539008,2018-11-14 23:36:05,b'.@NYCTSubway girlllll what? https://t.co/dZMxhvfARP'
1062851440685801472,2018-11-14 23:35:04,b'@LRocketto @NYCTSubway https://t.co/qjEd8qkQY1'
1062684598520504321,2018-11-14 12:32:06,b'RT @feistyfrank: this Juliette Lewis Instagram video is the only thing I want to talk about for the rest of the year https://t.co/envJ3edbyf'
1062535963358957569,2018-11-14 02:41:29,b'I have new hair and my skirt was wrinkled but here we are!!!! https://t.co/QwLSj12JcQ'
1062492884790845445,2018-11-13 23:50:18,b'RT @pfpicardi: Yup and buy implying anal sex is taboo enough that it\xe2\x80\x99s a last resort before incest is basically playing right into the hand\xe2\x80\xa6'
1062460794045153281,2018-11-13 21:42:47,b'Thanks @katgriffinphotography for making me feel like I\xe2\x80\x99m a spooky Riverdale character full of secrets!\xe2\x80\xa6 https://t.co/sZD79EmkAb'
1061479314628268032,2018-11-11 04:42:44,b'\xf0\x9f\x90\xb9 https://t.co/zsnuuli7w2 https://t.co/GdNZFA1qh1'
1061024515138953219,2018-11-09 22:35:31,"b""RT @nsmallwoodphoto: Tom Hanks and Joanne Rogers sing the theme song to Mister Rogers' Neighborhood at a Peace and Unity rally at Point Sta\xe2\x80\xa6"""
1060984858426724352,2018-11-09 19:57:57,b'@carriesnotscary \xf0\x9f\x92\x95'
1060979765153284096,2018-11-09 19:37:42,b'Last night I cried while eating a spaghetti squash but honestly it needed more salt so everything happens for a reason lol'
1060709219681398785,2018-11-09 01:42:39,b'Found a few friends in Greenwich last night. Great to see you @brandoncarte! \xe2\x9d\xa4\xef\xb8\x8f https://t.co/6ZrCiIOhN0 https://t.co/9QKq770TBd'
1060660729144074241,2018-11-08 22:29:58,b'RT @KristinSalaky: I think so much of our problems could be helped if we were only taught how to comfort and listen to other people and to\xe2\x80\xa6'
1060204784479858690,2018-11-07 16:18:12,b'Happy birthday to badass queen and musical genius #JoniMitchell. Your music has healed me in ways you could never k\xe2\x80\xa6 https://t.co/gtYK7qLZog'
1060197318773882880,2018-11-07 15:48:32,"b'RT @nicolewboyce: one taught me pain, one taught me pain, one taught me pain, one taught me pain, one taught me pain https://t.co/RJ4wOJKRnE'"
1060008676315054080,2018-11-07 03:18:57,b'@allegrakirkland @mattshuham Omg this rules yay!!'
1059993737072439296,2018-11-07 02:19:35,b'The MSNBC election night jingle makes me want to barf from sense memory.'
1059991109781409792,2018-11-07 02:09:08,b'RT @jeremydlarson: [sister christian voice] Voterin\xe2\x80\x99'
1059610853740367872,2018-11-06 00:58:08,b'RT @AndrewWrites: Me voting in 2016 vs me voting in 2018 https://t.co/bIvYydYltr'
1059610134735937537,2018-11-06 00:55:17,b'Me voting in 2016 vs me voting in 2018 https://t.co/fRTrscfVFY'
1059607143425499138,2018-11-06 00:43:24,"b""RT @meat_and_rice: can you imagine being a person in 1977 and 'the chain' by fleetwood mac comes out. what can you do besides lose your mind"""
1059591590535221248,2018-11-05 23:41:36,"b'RT @itssDarwinn: Male reindeers lose their antlers in winter and females don\xe2\x80\x99t so Santa\xe2\x80\x99s sleigh is actually pulled by a team of women, u g\xe2\x80\xa6'"
1059555969221476369,2018-11-05 21:20:03,"b'RT @ryanbloomquist: One taught me love, one taught me patience, and one taught me pain. Now I\xe2\x80\x99m so amazing. https://t.co/Sz19khGZjm'"
1059497043566231552,2018-11-05 17:25:54,b'RT @socarolinesays: If you manage people remind them that they are legally allowed to take time to vote tomorrow and you won\xe2\x80\x99t fire them. P\xe2\x80\xa6'
1059492529316478976,2018-11-05 17:07:58,"b'I would just like to note, for the record, that I watched ""Lost"" past several humans dying but the thing that has m\xe2\x80\xa6 https://t.co/JLFyX5NWw1'"
1059223721431498759,2018-11-04 23:19:49,b'@nicolepomarico Thank you!'
1058927632308494336,2018-11-04 03:43:16,b'\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80 https://t.co/5ExQS3xZaw'
1058906015331241985,2018-11-04 02:17:22,b'@JuliaGuerra_ I\xe2\x80\x99m in New York but we did a fun day trip! It was so nice!'
1058892193824423937,2018-11-04 01:22:26,b'Hi hello I\xe2\x80\x99m very relaxed and don\xe2\x80\x99t feel like screaming for like the first time ever https://t.co/0kOZJMzLE1'
1058534612618616835,2018-11-03 01:41:32,b'@JuliaGuerra_ The most!! \xf0\x9f\x92\x96'
1058494539000877057,2018-11-02 23:02:18,b'@LRocketto YEPPP'
1058493414814220290,2018-11-02 22:57:50,"b""RT @hannahsmothers_: literally too excited to make a good tweet about @Cosmopolitan's groundbreaking, immersive investigation on how terrib\xe2\x80\xa6"""
1058123619623206917,2018-11-01 22:28:24,b'I mean. https://t.co/5bIn8HOTin'
1057777364325883904,2018-10-31 23:32:30,"b'RT @bobbyfinger: Look, I don\xe2\x80\x99t know. https://t.co/Jr3r6Az4Fc'"
1057776946824839169,2018-10-31 23:30:51,"b'In case you were wondering why I\xe2\x80\x99m so extra, my mom had a birthday party for my dog tonight. https://t.co/ZUu6373OdB'"
1057713000805732354,2018-10-31 19:16:45,"b""RT @hollis_photo: a stunt queen who knows she's serving! my wig has migrated south for the winter https://t.co/Dezp7ZcfiQ"""
1057645284984061952,2018-10-31 14:47:40,b'Just call me young Christine Baranski (please!!!) https://t.co/Ql51jqfMES'
1057442567938367490,2018-10-31 01:22:09,b'RT @peedekaf: \xe2\x94\x8f\xe2\x94\x93  \n\xe2\x94\x83\xe2\x94\x83\xe2\x95\xb1\xe2\x95\xb2 in this\n\xe2\x94\x83\xe2\x95\xb1\xe2\x95\xb1\xe2\x95\xb2\xe2\x95\xb2  house\n\xe2\x95\xb1\xe2\x95\xb1\xe2\x95\xad\xe2\x95\xae\xe2\x95\xb2\xe2\x95\xb2   \n\xe2\x96\x94\xe2\x96\x8f\xe2\x94\x97\xe2\x94\x9b\xe2\x96\x95\xe2\x96\x94    \n\xe2\x95\xb1\xe2\x96\x94\xe2\x96\x94\xe2\x96\x94\xe2\x96\x94\xe2\x96\x94\xe2\x96\x94\xe2\x96\x94\xe2\x96\x94\xe2\x96\x94\xe2\x96\x94\xe2\x95\xb2  \n;;      we are on the verge   ;l\n;;        of crying at an\xe2\x80\xa6'
1057441993834590208,2018-10-31 01:19:52,b'@cassidyyjayne Thank you frand!'
1057413547431510016,2018-10-30 23:26:50,b'Somehow my phone wasn\xe2\x80\x99t blurry today? Also this is one of those outfits you hate at home but really dig in the offi\xe2\x80\xa6 https://t.co/jKepSI1hwE'
1057085956195602433,2018-10-30 01:45:06,"b'RT @john_defina: Sometimes I wonder if my college is really a college, or if we\xe2\x80\x99re some kind of young adult day care https://t.co/2l5jCbauzt'"
1056717457589710853,2018-10-29 01:20:49,"b'RT @julianrouth: Today, vigils were held in cities across the country to pay respect to the victims of the Pittsburgh synagogue shooting. I\xe2\x80\xa6'"
1056683627189334016,2018-10-28 23:06:23,"b'RT @ryanlcooper: fuck, man https://t.co/u0mSXjkuhh'"
1056604809657286657,2018-10-28 17:53:12,b'@sethdmichaels Many thanks!!'
1056602176737460229,2018-10-28 17:42:44,b'Me and my large adult son. https://t.co/WXVNDqidZj https://t.co/pxSxFUzqA9'
1056600439414767617,2018-10-28 17:35:50,b'I love my home so much and I\xe2\x80\x99ve been trying think of something to say about Pittsburgh that would truly capture my\xe2\x80\xa6 https://t.co/t80ESko3sn'
1056599257346650112,2018-10-28 17:31:08,"b'RT @fivefifths: Always important to remember not just the number of deaths in mass shootings, but the people injured and traumatized, the f\xe2\x80\xa6'"
1056530025179217920,2018-10-28 12:56:02,b'RT @danielgilman: This is the beautiful Pittsburgh I love https://t.co/Zzzq9Kdm1e'
1056422349589934080,2018-10-28 05:48:10,b'\xe2\x9c\xa8\xe2\x9c\xa8\xf0\x9f\x94\xae\xe2\x9c\xa8\xf0\x9f\x94\xaehi\xf0\x9f\x8e\x80\xe2\x9c\xa8\xf0\x9f\x8e\x80\xf0\x9f\x94\xae\xf0\x9f\x92\x8b\xf0\x9f\xa4\x96\xf0\x9f\xa4\x96\xf0\x9f\xa4\x96 https://t.co/zvaXRSpeXw'
1056389009004552195,2018-10-28 03:35:41,b'RT @sarajhendricks: a star is born and mamma mia 2: here we go again are the only movies that came out in 2018'
1056286416450347012,2018-10-27 20:48:01,"b'RT @tomhanks: Again, to me this photo is the spirit of Pittsburgh- with a broken heart today for those in Squirrel Hill ... Hanx https://t.\xe2\x80\xa6'"
1056232563952570368,2018-10-27 17:14:01,"b""RT @PittsburghPG: To our readers: we've taken down our paywall -- and will continue to do so -- on major breaking news coverage of today's\xe2\x80\xa6"""
1056232520294060033,2018-10-27 17:13:51,b'RT @theferocity: It\xe2\x80\x99s been such a difficult year for so many people I care about. These days have sharp teeth. Sometimes even joy can seem\xe2\x80\xa6'
1056225806148661248,2018-10-27 16:47:10,b'RT @GovernorTomWolf: This is an absolute tragedy. These senseless acts of violence are not who we are as Americans. My thoughts right now a\xe2\x80\xa6'
1055964908666392576,2018-10-26 23:30:27,b'RT @twelveoclocke: so embarrassing to see major entertainment companies grasp at straws for what young people really want when we would lit\xe2\x80\xa6'
1055899775428648965,2018-10-26 19:11:38,"b'Looking for some awesome writers to write about fun science things like animals, the possibility of aliens, outer s\xe2\x80\xa6 https://t.co/VST2t2Fzjw'"
1055617395971252225,2018-10-26 00:29:34,b'@LRocketto We were apparently wrong!'
1055610253709139968,2018-10-26 00:01:11,b'@melissabethk OMG NO'
1055605098540396550,2018-10-25 23:40:42,b'I\xe2\x80\x99ve literally never been more stressed in my life but at least I have an ear infection.'
1055554296484376583,2018-10-25 20:18:50,"b""RT @LRocketto: Excited to announce that I will be moderating a panel at this year's @Womenseday. Can't wait to talk to the brilliant women\xe2\x80\xa6"""
1054853037850836993,2018-10-23 21:52:17,"b""@lashoe_maker I am also a huge weenie, so hopefully we'll get some troopers to save us. But thank you, I'll let you\xe2\x80\xa6 https://t.co/cyFOB1qps3"""
