id,created_at,text
1066660133953044482,2018-11-25 11:49:28,b'@gers789blue @_SmithChris @FifeFlyers I think it\xe2\x80\x99ll be the team we know and love tonight \xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbb let\xe2\x80\x99s get behind them \xf0\x9f\x92\x99\xf0\x9f\x92\x9b'
1066445258895048704,2018-11-24 21:35:37,b'@FlyersMnl @FifeFlyers It\xe2\x80\x99s bad when even Stars put on their twitter that only 5 min left to play and Flyers just w\xe2\x80\xa6 https://t.co/4Vqlcm8Uoo'
1066369903148638208,2018-11-24 16:36:11,"b'@FifeFlyers fans, give an extra shout from us tonight up at Dundee!! \xf0\x9f\x92\x9b\xf0\x9f\x92\x99'"
1066329597422329856,2018-11-24 13:56:02,b'\xf0\x9f\x96\xa4\xf0\x9f\xa7\xa1 https://t.co/44UZHYo3X4'
1065643507350679552,2018-11-22 16:29:45,b'@hockey_laura @CadburyUK They were my fav!!!'
1064216507440381953,2018-11-18 17:59:22,b'COYF @FifeFlyers https://t.co/J61oUmCjd3'
1064115782408421376,2018-11-18 11:19:07,b'@McbeathTracy @MurphOnIce @officialEIHL @FreeSportsUK @championshockey @khl_eng @AVFTB @CatsWhiskersTV\xe2\x80\xa6 https://t.co/O71h8Y16sc'
1064078098440818688,2018-11-18 08:49:22,b'@Willie_3Av @KirkcaldyHigh @jumeau_8 @FifeFlyers It meant so much to all of us. @FifeFlyers thank you for honouring both boys \xf0\x9f\x92\x99\xf0\x9f\x92\x9b'
1064077765383790592,2018-11-18 08:48:03,b'@KingdomFMNews Just amazing for 2 wonderful lads \xf0\x9f\xa7\xa1\xf0\x9f\x96\xa4'
1063019246312140801,2018-11-15 10:41:52,b'@___________harv @xTashaAndersonx They are \xc2\xa355 each but hoping we can get a bit more \xe2\x9d\xa4\xef\xb8\x8f'
1062998294752907264,2018-11-15 09:18:37,b'https://t.co/CahYpCvmsu'
1062613166939611136,2018-11-14 07:48:16,b'@AidenHatfield For you it\xe2\x80\x99s 1 more sleep till you see your girl \xf0\x9f\x92\x95 for us it\xe2\x80\x99s a meeting with the funeral home to ar\xe2\x80\xa6 https://t.co/cyW0YOhvxc'
1062073225855885319,2018-11-12 20:02:44,b'Please stay safe everyone. We don\xe2\x80\x99t need anymore lives lost \xf0\x9f\x98\x9e https://t.co/5Yt7OD34tr'
1062028836865564674,2018-11-12 17:06:20,b'@LeighMac89 I just wanted people to hug their kids tight and show them all the love in the world. X'
1061912957418905600,2018-11-12 09:25:53,b'@blondemoment10 Thank you x'
1061883922148147200,2018-11-12 07:30:30,b'@CairnsKeegan Thanks Keegan. Just heartbreaking \xf0\x9f\x92\x94'
1061879015944921088,2018-11-12 07:11:00,b'@FifeEmz @backforgood1709 @MandyHadden1 @nucci39 This actually made me smile this morning xx'
1061776805118570497,2018-11-12 00:24:51,b'@StevePo82384832 Grief is a weird thing. Shock disbelief and thinking they had it all wrong \xf0\x9f\x98\x94'
1061750016363110400,2018-11-11 22:38:24,b'@_JakeMcNeill @anthonymcdd @kyylekingg Thank you you wonderful people. Ethan was 1 in a million!! It\xe2\x80\x99s been the mos\xe2\x80\xa6 https://t.co/iJZuE82xPg'
1061749004403388418,2018-11-11 22:34:23,b'@anthonymcdd Thank you for this wonderful gesture. Ethan was loved by so many people. Our house will never be the same \xf0\x9f\x92\x94'
1061724736714141696,2018-11-11 20:57:57,b'@kaleykapri Thank you. It\xe2\x80\x99s been the most horrific day \xf0\x9f\x92\x94'
1061716335418396673,2018-11-11 20:24:34,b'@nicola13589294 @nucci39 @FifeEmz @backforgood1709 Hope you all had a good afternoon x'
1061716080442425347,2018-11-11 20:23:33,b'@LynsayWatson Thank you. He would\xe2\x80\x99ve been 18 in January. Just so happy all the time and loved him so much. X'
1061684696894058497,2018-11-11 18:18:51,b'Thank you everyone for your thoughts. X'
1061684538294845442,2018-11-11 18:18:13,b'@AngiecarterUK Thank you. Tragic indeed. He had the most beautiful soul and just a joy to be around x'
1061684393012543489,2018-11-11 18:17:39,b'@gers789blue Thank you. Just can\xe2\x80\x99t comprehend it all \xf0\x9f\x92\x94'
1061684302910496771,2018-11-11 18:17:17,b'@AliWallace7 Thanks Ali x'
1061684243414372352,2018-11-11 18:17:03,b'@Juliesm88997309 Julie we are devastated x'
1061684160803323904,2018-11-11 18:16:43,b'@brian_clan_fan Much appreciated \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb'
1061684061830287360,2018-11-11 18:16:20,b'@mcoops0408 Thank you x'
1061684007971311619,2018-11-11 18:16:07,b'@MandyHadden1 @Kerryb2988 Thank you xx'
1061679124975095808,2018-11-11 17:56:43,b'@olivianicol2 He was a truly beautiful boy \xf0\x9f\x92\x94'
1061548239504183297,2018-11-11 09:16:37,b'@LiamTheMiller @GoldenKnights Check out their fb and Instagram page. Daily specials are great. Across from it is th\xe2\x80\xa6 https://t.co/rcFuZ8uSnB'
1061544595065057280,2018-11-11 09:02:08,b'@PCRichardson3 You and your colleagues have saved these 2 and will be placed in the arms of caring foster parents.\xe2\x80\xa6 https://t.co/cz5ZN6OZst'
1061541549304176641,2018-11-11 08:50:02,b'@LiamTheMiller @GoldenKnights Poutine is great. @LiamTheMiller you need to get yourself to Down The Hatch bistro at\xe2\x80\xa6 https://t.co/vsTybTikHR'
1061412279349141504,2018-11-11 00:16:22,b'@nucci39 Some nasty cheap hits but @FifeFlyers did well to rise above it!! Another 2 points! So proud \xf0\x9f\x92\x99\xf0\x9f\x92\x9b'
1061360888215670792,2018-11-10 20:52:09,b'@FlyersMnl @StyxKirkcaldy @Mcr_Storm @bloodz_25 for sure'
1061360514306052096,2018-11-10 20:50:40,b'This has to be the cutest thing I\xe2\x80\x99ve seen today \xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95 https://t.co/2DOis05FPz'
1061266213786079232,2018-11-10 14:35:57,b'@Flaminhaystack What an idiot! Tbh I don\xe2\x80\x99t know why you waste your time on that site? It\xe2\x80\x99s for people mainly lookin\xe2\x80\xa6 https://t.co/NaBeuVZnzI'
1061008742811086848,2018-11-09 21:32:51,b'@juliegibson9 @starisbornmovie @ladygaga It\xe2\x80\x99s really sad \xf0\x9f\x98\x9e'
1061004367317360640,2018-11-09 21:15:28,b'@Juliesm88997309 @starisbornmovie @ladygaga I put my scarf over my face lol. What a state I looked. Cried coming home as well!!!'
1061001591782862848,2018-11-09 21:04:26,b'Can honestly say @starisbornmovie is the saddest film I\xe2\x80\x99ve ever seen. So thought provoking but heartbreaking.\xe2\x80\xa6 https://t.co/elzE5CnjrN'
1060819063671263232,2018-11-09 08:59:08,b'Absolutely true \xf0\x9f\x92\x95 https://t.co/A5y0kTZt3t'
1060788902095712256,2018-11-09 06:59:17,b'@AidenHatfield And you never know that the person you look up to actually looks up to you!!!\xf0\x9f\x92\x95'
1060655868050579456,2018-11-08 22:10:39,b'@TheHorseTM @DavidHasselhoff @FifeFlyers We met him 7 yrs ago up by the castle. Kids were well chuffed \xf0\x9f\x98\x82 https://t.co/jax9Ou9T5P'
1060632241024319488,2018-11-08 20:36:46,b'@FitzyG13 Done \xe2\x9c\x85 some interesting questions and it\xe2\x80\x99ll be interesting for you to see the results from other clubs. S\xe2\x80\xa6 https://t.co/dsyUPtOuf8'
1060434441858965504,2018-11-08 07:30:47,b'@AidenHatfield Morning \xf0\x9f\x98\x8a I\xe2\x80\x99m away to start a course on mindfulness today \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb looking forward to it. Have a good day everyone x'
1060308305724215298,2018-11-07 23:09:34,b'#NewProfilePic https://t.co/XI9a1QWR8L'
1060298532727545857,2018-11-07 22:30:44,b'@LynsayWatson @FifeFlyers \xf0\x9f\x92\x99'
1060297331147456512,2018-11-07 22:25:57,b'@LynsayWatson @FifeFlyers Although he wasn\xe2\x80\x99t my son I know my nephew is with us and kept his brother safe  when my\xe2\x80\xa6 https://t.co/RrbnKSYt8l'
1060296726966403073,2018-11-07 22:23:33,b'@bigtw77 @FifeFlyers @nucci39 @elcreido18 @bloodz_25 @joebasaraba @RPsev_7 @evanstoflet @Chadmister10 @C_Schaber\xe2\x80\xa6 https://t.co/oRofP8AZmF'
1060296362116440065,2018-11-07 22:22:06,b'@LynsayWatson @FifeFlyers Ooh not long now but I remember feeling that every day was a lifetime lol. As long as you\xe2\x80\xa6 https://t.co/3o2gYufg7T'
1060294671715495936,2018-11-07 22:15:23,b'@LynsayWatson @FifeFlyers When are you due? Buy the webcast and put your feet up with tea and biscuits \xf0\x9f\x8d\xaa'
1060294161507737600,2018-11-07 22:13:22,b'@LynsayWatson @FifeFlyers Aww no!! I couldn\xe2\x80\x99t miss it. It was a great game. Boys did good #2points'
1060293897971294208,2018-11-07 22:12:19,b'@bigtw77 @FifeFlyers @nucci39 @elcreido18 @bloodz_25 @joebasaraba @RPsev_7 @evanstoflet @Chadmister10 @C_Schaber\xe2\x80\xa6 https://t.co/a11KPjkvHt'
1060293421737353222,2018-11-07 22:10:25,b'@LynsayWatson @FifeFlyers Was a great game!! That\xe2\x80\x99s the team we love to see. They looked so happy at the end \xf0\x9f\x92\x99\xf0\x9f\x92\x9b'
1060262930216902658,2018-11-07 20:09:15,b'@KittensCam What a wonderful caring touch you have xx'
1059725302396567552,2018-11-06 08:32:55,b'@FifeFlyers @ViewforthHS  how about it? Would be great \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb'
1059538566005604353,2018-11-05 20:10:54,b'@RachelFenton_ Yesterday \xf0\x9f\x98\x82\xf0\x9f\x98\x82 I bought my first box. Delicious x'
1058844397272473603,2018-11-03 22:12:31,b'@juliegibson9 @FifeEmz I\xe2\x80\x99d say disinterested. Total lack of engagement at times. This is not the Flyers team that w\xe2\x80\xa6 https://t.co/tHB87cSzmO'
1058662063566925824,2018-11-03 10:07:59,b'@Bryson_Em At a recent case and rape charges were dropped the other assaults were upheld and he got nearly 4 yrs. b\xe2\x80\xa6 https://t.co/W4wgUCizgz'
1058661083458793472,2018-11-03 10:04:05,b'@MandyHadden1 @FifeFlyers @RBirzi @gers789blue Have a safe trip. COYF \xf0\x9f\x92\x99\xf0\x9f\x92\x9b'
1058487867989745675,2018-11-02 22:35:48,b'Absolute scum of a man and I\xe2\x80\x99m glad he is behind bars!! A narcissistic and misogynistic beast who took pleasure in\xe2\x80\xa6 https://t.co/gr4YIh18Vd'
1057715552137949184,2018-10-31 19:26:53,b'@kaleykapri @nucci39 @Morrisons That\xe2\x80\x99s ridiculous! Sort that out @Morrisons !!'
1057262866468876288,2018-10-30 13:28:05,b'@jaimeaarssen @FifeFlyers @hutchy071 That\xe2\x80\x99s brilliant!! Super cute \xf0\x9f\x92\x95'
1056811038337912834,2018-10-29 07:32:40,b'@MandyHadden1 @nest Lol. Thank you. Hopefully you can work it out. We have a heat recovery system in ours and it to\xe2\x80\xa6 https://t.co/JMDc6l9gNH'
1056808525727498240,2018-10-29 07:22:41,b'@MandyHadden1 @nest Do you have to pay for the app or is it free? X'
1056804944114786304,2018-10-29 07:08:27,b'@RadioArlene @olivianicol2 \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1056679375977005058,2018-10-28 22:49:30,b'@jumeau_8 https://t.co/0J7D07BzWp'
1056679007859761154,2018-10-28 22:48:02,b'@jumeau_8 Apparently Rejects have one that\xe2\x80\x99s really long!! That would keep you warm lol'
1056678590371246080,2018-10-28 22:46:22,b'@olivianicol2 Love you too sweetie \xf0\x9f\x98\x98'
1056677956968476673,2018-10-28 22:43:51,b'My daughter has been through unimaginable trauma over the past couple of years but gets up every day and does her b\xe2\x80\xa6 https://t.co/GGMBf5F1TW'
1056543729408983041,2018-10-28 13:50:29,b'I\xe2\x80\x99m biased as her mum but she\xe2\x80\x99s so beautiful with a lovely smile \xf0\x9f\x98\x80. Thank you x'
1056499454805721088,2018-10-28 10:54:33,b'Catching up with @TheXFactor and I just love @AntArtist89. He is an inspiration for all recovering addicts! I work\xe2\x80\xa6 https://t.co/9H2l8dkCHg'
1056491133965160448,2018-10-28 10:21:29,b'@AidenHatfield Yep it costs nothing to be nice and for that person who may be having a bad day it could mean the world \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb'
1056488550856843264,2018-10-28 10:11:13,b'@RPsev_7 Crowder #80 https://t.co/ujT0GR5mFQ'
1056487893642948609,2018-10-28 10:08:37,b'Love my girl!! Confidence is growing all the time and she just loves the @FifeFlyers players \xf0\x9f\x92\x9b\xf0\x9f\x92\x99 was a great late ni\xe2\x80\xa6 https://t.co/wQlrKAr6s3'
1056305448792612864,2018-10-27 22:03:38,b'Thanks to @nucci39 for signing my top and the picture \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb was nearly staying in bed tonight as felt so rotten but gl\xe2\x80\xa6 https://t.co/umdQj8Zb1n'
1056256943789092864,2018-10-27 18:50:54,b'Crowd is rubbish tonight!! Let\xe2\x80\x99s get cheering and get behind our boys @FifeFlyers They need a boost. I can\xe2\x80\x99t cheer\xe2\x80\xa6 https://t.co/cHunmg8wnC'
1056199289586810880,2018-10-27 15:01:48,b'@LynsayAnn29 @FifeFlyers @nucci39 I\xe2\x80\x99ve not been on the ice in a year so I\xe2\x80\x99d probably fall and break my neck too lol. X'
1056198825575178241,2018-10-27 14:59:57,b'@LynsayAnn29 @davew20 Hahaha don\xe2\x80\x99t tweet that to Piers Morgan then lol.'
1056162368105918464,2018-10-27 12:35:05,b'@MandyHadden1 Big hugs \xf0\x9f\xa4\x97'
1056152319023300608,2018-10-27 11:55:09,b'@michelle010516 @FifeFlyers @nucci39 Thank you x'
1055939164804444160,2018-10-26 21:48:09,b'@nucci39 @FifeFlyers Thank you. Much appreciated \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb'
1055924485679919114,2018-10-26 20:49:50,b'2nd time this year with acute laryngitis!! Gonna need to put tape over my mouth to stop me shouting at the\xe2\x80\xa6 https://t.co/ngoAcrVqvp'
1055923216538058753,2018-10-26 20:44:47,b'@FiferTHF @ShaneOwen50 @nucci39 @C_Schaber @elcreido18 @bloodz_25 We love it there!!! Daily specials are great. Def\xe2\x80\xa6 https://t.co/oJCskcSff9'
1055518855156719623,2018-10-25 17:58:00,b'@AshcroftBen You have fantastic support Ben. A day at a time is all you can do. So proud of you xx'
1055351254975684608,2018-10-25 06:52:01,"b'Saw @BoRhapMovie last night and it was epic! Laughed, cried, sang and then some more. Loved @QueenWillRock then and\xe2\x80\xa6 https://t.co/LkDApdIHYL'"
1055081233905082368,2018-10-24 12:59:03,b'@mcoops0408 @FifeFlyers There are plenty stops in play that people could get up and go to the toilet! I sit in sect\xe2\x80\xa6 https://t.co/3FkbqdDARh'
1055019517410230274,2018-10-24 08:53:48,b'Thank you @susannareid100 for talking about your tinnitus and @BritishTinnitus  for your advice. I\xe2\x80\x99ve now got an ap\xe2\x80\xa6 https://t.co/4Czzh21Fkc'
1054850317257453569,2018-10-23 21:41:28,b'@reebeccathomson @nucci39 Aw great! I\xe2\x80\x99ll buy it then and hopefully I can get him to sign it \xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbb'
1054843335620345857,2018-10-23 21:13:43,b'@AidenHatfield Haha. I remember when I was wee and had watched Jaws and I refused to go to the toilet in case he ca\xe2\x80\xa6 https://t.co/BG6n3sFil9'
1054826599240138753,2018-10-23 20:07:13,b'@Roslyn70828537 @reebeccathomson @nucci39 Absolutely!! Outstanding x'
1054819469665681416,2018-10-23 19:38:53,b'My 2 favourite girls \xf0\x9f\x92\x95\xf0\x9f\x90\xb6 a walk along the beach in the autumn sunshine is the best medicine you could have \xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x92\x95 https://t.co/MDSp2cxHIn'
1054815420308512770,2018-10-23 19:22:48,b'@BritishTinnitus Much appreciated. Have a good evening \xf0\x9f\x98\x8a'
