id,created_at,text
1052640470575149061,2018-10-17 19:20:19,"b""RT @JDaIey: If they care, they'll show you."""
1052640424181952513,2018-10-17 19:20:08,b'RT @jyoungwhite: pisces men be having 7 different shorties and be in love with all of them in the very same way lmao'
1052564304891805696,2018-10-17 14:17:40,b'RT @jakecardiff401: It\xe2\x80\x99s not worth the argument. So I just won\xe2\x80\x99t say anything at all.'
1052304167891390464,2018-10-16 21:03:59,b'depression at its finest'
1051983996094099456,2018-10-15 23:51:44,"b'RT @RealKingMyers: what\xe2\x80\x99s more important...money, power, or respect?'"
1051953135726383104,2018-10-15 21:49:06,"b'RT @PHORAONE: Los Angeles... 4,000 people. \n\nThank you for the unconditional love https://t.co/M7Rs7KaKrE'"
1051503968306647040,2018-10-14 16:04:16,b'RT @Kehlani: i am unfuckingbreakable.'
1051503827403202560,2018-10-14 16:03:43,b'RT @Maryamhasnaa: Let people say and think whatever they want about you. Just keep opening and purifying your heart.'
1051246701267247104,2018-10-13 23:01:59,"b'RT @SoSadSongLyrics: \xe2\x80\x9cMay your heart sing forever,\nWhere the sea meets the river,\nAnd start it all over again...\xe2\x80\x9d\n\n@heiditalbot #StartItAll\xe2\x80\xa6'"
1051246429707022337,2018-10-13 23:00:54,b'RT @jyoungwhite: you gotta pat your own self on the back'
1051246396257402880,2018-10-13 23:00:46,"b""RT @nevalakinliz: When Phora said ; \nmaybe I just wasn't worth it to you\nmaybe I just wasn't perfect for you\nThat hit hard .."""
1051246031176839170,2018-10-13 22:59:19,"b""RT @Maggy__Cookie: @depressionnote Listen.\nDon't reject people. \nReaffirm that their feelings are valid, time and time again. \nMake sure th\xe2\x80\xa6"""
1051245892907360256,2018-10-13 22:58:46,b'RT @naomi_moreno1: Phora\xe2\x80\x99s music takes me to a whole different level.'
1051245486949068800,2018-10-13 22:57:09,b'RT @DearYouFromWe: All this love. all the love we\xe2\x80\x99ve been missing. feels like we\xe2\x80\x99re deserving after all we\xe2\x80\x99ve been through'
1051185809146097665,2018-10-13 19:00:01,b'@yungdeadpimp @PHORAONE i felt that in my chest \xf0\x9f\x98\xaa'
1051112202902499328,2018-10-13 14:07:32,b'RT @depressionnote: to protect your mental health\nit\xe2\x80\x99s okay to \n\n\xe2\x80\xa2 cancel a commitment \n\xe2\x80\xa2 not answer that call\n\xe2\x80\xa2 want to be alone\n\xe2\x80\xa2 take a\xe2\x80\xa6'
1051112068277891072,2018-10-13 14:07:00,b'RT @PHORAONE: Nothing ever stays the way it was....'
1050929523473014784,2018-10-13 02:01:38,"b'RT @OfficialRj_rap: \xe2\x80\x9cI don\xe2\x80\x99t think my family proud of me, i know my followers proud of me,that\xe2\x80\x99s probably why they follow me\xe2\x80\x9d https://t.co/\xe2\x80\xa6'"
1050928939592339457,2018-10-13 01:59:19,b'RT @OfficialRj_rap: Mood\xf0\x9f\x92\x95:\n\xe2\x99\xbb\xef\xb8\x8fRetweet https://t.co/ogP1xM4lPO'
1050908346599915520,2018-10-13 00:37:29,"b""when phora said \xe2\x80\x9cI know\nWhat it's like to lose somebody you love\nAnd I know what it's like to lose yourself to the\xe2\x80\xa6 https://t.co/CvEf3OhGmp"""
1050907426654801920,2018-10-13 00:33:50,"b""RT @tanejamainhoon: This movement is not about women vs men or even human vs monster, it's about bringing down an institutionalized toxic &amp;\xe2\x80\xa6"""
1050907321461698561,2018-10-13 00:33:25,"b""RT @danielhowell: mental health may be invisible but it is real. don't struggle in silence yourself and make sure to reach out to the ones\xe2\x80\xa6"""
1050907242063527936,2018-10-13 00:33:06,b'RT @JuiceWorlddd: Fall in love with her scars'
1050799143491256320,2018-10-12 17:23:33,"b""RT @sheeyyllaaa: when phora said \xe2\x80\x9ctrapped in my insecurities knowing I couldn't free myself \xe2\x80\x9c I felt that."""
1050799049446584320,2018-10-12 17:23:10,b'you say you need some time but that\xe2\x80\x99s not gonna change how much i love you. i still wanna call you mine so imma keep callin you mine. \xf0\x9f\x92\x9e'
1050798820341108736,2018-10-12 17:22:16,b'RT @Silva00Samantha: @PHORAONE Say you need some time but I won\xe2\x80\x99t back down'
1050798718889353216,2018-10-12 17:21:52,b'RT @PHORAONE: I\xe2\x80\x99m goin insane for your love right now..'
1050798610814709761,2018-10-12 17:21:26,b'RT @xvvvier: no offense but you\xe2\x80\x99re a shitty person if you think people aren\xe2\x80\x99t smart or valuable for not finishing school right away due to\xe2\x80\xa6'
1050797352951246848,2018-10-12 17:16:26,"b'RT @lyddwhite: when phora said \xe2\x80\x9ci would never switch on myself to be accepted by everyone else. everybody fake, everybody two-faced, everyb\xe2\x80\xa6'"
1050797313512300546,2018-10-12 17:16:17,b'@JuiceWorlddd and when in all reality nobody understands.'
1050797212060413952,2018-10-12 17:15:52,b'RT @JuiceWorlddd: Lol ppl say they understand'
1050797039322185728,2018-10-12 17:15:11,b'RT @JuiceWorlddd: Sleepless nights again..fuck'
1050796971600965633,2018-10-12 17:14:55,"b""RT @cuttingquote: I want to starve myself until I'm either dead or skinny -cq"""
1050796932707180544,2018-10-12 17:14:46,"b""RT @cuttingquote: I'm so disgusting and clingy. God I hate everything and I want it all to end -cq"""
1050796906048176133,2018-10-12 17:14:39,b'RT @cuttingquote: Let me bleed red until its all I can see. Let me drown in my damn misery. -cq'
