id,created_at,text
1066129940712644608,2018-11-24 00:42:40,"b'""Pay your fucking taxes""\n-Papa Gwash'"
1066096539335036929,2018-11-23 22:29:56,b'Define yourself with 3 words. \xe2\x80\x94 Fucked. Up. Bitch. https://t.co/YjSvG4cNrA'
1065755087455248384,2018-11-22 23:53:08,"b""I ain't about to get trampled just trying to get some coffee beans"""
1065747293314240513,2018-11-22 23:22:10,"b""I'm not a bitch. I'm THE bitch."""
1065516488306642945,2018-11-22 08:05:01,b'Have you ever met a celebrity? \xe2\x80\x94 My bird is a celebrity in my eye https://t.co/myaSMYfLi0'
1065504680384425984,2018-11-22 07:18:06,"b'I mean, sleep is nice. But like, cake is a little more important.'"
1065333830662397952,2018-11-21 19:59:12,"b'What would your perfect Saturday be like? \xe2\x80\x94 Cake, cake, and more cake. https://t.co/mffyFNK6WD'"
1065325660606935040,2018-11-21 19:26:44,"b""This is JL. He found Bbao in South Carolina. He's supposed to be dead, but someone brought him back. He just wants\xe2\x80\xa6 https://t.co/HcK9a2cojW"""
1065170022731931648,2018-11-21 09:08:17,"b""I am the and Peggy of every group I've ever been in"""
1065036760130834432,2018-11-21 00:18:45,b'@leavethecitlaly \xf0\x9f\x94\xab\xf0\x9f\x98\xa4'
1065036149318574080,2018-11-21 00:16:20,"b""@leavethecitlaly I won't hesitate bitch"""
1065034440538128385,2018-11-21 00:09:32,"b""@leavethecitlaly Remind me why I'm your friend again"""
1064963979343056896,2018-11-20 19:29:33,b'It feels like someone hollowed out my bones and filled them with toothpicks'
1064949463171493888,2018-11-20 18:31:52,b'@radiiicool @fallawaypilot @TylersDunflower @babylonrem @creativedun @tenyabons @biancaqueso @heavydirtyroses\xe2\x80\xa6 https://t.co/snW900cGlk'
1064796916758663168,2018-11-20 08:25:42,b'@puppetmotel Same energy'
1064795261304627200,2018-11-20 08:19:07,"b""Hi if I do a video with my voice I most likely will sound like a girl but that's because I'm a trans male and when\xe2\x80\xa6 https://t.co/Lr0Q0BgULd"""
1064776753422360578,2018-11-20 07:05:35,"b""A little more info on Bbao:\n\nHe's a writer in his spare time.\nHe just wants freedom.\nHe was last seen October 18th,\xe2\x80\xa6 https://t.co/8WU8ebEhWc"""
1064772455435104262,2018-11-20 06:48:30,b'@ThEArTKiD999 Bao if that helps'
1064693168313004032,2018-11-20 01:33:27,"b""This is bbao. He's one of a few characters I plan on using in the future. I kinda like him. His father doesn't like\xe2\x80\xa6 https://t.co/KrZRuamR2c"""
