id,created_at,text
1067136643352662019,2018-11-26 19:22:56,"b""@wearemilkk I'm not too anxious y'all just never respond how rood"""
1067114697697173504,2018-11-26 17:55:44,b'RT @Jadeyyx_: We love the best album of the year \xf0\x9f\x98\x9c\xf0\x9f\x96\xa4 #ABIIOR https://t.co/fdw41mnTcd'
1067113522390335494,2018-11-26 17:51:04,"b""And yes I'm waiting until the actual release to hear it"""
1067113380194996226,2018-11-26 17:50:30,b'How the hell did the 1975 album leak?'
1067111889342251009,2018-11-26 17:44:35,b'RT @ramiftfreddie: i wish i could stop thinking about this https://t.co/xxH6nLSlOh'
1067100261569781760,2018-11-26 16:58:22,"b""I'm sad..."""
1067100127444328448,2018-11-26 16:57:50,"b""I'm still upset about this 3 days later... I regret not going back for it I really liked it and it was a one of a k\xe2\x80\xa6 https://t.co/0pRFn9sW9M"""
1067057333115719680,2018-11-26 14:07:47,b'RT @GilpinGrace: dates DON\xe2\x80\x99T HAVE TO BE EXPENSIVE! here are 10 completely FREE 1st date ideas:\n\n1. get in a car wreck\n2. fist fight\n3. shop\xe2\x80\xa6'
1067053135888347136,2018-11-26 13:51:07,"b""RT @harleivy: lawful good person: i listen to music that's fitting for each period of the day \xf0\x9f\x98\x8c; softer tunes in the morning, upbeat jams i\xe2\x80\xa6"""
1066820587224530949,2018-11-25 22:27:03,b'RT @TENDERpbj: bring \xf0\x9f\x91\x8f these \xf0\x9f\x91\x8f women \xf0\x9f\x91\x8f back \xf0\x9f\x91\x8f https://t.co/JaPprMORfy'
1066692106704556033,2018-11-25 13:56:31,"b""RT @OkigboXL: PSA: Don't EVER let your printer know that you've waited until the last minute to print something out and you're in hurry bec\xe2\x80\xa6"""
1066691479320649728,2018-11-25 13:54:01,"b""RT @premeesaurus: i just read something like 'hey you know how long 2018 has been? we had an olympics this year and everybody forgot about\xe2\x80\xa6"""
1066478060399222785,2018-11-24 23:45:58,b'@wearemilkk Pat literally every time I see a screenshot from you your phone is nearly dead. Why are you like this'
1066441509778661378,2018-11-24 21:20:44,b'@wearemilkk Hey'
1066344387746168832,2018-11-24 14:54:48,"b'RT @mdb2: Alec Smith died 3 days before his next paycheck, waiting to buy insulin.\n\n\xe2\x80\xa2 He aged off his mom\xe2\x80\x99s insurance\n\xe2\x80\xa2 His job didn\xe2\x80\x99t offe\xe2\x80\xa6'"
1066227971202142208,2018-11-24 07:12:12,"b""Also while I'm splitting and being a petty asshole - he's been in the bathroom for 30 minutes and I've reeeeaaaally\xe2\x80\xa6 https://t.co/XepOH2KwjJ"""
1066227493445750785,2018-11-24 07:10:18,"b""He's just so pretentious about my likes and interests when we aren't just kicking back like Bros and he was mean to\xe2\x80\xa6 https://t.co/jdADR7BxjW"""
1066227175781801984,2018-11-24 07:09:02,"b'Yknow what\'s hard? When spending time with your boyfriend as your ""boyfriend"" makes you upset and stressed but spen\xe2\x80\xa6 https://t.co/ETJ1I0sYGw'"
1066226215751745537,2018-11-24 07:05:14,b'RT @moonofdawn: teeth + acne + weight are the trifecta of physical traits that are highly correlated to genetics and class but get treated\xe2\x80\xa6'
1066126610380800000,2018-11-24 00:29:26,b'I heard a Queen song played in every store I was in today and it was 10/10'
1066125661151088640,2018-11-24 00:25:39,b'There was a jacket I really wanted and my boyfriend talked me out of getting it but then my other boyfriend told me\xe2\x80\xa6 https://t.co/pf9DFBmYnp'
1066125446826332161,2018-11-24 00:24:48,"b'RT @missmayn: I don\xe2\x80\x99t want 80% off sneakers, I want affordable healthcare.'"
1066125269759594496,2018-11-24 00:24:06,b'RT @plspeeaftersex: god said everyone who doesn\xe2\x80\x99t have a crush on me is going to hell'
1066125229259411457,2018-11-24 00:23:56,b'RT @wearemilkk: a lot of stan twitter is asking \xe2\x80\x9cwho tf is milkk and why are they on my tl\xe2\x80\x9d\n\n1. we\xe2\x80\x99re a band\n2. stream \xe2\x80\x9cstupid\xe2\x80\x9d\n3. pat sux\xe2\x80\xa6'
1066125197303050240,2018-11-24 00:23:49,b'RT @roboticcrab: God *giggling*: They are gonna be so tiny.\n\nAngel *writing*: ants... tiny... got it.\n\nGod *suddenly tearing up*: but omg s\xe2\x80\xa6'
1066118122158137344,2018-11-23 23:55:42,b'@wearemilkk @crow_brennan Minnesota'
1065623415976075264,2018-11-22 15:09:55,b'This is some gay shit right here https://t.co/t83d07cqIC'
1065620459893547008,2018-11-22 14:58:10,b'Like can someone explain why a dress makes me dysphoric and a pink tight crop top does not ?'
1065620249444319234,2018-11-22 14:57:20,b'Me wearing a grey masculine style dress that mostly hides my boobs: dysphoric and wants to die \n\nMe now changed int\xe2\x80\xa6 https://t.co/MgLuUE9FsR'
1065607041035718656,2018-11-22 14:04:51,"b'RT @wearemilkk: since there\xe2\x80\x99s so many more of u lately, here\xe2\x80\x99s basically how milkk works:\n\n-the band started as a joke\n-our name is a typo\xe2\x80\xa6'"
1065604429615955968,2018-11-22 13:54:28,"b'RT @Momademia: Shout out to all my first-gen academics who work tirelessly all year to navigate and succeed in the academy, then visit fami\xe2\x80\xa6'"
1065354043340525574,2018-11-21 21:19:31,"b""Me, freshman year: obsessed with being part of the gay community on campus because I've never been able to be mysel\xe2\x80\xa6 https://t.co/SSUcKYIu1y"""
1065289591878492162,2018-11-21 17:03:25,"b'RT @Ocasio2018: The actual fear driving the attacks on my clothes, my checking account, my rent, isn\xe2\x80\x99t that these folks are scared that I s\xe2\x80\xa6'"
1065287302166007810,2018-11-21 16:54:19,"b""@wearemilkk I've never once been roasted by you the entire time I've been following"""
1065286858857463808,2018-11-21 16:52:33,"b""@patkiloran I'm in college and lonely you should send me a letter to my school mail"""
1065119380521082880,2018-11-21 05:47:03,b'RT @chonkyanimals: give him the gorbage https://t.co/TSgWb7ERgI'
1065116771261313024,2018-11-21 05:36:41,b'RT @Imani_Barbarin: We don\xe2\x80\x99t talk enough about how hatred and fear of disability and disabled people fuels the anti-vaccination movement.'
1064924513647951872,2018-11-20 16:52:44,b'RT @riley_d18: I forgot I made a pillow of 78 of @awsten tweets for my friends birthday earlier this year lol https://t.co/tReXVr0kA0'
1064713350314188800,2018-11-20 02:53:38,b'RT @darkkmatter_: trying to turn my anxiety into a 7 figure income.'
1064639423550234625,2018-11-19 21:59:53,"b""My boyfriend is an autistic anarchist gay and honestly \xf0\x9f\x98\x8d he's perfect in every way"""
1064638141531856902,2018-11-19 21:54:47,"b'RT @ariesphobia: ""age is just a number"" is meant for older people falling in love with each other, not grown people dating kids'"
1064638105465036800,2018-11-19 21:54:39,b'RT @hellcherub: aquaria said \xe2\x80\x98come here you gorgeous little demonic entity\xe2\x80\x99 my fucking brand loool'
1064636588393680896,2018-11-19 21:48:37,b'Me: is sad \nManny: exists\nMe: less sad'
1064636281437724672,2018-11-19 21:47:24,b'RT @sadgirlkms: the gender neutral term for landlord or landlady is parasite'
1064636102223560704,2018-11-19 21:46:41,"b'RT @chrrywaves: nasty sex with a hint of sweet in it is fucking amazing, like pound my shit but hold my hand while you do it'"
1064626595460206592,2018-11-19 21:08:54,b'Me in 10 days the second the @the1975 album drops:\n\nGO DOWN'
1064618132134871041,2018-11-19 20:35:17,"b""@waterparks @underscoregeoff Come to minnesota next time so I don't have to drive 7 hours in a blizzard to see you"""
1064617843822600192,2018-11-19 20:34:08,b'@waterparks @underscoregeoff I have a ticket that I bought months ago and now the roads are too bad for me to go so\xe2\x80\xa6 https://t.co/PNSD84ffph'
1064617537462247424,2018-11-19 20:32:55,b'RT @spoookyboots: The chonky cat group on FB has some wonderful gems. https://t.co/M1QoMg3tLq'
1064617220922322944,2018-11-19 20:31:39,"b""@freddievinyl I'm born in Jan and I have an actual killer queen tattoo on my ankle so this is 10/10"""
1064616828507471872,2018-11-19 20:30:06,b'RT @freddievinyl: what queen song are you?\n\njan - killer queen\nfeb - bicycle rice\nmarch - bohemian rhapsody\napril - save me\nmay - i want to\xe2\x80\xa6'
1064534529107533830,2018-11-19 15:03:04,b'RT @harleivy: gay culture is\n\n- resting all ur weight in only one of ur feet whenever ur standing up. literally not knowing any other way t\xe2\x80\xa6'
1064534017926725632,2018-11-19 15:01:02,b'RT @crystalline_02: \xe2\x80\xa2Holocaust was legal\n-People who hid Jews were criminals\n\n\xe2\x80\xa2Slavery was legal\n-People who freed slaves were criminals\n\n\xe2\x80\xa2\xe2\x80\xa6'
1064533661377355777,2018-11-19 14:59:37,"b""@bldfld I just noticed you changed your @ and I'm \xf0\x9f\x98\x8d because thats my fav song and you're my fav person so it's perfect"""
1064525238162075649,2018-11-19 14:26:09,b'RT @troyesivan: have you ever had sex WHILE listening to bloom by troye sivan https://t.co/HiZJ0ngP3L'
1064263015799971840,2018-11-18 21:04:10,b'RT @LocalWonderboy: my room after                the earth if we\n    a 3 week                      don\xe2\x80\x99t get our\ndepressive episode\xe2\x80\xa6'
1064256507670405125,2018-11-18 20:38:19,b'RT @bldfld: okay so whoever said that money can\xe2\x80\x99t buy happiness was obviously never impoverished and never had to choose between medication\xe2\x80\xa6'
1064255759251382279,2018-11-18 20:35:20,"b'RT @amadcartoonist: I mean, credit to Doctor Doom, FOOLS is a gender neutral way to address an entire room.'"
1064255726925815808,2018-11-18 20:35:12,b'RT @thundercIan: didnt a heterosexual couple literally damn the entire world to sin and damnation according to christianity.. clean up your\xe2\x80\xa6'
1064255677839958017,2018-11-18 20:35:01,b'RT @miliondollameat: my sleepy bitch disease acting up today'
1064248427603787781,2018-11-18 20:06:12,b'RT @patkiloran: hey https://t.co/RDuxd4euHw'
1064223360916312067,2018-11-18 18:26:36,"b'RT @_JimDun: maybe yesterday was harder than today, maybe today you are going through a tough time, but maybe tomorrow it will be better, y\xe2\x80\xa6'"
1063928862902558720,2018-11-17 22:56:22,b'RT @Truman_Black: UPDATE on Loved It If We Made It live. Very good stuff all lovely currently writing the new 5 minute section of the show\xe2\x80\xa6'
