id,created_at,text
1066893055985401856,2018-11-26 03:15:01,b'RT @tallwhitetwink: SUPPORT YOUR ARTIST FRIENDS SUPPORT YOUR ARTIST FRIENDS SUPPORT YOUR ARTIST FRIENDS SUPPORT YOUR ARTIST FRIENDS SUPPORT\xe2\x80\xa6'
1066828644717338624,2018-11-25 22:59:04,b'RT @moibrahim29: Texting your parents be like https://t.co/mjU227hoDA'
1066519662316437504,2018-11-25 02:31:17,"b'RT @bitchdriyah: Men teaming up to snitch on sex workers &amp; not their rapist, abusive, or dead beat friends. The jig.'"
1066506721626112000,2018-11-25 01:39:51,"b'RT @isabelhagen_: Being a woman is weird because when you\xe2\x80\x99re young and attractive, it feels like nobody takes you seriously. But then you r\xe2\x80\xa6'"
1066497466630062085,2018-11-25 01:03:05,"b'Musicians who believe men aren\'t responsible for their actions that they ""can\'t control"" are the biggest issue with\xe2\x80\xa6 https://t.co/8lxO1Byphj'"
1066479362260811777,2018-11-24 23:51:08,b'Why is @GuyFieri in my chemistry textbook I was not prepared https://t.co/U63w4sBZiD'
1066438608087891968,2018-11-24 21:09:12,b'@themasonshell Another bad take. This implies that men exist who cannot help themselves. This is the same kind of m\xe2\x80\xa6 https://t.co/7FeLc1R2Qd'
1066434853007237120,2018-11-24 20:54:17,"b'RT @cutelocations: the glacier express through landwasser viaduct, switzerland https://t.co/eD2Ms5JMn0'"
1066434511385370626,2018-11-24 20:52:55,"b""This mindset, like many others, is bad because it implies that women are responsible for men's sexual actions, not\xe2\x80\xa6 https://t.co/3FoCs33YP7"""
1066433036999426054,2018-11-24 20:47:04,"b""@urfavcreep This is a great example of putting the responsibility of men's actions on the women involved. Removing\xe2\x80\xa6 https://t.co/EUBIVlzTtD"""
1066364543520161800,2018-11-24 16:14:53,b'RT @imLatrell: Your Apology Needs To Be As Loud As Your Disrespect Was'
1066349353546252288,2018-11-24 15:14:32,b'RT @jameelajamil: My thoughts on this @FlatTummyCo poisonous rhetoric (that is pink and always marketed at young girls) https://t.co/zSvNpm\xe2\x80\xa6'
1066119376615743488,2018-11-24 00:00:41,b'RT @TinyQueermails: trans boys can love makeup. \ntrans girls can hate makeup. \nnon binary boys exist.\nnon binary girls exist. \n\nnon binary\xe2\x80\xa6'
1066014429580546054,2018-11-23 17:03:40,b'RT @catcontents: love is in the air\xf0\x9f\xa5\xb0 https://t.co/J1w18vHnYh'
1065792266076413952,2018-11-23 02:20:52,"b'RT @caroramsey: don\xe2\x80\x99t call the new lion king live action, it is 100% animated. it is a disservice to the people working on it to forget tha\xe2\x80\xa6'"
1065747331256123392,2018-11-22 23:22:19,b'RT @modernmodeIs: ariana grande https://t.co/zZ0JW1I3Ii'
1065747193309605888,2018-11-22 23:21:46,b'RT @PulyBeast: I quit my job today. Ready to pursue my dreams. Being 27 and starting all over is difficult but it\xe2\x80\x99s all for happiness. My p\xe2\x80\xa6'
1065712391839723520,2018-11-22 21:03:28,"b""RT @KylePlantEmoji: [coding]\n\nI don't know what I did wrong. I'm an idiot\n\n*ten minutes later*\n\nI know what I did wrong. I'm an idiot."""
1065646622271508481,2018-11-22 16:42:08,b'RT @PeytoBrock: Many thank to you on this day of bird'
1065642261827002369,2018-11-22 16:24:48,b'*hopefully https://t.co/AfYZD5yyE7'
1065441307177422848,2018-11-22 03:06:17,b'RT @l1nhy: \xf0\x9f\x8c\x90 https://t.co/3ulpmi03TZ'
1065439932540428288,2018-11-22 03:00:49,b'This is a hate crime https://t.co/DkFhmascBN'
1065439861178540032,2018-11-22 03:00:32,"b""@PeytoBrock @mulaney I'm in"""
1065431266835730434,2018-11-22 02:26:23,"b'RT @ItsAlexJackson: when a bisexual is dating someone of the opposite gender, THEY ARE STILL BISEXUAL.\n\nwhen a bisexual is dating someone o\xe2\x80\xa6'"
1065416308894904321,2018-11-22 01:26:57,b'RT @ashleyimdrunk: Kind women are not free therapists'
1065414887227170818,2018-11-22 01:21:18,b'Make one (1) more tweet about community college https://t.co/WInfkQ9qT3'
1065413749790728193,2018-11-22 01:16:47,"b'RT @babylandsxo: good evening fellas, nonbinary isn\xe2\x80\x99t a third gender, every nb person\xe2\x80\x99s gender experience is different, and turning the gen\xe2\x80\xa6'"
1065297750185660416,2018-11-21 17:35:50,b'I thought this was about the wjfs lineup and I was with it https://t.co/Gyk2TeQWaY'
1065297094863405056,2018-11-21 17:33:14,b'RT @thepablogen: LINE UP AS OF NOW:\nTOM ANGST \xf0\x9f\x92\x90\nWALLPAPER \xf0\x9f\x8c\xbf\nCHARLES WALKER \xf0\x9f\xa4\xa0 \nAPRICOT BLUSH \xf0\x9f\x8d\x91 \nROWDY LEAF \xf0\x9f\x8d\x83 \nPROZAC DREAMS \xf0\x9f\xa4\xac\nIN/BETWEEN STA\xe2\x80\xa6'
1065282419031502848,2018-11-21 16:34:55,b'RT @MikeFalzone: @hannahwitton You do them'
1065110546415083520,2018-11-21 05:11:57,b'RT @_daifei: what kind of backwards thinking is \xe2\x80\x9cattack the artist for speaking up about getting their art stolen\xe2\x80\x9d if some1 broke into your\xe2\x80\xa6'
1065034671094984709,2018-11-21 00:10:27,b'RT @plantkid_: put ur pronouns in ur bio\n\neven if ur cis\n\neven if it ruins ur aesthetic\n\neven if u think everyone can tell\n\nit helps normal\xe2\x80\xa6'
1064926395565031424,2018-11-20 17:00:12,"b""RT @nbcbrooklyn99: Don't call it a comeback. #Brooklyn99 https://t.co/8BCxnT7h9m"""
1064733721562107907,2018-11-20 04:14:35,"b""@Twitter what gives my feed won't load more and I'm starting to have withdrawals please help asap https://t.co/OMRCqagTPB"""
1064703443162578945,2018-11-20 02:14:16,b'RT @rebeccasugar: Steven Universe returns December 17 \xe2\xad\x90\xef\xb8\x8f Poster by joethejohnston danglyhaynes and color_rodeo \xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e https://t.co/eoDgboKc0t'
1064702817372385282,2018-11-20 02:11:47,"b""I want to live in the world @danauerbach 's music takes me to."""
1064670143341621253,2018-11-20 00:01:57,"b'RT @marwannafuq: \xe2\x80\x9cI like my women seen, not heard\xe2\x80\x9d is quite possibly the most misogynistic, objectifying thing I\xe2\x80\x99ve ever heard. You want yo\xe2\x80\xa6'"
1064596546430349313,2018-11-19 19:09:30,b'RT @CodyWKBurke: *Hears the n-word in a song*\n\nmy brain:\n\ndon\xe2\x80\x99t say it\ndon\xe2\x80\x99t say it\ndon\xe2\x80\x99t say it\ndon\xe2\x80\x99t say it\ndon\xe2\x80\x99t say it\ndon\xe2\x80\x99t say it\ndon\xe2\x80\xa6'
1064595924251488257,2018-11-19 19:07:02,b'RT @sarperduman: \xf0\x9f\x8e\xb9\xf0\x9f\x90\x88\xf0\x9f\x92\x99 https://t.co/npIv0zkVKu'
1064546353706094593,2018-11-19 15:50:03,b'RT @GeorginaAdlam: Excuse me while I cry because a random man on the internet disapproves of me'
1064544931547672576,2018-11-19 15:44:24,b'RT @__Hixee__: Thomas Edison: *invents light bulb*\n\nMoths in 1879: https://t.co/7XbfqEy5S6'
