id,created_at,text
1066051927002284042,2018-11-23 19:32:40,"b'@Pandamoanimum Fucking hell wish I hadn\xe2\x80\x99t, was there for ages'"
1066049432263843841,2018-11-23 19:22:45,"b'Chinese Government: Boycott China, Chinese goods, tourist and business if You are a real Human - Sign the Petition!\xe2\x80\xa6 https://t.co/2asz65nqht'"
1065724380435701760,2018-11-22 21:51:07,b'@annettesjl @bleksverdvar @0Calamity When my dad became (quickly and unexpectedly) terminally ill and wanted to let\xe2\x80\xa6 https://t.co/5n4py35mC8'
1065652088955432962,2018-11-22 17:03:51,b'@teaandnaps @Sonya_Ward Bet they were queuing up!'
1065651881534545922,2018-11-22 17:03:02,b'@TristanPEJ They all look fricking miserable'
1065651665125208064,2018-11-22 17:02:10,b'@simone_s_86 @matthew10180401 @MrTopple We know he did. But that was nearly 18 years ago. And we need to deal with\xe2\x80\xa6 https://t.co/3XIX3zM1df'
1065651221502013441,2018-11-22 17:00:24,b'@Havocman__ @Mozelburg212 Hi Tom and Pete. I have had the black dog snapping at my heels recently. Something that h\xe2\x80\xa6 https://t.co/8UTes8Ohgc'
1065566471076659200,2018-11-22 11:23:38,"b'@pointlesslettrs \xe2\x80\x98All and sundry will expect me to plant a kisser on them\xe2\x80\x99 Tony getting his excuses in early, in case his missus is watching'"
1065550262713094145,2018-11-22 10:19:14,b'@Scouse_ma My kids have started calling each other turtle \xf0\x9f\x90\xa2 nonces \xf0\x9f\x99\x84'
1065543398357155840,2018-11-22 09:51:57,"b'RT @Sonya_Ward: I was there yesterday too, it\xe2\x80\x99s dire. Wonder where Ben Bradley MP\xe2\x80\x99s buys his blinkers... https://t.co/WG7VjcPjmr'"
1065543254240870400,2018-11-22 09:51:23,b'@TherealNihal @ElyPenar I have no grandparents left. My dad passed in March and so my kids only have the one granda\xe2\x80\xa6 https://t.co/kgcRLwpC0r'
1065540297940189184,2018-11-22 09:39:38,b'@Sonya_Ward :( https://t.co/srLyeewK1C'
1065355209466159109,2018-11-21 21:24:09,b'@jongoulding @Rachael_Swindon We can\xe2\x80\x99t even buy paper for our students. We have less than ten laptops and one laptop charger.'
1065310752259620864,2018-11-21 18:27:30,"b'#torybritain #UniversalCredit \n5 different people in ONE day at the foodbank, reporting probs with UC. Local MP say\xe2\x80\xa6 https://t.co/skeBLLcssh'"
1065300543722131457,2018-11-21 17:46:56,b'@Scouse_ma In that case it\xe2\x80\x99s Phyllis Vauxhall-Jenkins'
1065269418299719680,2018-11-21 15:43:15,b'@amazon just to make you aware I\xe2\x80\x99ve had this spam email https://t.co/9aTHXB6tg0'
1065161187011235841,2018-11-21 08:33:11,"b'First thought this morning was hope @Harryslaststand is getting on ok, and his son John is bearing up ok too'"
1065161067381313536,2018-11-21 08:32:42,"b'@BritishArmy hello, do you have any open days coming up at Harrogate AFC for potential new applicants please. Thanks'"
1065160940772048896,2018-11-21 08:32:12,"b'RT @Ubique_Will: Junior Soldiers being taught diffferent sports, where many schools have failed. Not only that, getting paid to gain furthe\xe2\x80\xa6'"
1065006542615969792,2018-11-20 22:18:41,b'@oliviaahicks @stavvers My husband was crying down the phone to our GP and she just told him he needed to ring anot\xe2\x80\xa6 https://t.co/6LcE1qvtzj'
1064991525954822145,2018-11-20 21:19:01,"b'@Harryslaststand John, you have a beautiful way with words.\nJust like your wonderful dad. Sending positivity to you.'"
1064972432337969152,2018-11-20 20:03:08,b'@Muqadaam Take a break if you need it. Twitter will still be here. Take time to heal \xe2\x9c\x8c\xf0\x9f\x8f\xbc'
1064929707513339905,2018-11-20 17:13:22,"b'@catsinbelfry @hugomeusrex @ScotlandPhotos @carolmacqueen @PeterDilworth1 I\xe2\x80\x99m English, please welcome me too! We aren\xe2\x80\x99t all twats \xf0\x9f\x98\xac'"
1064928972474130432,2018-11-20 17:10:27,b'@Harryslaststand Sending love!! Stay strong Harry'
1064896330802315271,2018-11-20 15:00:44,"b'RT @Number10cat: Knock knock\nWho\xe2\x80\x99s there?\nLarry\nLarry who?\nCome on Keith, give me a break and let the cat in...\nhttps://t.co/0dLKz2cPj9'"
1064896188623802369,2018-11-20 15:00:10,b'RT @Tuckleton: #TuesdayThoughts\n\nThis picture of Jacob Reese Mogg and his Nanny is the stuff of nightmares. https://t.co/EptjXGuZOH'
1064822257632112641,2018-11-20 10:06:24,"b""RT @SpillerOfTea: Didn't see you acting like Billy Big Bollocks when you were tongue-punching the fartbox of a child-imprisoning rapist on\xe2\x80\xa6"""
1064822227085000704,2018-11-20 10:06:17,b'@Scouse_ma @Hea1y @SpillerOfTea I just keep re-reading it'
1064200706570227719,2018-11-18 16:56:34,b'RT @EL4JC: Andrew Marr loses his shit and reveals himself as another BBC bully boy. Shameful. https://t.co/TLozKmrSAf'
1064079463284174849,2018-11-18 08:54:48,"b'RT @wef: By some estimates, up to 20% of Britons live in poverty. Read more: https://t.co/v8lKVfKup0 #unitedkingdom #society https://t.co/6\xe2\x80\xa6'"
1063568369411129344,2018-11-16 23:03:54,b'RT @jeremycorbyn: Austerity has always been a political choice.\n\nLabour will end it and rebuild all our communities.\n\nhttps://t.co/F3OH7oPB\xe2\x80\xa6'
1063563559311953920,2018-11-16 22:44:47,b'@Rachael_Swindon Gary twatting Barlow \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x98\x82'
1063563423873683456,2018-11-16 22:44:14,"b'RT @mac123_m: About 14 million people, a fifth of the population, live in poverty, and 1.5 million are destitute, unable to afford basic es\xe2\x80\xa6'"
1063562110549012480,2018-11-16 22:39:01,b'RT @Midget_Jones32: I\xe2\x80\x99ve most likely said this before but it\xe2\x80\x99s awfully ironic that the majority of \xe2\x80\x98celebrities\xe2\x80\x99 that host / perform Childr\xe2\x80\xa6'
1063491960462286848,2018-11-16 18:00:16,b'RT @BrendonHope: Only 5 Brexit secretary\xe2\x80\x99s until Christmas.'
1063489285859549186,2018-11-16 17:49:39,b'@DuncanHarkis @HovellingHermit @Sarahjanewoo @arseybastard That\xe2\x80\x99s the nice bit of our society!'
1063469454296784896,2018-11-16 16:30:50,"b""UK austerity has inflicted 'great misery' on citizens, UN says | Society | The Guardian https://t.co/YUzZgMzzdk"""
1063467122263764994,2018-11-16 16:21:34,"b'RT @WarmongerHodges: ""For almost one in every two children to be poor in twenty-first century Britain is not just a disgrace, but a social\xe2\x80\xa6'"
1063467038344179712,2018-11-16 16:21:14,b'@Sarahjanewoo @HovellingHermit @arseybastard My mum volunteers at a food bank. Every week I send a few tins or pack\xe2\x80\xa6 https://t.co/vd27gyuJER'
1063466723603566594,2018-11-16 16:19:59,"b'RT @PeterEgan6: RT if like me you agree with @rickygervais : ""Shame on the pathetic sadist who pays money to shoot this animal, &amp; shame on\xe2\x80\xa6'"
1063466693391990784,2018-11-16 16:19:52,b'There is a link to a petition in the article. https://t.co/UU0SDGQ57f'
1063416908173725696,2018-11-16 13:02:02,b'Conservative Party: Call for Claire Perry to be sacked - Sign the Petition! https://t.co/t56oB4upW5 via @UKChange'
1063416588437721088,2018-11-16 13:00:46,b'RT @ToryFibs: Last night the BBC published a pre-recorded &amp; edited programme that contained a libelous accusation aimed at the leader of He\xe2\x80\xa6'
1063416158987214848,2018-11-16 12:59:04,b'@angie_iguess @moniquedhooghe Omg thank you for this \xf0\x9f\xa4\x97\xf0\x9f\xa4\x97'
1063415759282548737,2018-11-16 12:57:28,b'RT @MikeParry_: So here\xe2\x80\x99s the 3 lads that STOLE my boys bikes Tuesday night.. can we get this retweeted please? See if we can get them reco\xe2\x80\xa6'
1063122039026933761,2018-11-15 17:30:20,b'She is clinging on tight isn\xe2\x80\x99t she!!'
1063121858772586497,2018-11-15 17:29:37,b'@stavvers Rehash of yesterday'
1063121621827964933,2018-11-15 17:28:41,b'Erm isn\xe2\x80\x99t this just a repeat of yesterday\xe2\x80\x99s press conference?'
1063117781460312064,2018-11-15 17:13:25,b'@stavvers \xe2\x80\x98The prime minister clearly still not there\xe2\x80\x99 Cheers fucking Sherlock'
1063117106420555776,2018-11-15 17:10:44,"b""RT @RemainerNow: Bill voted leave, but earlier today he called @mrjamesob on @LBC to say sorry and it's emotional. He says as wrong &amp; he is\xe2\x80\xa6"""
