id,created_at,text
1067160349076525057,2018-11-26 20:57:08,"b'RT @ChurchofSatan: ""Letters from the Devil"" collects over 60 installments of Anton LaVey\xe2\x80\x99s column culled from rare tabloid newspapers. On s\xe2\x80\xa6'"
1067149560873713666,2018-11-26 20:14:16,"b'RT @SatanicChurch: Religious right republicans will tell you how bad Satan is.  Satan has NEVER tear gasses anyone, nor has he held childre\xe2\x80\xa6'"
1067090997220392961,2018-11-26 16:21:33,"b""RT @SatanicChurch: Trump's job growth policy is costing 15,000 GM workers their jobs, even in Youngstown where he told a group of his sheep\xe2\x80\xa6"""
1067025399006273537,2018-11-26 12:00:54,b'Good Morning'
1067025352298508288,2018-11-26 12:00:43,"b""RT @BlkNrdProblems: I mean... I'm not judging on using magic for self care. Care for ALL of yourself, honey! \n#ThreeTheCharmedWay #Charmed\xe2\x80\xa6"""
1066875140301033472,2018-11-26 02:03:49,b'Good Night'
1066875079219388416,2018-11-26 02:03:35,"b""RT @leeroymyers: I'm so stoked to announce some of the amazing porn stars you can meet at the @Wood_Rocket/@thelionsden booth at @AEexpo in\xe2\x80\xa6"""
1066874888579936256,2018-11-26 02:02:49,b'RT @GeorgeTakei: Trump is demanding action to reduce the deficit. This after ballooning it with a yuge giveaway to corporations and billion\xe2\x80\xa6'
1066821559422279687,2018-11-25 22:30:55,"b""RT @TommyPistol: @Danshocka @pepealvarezal @LolaMurder @a_clown_prince I'm secretly HOPING @badboycraven @TheBreeMills @puretaboocom can ma\xe2\x80\xa6"""
1066730054388985856,2018-11-25 16:27:18,b'Good Morning'
1066729964265967617,2018-11-25 16:26:57,b'RT @sarah_koopman: If you guys want to make $300+ a day sign up at https://t.co/cYn0vhCLbF\xe2\x9c\x94\xef\xb8\x8fThey pay $150 for taking the first survey and $\xe2\x80\xa6'
1066533619232055296,2018-11-25 03:26:44,b'Good Night'
1066345786278117377,2018-11-24 15:00:21,"b""RT @Evolutionistrue: On this day in 1859, Darwin published On the Origin of Species, the most important science book ever. Humanity's view\xe2\x80\xa6"""
1066333309825937408,2018-11-24 14:10:47,b'RT @Alyssa_Milano: My small children\xe2\x80\x99s  innocence was broken by active shooting drills in school. \n\nSeeing two girls kissing just solidifie\xe2\x80\xa6'
1066333201650647041,2018-11-24 14:10:21,b'RT @cocosworld: Coco Fans!!\nPreorder now too get your copy of my greatest photo shoots ever! It comes with a new special edition  magazine\xe2\x80\xa6'
1066333115466096640,2018-11-24 14:10:00,b'RT @cypresshill: Time to up your percussion game and support the Cypress Hill Documentary! Hit the link https://t.co/lY3XV50oby #lessons #c\xe2\x80\xa6'
1066333096579092481,2018-11-24 14:09:56,b'RT @historylvrsclub: From Rita Hayworth to Jane Russell. See more pictures: https://t.co/7XVg1t3V6C https://t.co/G8gKX04uEa'
1066333041252028417,2018-11-24 14:09:43,"b""RT @ufc: 'The Demolition Man'\n\n@AlistairOvereem #UFCBeijing https://t.co/kpMZ0YGRkV"""
1066332696643809281,2018-11-24 14:08:21,b'RT @0rphxnBlack: this is me Boxing Day after Christmas https://t.co/lKcadzlC0X'
1066321270390865920,2018-11-24 13:22:56,b'RT @COLDGAMEKELV: Good Morning \xf0\x9f\x8d\xb3 https://t.co/c3nHsCyteZ'
1066321202954813440,2018-11-24 13:22:40,b'My Cat is Sitting My Cousin\xe2\x80\x99s Toy Baby Carrier\n#Caturday https://t.co/FkTrB5j1eH'
1066319777331888129,2018-11-24 13:17:00,b'RT @plasticpossible: Even a cat can do it. Maybe.'
1066317663809531904,2018-11-24 13:08:36,b'RT @AMAZlNGNATURE: Pure happiness  https://t.co/yx8sgtB9ow'
1066315202705219585,2018-11-24 12:58:50,"b'RT @Alyssa_Milano: For your records, @realDonaldTrump. \n\nYOUR government\xe2\x80\x99s report on climate report. \n\nYou should really read this. It\xe2\x80\x99s pr\xe2\x80\xa6'"
1066315170115477505,2018-11-24 12:58:42,"b'RT @funder: A record 14,000 unaccompanied immigrant children are in US custody.\n\nREPEAT.\n\nA record 14,000 unaccompanied immigrant children\xe2\x80\xa6'"
1066315064066613248,2018-11-24 12:58:17,"b'RT @OurRevolution: Last year alone, Walmart brought in over $13 billion in profits. They can more than afford to give their workers a raise\xe2\x80\xa6'"
1066313434353012739,2018-11-24 12:51:48,b'RT @UPS: Our littlest driver-in-training! Share your words of encouragement for Parson using #WishesDelivered \xe2\x9c\xa8\xe2\x9c\xa8'
1066313410936225792,2018-11-24 12:51:42,b'RT @CodyRhodes: Dashing https://t.co/W4yVVfLPWc'
1066309355992080384,2018-11-24 12:35:36,b'RT @IAmJericho: Two of the true greats passed away 27 years ago today...We Still Remember! #FreddieMercury #EricCarr @ Rock N Roll Heaven h\xe2\x80\xa6'
1066305248027951104,2018-11-24 12:19:16,b'RT @jacquelineestey: my dog has a stuffed bear that he always hangs out with and he sat in front of the dryer the whole cycle just to make\xe2\x80\xa6'
1066305203924811776,2018-11-24 12:19:06,"b'Good Morning. It Is #Caturday, Today.'"
1066286401937989632,2018-11-24 11:04:23,"b""RT @DanRather: On a walk with my grandson a group of ladybugs lighted upon us. It was delightful and I realized I haven't given the mysteri\xe2\x80\xa6"""
1066286218000896000,2018-11-24 11:03:39,b'RT @ryansatin: This lady put another Black Friday shopper in the gogoplata!! \n\n https://t.co/3IzVR2yv6o'
1066286066041274368,2018-11-24 11:03:03,b'RT @ladygaga: Still playing #Bayonetta middle of chapter XIII and my hands hurt and I have to sleep and it\xe2\x80\x99s 4 In the damn morning but this\xe2\x80\xa6'
1066286025230700544,2018-11-24 11:02:53,b'RT @ellesep: When you double major in drama and pre-med https://t.co/LMye9Rd1sn'
1066206956069797888,2018-11-24 05:48:42,"b""RT @historylvrsclub: Audrey Hepburn Breakfast at Tiffany's' Framed Art. https://t.co/AYnNwUYNDH"""
1066206668441219073,2018-11-24 05:47:33,b'RT @nostalgiaonfilm: North is the most dramatic kid EVER why was she on the floor crying like that \xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/zFi2ScE9iT'
1066206596672471041,2018-11-24 05:47:16,"b'RT @GeorgeTakei: Children get mowed down in school, Trump boasts of sexually assaulting women, and there\xe2\x80\x99s a shoulder shrug from the right.\xe2\x80\xa6'"
1066206571921883136,2018-11-24 05:47:10,b'RT @TheBrandiRhodes: Spoiler alert. Last night I won. 4-0 \xf0\x9f\x98\x88\xf0\x9f\x98\x88\xf0\x9f\x98\x88 https://t.co/hXDZeAO8vR'
