id,created_at,text
1026866671456116736,2018-08-07 16:24:27,b'\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb https://t.co/lYgnSXAuwk'
1005245876539920386,2018-06-09 00:31:08,"b'We are dining at @thelostkitchen next week in Freedom, ME. \xf0\x9f\x98\xae\n\nStay tuned for photos. Should be amazing!'"
999779744773111808,2018-05-24 22:30:40,b'RT @teddy: Okay this has gone too far https://t.co/vTWapuBkvU'
996845550665285632,2018-05-16 20:11:14,"b'Thank you, @SenatorCollins for understanding the value of an open internet!'"
965083908810272768,2018-02-18 04:41:48,b'.@PortlandPieCo is opening in Waterville! \xf0\x9f\x8d\x95\xf0\x9f\x8d\x95\xf0\x9f\x8d\x95 https://t.co/728R525y9g'
964972798778077184,2018-02-17 21:20:18,b'This would be problematic for us Mainers \xf0\x9f\xa4\x94\xc2\xa0https://t.co/NwenD9g5ju'
962401959817789440,2018-02-10 19:04:42,b'End of an era \xf0\x9f\x98\x9e https://t.co/ymIDtcPe8y'
961861819592683521,2018-02-09 07:18:22,b'Victory! https://t.co/nfYIl2aBvU'
960617162544222219,2018-02-05 20:52:33,b'Did anyone else notice that Super Bowl Selfie Kid was wearing a @sundayriver sweatshirt?! https://t.co/l5jFU0QSMQ'
951965916178214912,2018-01-12 23:55:35,b'\xf0\x9f\x98\x82 https://t.co/Wo9MwYbMh7'
949697116213047297,2018-01-06 17:40:11,"b'In the Bay Area, a company is selling unfiltered, untreated and unsterilized water from Maine springs and branding\xe2\x80\xa6 https://t.co/LHmsRIP8lU'"
949511611173126144,2018-01-06 05:23:03,"b""As a Mainer, I've never understood this \xf0\x9f\x98\x82\xc2\xa0https://t.co/5PigtzIKsv"""
949027396929269760,2018-01-04 21:18:58,b'Central Maine is looking messy! https://t.co/EU7ALkATso'
948650651394781184,2018-01-03 20:21:55,b'.@SamHorine has posted some great shots of Skowhegan and Portland in the last week! \n\nhttps://t.co/GgofvEPvgx\xe2\x80\xa6 https://t.co/ft0g75TnvP'
948575639329583104,2018-01-03 15:23:50,b'\xf0\x9f\xa7\x90\xc2\xa0https://t.co/iwDopg91qo'
946848558723952640,2017-12-29 21:01:02,b'Represent! https://t.co/TaLw2CgxUQ'
946726264034824192,2017-12-29 12:55:05,b'@AmandaWGME @WGME Is the Mt Washington temp a typo?'
946726071210205184,2017-12-29 12:54:19,b'\xf0\x9f\x98\xb5 https://t.co/79IZmF36h9'
946487961159213056,2017-12-28 21:08:09,b'Brrr https://t.co/Xl9Z9CNrjg'
945360704608935936,2017-12-25 18:28:50,b'This is how you get around in the snow in Maine. #whitechristmas https://t.co/I4IySrmmL0'
945360314672955392,2017-12-25 18:27:17,b'@JimTselikis do some donuts for me! \xf0\x9f\x8d\xa9'
945349003419385857,2017-12-25 17:42:20,"b'Careful driving out there, folks! #thundersnow https://t.co/dfUeeKkJmn'"
945347959813652480,2017-12-25 17:38:11,"b""It's a #WhiteChristmas in Maine! \n\nMerry Christmas! \xf0\x9f\x8e\x85\xf0\x9f\x8f\xbc\xf0\x9f\x8e\x84 https://t.co/2yf4zKcUbG"""
945097747606077441,2017-12-25 01:03:56,b'The dogs of @BowdoinCollege \xf0\x9f\x90\xb6\xf0\x9f\x98\x8d  https://t.co/n0kisn8gXy'
943292697732726784,2017-12-20 01:31:19,b'More exciting news for @CityofWtvl &amp; @ColbyCollege! https://t.co/NILRaUlhMX'
943292072139800582,2017-12-20 01:28:50,b'Any takers? https://t.co/43gHiz4sjf'
943291069415825408,2017-12-20 01:24:51,"b""Waterville's first ever microbrewery opens this winter! \xf0\x9f\x8d\xbbhttps://t.co/FvjEJTALsk"""
939551316417773568,2017-12-09 17:44:24,b'\xe2\x9d\x84\xef\xb8\x8f \xe2\x9b\xb7 https://t.co/UueZz518Zp'
939196931334594560,2017-12-08 18:16:12,"b'Wow, go @ColbyCollege! \xf0\x9f\x92\xb8\xc2\xa0https://t.co/IE3S5uDfJZ'"
934237584556834816,2017-11-25 01:49:32,"b'Thank you, @SenatorCollins! https://t.co/SLW5wFLnTx'"
931951796662149120,2017-11-18 18:26:37,"b'.@TheLostKitchen in Freedom, Maine has been on our list of restaurants to try! If only it were easier to get a rese\xe2\x80\xa6 https://t.co/F5cVN8rWxk'"
929808667590803456,2017-11-12 20:30:36,b'RT @teddy: A silly piece about all the @ replies I get on @me https://t.co/P3rCgAxAdh'
900491072337395712,2017-08-23 22:52:56,b'.@LukesLobster launching petition for a lobster emoji! Let\xe2\x80\x99s doooo this! https://t.co/eci6JDiULc'
900490717260386305,2017-08-23 22:51:31,b'@LukesLobster Dude! Behind this 110%!'
900489444360310784,2017-08-23 22:46:28,b'Great news for Waterville! That building had been vacant for far too long. https://t.co/RXlWiRIfz1'
900489228621983744,2017-08-23 22:45:37,b'@newenglandgirl Definitely some serious #cabinporn there \xf0\x9f\x91\x8c\xf0\x9f\x8f\xbc'
881302293110444032,2017-07-02 00:03:35,"b"".@ME's @teddy just returned from a trip to Portland &amp; \xe2\x9d\xa4\xef\xb8\x8f'd:\n\n- @bardcoffee\n- @eventideoyster\n- @555portlandme\n- @thepresshotel\n\nTop notch \xf0\x9f\x91\x8c"""
880899261533224962,2017-06-30 21:22:04,b'\xf0\x9f\x98\x95\n\nhttps://t.co/QOHUIiKAMs'
879754301601701890,2017-06-27 17:32:25,b'That is one large lobstah https://t.co/99NJPKkr85'
870392112897863681,2017-06-01 21:30:25,b'Neat to see @BlueBottleRoast add Boston locations. Portland next? \xe2\x98\x95\xef\xb8\x8f\xc2\xa0https://t.co/3usYHILGpF'
869341140356521984,2017-05-29 23:54:14,"b""George's sock game is on point \xf0\x9f\x91\x8c\xc2\xa0https://t.co/uQu6rcyDsC"""
867509276125798400,2017-05-24 22:35:03,b'@LLBean_PR @LLBean That is a nice looking fanny pack!'
866858706259951616,2017-05-23 03:29:55,b'Quite the chart! Interesting read on the growth of the lobster population in Maine: https://t.co/qq3Qnp6cwa https://t.co/3YB6rz4rui'
865940753486184448,2017-05-20 14:42:18,"b""The worst tourist trap in each state: https://t.co/jy4GJQ4Nyx\n\nCan you guess what Maine's is?"""
865918750322589696,2017-05-20 13:14:52,b'Zuck and Priscilla are celebrating their anniversary in Maine! https://t.co/Ikefui9qJP'
860561040408313856,2017-05-05 18:25:15,b'I wonder if they need anymore judges \xf0\x9f\x98\xaehttps://t.co/b8yA5I6yz6'
860242047843708928,2017-05-04 21:17:41,b'First tweet! \n\nWelcome to Maine: The Way Life Should Be \xf0\x9f\x97\xbb\xf0\x9f\x8c\x8a\xf0\x9f\x8c\xb2'
634090887870578692,2015-08-19 19:53:43,b'RT @MyShawtiee: @Me @jtimberlake yea bcus the song he coming out with JB. \nJT and JB Collab.. \xf0\x9f\x8e\x88'
634076904740491264,2015-08-19 18:58:09,b'RT @MyShawtiee: @Me. THIS !  DM me at the time :) https://t.co/BhviX5FHqB'
634069649160859648,2015-08-19 18:29:19,b'RT @MyShawtiee: @Me last name gotti \xf0\x9f\x98\x8e\xf0\x9f\x98\x8e'
634065709539176448,2015-08-19 18:13:40,b'RT @MyShawtiee: @Me r u in this pic???'
634062669037735940,2015-08-19 18:01:35,"b""RT @MyShawtiee: you are you and I am me, but where's Justin. @me\n#WhatDoYouMean ?"""
634059057687580672,2015-08-19 17:47:14,b'RT @MyShawtiee: @Me Are you Jack or James? \n#WhatDoYouMean'
634057559931027457,2015-08-19 17:41:17,b'RT @MyShawtiee: @me #WhatDoYouMean?'
