id,created_at,text
1066410558084141061,2018-11-24 19:17:44,b'RT @TheSteelyHan: Cosmetic Brands That Are NOT Cruelty-Free\n\nHere are some brands to reconsider buying from this holiday season! \n\n\xe2\x80\xa2 Avon\n\xe2\x80\xa2\xe2\x80\xa6'
1065657647280513024,2018-11-22 17:25:56,"b""RT @TobyHater: I saved a life today. My own. Am I hero? I can't really say. But, yes."""
1065138136278134789,2018-11-21 07:01:35,b'RT @thisisntjavii: \xe2\x80\x9cAre you drunk?\xe2\x80\x9d\n\nMe: https://t.co/Tdnk9CbHNa'
1065137173005926400,2018-11-21 06:57:45,b'RT @_Ollie2505: Fully deserved https://t.co/HWTpTNc64g'
1065136991560290304,2018-11-21 06:57:02,b'RT @justinbaldoni: \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xe2\x9d\xa4\xef\xb8\x8f https://t.co/fMGN1JVx9a'
1065136966734307328,2018-11-21 06:56:56,b'RT @kaiteasley: me doing something illegal while driving: oops lol\n\nme watching someone else do something illegal while driving: who gave t\xe2\x80\xa6'
1065136868226809857,2018-11-21 06:56:33,"b'RT @delossantos22_: My parents spoiled me rotten growing up. And they\xe2\x80\x99ve also taught me to work for what I have, nothing will be handed to\xe2\x80\xa6'"
1064575837847019521,2018-11-19 17:47:13,"b""RT @TEDTalks: .@justinbaldoni has a challenge for men: Are we strong enough to be sensitive?\n\nWatch Justin's full TED Talk about being #Man\xe2\x80\xa6"""
1064574729854447617,2018-11-19 17:42:49,b'RT @LORAFRIMANEE: no cellphone in sight. just people living in the moment https://t.co/FW54YdPugg'
1064574378120073216,2018-11-19 17:41:25,b'RT @esnytrash: why did US schools teach us how to square dance in the fourth grade what was the reason'
1064284866173272064,2018-11-18 22:31:00,b'RT @itsrjhill: \xe2\x80\x9cI study better at night\xe2\x80\x9d\n\n11 pm: https://t.co/lYp3hCPCVT'
1064284694328406016,2018-11-18 22:30:19,b'RT @umcornell: friend: let\xe2\x80\x99s go eat\n\nme: i\xe2\x80\x99m supposed to be saving money\n\nfriend: i\xe2\x80\x99ll pay \n\nme: https://t.co/S6TIl3VQjI'
1064284546336677888,2018-11-18 22:29:43,b'RT @sgrate_: Christmas shopping gonna be a breeze this year cuz nobody getting shit'
1064283246144278528,2018-11-18 22:24:33,b'RT @rauhIsbitch: 9 YEARS since My World came out let me cry in the corner\n https://t.co/VaLpzZdtyD'
1064282394860052480,2018-11-18 22:21:11,b'RT @sarahananian: Me realizing i have no idea what my friend just said: \n\nMy brain:\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDon\xe2\x80\xa6'
1063972430807367680,2018-11-18 01:49:29,b'RT @sleepyaqua: if you\xe2\x80\x99re a stra*ght m*n &amp; you don\xe2\x80\x99t eat pussy you\xe2\x80\x99re literally a waste of space i\xe2\x80\x99m not sorry'
1063119930206302213,2018-11-15 17:21:57,b'RT @freddiescats: this is me whenever Killer Queen comes on https://t.co/ce9gwG8U7u'
1062891175764344832,2018-11-15 02:12:58,b'RT @raychleperkins: My mood this whole week has been: I need a drink'
1062891146748190720,2018-11-15 02:12:51,b'RT @VeganAri: Or we could just stop eating fish. https://t.co/4dQlX4QAty'
1062562163338829824,2018-11-14 04:25:35,b'RT @slackerdook: the best thing about my school is the danny devito shrine hidden behind the paper towel dispenser in one of the bathrooms\xe2\x80\xa6'
1062558297029402625,2018-11-14 04:10:14,b'RT @kindslut: not to be rude but i can\xe2\x80\x99t fucking wait until this year is over'
