id,created_at,text
1051047257347411968,2018-10-13 09:49:28,b'Talking about mental health. I have bipolar &amp; have struggled with being diagnosed so bad. But I can honestly hand o\xe2\x80\xa6 https://t.co/QEVDnq0Ab9'
1035904708706279424,2018-09-01 14:58:23,"b'RT @MichaelFinchxo: Sorry but real friends won\xe2\x80\x99t ever get jealous of you, fake friends however will \xf0\x9f\x99\x83'"
1032222378145837056,2018-08-22 11:06:07,b'Yasssssss https://t.co/DEHeFrNgER'
1031248576121380871,2018-08-19 18:36:34,b'@JeffreeStar We love you @JeffreeStar'
1031247838993428482,2018-08-19 18:33:39,b'@JeffreeStar you are such an inspiration.. thankyou for opening up to all your fans.. we love you \xe2\xad\x90\xf0\x9f\x92\x9c\xe2\xad\x90\xf0\x9f\x92\x9c\xe2\xad\x90\xf0\x9f\x92\x9c\xe2\xad\x90'
1031223744218447873,2018-08-19 16:57:54,b'@MannyMua733 You need to get rid of the toxic people in your lives and focus on you .. and in time maybe strike up\xe2\x80\xa6 https://t.co/IyrHETXEtY'
1031223457521037312,2018-08-19 16:56:46,b'RT @JeffreeStar: New video will be up in one hour and 30 min... \xf0\x9f\x98\xab'
1031223214750556160,2018-08-19 16:55:48,b'@JeffreeStar Happy birthday nate.. hope your having an amazing holiday \xe2\x99\xa1'
1031145076846682113,2018-08-19 11:45:18,"b""RT @heynaniiepunani: Rt if you \n\xe2\x80\xa2 wanna fuck\n\xe2\x80\xa2 need money\n\xe2\x80\xa2 are hungry\n\xe2\x80\xa2 wanna die \n\xe2\x80\xa2 can't sleep\n\xe2\x80\xa2 single \n\xe2\x80\xa2 want a tattoo \n\xe2\x80\xa2 need a blunt\xe2\x80\xa6"""
1031144677884485632,2018-08-19 11:43:43,b'RT @JeffreeStar: Imagine trying to bully me but you actually end your own career instead \xe2\x9c\x8c\xf0\x9f\x8f\xbb https://t.co/JZCYBjbpI3'
1029281816753127425,2018-08-14 08:21:22,b'Literally sitting watching the @shanedawson and @JeffreeStar series again for the third time.. it is epic !! And se\xe2\x80\xa6 https://t.co/sqiCaVdPU0'
1029277288632909824,2018-08-14 08:03:23,b'@hiitaylorlynn @JeffreeStar Pretty much the U.K as well \xf0\x9f\x98\x8d'
1026713386753634304,2018-08-07 06:15:21,b'Literally obsessed with the new @JeffreeStar and @shanedawson videos on YouTube..  always loved jeffree but gawd he\xe2\x80\xa6 https://t.co/V55showIpB'
1026712787287003136,2018-08-07 06:12:58,b'#NewProfilePic https://t.co/s36UtqUgwR'
