id,created_at,text
502648378120212480,2014-08-22 02:48:06,b'My goal for my senior year is to make someone smile every day #MereBearsBacktoSchool'
497443767180611584,2014-08-07 18:06:50,b'My goal for my senior year is to not give up on my school work #MereBearsBacktoSchool'
497200077136744448,2014-08-07 01:58:30,b'My goal for my senior year is to make as many memories as possible #MereBearsBacktoSchool'
497199669752381440,2014-08-07 01:56:53,b'RT @stilababe09: NEW VIDEO! Back to School Supplies Giveaway! | Meredith Foster: http://t.co/Krfk6PuT1Z via @YouTube #MereBearsBacktoSchool\xe2\x80\xa6'
490227165653262336,2014-07-18 20:10:38,"b""Win a #MichaelKors bag and @LollyDolly128's fave #accessories! http://t.co/x77kxtnBcI"""
428512125992988672,2014-01-29 12:57:06,b'I want to win the @leighannsays makeup giveaway! \xe2\x99\xa1 #giveaway http://t.co/yIKhERNhWG'
380435364432723968,2013-09-18 20:57:13,"b'This might just be my horoscope but it applies to everyone, stay strong baby dolls\xe2\x99\xa5 http://t.co/wNqwDSb8LW'"
380109017361559552,2013-09-17 23:20:26,b'Hi babes how are you? \xe2\x99\xa5'
378695439890923521,2013-09-14 01:43:23,b'Everyone save and use. http://t.co/Qo1wSiJJZH'
377877956414435328,2013-09-11 19:35:00,b'How is everyone doing lovelies? \xe2\x99\xa5'
377143436245082112,2013-09-09 18:56:16,b'This is the best thing ever http://t.co/VB62Br8Pc5'
376171504141991936,2013-09-07 02:34:10,"b""But on a serious note I'm here for each and everyone of you. No matter what or when you can contact me. I really care about all of you \xe2\x99\xa5"""
376171265913913344,2013-09-07 02:33:13,"b""I'm exhausted from crying all day. I'm sorry if I've been so annoying on here. This is just my safe haven. It's the only place I vent."""
376170101726146560,2013-09-07 02:28:35,b'RT @ERHSnicewords: Society tells you this...\n\nI tell you: just be you. http://t.co/cxAOwesjd6'
376130838791872512,2013-09-06 23:52:34,"b'RT @ddlovato: When your feet start to hurt, place yourself in someone else\xe2\x80\x99s shoes. #StayingStrongMonday'"
376096807530418176,2013-09-06 21:37:21,"b""One day I'll stop crying. I'll get over you and that day you'll realize what you've lost."""
376094781182451712,2013-09-06 21:29:17,"b""I'm still crying tho"""
376089557764014080,2013-09-06 21:08:32,"b""I've got amazing friends and family and an extremely bright future ahead of me. Stay positive. Stay strong."""
376089235473723392,2013-09-06 21:07:15,"b""One day you'll realize how stupid you were for letting such an amazing girl that would do anything for you go."""
376087142536990720,2013-09-06 20:58:56,"b'Before I knew there was hope, and now there is none. I feel empty. Like a part of me is missing.'"
376055271602126848,2013-09-06 18:52:18,"b""I've never felt more broken in my life"""
376012709848178688,2013-09-06 16:03:10,"b""Ugh I hate being sad at school. I feel like I'm going to break out into tears at any moment."""
375347177955930113,2013-09-04 19:58:35,b'@f4ilingLife thanks so much dolly\xe2\x99\xa5'
375345522212483072,2013-09-04 19:52:00,"b""How's everyone been lately? \xe2\x99\xa5"""
375345335691776000,2013-09-04 19:51:16,"b'First day of school as a junior today, my outfit:) http://t.co/ACIEOmegOS'"
375344948683366402,2013-09-04 19:49:44,"b""RT @skinnymetea: @nowimawarrriorr don't worry babe!! stay positive, eat clean &amp; the results will come #chinupbuttercup &lt;3 x"""
374672423259754496,2013-09-02 23:17:21,"b""Having a very insecure day cause I'm already 1 week into my teatox and not seeing the results I want:/ @skinnymetea"""
374377633850486784,2013-09-02 03:45:58,b'I constantly check my phone hoping to get a text from you. Pathetic.'
373783143678873602,2013-08-31 12:23:40,b'http://t.co/sA9TMvHWd9'
373633652535480321,2013-08-31 02:29:39,"b""I've got so many good things in my life it's stupid to be so sad about one thing."""
373633400239689728,2013-08-31 02:28:39,b'@NinaLlewellyn thanks doll\xe2\x99\xa5'
373633294555832320,2013-08-31 02:28:13,"b""I've been through hell and back this is just a bump in the road #staypositive"""
373487236039180288,2013-08-30 16:47:50,"b'I guess I get to focus on myself for awhile. Find myself, plan my sweet sixteen, focus on junior year. I need to stay positive.'"
373478700248866816,2013-08-30 16:13:55,b'And the worst part is I broke up with him. I tried to do what I thought was best for me. And maybe it is but definitely not at the moment.'
373477818690043904,2013-08-30 16:10:25,b'Trying so hard to just be strong and hold everything back and that just leads to major break downs at night'
373453620995309568,2013-08-30 14:34:16,"b""Hey guys I'm going through a bad break up at the moment so I'll probably be venting and annoying for a little bit just cause I don't open up"""
372735681044705282,2013-08-28 15:01:26,b'http://t.co/fd22YgqBgr'
372047828891467776,2013-08-26 17:28:09,"b'I started my @skinnymetea 14 day tea tox today, that means eating vegan for two weeks.. so excited!'"
371776130274951168,2013-08-25 23:28:31,"b""I'm sorry I've been so busy babes:( you guys can always contact me if you need anything \xe2\x99\xa5"""
369812759216545792,2013-08-20 13:26:47,b'Happy 21st birthday to my idol I honestly owe you my life. Thank you for saving me beautiful @ddlovato \xe2\x99\xa5'
369811360512614401,2013-08-20 13:21:13,b'@MentalInsanity_ lovely text me anytime'
369810577096331264,2013-08-20 13:18:06,"b""It's amazing how I can almost immediately tell if someone has a ed or self harms just because I know all the secrets to hiding them"""
368397838343888897,2013-08-16 15:44:23,b'I hope you guys can find the strength to get help &amp; recover cause each and everyone of you is worth it. You all deserve happiness &amp; health\xe2\x99\xa5'
368387141950124032,2013-08-16 15:01:53,"b"".. or message me on kik at staystronglovelyxoxo or on my tumblr http://t.co/S9pCjvUdcK i'm always here for my ed family, love yall forever"""
