id,created_at,text
1066501635810230273,2018-11-25 01:19:39,"b'Happy Birthday to my Super Mum \xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb....May the good lord strengthen you the more, long life in good health, a big ame\xe2\x80\xa6 https://t.co/qYhWpt8amV'"
1063890582714617861,2018-11-17 20:24:15,b'Wehdone sir @Mazi_anyakoha'
1063889051500056577,2018-11-17 20:18:10,b'@Mazi_anyakoha \nMazi ndi nnadi \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
1055029545605181440,2018-10-24 09:33:39,b'@ecsandex6 @OmoAkure_ I will bring Wizkid... Everywhere stew \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x91\x8f'
1055027722240569345,2018-10-24 09:26:25,"b'Soh @TiwaSavage  Was Nwalicha all this While.... @wizkidayo Only her water fit quench ur fire ooo.... If u knw, you\xe2\x80\xa6 https://t.co/W9YndRr7Eo'"
1055010535027195904,2018-10-24 08:18:07,b'@wizkidayo Soh Tiwa was Nwalicha all these while..@wizkidayo  Bad man tin \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'
1055009323414441989,2018-10-24 08:13:18,b'@wizkidayo We do!! @wizkidayo \nBut you gave us Ofe Akwu nd not stew ....SMH'
1053531591073505280,2018-10-20 06:21:19,b'@k_zizzy I wished you had sense u would hv understood wat i said... Aniways i blame futo for the depression nd ment\xe2\x80\xa6 https://t.co/ttBizpg9CX'
1053530461451051008,2018-10-20 06:16:50,b'@amir_fulani Based on financial strength... Tinubu is a learner'
1053412970464710657,2018-10-19 22:29:58,b'@k_zizzy I dnt wish... I pray nd get it..... Cuz most FUTO graduates are driving taxi now... I jus dnt knw what the\xe2\x80\xa6 https://t.co/e485485suu'
1053410612972269568,2018-10-19 22:20:36,"b'@k_zizzy My future is brighter than ur past, present nd future life... Make we no jus venture into ahm now for ur own good.. \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'"
1053409111780548610,2018-10-19 22:14:38,b'Futo Girls be looking like IMSU Security Men... Imsu babes are finer than the entire Futo School.. \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x92\x94\xf0\x9f\x92\x94\n#futovsimsu'
1053341755700113408,2018-10-19 17:46:59,b'@iAdokano Tinubu is still a learner towards atiku'
1053341287745839104,2018-10-19 17:45:07,b'A Prophesy by Paul Naza on Facebook as at 2016\n@atiku \nA prophesy that will soon come to pass. \nPlease keep sharing\xe2\x80\xa6 https://t.co/f2mzCPMJSX'
1053300751575982081,2018-10-19 15:04:03,b'@iAdokano ami\nEvriwer stew \xf0\x9f\x99\x83\xf0\x9f\x99\x83'
1052108386752434176,2018-10-16 08:06:01,b'#Gbona\n@burnaboy \n#Gbedu \n#Worldwide https://t.co/9drpnTLE8y'
1048123717145055232,2018-10-05 08:12:22,"b""I never prove to be good enough\nFor every one...!\nBut\nI'm the best for them who understand me..\n#B2B_ENT\xe2\x80\xa6 https://t.co/xdkcx8XbTD"""
1047865929877639174,2018-10-04 15:08:00,b'@justshuga__ Lolz\nIs it ur carrying \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
1047436719119904768,2018-10-03 10:42:28,b'@wizkidayo @wizkidayo  \nIffa no feel the fever nd groove wetin i gain.... \n#WorldWide\n#Starboy\n#Wizkid \n#weloveyou'
1046702260246499328,2018-10-01 10:04:00,b'Fever Mode\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c @wizkidayo \nIf i no feel the fever wetin i gain\n#Wizkid\n#Starboy\n#Worldwide \n#TheGreatest'
1046681251640475649,2018-10-01 08:40:31,b'@MelisaWhiskey @MelisaWhiskey \nThis country is a joke \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1046679642306949120,2018-10-01 08:34:07,b'@MelisaWhiskey What is happy abt the Independence \xf0\x9f\x98\x8f'
1046678259692441600,2018-10-01 08:28:38,"b""@__glitters We pray o'lord"""
1045261572719955968,2018-09-27 10:39:13,b'@08080thelly Thanks swt hrt\nGod bless @08080thelly'
1043434805780729856,2018-09-22 09:40:18,"b'@OgbeniDipo In Nigeria, you never practice what you study \xf0\x9f\x98\x82\xf0\x9f\x98\x82\n#ThisIsNigeria'"
1043433044806459392,2018-09-22 09:33:18,b'There is always someone else \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/Vke6SCAktb'
1041969440697532416,2018-09-18 08:37:28,b'@just_shuga @funnyordie @Kapti0nthis @Mo_izzy_ @_iamRemy_ @Badass_nigerian Dumb \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x92\x94'
1035705550695219200,2018-09-01 01:47:00,b'#NewProfilePic https://t.co/Svk8dlJ3jo'
1034472425310904320,2018-08-28 16:07:00,b'@Cristiano You will forever remain the King \xf0\x9f\x91\x91'
1013456006062526464,2018-07-01 16:15:15,b'@bizzleosikoya Lmao \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\nNo place like home'
1012584268353212416,2018-06-29 06:31:17,b'@iam_Davido Rip toh evrione who has lost der lives\nGod knws best  \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
1011543457108721664,2018-06-26 09:35:28,b'@official2baba This is Nigeria'
1011142185251635200,2018-06-25 07:00:57,b'#NewProfilePic https://t.co/yzlCokANrr'
1011141183500890112,2018-06-25 06:56:58,b'@iamdbanj \nWith a heart full with sadness and grief \xf0\x9f\x98\xad\xf0\x9f\x98\xad over dy death ov ur son.  May the good lord comfort you and\xe2\x80\xa6 https://t.co/xLxlKaZXUk'
988471104217010178,2018-04-23 17:34:10,b'@phynofino  Ezege ndi Igbo\n#Onyeoma #b2b_ent'
988470846644740098,2018-04-23 17:33:09,"b'""@phynofino: #Onyeoma https://t.co/fGAwPto0eN""\nEzege Onyeoma ndi Igbo \n#B2B_ENT'"
988136134692757504,2018-04-22 19:23:07,b'@BBNaija e beh like say wizkid expensive for unah diz one weh en no even perform.... #b2b_ent'
962295977334976512,2018-02-10 12:03:34,b'@AfroPopFacts @burnaboy  litty'
962290648866066432,2018-02-10 11:42:23,b'@iam_Davido Cee C micro finance bank\n#CCMFB \xf0\x9f\x98\x86\xf0\x9f\x98\x86\xf0\x9f\x98\x86\xf0\x9f\x98\x86 dix one weak meh'
960318511485739008,2018-02-05 01:05:49,b'@JudithFolie lolz dy wer fakinq it.. but no one in the house knows abt dat'
960307328955420673,2018-02-05 00:21:23,b'@BBNaija OMG two real lovers in the house..... Rico nd Princess.... OMG!!! Nd the jus broke up'
960301565990010885,2018-02-04 23:58:29,b'@TraceeyIsiz @BBNaija nobody kissed wii Khloe... dy all ate pepper as a punishment for not doing so'
960300821664747520,2018-02-04 23:55:32,b'@TraceeyIsiz @BBNaija cee c left because tobi gat a lap dance from anto... soh childish'
960298185536233472,2018-02-04 23:45:03,b'@BBNaija leo continue the game joor \xf0\x9f\x98\x88\xf0\x9f\x98\x88\xf0\x9f\x98\x88'
960297411892731904,2018-02-04 23:41:59,b'@BBNaija what a disgrace.. tobi u dn fall my hands'
960296871569821696,2018-02-04 23:39:50,b'@BBNaija Khloe must be feeling bad right now #LWKMD'
887912061472305152,2017-07-20 05:48:26,"b""Don't miss out \xf0\x9f\x91\x8d\nFollow us on IG B2b_Ent_Official \nLike us on Facebook Back 2 Back Entertainment https://t.co/gUlkAXRGye"""
711099605920960512,2016-03-19 07:58:52,b'@inecnigeria good'
707692924948127744,2016-03-09 22:21:56,b'@DONJAZZY u own bad'
707692661759741952,2016-03-09 22:20:53,b'RT @wizkidayo: Happiness forever!!!! \xf0\x9f\x92\xa8\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f https://t.co/LkWYIXUVpr'
706478393374744576,2016-03-06 13:55:49,b'\xf0\x9f\x98\x80 https://t.co/uV1EQtb3Ty'
706476214454775808,2016-03-06 13:47:09,b'Niqqarz'
