id,created_at,text
1067188191692607490,2018-11-26 22:47:46,b'@janieo @TherealdoctorA @Disgrazia4 @NanInKansas @De0xyRNA @NialElkim Yay! You ladies will love each other!'
1067186042208276482,2018-11-26 22:39:14,"b'@TherealdoctorA @The_Acumen @specklight OK, HELL to the no!\n\nhttps://t.co/ODuq7ITH2R'"
1067185156178378752,2018-11-26 22:35:43,"b""@TherealdoctorA @The_Acumen @specklight OK, yikes. Lemme look into that. I didn't like her at first because she opp\xe2\x80\xa6 https://t.co/zGTfLFY62T"""
1067184892557983744,2018-11-26 22:34:40,"b""@TherealdoctorA @The_Acumen @specklight No worries! I'm glad I'm the one you think of when it comes to getting insightful info. \xf0\x9f\x98\x81"""
1067184534423097346,2018-11-26 22:33:14,"b""@ChuckRoss33 @Ellahbie @RonniRN @sweetlilsoul_ @nadabakos @datagoodies And it's only going to get worse as we move into 2019. Be prepared."""
1067184361529692162,2018-11-26 22:32:33,"b""RT @JesusWasARebel2: I keep hearing about how Socialism didn't work in the past. My response to that is that if we learn from the mistakes\xe2\x80\xa6"""
1067182488458452992,2018-11-26 22:25:07,b'RT @RealMotherMary: @cindyhydesmith is the fourth grade science teacher who talks more about the DNA of black people than photosynthesis fo\xe2\x80\xa6'
1067181216015601664,2018-11-26 22:20:03,"b'@De0xyRNA @NanInKansas @TherealdoctorA @Disgrazia4 @NialElkim Actually, it does. If you knew how political polling\xe2\x80\xa6 https://t.co/h0d57k1BuL'"
1067180365041659905,2018-11-26 22:16:40,b'@SenSanders 2020 https://t.co/fb5l5rBbc6'
1067179605428072448,2018-11-26 22:13:39,b'RT @TherealdoctorA: @KimWats59471812 @Shaeslife @claud91423 @NancySinatra @realDonaldTrump Not my point.  He is literally doing something t\xe2\x80\xa6'
1067179240741695488,2018-11-26 22:12:12,b'@TherealdoctorA @The_Acumen @specklight Why do we hate her now? I lost the beginning of this conversation .'
1067178569812500480,2018-11-26 22:09:32,b'@TherealdoctorA @The_Acumen @specklight Wait. Who are we talking about?'
1067178280929845251,2018-11-26 22:08:24,b'@armandsedghi @EarthAcolytes @MissJules5x LMAO Armand!'
1067178202815127556,2018-11-26 22:08:05,b'@BashfulBen302 @NBCNews @NASA Bwaahahahaha'
1067160772751503360,2018-11-26 20:58:49,b'@armandsedghi @MichaelGalanin @EarthAcolytes @IPM_Science I fucking love science.'
1067160664890793984,2018-11-26 20:58:24,"b""@HartfordBrewer @rgay You're welcome!"""
1067152095931846656,2018-11-26 20:24:21,"b'@HartfordBrewer Hi, @rgay. Would you consider unblocking Mr. Brewer?'"
1067151810387824642,2018-11-26 20:23:12,"b""@HartfordBrewer That's so strange."""
1067151688778174466,2018-11-26 20:22:43,b'Excellent talk. I highly recommend listening. \xf0\x9f\x91\x87\xf0\x9f\x8f\xbe https://t.co/cGqRPHRvup'
1067145229147328513,2018-11-26 19:57:03,"b""This, for anyone who still isn't clear. \xf0\x9f\x91\x87\xf0\x9f\x8f\xbe https://t.co/YHXjbAS5xL"""
