id,created_at,text
1065856408363704320,2018-11-23 06:35:45,b'#NewProfilePic https://t.co/OOEFDPJMty'
1062013519569268737,2018-11-12 16:05:28,b'RT @FLOTUS: Today we remember the brave actions of our troops and those of our allies during WWI. Honored to be spending this day honoring\xe2\x80\xa6'
1061306123951792128,2018-11-10 17:14:32,b'RT @jamescharles: Good morning Illinois!!'
1061126462944825344,2018-11-10 05:20:38,b'RT @ChazCleveland: Shout out the 3 people that actually see my tweets https://t.co/ClMqCNR95B'
1058406679094722560,2018-11-02 17:13:11,b'@ZellnerLaw @lifeafterten @michellemalkin @EFMoriarty I\xe2\x80\x99m on the last episode already \xf0\x9f\x98\xad'
1058406596764688384,2018-11-02 17:12:51,"b""RT @ZellnerLaw: Maybe watching all of Making A Murderer in one weekend wasn't the best idea. Hilarious!!! \xe2\x81\xa6@lifeafterten\xe2\x81\xa9 \xe2\x81\xa6@michellemalkin\xe2\x81\xa9\xe2\x80\xa6"""
1052327060503293952,2018-10-16 22:34:57,b'RT @shanedawson: The end is near! AHHH!!! \xf0\x9f\x98\xad\xf0\x9f\xa4\xaf\xf0\x9f\x98\xb1 @jakepaul @erikacostell @AndrewSiwicki https://t.co/GM1bMXLYjC'
1052216558263648256,2018-10-16 15:15:51,"b""RT @JeffreeStar: This whole entire month has been one big CAN'T RELATE."""
1052084971790327808,2018-10-16 06:32:58,b'My life right now. Dropped out of college and stuck. Also losing my mind a little https://t.co/o3vp6Cxw1l'
1052083636164542464,2018-10-16 06:27:40,"b'Hi, I have a lot of problems I have a pacemaker, anxiety, depression, expressive, receptive language disorder. I am\xe2\x80\xa6 https://t.co/Ti0XAO2nMz'"
1052079992509788161,2018-10-16 06:13:11,b'https://t.co/aYjOKSTyOc'
1050446757782544385,2018-10-11 18:03:18,b'RT @laurenbabic: \xf0\x9f\x94\xa5 LB BASEBALL TEES ARE BACK \xf0\x9f\x94\xa5\n\n\xe2\x9e\xa1\xef\xb8\x8f https://t.co/eiyqWYCKch https://t.co/Xt0JqwIZ0D'
1050150555568525313,2018-10-10 22:26:17,b'@cicknrane Wow offended really..'
1049789867457155074,2018-10-09 22:33:03,b'RT @Symbaa__: the Tokyo drift theme song lol https://t.co/2Kcg3c4APu'
1049781560080248832,2018-10-09 22:00:02,"b""RT @mercedeslynz: It's a really scary time for dudes right now. So I wrote a song about it. Go #vote friends!  #TheResistance #1Thing @ACLU\xe2\x80\xa6"""
1049194275655835648,2018-10-08 07:06:23,b'https://t.co/sjdhWeEdaR'
1049040869884612610,2018-10-07 20:56:48,b'RT @Perry33Anna: These college classes be whooping me in the ass'
1048624135977521157,2018-10-06 17:20:51,b'RT @realDonaldTrump: Just out: 3.7% Unemployment is the lowest number since 1969!'
1048623842560815104,2018-10-06 17:19:41,b'RT @laay_nuh: Even if it\xe2\x80\x99s a lie// Matt Maltese https://t.co/mCeR5TWGO0'
1048465202369445888,2018-10-06 06:49:18,b'There is only 2 genders.'
1048258131845894145,2018-10-05 17:06:28,b'RT @FLOTUS: Thank you Malawi! \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 \xf0\x9f\x87\xb2\xf0\x9f\x87\xbc https://t.co/rE03LMNzOZ'
1047999755207561217,2018-10-04 23:59:47,b'RT @IamBabyBenjamin: Felt cute might delete https://t.co/Gbk69OGBVc'
1047999108638801921,2018-10-04 23:57:13,b'RT @shanedawson: The Mind of Jake Paul\n9.25.18 https://t.co/FarIAYzTbJ'
