id,created_at,text
1066968659724128257,2018-11-26 08:15:26,"b""Cyber Monday is a good opportunity to upgrade my external microphone, because it's the end of the semester soon and I earned a treat."""
1066926794731737088,2018-11-26 05:29:05,"b'@UncleLou21 I don\xe2\x80\x99t know. If you compare the ratio of success to the overall number of players, Arizona may be pret\xe2\x80\xa6 https://t.co/avRCVW5All'"
1066753398173708288,2018-11-25 18:00:04,"b'@c9_joseph Joseph, it\xe2\x80\x99s ok. In a few hours, no one will be talking about it. In two days, most people will have forgotten.'"
1066570147161239552,2018-11-25 05:51:53,b'@MTR_SportsJ @NATE_HIATT https://t.co/MIjrv8Xcld'
1066569855568990208,2018-11-25 05:50:44,b'@RachelWithCats Develop a second larynx so you can tell them both things at the same time.'
1066569380006309889,2018-11-25 05:48:50,b'@MTR_SportsJ @NATE_HIATT Well it was CERTAINLY not esports.'
1066564420686336000,2018-11-25 05:29:08,b'@ByIanJames @ElementalCollab @lilyalta @azcentral @mollyduerig @katnowicki'
1066563986374586368,2018-11-25 05:27:24,b'It\xe2\x80\x99s a crime that these teams didn\xe2\x80\x99t kick field goals here. Take them away officers. https://t.co/m1faNnho26'
1066559425769496577,2018-11-25 05:09:17,b'@lynsey_amundson That\xe2\x80\x99s fine'
1066489376648048640,2018-11-25 00:30:56,"b'@jenbamo Next time will be my first time! But yes, I will tell you regardless!'"
1066484900226682880,2018-11-25 00:13:09,b'@jenbamo Then that\xe2\x80\x99s magic \xf0\x9f\xa4\xa9'
1066480484299882496,2018-11-24 23:55:36,b'@jenbamo That better be 10 of the best chocolate chip cookies on the planet for $11'
1066382404128923649,2018-11-24 17:25:52,b'A basic one is like $70? Not too expensive!'
1066382320762945536,2018-11-24 17:25:32,b'The community should pitch in to buy @criticalhitgg a pair of wireless lavalier mics. The sound quality is so much\xe2\x80\xa6 https://t.co/UVe5JusWfe'
1066354993429528577,2018-11-24 15:36:57,b'So thrilled that @adidas\xe2\x80\x99 website was SO SLOW this morning that the shoes I waited a half hour to get were taken ou\xe2\x80\xa6 https://t.co/jB5ED2GCht'
1066192465307230208,2018-11-24 04:51:07,"b'@JHufself Good conclusion. Don\xe2\x80\x99t think you did anything wrong, but I\xe2\x80\x99m all for standing up against people who try to abuse your kind nature.'"
1066139456481054720,2018-11-24 01:20:28,b'@avos5 @MajorBowman_ @_emeraldellie @braverius Not with me.... not with me.'
1066106526983569409,2018-11-23 23:09:37,"b'Be careful with painkillers, y\xe2\x80\x99all'"
1066104129251008512,2018-11-23 23:00:06,"b'Man, I\xe2\x80\x99m only now realizing how hard it is to watch TV arcs about people going through narcotic addictions.'"
1065665469024092161,2018-11-22 17:57:01,b'RT @JamesWBaek: Me and Ashton Cox (@Linkyoshimario) did a dual match analysis of our finals set from the Pokemon VGC 2019 Latin America Int\xe2\x80\xa6'
1065455616297037829,2018-11-22 04:03:08,b'This is the best offseason ever https://t.co/Ahkdw3U6PN'
1065440766598598656,2018-11-22 03:04:08,"b'Welp, we @100Thieves fans now shrug https://t.co/a1PfOjQqTt'"
1065403855452557312,2018-11-22 00:37:28,"b'Man, Kate in This Is Us is a mood. I\xe2\x80\x99m on like, episode 8, but I\xe2\x80\x99ve been able to relate to so many moments from her\xe2\x80\xa6 https://t.co/OJonHK413X'"
1065303374843670529,2018-11-21 17:58:11,b'You knew it was gonna happen eventually https://t.co/dKVaitgsk5'
1065303185621798912,2018-11-21 17:57:26,b'@DesuVGC Hell yeah Desu \xe2\x80\x94 always down for a game on Arena if you\xe2\x80\x99re lookin'
1065301860666363904,2018-11-21 17:52:10,"b'@khalidVGC Glad you mentioned Radiant Historia since I was on the fence, but now I\xe2\x80\x99m gonna get that and Valkyria Cronicles 4'"
1065300108554625025,2018-11-21 17:45:12,b'@khalidVGC Yo thank you for this. Didn\xe2\x80\x99t realize some of these games were so cheap and I\xe2\x80\x99m definitely picking up at least one'
1065128589731934208,2018-11-21 06:23:39,"b'Man, what a last scene. Very on-tone.'"
1065116574925737984,2018-11-21 05:35:55,b'The fight choreography is incredible in this show. Bravo to whoever directed and animated these beauties https://t.co/ReOOiRgkYC'
1065105434325864450,2018-11-21 04:51:38,"b'Man, it\xe2\x80\x99s wild how tired Dracula is in this series despite the fact that it\xe2\x80\x99s like, one of the earliest games in th\xe2\x80\xa6 https://t.co/ngrkmtgAXL'"
1065092082207846400,2018-11-21 03:58:35,"b'@m1ssberyl Yeah, River could have been good if they weren\xe2\x80\x99t going out of their way to be difficult all the damn tim\xe2\x80\xa6 https://t.co/oU9j1fh8LS'"
1065075020450357248,2018-11-21 02:50:47,"b'@m1ssberyl From someone else who generally wasn\xe2\x80\x99t a fan of Moffat\xe2\x80\x99s writing, 12 is MUCH better. I think Matt Smith\xe2\x80\xa6 https://t.co/jHjE49YGGL'"
1065072257716781057,2018-11-21 02:39:48,b'Now I just finished season one of Castlevania. THERE IS SO MUCH GOOD ANIMATION ON NETFLIX!'
1065031885401710592,2018-11-20 23:59:23,b'@Xeminan https://t.co/Kbm7on0VWc'
1065010951508787200,2018-11-20 22:36:12,"b'Tell you what, I am still not over KD/A Akali, and I don\xe2\x80\x99t think I ever will be.'"
1065001404484460544,2018-11-20 21:58:16,b'TFW: You just finish a delicious burger and open Twitter Dot Com to see everyone talking about romaine lettuce https://t.co/10XcQ4QmKZ'
1065000941894549505,2018-11-20 21:56:25,"b'This give you some good ideas for Thanksgiving too, @Matt_Krell? Can\xe2\x80\x99t wait to see @ToddFuhrman in a couple days... https://t.co/3vjjiviAgs'"
1064996837411631105,2018-11-20 21:40:07,b'I\xe2\x80\x99m already done. What a good show that demonstrates the writing team\xe2\x80\x99s mastery and implementation of character wor\xe2\x80\xa6 https://t.co/WF6CW1fRSl'
1064992196246392832,2018-11-20 21:21:40,"b'@JuyopVGC @jenbamo Hey, crazier things have happened! And I think Perkz will feel plenty at home playing ADC.'"
1064991499438383104,2018-11-20 21:18:54,"b'@JuyopVGC @jenbamo Also, if it were fake, you\xe2\x80\x99d see immediate, public refutation by the players or the teams. The silence is telling.'"
1064991239353692160,2018-11-20 21:17:52,"b'@JuyopVGC @jenbamo Nah, Jacob Wolf is a good reporter \xe2\x80\x94 he wouldn\xe2\x80\x99t have written that story if it was fake.'"
