id,created_at,text
1067171767834329089,2018-11-26 21:42:31,b'@alasaid7 Awe thanks friendo!'
1067171590486614017,2018-11-26 21:41:48,"b'@JesterWanted Alright, be careful honeybee'"
1067171424891211776,2018-11-26 21:41:09,"b'@LilDawnRay1106 Awe thanks wifey, I love you so much and I love how strong and courageous you are. You are a  very\xe2\x80\xa6 https://t.co/dKV9XfD09Z'"
1067171116861542400,2018-11-26 21:39:55,"b'@JesterWanted Honeybee, wash your hands with soap to rid of the rest of the juice then get a paper towel and if you\xe2\x80\xa6 https://t.co/qv6Ki0HnPK'"
1066851952812834816,2018-11-26 00:31:41,"b""@FuckNoxxeh You're one of my only best friend in real life at our school. You're real enough to relate to along wit\xe2\x80\xa6 https://t.co/uJUD4QbUKg"""
1066832338837999616,2018-11-25 23:13:45,"b""@bun_bun_hun I'm only speaking the truth sweetheart"""
1066830961952862208,2018-11-25 23:08:16,"b'@bun_bun_hun My compliment to you is that you are very kind and loyal, you are strong and beautiful and very unique\xe2\x80\xa6 https://t.co/FW8ZdbvC0j'"
1066805173815820289,2018-11-25 21:25:48,"b'@jigoku_lamb My compliment to you\n""You are an amazing friend who is a hard worker and very loyal, I am thankful to be your friend ^-^""'"
1066804047552946177,2018-11-25 21:21:19,b'@jigoku_lamb Awe thanks friendo ^^'
1066796724113600516,2018-11-25 20:52:13,"b""Can I ask for at least 100 random complements?\nI'm running and experiment real quick so just reply back a random complement"""
1066782847824994314,2018-11-25 19:57:05,b'@prodiigyzeon Duolingo is a good website to learn from'
1065999458561912833,2018-11-23 16:04:10,b'Had a hard time sleeping last night...\nFell asleep at 6 am and woke up at 10:57am...\nYay...............'
1065789628001722368,2018-11-23 02:10:23,b'@ThomasSanders I bought one sweater and I now have $1.03....\nSo I think I have enough\xf0\x9f\x98\x82'
1065787570720833536,2018-11-23 02:02:12,"b""Look what I drew when I was waiting for my meal at Hooters lol...\nIt's a drawing of @ fangirltothrfullest fusions o\xe2\x80\xa6 https://t.co/iMT7oQT88s"""
1065771146249949185,2018-11-23 00:56:56,b'@ArtTwilightah @GodDerpes_Leona You are very welcome!'
1065744946056085506,2018-11-22 23:12:50,b'@ArtTwilightah @GodDerpes_Leona Oh my goodness gracious this is so beautiful!'
1065632949691928576,2018-11-22 15:47:48,b'Happy turkey day'
1065422740742696961,2018-11-22 01:52:30,"b'RT @ThomasSanders: Again, thank you so much to @NateBegle for stepping in at the eleventh hour to help puppeteer all the Sides for this vid\xe2\x80\xa6'"
1065347849918050305,2018-11-21 20:54:55,"b""I changed the tire so fast I didn't realize I scrapped my knee"""
1065346472516960256,2018-11-21 20:49:26,"b""RT @EugeneLeeYang: Y'all I've ALWAYS been saying Try Guys Gay Time \xf0\x9f\x90\xaf"""
1065339307425189891,2018-11-21 20:20:58,b'RT @ThomasSanders: Arrived too early to my parents and took one spin around the entire neighborhood because I wanted to finish the song I w\xe2\x80\xa6'
1065103969981251584,2018-11-21 04:45:49,"b""@xPurpleVirgilx @ThomasSanders NICE!!!\nLOL for me I save a LOT of gifs of the Sanders sides and use them when it's the right time"""
1065102692031320069,2018-11-21 04:40:45,"b""@xPurpleVirgilx @ThomasSanders You're welcome\n^-^"""
1065102671827353600,2018-11-21 04:40:40,b'#NewProfilePic https://t.co/fI4H4sula4'
1065102317358325761,2018-11-21 04:39:15,b'@xPurpleVirgilx @ThomasSanders Love your gifs btw'
1065101471010750464,2018-11-21 04:35:53,"b""@xPurpleVirgilx @ThomasSanders YAAAAS!!!! X'D"""
1065100095677435907,2018-11-21 04:30:26,b'@xPurpleVirgilx @ThomasSanders https://t.co/4UquGvtX3E'
1065098667441430528,2018-11-21 04:24:45,b'@xPurpleVirgilx @ThomasSanders https://t.co/CiJJ9pODvZ'
1065089993914400768,2018-11-21 03:50:17,b'@_Rosales98 @Droika99 @GatosLocosStacy HEY TWIN!!!!'
1065089367360880640,2018-11-21 03:47:48,b'@xPurpleVirgilx @ThomasSanders https://t.co/baXFYuRmEn'
1065089084622860289,2018-11-21 03:46:40,b'@xPurpleVirgilx @ThomasSanders https://t.co/q44QkkJUsf'
1065088615330586624,2018-11-21 03:44:48,"b'@xPurpleVirgilx @ThomasSanders OH!!!!\nAlright, thank you very much for informing me'"
1065088069639000064,2018-11-21 03:42:38,b'@ThomasSanders DID I MISS SOMETHING?!\nIAKXJWJXKD'
1065087951711989760,2018-11-21 03:42:10,b'@ThomasSanders WHAT?!'
1064680897511862272,2018-11-20 00:44:41,b'@ThomasSanders @sidesofsanders You know everything by now so you should be surprised(?)'
1063951534583672837,2018-11-18 00:26:27,b'HALPIDRANKTOOMUCHANDKANXLEMCDK https://t.co/eU7EMV5rIl'
1063950656162148353,2018-11-18 00:22:58,b'IHADALOTOFSUGARANDOMGWHATARUSH-AHHHHHHHHHHHHHHHHH!!!!!!!! https://t.co/asc282HMci'
1063836316234891264,2018-11-17 16:48:37,b'RT @CatIMGs: don\xe2\x80\x99t let go https://t.co/QGjFRa9kwC'
1063493829666451456,2018-11-16 18:07:42,b'@ArtTwilightah Oh wow'
1063493260323291137,2018-11-16 18:05:26,"b""@ArtTwilightah Oh yeah I hate those, except for my I just barely got a new home phone with and old number and I'm g\xe2\x80\xa6 https://t.co/G7SJKSKVS7"""
1063493060129112064,2018-11-16 18:04:38,"b""@ThomasSanders I'm very concerned...\nI ordered a sweatshirt and usually I get an email receipt but it's been over 3\xe2\x80\xa6 https://t.co/aqehIUER35"""
1063492745430474754,2018-11-16 18:03:23,b'@ArtTwilightah What happened?'
1063483606482456576,2018-11-16 17:27:05,b'RT @ThomasSanders: I am so excited to announce that our 2018 holiday sweaters are officially for sale! We spent a lot of time designing the\xe2\x80\xa6'
1063240640128008192,2018-11-16 01:21:37,b'@ThomasSanders How much will they be so I can be sure?'
1063240505721528322,2018-11-16 01:21:05,"b'RT @ThomasSanders: Time to end the suspense!! With the holidays right around the corner, we thought it would be an appropriate time to ment\xe2\x80\xa6'"
1063240460284641280,2018-11-16 01:20:54,b'@ThomasSanders AHHHHHHHHHHHHHHHHH IM DEFINITELY GRTTING THESE OMG!!!!!!!!\nI MISSED LAST YEARS BUT THIS YEAR I FOR S\xe2\x80\xa6 https://t.co/FDNv0QooT4'
1063207674416963584,2018-11-15 23:10:37,b'@ThomasSanders *aggressively and patiently waiting for the notification by refreshing the page over and over again non stop*'
1062412505958531072,2018-11-13 18:30:54,b'@ThomasSanders *quietly saves picture for memes in the future*'
1060705436121419776,2018-11-09 01:27:37,"b'RT @kris_dubbayoo: Storyboard Artists: friendly reminder of how people walk. keep an eye on them poses, folks! ;) https://t.co/4rm6a4bO9P'"
1060705206290145280,2018-11-09 01:26:42,"b'So I went on a field trip to go rock climbing and trying out that ninja warrior obstacle course, which was pretty f\xe2\x80\xa6 https://t.co/XTWnmSjkDx'"
1060332267057438720,2018-11-08 00:44:47,"b'@ThomasSanders ""Astro boy (2003)""'"
1060332187613097984,2018-11-08 00:44:28,b'@ThomasSanders A scientist who loses his son in a semi truck accident that he later creates a robot to replicate hi\xe2\x80\xa6 https://t.co/FPEx6PHNXo'
1060306662274330625,2018-11-07 23:03:02,b'RT @Shugijs: This is a tweet!'
