id,created_at,text
1067087887714447367,2018-11-26 16:09:12,b'RT @ticiaverveer: This late Roman key ring is made of a wide gold band and the bezel is set with an almost oval cameo in white on brown ony\xe2\x80\xa6'
1067087616145801223,2018-11-26 16:08:07,b'RT @candidamoss: Some uplifting thoughts on the human condition from Epictetus. https://t.co/dFjUlfP61b'
1066911970698366976,2018-11-26 04:30:10,"b'RT @Nicole_Cliffe: anyone who reports a sex worker to the IRS is going to Hell, this is the only part of eschatology I am real clear on'"
1066911920756793344,2018-11-26 04:29:58,"b""RT @davidsilkenat: UNC just fired its football coach and gave him a $12 million buyout. That's more than all of the History Department earn\xe2\x80\xa6"""
1066911639063207936,2018-11-26 04:28:51,"b'@FabulousMissEm That\xe2\x80\x99s one of the things that the Emory program does right. At least when I was there, all 2nd year\xe2\x80\xa6 https://t.co/bfLtWkGup6'"
1066886394176593920,2018-11-26 02:48:32,b'RT @rachelheldevans: Congress is in session this week if you want to call your reps about the gassing of toddlers at the border.'
1066886308264583169,2018-11-26 02:48:12,b'RT @TheRaDR: We are going to continue to commit atrocities against innocent people until we truly face the truth of who we have been all al\xe2\x80\xa6'
1066885912980787201,2018-11-26 02:46:38,"b'There are no words for this. Wait, \xe2\x80\x9cevil\xe2\x80\x9d is a word. This is evil. https://t.co/oVzw14OgOA'"
1066843716399304708,2018-11-25 23:58:57,b'Yes. https://t.co/Jz7gXhLJZo'
1066843536182730752,2018-11-25 23:58:14,"b'RT @AviAhvee: 80 years ago this month the @nytimes reported Jews, on their knees, were turned away by the Netherlands as they begged for re\xe2\x80\xa6'"
1066843156333895680,2018-11-25 23:56:44,"b'RT @turnerschofield: That editorial on being #trans in the @nytimes might be true for the writer, but literally every #transgender person I\xe2\x80\xa6'"
1066842999668252672,2018-11-25 23:56:06,b'Love this votive altar of Artemis of Ephesus. Now in the archeological museum in Antalya. #Turkey #Artemisisgreat https://t.co/jKkcWcpEZn'
1066841512053547008,2018-11-25 23:50:12,"b'@monstersamerica Every book has rough patches, imho. And, these are often the places where students might have to w\xe2\x80\xa6 https://t.co/zXMDY9vVyR'"
1066840011792965632,2018-11-25 23:44:14,"b'@monstersamerica Nice response. BTW, planning on using the Satan book in a class next semester and have used Monste\xe2\x80\xa6 https://t.co/NtyMYDQPol'"
1066729625412427778,2018-11-25 16:25:36,"b""RT @rometostandrews: @TrimontiumTrust Here's an overhead shot of the Nemi temple, and a reconstruction of Caligula's Nymphaeum.  (His ships\xe2\x80\xa6"""
1066727879650828291,2018-11-25 16:18:40,"b'RT @NPG: ICYMI: ""An Enslaved Woman\'s Candlelit Shadow is the Most Compelling Image in the US National Portrait Gallery."" https://t.co/ZC32h\xe2\x80\xa6'"
1066727285192122369,2018-11-25 16:16:18,b'RT @RebeccaSoffer: Well \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc played \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc @nypl https://t.co/vL1IsOpdOx'
1066726971265175553,2018-11-25 16:15:03,"b""@rvontha Ha ha! Dr. Huber! That's kind of funny."""
1066725311973335040,2018-11-25 16:08:27,b'@ZoeSTodd Academia in a nutshell.'
1066725226094968832,2018-11-25 16:08:07,b'RT @romanarchaeouk: Roman key rings are rings that are also keys! No putting them down and forgetting where they are! These two are display\xe2\x80\xa6'
