id,created_at,text
1067176383800008706,2018-11-26 22:00:51,b'RT @TheOnion: Horrified Nation Wakes Up On Cyber Monday To Find Amazon Echo Devices Embedded Beneath Skin https://t.co/7iYgCBFQ5z https://t\xe2\x80\xa6'
1067170608155250688,2018-11-26 21:37:54,b'VIDEODROME https://t.co/cmKz5xJj0b'
1066936046737334272,2018-11-26 06:05:50,"b'RT @JeffBryanDavis: A good friend, great actor, and all-around badass (he was in \xe2\x80\x9cRoad House\xe2\x80\x9d!) needs help kicking cancer\xe2\x80\x99s ass. Thanks for\xe2\x80\xa6'"
1066871399388782594,2018-11-26 01:48:57,"b""Alan Cumming's campiness on DOCTOR WHO tonight was so OTT you could see it from space, but also a welcome respite f\xe2\x80\xa6 https://t.co/WB08ZWjT3Y"""
1066807717317070849,2018-11-25 21:35:54,"b""RT @wearenorth99: Cool! In Doug Ford's Ontario, your meat is going to come from a plant that thinks $100 per year is too much to pay to kee\xe2\x80\xa6"""
1066807235970396160,2018-11-25 21:34:00,"b""@FilmRegionsIntl @MST3K That's one of the few MST3K box sets I don't yet own! I'll have to track it down. Cheers."""
1066512708193984512,2018-11-25 02:03:39,b'https://t.co/vjktS4IQGs'
1066503477701029888,2018-11-25 01:26:58,b'So sad to hear that Ricky Jay has passed away. Brilliant magician and a tremendous character actor. What a talent. https://t.co/V7TEubbc4s'
1066430238274420736,2018-11-24 20:35:56,b'RIP Nicholas Roeg. Not another quite like him. https://t.co/7AQCXEGx2O'
1066243386410029057,2018-11-24 08:13:27,"b""@Massawyrm Anyone who doesn't say Bowie Duet is a cop."""
1066241044935659520,2018-11-24 08:04:09,b'Waiting II https://t.co/2Akr4hLHiT'
1066213792281817089,2018-11-24 06:15:52,"b'RT @historyinmoment: Rejected 1955 Lincoln Futura prototype, which became the Batmobile in 1966. https://t.co/POFx177dcK'"
1066212498544586752,2018-11-24 06:10:43,"b""RT @ClawsTNT: To all the women who have heard that they're intimidating, keep it up."""
1066211857298468865,2018-11-24 06:08:10,b'Attention @tapeheads... https://t.co/7gcNSo2ezG'
1066211542994055168,2018-11-24 06:06:55,b'@MuseZack @therealjoebob https://t.co/lgPjnqyHS8'
1066211016998932480,2018-11-24 06:04:50,b'MOST IMPORTANT THREAD EVER #BDE https://t.co/TN5YrxJvaT'
1066210993582342144,2018-11-24 06:04:44,b'Waiting https://t.co/gWse0HSYuy'
1066210986422616064,2018-11-24 06:04:43,b'Stairs To Nowhere https://t.co/5Qa73BgWGK'
1066198447936569350,2018-11-24 05:14:53,"b""RT @XavierFiles: By age 30 you should have\n\n* $248 in savings\n* A complete run of a garbage 90s comic you can't admit is horrible\n* A long\xe2\x80\xa6"""
1066197996763664384,2018-11-24 05:13:06,"b""RT @ed_solomon: I've always hated pitching. I get self-conscious, become hyper-aware of those in the room (especially if I sense the SLIGHT\xe2\x80\xa6"""
1066195724684148736,2018-11-24 05:04:04,b'Cemetery https://t.co/nOSNXwv7Pa'
1065861348322496512,2018-11-23 06:55:22,"b""RT @OnePerfectShot: An exploration of some of sci-fi's most enigmatic and riveting films. https://t.co/d6bUA9LBYv"""
1065853035442655232,2018-11-23 06:22:20,"b""@scottderrickson You seem like a good guy, and I'm sorry about your house burning down (and glad you and yours are\xe2\x80\xa6 https://t.co/17kcwgBx8X"""
1065845399133446144,2018-11-23 05:52:00,"b'RT @doctorow: Concept paintings for the 1966 BATMAN TV show. Watch those hands, Batman from image 4. https://t.co/jOmGaWwRhd 1/2 https://t.\xe2\x80\xa6'"
1065845377386115072,2018-11-23 05:51:55,b'RT @OnePerfectShot: BATMAN RETURNS (1992)\n\nDirector of Photography: Stefan Czapsky\nDirector: Tim Burton\nBuy or Rent via Amazon: https://t.c\xe2\x80\xa6'
1065832485932589057,2018-11-23 05:00:41,"b""@inkskratch There's a sweep and a curve to everything, and the colours are so bright and upbeat. \n\nSPOILER: mankind\xe2\x80\xa6 https://t.co/0bgbaKqht7"""
1065773031031742465,2018-11-23 01:04:26,b'Summertime https://t.co/PIPJusrPDO'
1065773023897313280,2018-11-23 01:04:24,b'\xe2\x80\x9cDo you want CHUDs!? Because this is how you get CHUDs!!\xe2\x80\x9d https://t.co/oRlry24z2Y'
1065768183074709504,2018-11-23 00:45:10,"b'RT @historyinmoment: Miss Universe of Yugoslavia, with a MiG-21F, 1968. https://t.co/fAXO5kdHx3'"
1065762378476793856,2018-11-23 00:22:06,"b""MEANWHILE, IN STANLEY KUBRICK'S BATHROOM... https://t.co/t3eOmHesW4"""
1065762187841482752,2018-11-23 00:21:21,"b""I see so much of Robert McCall in MASS EFFECT's aesthetic. Breathtaking futurist designs. Something so... optimisti\xe2\x80\xa6 https://t.co/2QB70sJcBi"""
1065501053532192769,2018-11-22 07:03:41,b'https://t.co/OzofC0ePqf'
1065500567852576768,2018-11-22 07:01:46,"b'A small but important part of adulthood is coming to terms with the fact that many of the celebrities, actors and m\xe2\x80\xa6 https://t.co/oBvBKp4TAK'"
1065499463471398912,2018-11-22 06:57:22,b'@tvaziri Andrew Davis is no slouch as a director. Which raises the question: whatever became of Andrew Davis?'
1065497174757134336,2018-11-22 06:48:17,b'@THETomSavini tells some amazing stories. Can you tell I was engrossed the whole time? Top three Horror Fan Moment\xe2\x80\xa6 https://t.co/IDXRLY2XZt'
1065410701139877889,2018-11-22 01:04:40,b'Sundown https://t.co/fXwpcOlM9M'
1065379095792492545,2018-11-21 22:59:04,"b'""The LIttle Drummer Boy"" is the original Mary-Sue story.'"
1065363004085157888,2018-11-21 21:55:08,"b'NATIONAL LAMPOON\xe2\x80\x99S CHRISTMAS VACATION, but this time the Griswolds are visited by real-life Randy Quaid.'"
1065160896203247616,2018-11-21 08:32:02,b'WOULD WATCH https://t.co/7qEIUGRKjN'
1065142770841477120,2018-11-21 07:20:00,b'@MrGrahamClegg https://t.co/nCbq2piEwO'
1065141495366184961,2018-11-21 07:14:56,b'RT @KarlGerhardt: While shaping up my @netflix inspired hour-long TV drama (supernatural horror - pilot episode) I found this nugget. Thank\xe2\x80\xa6'
1065141052779024384,2018-11-21 07:13:11,b'RT @doctorow: *The Birth of Modern Oligarchy https://t.co/iGjZwdkrgh https://t.co/PIaD5hGDBZ'
1065119416088576000,2018-11-21 05:47:12,b'@MrGrahamClegg And beautiful use of camera movement to simultaneously suggest the interior and exterior state of a\xe2\x80\xa6 https://t.co/oabxwGG9GQ'
1065117935423840256,2018-11-21 05:41:19,"b'@MrGrahamClegg THE CONVERSATION has possibly my favorite final shot of a movie, ever.'"
1065031940535795712,2018-11-20 23:59:36,b'#OfficeGoals https://t.co/orfnw9qsBJ'
1064964144196050944,2018-11-20 19:30:12,"b""Hey, it's me! Talkin' TEXAS CHAINSAW MASSACRE 2 with Leatherface actor Bob Elmore and the legend @THETomSavini. Had\xe2\x80\xa6 https://t.co/tsUQMxuWEM"""
1064805335095894016,2018-11-20 08:59:09,"b'@AmazonHelp I\'m told ""Your parcel can still arrive by 28 November"", which isn\'t exactly an overwhelming vote of confidence.'"
1064769177242619904,2018-11-20 06:35:28,"b'So right now @amazonca is telling me that a package I ordered is simultaneously stuck in Ottawa because of ""delay i\xe2\x80\xa6 https://t.co/6ggpZNN3EM'"
1064735698924724224,2018-11-20 04:22:27,b'RT @PhilNobileJr: CREED II: GHOST DAD https://t.co/d6XPU1uSUq'
1064599577297281024,2018-11-19 19:21:33,b'RT @NOFSpodcast: is this you?? #horror https://t.co/PBrtaZe4Cn'
1064597996040384512,2018-11-19 19:15:16,b'@RobJMacKay @DavidBHayter @OKBJGM Amazing.'
1064375923980398593,2018-11-19 04:32:50,"b""@OKBJGM If you invert DIE HARD and tell it exclusively from the terrorist's perspective, it absolutely becomes a slasher movie."""
1064071627220996096,2018-11-18 08:23:40,"b'Evergreen pet peeve: usage of the word ""decimate"" (losing 10%), in place of ""obliterate"" (losing 100%).'"
1064065823302574081,2018-11-18 08:00:36,b'I prefer this movie to most of the STAR WARS films. https://t.co/UAqKW8SVSu'
1064008685058318336,2018-11-18 04:13:33,b'@jamesjdominguez I think the Rose ones run from good to godawful at about the same rate as the Marthas. Martha suff\xe2\x80\xa6 https://t.co/ODFf5T3GB1'
1063980004449562624,2018-11-18 02:19:35,b'@jamesjdominguez They have not aged well at all.'
1063979262074474496,2018-11-18 02:16:38,b'@DavidBHayter @EvilTed40 https://t.co/O00TVwHHev'
1063979099314503680,2018-11-18 02:15:59,b'@DavidBHayter @EvilTed40 https://t.co/KhmgExfkVD'
1063705616391106561,2018-11-17 08:09:16,b'RT @caroramsey: altering twitter so i no longer see people\xe2\x80\x99s likes a few months ago has really changed my experience for the better and i w\xe2\x80\xa6'
1063705154103328768,2018-11-17 08:07:26,b'RT @ultrakillblast: TIME BANDITS (1981) https://t.co/gjadQMYrg0'
1063702880652128257,2018-11-17 07:58:24,b'Maybe she can sell one of her several yachts. https://t.co/gtZ1BFDyAb'
1063684971762610177,2018-11-17 06:47:14,b'Learned tonight that STRANGER THINGS director/EP Shawn Levy (@ShawnLevyDirect) also played the huge-haired psycho p\xe2\x80\xa6 https://t.co/6aAopreJtT'
