id,created_at,text
1067072111976558592,2018-11-26 15:06:31,b'@g_dunkle @Sleepy_Morgana Everyone knows that tho'
1067071186121703425,2018-11-26 15:02:50,b'@Yusuke_Paints @g_dunkle TWITTER DOES NOT LIE'
1067070754343305218,2018-11-26 15:01:07,b'@Yusuke_Paints @g_dunkle Yes. Yes it is. I do not return your crush. \xf0\x9f\x98\xa4'
1067070254147403776,2018-11-26 14:59:08,b'@Yusuke_Paints @g_dunkle INARI STOP THIS NONSENSE SMH'
1067069969761034240,2018-11-26 14:58:00,b'@g_dunkle @Yusuke_Paints INARIIIIIIIIII'
1067068977036316672,2018-11-26 14:54:03,b'@g_dunkle ...drumsticks?'
1067068732424577027,2018-11-26 14:53:05,b'@g_dunkle @Yusuke_Paints YUSUKE EXPLAIN'
1067068366064619521,2018-11-26 14:51:38,b'@g_dunkle Dank?? \xf0\x9f\xa4\x94'
1067067022192885761,2018-11-26 14:46:17,b'@Yusuke_Paints NonononononononONONONONONONONONONONONONONONONONONONONONONONO'
1067066910339211264,2018-11-26 14:45:51,"b'RT @ErikaHarlacher: Ladies, if he:\n\n-Never texts you first\n-Never uses his real name\n-Claims a house cat ""insists"" he sleep after a single\xe2\x80\xa6'"
1067066685612539904,2018-11-26 14:44:57,"b""@AtticRen He said 'My damn video game' guys he couldn't beat the boss level"""
1066848916279304194,2018-11-26 00:19:37,b'@Shido_Shitposts i will not be your wife now get out'
1066847366395899904,2018-11-26 00:13:27,b'LOOK MA\n\nIM FLIPPING THE BIRD https://t.co/K7ROE6f4Nx'
1066724809621544960,2018-11-25 16:06:28,"b'RT @Tsuntsun_Marie: //Hey guys! Admin here. Recently, I have joined in a Persona 4 project called Midnight Channel the Musical! Currently,\xe2\x80\xa6'"
1066724489172566017,2018-11-25 16:05:11,b'guys they did surgery on a grape https://t.co/VEHugbnM1n'
1066694219828551680,2018-11-25 14:04:54,"b'@Yusuke_Paints IT IS HE, YUSUKE! THE KING OF BREAKING HIS OWN NECK'"
1066517060031795200,2018-11-25 02:20:56,b'@Naoya_the_First @Tsuntsun_Marie @Kotone_Says @Squishy_Sayss ...HE BROKE THE CHAIN HOW DARE U BREAK THE CHAIN'
1066516763444240385,2018-11-25 02:19:45,b'@Tsuntsun_Marie @Kotone_Says @Squishy_Sayss @Naoya_the_First GRAMPS THEY DID SURGERY ON A GRAPE'
1066516572343279618,2018-11-25 02:19:00,b'@Tsuntsun_Marie @Kotone_Says @Squishy_Sayss THEY DID SURGERY ON A GRAPE?!'
1066516025678749696,2018-11-25 02:16:50,b'RT @ErikaHarlacher: \xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1 Come to Americaaaaaaaaaaaaa https://t.co/cWC1mZM5pl'
1066515887967166466,2018-11-25 02:16:17,b'Hey @Naoya_the_First they usually announce stuff with this keep your hopes up https://t.co/Uc7oR022Yb'
1066511011568590848,2018-11-25 01:56:54,b'RT @Pikatato_: #\xe3\x83\x9a\xe3\x83\xab\xe3\x82\xbd\xe3\x83\x8a5 #\xe4\xbd\x90\xe5\x80\x89\xe5\x8f\x8c\xe8\x91\x89 #P5 https://t.co/Hqz1pwtezu'
1066510960574308352,2018-11-25 01:56:42,b'I...\n\n\xe2\x9a\xaa am straight\n\n\xe2\x9a\xaa am bi\n\n\xe2\x9a\xaa am gay\n\n\xf0\x9f\x94\x98 am groot https://t.co/9Mmp0QMiYg'
1066439686888046593,2018-11-24 21:13:29,b'The same poses\n\nThe same headshape\n\nThe same eyecolor\n\nCoincidence?\n\nI THINK NOT https://t.co/dKktoXEc2u'
1066389204031152129,2018-11-24 17:52:53,b'RT @hrtw136: \xe3\x82\xa4\xe3\x83\xbc\xe3\x83\x96\xe3\x82\xa4\xe3\x81\xa8\xe3\x83\x94\xe3\x82\xab\xe3\x83\x81\xe3\x83\xa5\xe3\x82\xa6\xe3\x81\xae\xe5\xa3\xb0\xe3\x81\x8c\xe3\x81\xba\xe3\x81\x94\xe3\x81\xae\xe6\x8e\xa8\xe3\x81\x97\xe3\x81\xae\xe5\xa3\xb0\xe3\x81\xa7\xe3\x81\xb5\xe3\x82\x8b\xe3\x81\x88\xe3\x81\x9f\xe3\x80\x82\xe3\x81\xba\xe3\x81\x94\xe5\x90\x9b\xe3\x81\xa8\xe3\x81\x9d\xe3\x81\x86\xe3\x81\x98\xe3\x82\x8d\xe3\x81\x86\xe3\x81\xaf\xe8\xbf\xb7\xe3\x81\x86\xe3\x81\x93\xe3\x81\xa8\xe3\x81\xaa\xe3\x81\x8f\xe4\xb8\xa1\xe6\x96\xb9\xe8\xb2\xb7\xe3\x81\x86\xe3\x81\x9e\xef\xbc\x81\xef\xbc\x81 https://t.co/zEZCYAZXc2'
1066319177542176768,2018-11-24 13:14:37,b'@Yusuke_Paints That was a pretty sheety joke you made'
1066012082846556160,2018-11-23 16:54:20,"b""@Yosuke_Fails @Naoya_the_First @Tsuntsun_Marie She sang 'True Story' actually"""
1065971842714865669,2018-11-23 14:14:26,b'@Sojiros_Coffee @ThePhanSite Daughtership ended with Sojiro. Neo Featherman Hawk is my father now.'
1065970137180835841,2018-11-23 14:07:40,b'#FutabaFriday\n\nKaraoke with my fellow Social Outcasts Naoya and Marie~ Srsly tho naoya what are you doing-- https://t.co/cDHNR6Iw1R'
1065745295722598400,2018-11-22 23:14:13,"b""RT @Heisenbird_art: Busy with the family, but I couldn't help but sketch something for today. Whatever your plans are, be safe and have fun\xe2\x80\xa6"""
1065668763247435776,2018-11-22 18:10:06,b'RT @666arsene: 1 like = 1 hug for renren\n1 rt = one kiss on the forehead for renren https://t.co/wgl1QS9Lx5'
1065668633123278849,2018-11-22 18:09:35,b'@Sojiros_Coffee https://t.co/bcaLTbpSXa'
1065635788417843205,2018-11-22 15:59:05,b'\xf0\x9f\x92\xb4\xf0\x9f\x92\xb4\xf0\x9f\x92\xb4\xf0\x9f\x92\xb4\xf0\x9f\x92\xb4 https://t.co/HVSsN2zxvP'
1065635245435826177,2018-11-22 15:56:55,b'@Heisenbird_art His proficiency is so good that he can give me a princess braid for cosplay!!'
1065625784977625093,2018-11-22 15:19:20,b'RT @SlimePupAribaba: HAPPY THANKSGIVING AKA TURKEY DAY\n\nThe children each have a Turkey for you\n\n...wait Marie why is that Turkey cooked\n\nM\xe2\x80\xa6'
1065614620239556608,2018-11-22 14:34:58,"b""@Yusuke_Paints This isn't over Inari\n\nIt isn't over"""
1065613424355434496,2018-11-22 14:30:13,"b""To all the Americans, Happy Thanksgiving Day!\n\nI... I live in Japan\n\n...I'm gonna say it anyway\n\nI'm thankful for e\xe2\x80\xa6 https://t.co/Su9opsUu3l"""
1065609669056610304,2018-11-22 14:15:17,b'Me and yusuke do this everyday except we switch places https://t.co/AdRtK3aVlE'
1065597465062187008,2018-11-22 13:26:48,b'@AtticRen Fuck I owe Ryuji a hundred yen now why did I make that bet--'
1065596689355087873,2018-11-22 13:23:43,"b'@Yusuke_Paints Wow, Yusuke. Really setting the bar low there.'"
1065524555790368768,2018-11-22 08:37:05,b'RT @Queen_Adrya: \xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95 https://t.co/tJMsXaZAhv'
1065524100729323522,2018-11-22 08:35:16,b'@Naoya_the_First \xf0\x9f\x98\x8e\xf0\x9f\x91\x89\xf0\x9f\x91\x89'
1065455270325874688,2018-11-22 04:01:46,"b'RT @SlimePupAribaba: My children in 3D, aka the Socially Inept Trio\n\nModel rips for Marie, Futaba, and LeBlanc: Xelandis\nXnalara Naoya edit\xe2\x80\xa6'"
1065355476316184577,2018-11-21 21:25:13,b'Two dorks in their natural habitat https://t.co/vbD45lfHJQ'
1065277709570502656,2018-11-21 16:16:12,"b'I was just walking through Shibuya, trying to get some new video games, and then I see Ren holding up this sign.\n\n.\xe2\x80\xa6 https://t.co/RUiRmk7ECP'"
