id,created_at,text
1066845878043009029,2018-11-26 00:07:33,b'@lunarli_art Proud Ravenclaw!\xf0\x9f\x92\x99'
1063457678834450437,2018-11-16 15:44:03,"b""RT @GalacticJonah: Hey?? \nStay safe out there, don't forget to love each other. Talk to your friends, take a break \xf0\x9f\x92\x95"""
1062194890279411713,2018-11-13 04:06:11,"b""RT @Jaizures: \xe2\x9c\xa8\xf0\x9f\x91\x8f ATTENTION ARTISTS \xf0\x9f\x91\x8f\xe2\x9c\xa8\n\nI've been seeing these go around and I want to help support other small artists! I think this is gre\xe2\x80\xa6"""
1062194834914639873,2018-11-13 04:05:57,"b'RT @sorrelpaws: someone: *driving past a ""road work ahead sign*\n\nmy brain:\ndon\'t say it\ndon\'t say it\ndon\'t say it\ndon\'t say it\ndon\'t say it\xe2\x80\xa6'"
1062187834990321664,2018-11-13 03:38:09,b'Just did some practice profiles bc I never draw men and I should learn how to do it lol https://t.co/MnMNgL2PRd'
1062187420123385856,2018-11-13 03:36:30,b'RT @CookieSharkArts: \xe2\xad\x90\xef\xb8\x8fARTISTS\xe2\xad\x90\xef\xb8\x8f\n\nTrying again with this trend. \n\nLike/RT this post to let us reach as far as possible!\nComment your own ar\xe2\x80\xa6'
1062187123019841536,2018-11-13 03:35:19,"b'RT @SaberGhatz: ARE YOU AN ARTIST? ME TOO\xe2\x9c\xa8\n\nAs artists, sometimes it\xe2\x80\x99s difficult to get recognition. Well that\xe2\x80\x99s exactly what I want to do\xe2\x80\xa6'"
1061083177446531072,2018-11-10 02:28:38,"b""RT @mang0away: \xf0\x9f\xa4\xa0 Howdy y'all! \xf0\x9f\xa4\xa0\n\nI'm joining the trend started by @laurendraws01 where I'll follow everyone that RTs/likes this tweet. I'd\xe2\x80\xa6"""
1061082163888746496,2018-11-10 02:24:36,"b'RT @VoiceOfOBrien: I demand respect, bleats pussy grabber https://t.co/sO9gauiacg'"
1061073341241573376,2018-11-10 01:49:32,"b""RT @GalacticJonah: After MCM weekend I've been thinking a lot about where I am in life atm. \nSo here's just some thoughts about what #dnd m\xe2\x80\xa6"""
1060615786853814272,2018-11-08 19:31:23,b'RT @VoiceOfOBrien: This latest shooting in America is right here in our city. One more tragic morning in America. It\xe2\x80\x99ll never end without g\xe2\x80\xa6'
1060615713587691520,2018-11-08 19:31:06,b'RT @TeddiBarez: \xe2\x80\xbc\xef\xb8\x8fArtists\xe2\x80\xbc\xef\xb8\x8f\nI\xe2\x80\x99ve seen these kinds of posts doing rounds so I wanted to make my own!\nRT/like if you\xe2\x80\x99re an artist and want me\xe2\x80\xa6'
1060615578921197580,2018-11-08 19:30:33,"b'RT @samriegel: \xe2\x80\x9cBut he got his gun legally\xe2\x80\x9d is just about the dumbest argument for less gun regulation. Yeah, dumbass, he got his gun legal\xe2\x80\xa6'"
1060615457944813570,2018-11-08 19:30:05,"b'RT @laurendraws01: \xe2\x80\xbc\xef\xb8\x8f HEY! \xe2\x9c\x8b Are you an artist? \xf0\x9f\x8e\xa8 Annoying emojis aside (because hopefully now I have your attention), if you are an artist\xe2\x80\xa6'"
1060615157108367360,2018-11-08 19:28:53,b'RT @OnAnimate: Canine locomotion tests from Balto animated by Kristof Serrand https://t.co/3STbfIWb1H'
1060137227924226049,2018-11-07 11:49:46,b'RT @pepodoodles: \xe2\x80\xbc\xef\xb8\x8fARTISTS\xe2\x80\xbc\xef\xb8\x8f\n\nIF UR AN ARTIST RT AND LIKE THIS\n\nFOLLOW ALL WHO RT AND LIKE TO GAIN ART FRIENDS!! LET\xe2\x80\x99S SUPPORT EACH OTHER Y\xe2\x80\xa6'
1058112630446059521,2018-11-01 21:44:44,"b""RT @rosegoldplated: @GeekandSundry @adamsmedia Working link: https://t.co/nNpGgOJ58A\n\nGrabbed the book when it first came out, it's actuall\xe2\x80\xa6"""
1058098066107088896,2018-11-01 20:46:52,"b""RT @Aetherschreiber: @VoiceOfOBrien Republicans' worst fear... voter turnout."""
1058016899118837760,2018-11-01 15:24:20,b'(I should also mention for the first time lol)'
1058016713621622784,2018-11-01 15:23:36,b'Just voted! @VoiceOfOBrien (Hopefully for a better and more accepting future)\xf0\x9f\x92\x99'
1057772169978146816,2018-10-31 23:11:52,b'RT @VoiceOfOBrien: Vote. https://t.co/jWwns4etn8'
1055636904782237696,2018-10-26 01:47:05,b'RT @markiplier: 3 Simple Truths:\n\n1) I\xe2\x80\x99m untall\n2) I\xe2\x80\x99m talln\xe2\x80\x99t\n3) You can\xe2\x80\x99t define trans people out of existence'
1055549754783002624,2018-10-25 20:00:47,b'Unfinished sketch of Beau for @Marisha_Ray! I watched your amazing Between the Sheets episode and wanted to give yo\xe2\x80\xa6 https://t.co/4KRUpF1wug'
1055186008566833153,2018-10-24 19:55:23,b'@CriticalRole A natural twenty https://t.co/8CVIKft722'
1054758764673490944,2018-10-23 15:37:40,"b""I'm sitting in the hallway at my college listening to two car horns outside having what I can only guess is a conve\xe2\x80\xa6 https://t.co/IuUkflGegn"""
1054212083594772481,2018-10-22 03:25:21,"b""That's my wholesome story of self-discovery at the supermarket! I'm honestly so happy about how all of that went do\xe2\x80\xa6 https://t.co/JIgPoOTzw3"""
1054212082185461761,2018-10-22 03:25:21,b'After work we talked about it some more and we got into my full label and what it all means and the difference betw\xe2\x80\xa6 https://t.co/sVexMKlZPd'
1054212081229144064,2018-10-22 03:25:21,b'He ends up asking me loads of questions about everything and over the course of the night he came to realize that d\xe2\x80\xa6 https://t.co/sZbQoby20J'
1054212080067403776,2018-10-22 03:25:20,"b""He was confused and didn't know what it meant so I explained it to him. I told him that there is a difference betwe\xe2\x80\xa6 https://t.co/E2PTo6DmkE"""
1054212078607708168,2018-10-22 03:25:20,"b""So I have a friend at work who comes to me to vent or when he needs advice about his girlfriend. I'm terrible at ad\xe2\x80\xa6 https://t.co/kUNKGt46A9"""
1054212077278191616,2018-10-22 03:25:20,b'The greatest thing just happened at work today so buckle down for some wholesome cuteness! (1)'
1053851867460050944,2018-10-21 03:33:59,"b'A sketch of my #dnd character, Kea. She is a Goliath ready to kick some butt! https://t.co/cGVqBUW9Pr'"
1053851663008710656,2018-10-21 03:33:10,"b""Thank you to everyone who is retweeting my #bubbline sketch! It's means so much to me that we can spread the love!"""
1052020384411910144,2018-10-16 02:16:19,"b'RT @BrianWFoster: In honor of @samriegel\xe2\x80\x99s episode of #BetweenTheSheets tonight and all the amazing #ThanksVoxMachina tweets, here\xe2\x80\x99s a thro\xe2\x80\xa6'"
1051186807289856000,2018-10-13 19:03:59,"b""Call me out why don't you\xf0\x9f\x98\x82 https://t.co/7d6GnhF3up"""
1051182220285751298,2018-10-13 18:45:45,"b""@uncreativeboba @matthewmercer Awe dude that's so kind!! This is really nice to hear, thank you!\xf0\x9f\x92\x99"""
1050743434150105090,2018-10-12 13:42:11,b'RT @Charmanderlvl5: THIS. IS. GOLDEN. \xf0\x9f\x98\x82 https://t.co/pkDd78aNZE'
1050562339446185984,2018-10-12 01:42:34,b'#Bubbline sketch in honor of #COMINGOUTDAY https://t.co/FN88lSwWmA'
1050406589302284293,2018-10-11 15:23:41,"b""@matthewmercer Most people don't have to worry about whether or not they will have their eyelashes or enough hair t\xe2\x80\xa6 https://t.co/lRyJVjgTvG"""
1050406234740928512,2018-10-11 15:22:16,"b""@matthewmercer The worst part of it is that I've been in and out of therapists offices and tried so many different\xe2\x80\xa6 https://t.co/7LlF05ameO"""
1050405773149376513,2018-10-11 15:20:26,"b""@matthewmercer I haven't had eyelashes in years because I keep pulling them out. I remember in middle school I was\xe2\x80\xa6 https://t.co/Y1zVWE5pvF"""
1050405296731037696,2018-10-11 15:18:32,"b""@matthewmercer I've been struggling with an anxiety disorder called trichotillomania and depression since I was ten\xe2\x80\xa6 https://t.co/lt8xgsBdZG"""
1049852559563902977,2018-10-10 02:42:10,"b'RT @MatPatGT: Don\'t let others make you think you\'re ""uncool"" because you follow the rules.\n\nMore often than not, they\'re looking to justif\xe2\x80\xa6'"
1049852487182835713,2018-10-10 02:41:52,b'RT @VoiceOfOBrien: I hope every male follower I have reads this whole thread. https://t.co/3KqvvFeOLG'
1048953797916147714,2018-10-07 15:10:48,"b'RT @ashly_burch: Ladies: I believe you. I believe in you. I love you.\n\nThis will not break us. This is fuel. \n\nVote, call, protest, volunte\xe2\x80\xa6'"
1046237739484663809,2018-09-30 03:18:09,"b""RT @timetomike: A reminder that my cat is cheering you on no matter what obstacles you're facing \xf0\x9f\x8c\xbb https://t.co/kuwtYKHiwY"""
1045123059416543234,2018-09-27 01:28:49,b'https://t.co/2ad6RzgjwP Disgusting'
1044912502985961472,2018-09-26 11:32:08,b'RT @VoiceOfOBrien: Epic self own. https://t.co/bZAH45ZJCI'
1041899089586282496,2018-09-18 03:57:55,"b'Creep, quit staring \xf0\x9f\x91\x80\n#spoop https://t.co/VIIsqn9163'"
1039988375233679360,2018-09-12 21:25:25,b'A $5 bust commission done for @Ashthewoof of her oc! These are still open if you are interested! https://t.co/AP7Gket1F6'
1036428698151477251,2018-09-03 01:40:32,"b'Good news! I opened up $5 bust commissions, kind of like this one! They can be any species, original or from your f\xe2\x80\xa6 https://t.co/DlZ6E7jyvR'"
1027022957808427011,2018-08-08 02:45:28,"b'RT @JinkxMonsoon: Listen- the world is a better place for queer youth thanks to @rebeccasugar, #StevenUniverse and the entire #Crewniverse.\xe2\x80\xa6'"
1027022623807549440,2018-08-08 02:44:09,b'@Aquiboni This perspective is amazing!\xf0\x9f\x92\x99'
1027022024189927424,2018-08-08 02:41:46,"b'A sketch of my #StevenUniverse fusion oc, Benitoite, or Benni for short! https://t.co/hZOcDTsmyk'"
1027021102239899650,2018-08-08 02:38:06,b'RT @them: How This Nonbinary Woman Created the Queerest Cartoon on Television\nhttps://t.co/pYWeewrOoq https://t.co/Qb2sKNJC19'
1025776259358314501,2018-08-04 16:11:32,b'@Starbucks @TEAVANA PLEASE COME OUT WITH A RASPBERRY LIMEADE ICED TEA FLAVOR! If you did I swaer I would buy them a\xe2\x80\xa6 https://t.co/gcVwWSMW2a'
1019476198055915525,2018-07-18 06:57:21,b'Me when I try to stand up to my bullies https://t.co/7Re2rPsDML'
1018697010164195329,2018-07-16 03:21:08,b'Hey @CrankGameplays idk if this is helpful or not but it appears that the YouTube thumbnail experiment hit this vid\xe2\x80\xa6 https://t.co/D77xBI4fup'
1016004539877613569,2018-07-08 17:02:13,"b'RT @VoiceOfOBrien: Well I\xe2\x80\x99m not in control of other parents, so how about some solid gun control laws to make it harder for their kids to m\xe2\x80\xa6'"
1016004089711296513,2018-07-08 17:00:26,b'RT @bugboystan: Is it okay to spoil movies?\nN\n\xe3\x80\x80   O\n\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80 O\n\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80 o\n\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80o\n\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80 o\n\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80o\n\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80 \xe3\x80\x82\n\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80 \xe3\x80\x82\n\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80.\n\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80.\n\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80 .\n\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80\xe3\x80\x80.\xe2\x80\xa6'
1016002710884306945,2018-07-08 16:54:57,"b""RT @ab_varaham: Hey I'm Nabigal-Nayagam, I'm Tamil and I'm 20 (but actually like, 12), and I'm a freelance illustrator who likes to draw co\xe2\x80\xa6"""
1016002468323516417,2018-07-08 16:53:59,b'RT @rebeccasugar: thank you for watching \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x99\xf0\x9f\x92\x9c https://t.co/2SBcGi78gt'
1015763219380654080,2018-07-08 01:03:18,b'RT @rebeccasugar: Thread! So grateful to our incredible composers and the brilliant guest musicians that leant their talent to the episodes\xe2\x80\xa6'
1014157379460587521,2018-07-03 14:42:16,"b'RT @rebeccasugar: The all new Steven Universe episodes this week were years in the making, please, PLEASE do not miss these! Heart of the C\xe2\x80\xa6'"
1012438531535405059,2018-06-28 20:52:10,"b'RT @Wabbla: Little throwback to the #animation test I made for The Spa Studios more than a year ago!\nMessy, but still got me a dream job\xf0\x9f\x91\x8c #\xe2\x80\xa6'"
1012437742763036682,2018-06-28 20:49:02,"b'More progress on my monk, Terrah! Smack those Kobalds, girl! https://t.co/22PdhJnNO5'"
1008381158067986432,2018-06-17 16:09:37,b'RT @VoiceOfOBrien: Dear @POTUS @HouseGOP @HouseSenate. It\xe2\x80\x99s Father\xe2\x80\x99s Day. Please find the decency to abandon this disastrous border policy\xe2\x80\xa6'
1008070774043930624,2018-06-16 19:36:16,"b'RT @VoiceOfOBrien: The POTUS is a habitual liar and  all of us, Republican and Democrat, know it. https://t.co/ogFqh5Rfrd'"
1008007037521981440,2018-06-16 15:23:00,b'RT @honeyhoying: 9/10 people won\xe2\x80\x99t RT cause they\xe2\x80\x99re scared of having JESUS on their TL. RT if you love our Lord and Saviour JESUS. https://\xe2\x80\xa6'
1007840404451090432,2018-06-16 04:20:51,"b'RT @matthewmercer: Identity of Country, of Religion, of Political Party... all of these things should take a backseat to Identity of being\xe2\x80\xa6'"
1007145176169680897,2018-06-14 06:18:16,"b'A sketch #wip of Terrah, my badass monk #DnD character, about to destroy some dragon boys! https://t.co/NdLX7QIezO'"
999975852237565952,2018-05-25 11:29:56,"b'RT @GeekandSundry: Something shifts in the water ahead...\n\n""I need everyone to roll initiative."" #CriticalRole https://t.co/G2G0ctOipZ'"
999974983962152960,2018-05-25 11:26:29,"b'RT @samriegel: Can we all just agree that her real name is BRAVE and \xe2\x80\x9cMerida\xe2\x80\x9d is, like, a nickname or something?'"
999973486444630017,2018-05-25 11:20:32,"b'RT @AMAZlNGNATURE: This guy found a prairie dog drowning in his pool, brought him back to life and kept saying the sweetest things to him u\xe2\x80\xa6'"
