id,created_at,text
1052126820127072257,2018-10-16 09:19:16,"b""it's crazy how someone's life can be changed just by a hit to the head. drive safely. my friend's life was just beg\xe2\x80\xa6 https://t.co/FeOr8Mi4Jc"""
1050353400209002497,2018-10-11 11:52:19,"b""RT @llilreinhart: Riverdale 3x02 Chapter Thirty-Seven : Fortune and Men's Eyes Trailer #Riverdale Wednesday, October 17 https://t.co/hP3K8J\xe2\x80\xa6"""
1050352669431193600,2018-10-11 11:49:25,b'RT @KayTeeAmore: All 3 facial expressions that I showed throughout this entire episode #riverdale https://t.co/8nR7z19RDq'
1050352359740559360,2018-10-11 11:48:11,"b""#WorldMentalHealthDay i'm late but not afraid to admit the fact i'm not okay. and it's okay not to be okay. having\xe2\x80\xa6 https://t.co/KLm7Agpzav"""
1050351072135368704,2018-10-11 11:43:04,b'ok but the actual golden trio https://t.co/0EEmWTyHxh'
1050314829192343552,2018-10-11 09:19:03,b'i am deeply concerned about betty and archie. whaT is happening. R U TELLING ME I HAVE TO WAIT A WEEK'
1050314461205037057,2018-10-11 09:17:36,b'UM HELLO @CamilaMendes WILL VERONICA SAVE HER MAN OR NO? LEAK THE FUCKIN SCRIPT PLEASE'
1050004793815486469,2018-10-10 12:47:05,b'and also hi daddy https://t.co/gY6fQpRvjM'
1050004578517708800,2018-10-10 12:46:14,b'hello. @CamilaMendes is smol and should b protected at all costs. thanks for coming to my ted talk. https://t.co/Jo37cAIJgG'
1050003824578985984,2018-10-10 12:43:14,b'GO MOM! FUCK EM UP https://t.co/cxmsPcB8DA'
1050003567069749248,2018-10-10 12:42:13,"b'hey how the fuCK IS @CamilaMendes SO PRETTY. im gonna sue, nobody has the right to look this good. nobody deserves\xe2\x80\xa6 https://t.co/xvmZFr1J10'"
1050001382441275393,2018-10-10 12:33:32,b'what r u supposed to do here honestly? https://t.co/56MwUXgKz4'
