id,created_at,text
1067048662063374337,2018-11-26 13:33:20,b'RT @MorganGrace30: drunk? Call me\nPut in a bad situation? Call me\nNeed a DD? Call me\n\nPeople ask why I always do things for people who take\xe2\x80\xa6'
1067039211856019460,2018-11-26 12:55:47,b'weird'
1067039113407287302,2018-11-26 12:55:23,b'RT @naomiwright22: straight hair me and curly hair me are two completely different people'
1065757939380695042,2018-11-23 00:04:28,"b'RT @KyleEdwards: I love me a girl that\xe2\x80\x99ll act right around my parents at the thanksgiving dinner, and then call you over\nfor \xe2\x80\x9cassistance wi\xe2\x80\xa6'"
1065757063446433792,2018-11-23 00:00:59,b'RT @c00lcvnt: to all my bad bitches goin thru it right now we gon be aight'
1065756817865740290,2018-11-23 00:00:00,b'RT @NormPerry: i\xe2\x80\x99m sorry i put you through it'
1065756690455379971,2018-11-22 23:59:30,"b'I really went to sleep at 3 am, woke up at 7, haven\xe2\x80\x99t napped and I\xe2\x80\x99m ab to shop til 5am and work at 2 tmro. help'"
1065752841824931841,2018-11-22 23:44:12,b'100% truth. https://t.co/bPyReV19u5'
1065742754599309317,2018-11-22 23:04:07,b'RT @itsposttmaIone: I wonder if you still think about me'
1065742440332709888,2018-11-22 23:02:52,b'RT @_DjAmelin: I was toxic once and I had to fix me'
1065741971220807682,2018-11-22 23:01:01,b'RT @juannisaac: if I bite into a donut and beans come out someone is getting hurt https://t.co/XYIPKgJhbM'
1065740952684367873,2018-11-22 22:56:58,b'This broke my heart https://t.co/LdDOBXXt1n'
1065740676514623494,2018-11-22 22:55:52,b'@TatumSue24 Prayers!!\xf0\x9f\x92\x97 glad you\xe2\x80\x99re okay girl'
1064201497586647043,2018-11-18 16:59:43,b'RT @kaelamarie7: *pulls long hair off of my bf knowing good and well it\xe2\x80\x99s mine*\n\nmy brain:\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say\xe2\x80\xa6'
1064201392502554624,2018-11-18 16:59:18,b'RT @kelsey_halll: \xe2\x9d\x8cSTOP DRINKING AND DRIVING\xe2\x9d\x8c \n\xe2\x9a\xa0\xef\xb8\x8fI. WILL. DRIVE. ANY. ONE. ANY. DAY. ANY. TIME. \xe2\x9a\xa0\xef\xb8\x8f SERIOUSLY STOP \xe2\x9a\xa0\xef\xb8\x8f \xe2\x80\xbc\xef\xb8\x8fokay rant over\xe2\x80\xbc\xef\xb8\x8f'
1063639779223502848,2018-11-17 03:47:39,b'RT @halledawn6: *sees road work ahead sign*\n\nmy brain: \nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDONT SAY IT\nDONT SAY IT\ndOnT sAy It\nDon\xe2\x80\x99t say it \nDon\xe2\x80\x99t s\xe2\x80\xa6'
1063543065284145155,2018-11-16 21:23:21,b'*female when the argument was over 17 minutes ago*\n\ndon\xe2\x80\x99t say it\ndon\xe2\x80\x99t say it \ndon\xe2\x80\x99t say it \ndon\xe2\x80\x99t say it \ndon\xe2\x80\x99t sa\xe2\x80\xa6 https://t.co/0iEj6HGqoO'
1063542566342328325,2018-11-16 21:21:22,b'RT @FadedWOES710: *midwesterners when they inconvenience anyone in the slightest*\n\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99\xe2\x80\xa6'
1061593598909730816,2018-11-11 12:16:52,b'RT @queenkimbaby: a girl that has learned her worth is dangerous.'
1061565690300243968,2018-11-11 10:25:58,b'RT @damnbluci: remember when youd go over to ur friends and go to the \xe2\x80\x9ccomputer room\xe2\x80\x9d to the old shitty desktop n sit on the giant black le\xe2\x80\xa6'
1061565466806812673,2018-11-11 10:25:04,b'RT @aj_fairley: Free my girl\xf0\x9f\x98\xa3she not in jail\xf0\x9f\x98\x82she just in the wrong relationship right now\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f...'
1061564917633945600,2018-11-11 10:22:53,b'RT @Pariss_Franceee: I saw a post that said \xe2\x80\x9cI wasn\xe2\x80\x99t myself for months and nobody noticed\xe2\x80\x9d. I felt that.'
1060290498366226432,2018-11-07 21:58:48,"b'RT @dacey_blizzard: listen here, only reason i\xe2\x80\x99m still single is cause i\xe2\x80\x99m looking for something serious &amp; not to mention, mature. not that\xe2\x80\xa6'"
1060007613906206720,2018-11-07 03:14:43,b'@AngelGroff BITCH I LOVE UUU!!\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f &amp; of course we do brotato chip \xf0\x9f\xa4\xaa'
1059181588532129792,2018-11-04 20:32:24,b'RT @danicorral5: it\xe2\x80\x99s November let\xe2\x80\x99s get this \xe1\xb6\x9c\xe1\xb5\x92\xca\xb3\xe1\xb6\xb0\xe1\xb5\x87\xca\xb3\xe1\xb5\x89\xe1\xb5\x83\xe1\xb5\x88'
1059181342972432385,2018-11-04 20:31:25,b'You ever met someone who is literally dumb as dirt when they\xe2\x80\x99re high? Shit is so funny \xf0\x9f\x98\xab\xf0\x9f\x98\x82'
1058975411504324608,2018-11-04 06:53:07,"b'hi uh I\xe2\x80\x99m in love with you stop fucking me over :,-))'"
1058975215571660801,2018-11-04 06:52:20,b'I always end up w what I want \xf0\x9f\x98\x8b'
