id,created_at,text
1066206448420556800,2018-11-24 05:46:41,b'RT @sentii2013: #WednesdayWisdom Good Morning @spendharkar @PrachiMalik @KariJoys @GiGiBclub @loveGoldenHeart @coachmekat @pkamla1 @malekal\xe2\x80\xa6'
1066205599573131264,2018-11-24 05:43:18,b'@Reflective_Soul @momo_sandiego @Rockyourmessage @BethFratesMD @JamesVanPraagh @helensmomma @JenniferPilates\xe2\x80\xa6 https://t.co/DkFZjyQ4cF'
1066205443247276033,2018-11-24 05:42:41,"b'RT @Reflective_Soul: Your thoughts are the first step in your process of creation. The more they stay in alignment with your true desires,\xe2\x80\xa6'"
1063193131397586945,2018-11-15 22:12:50,"b""RT @brienblatt: Having a mental illness doesn't make you weak. It isn't your fault either. \n\nYou're not crazy. \n\nWhen you're down you might\xe2\x80\xa6"""
1062809415382900737,2018-11-14 20:48:05,"b""@TheTwinPowers If one is truly passionate about what they do, they'd do it even if not paid for it - at least somet\xe2\x80\xa6 https://t.co/1ZfvhGkhgj"""
1062808797335429122,2018-11-14 20:45:37,"b'@TheTwinPowers Well, I would not agree with Aristotle on the word ""all"", but generally this is true more often than\xe2\x80\xa6 https://t.co/OwpZFFxioL'"
1062807016232624137,2018-11-14 20:38:33,"b'RT @TheTwinPowers: ""Anger, if not restrained, is frequently more hurtful to us than the injury that provokes it."" \n\nLucius Annaeus Seneca\xe2\x80\xa6'"
1062806881582882816,2018-11-14 20:38:01,b'Powerful Technique to activate your own Healing Powers:  https://t.co/VpG5VUFAQ4  \xf0\x9f\x99\x8c\n\n#WorldDiabetesDay\xe2\x80\xa6 https://t.co/IXHtMCDh3J'
1062803330714533888,2018-11-14 20:23:54,b'The Truth about Diabetes revealed:  https://t.co/yjJjNe2u1Y  \xf0\x9f\x91\x8f\xf0\x9f\x91\x8d\n\nMost of it is in English.  I will translate the Hi\xe2\x80\xa6 https://t.co/WNHQPYUT42'
1062802165906001921,2018-11-14 20:19:16,b'RT @Reflective_Soul: #meditation \xf0\x9f\x92\x95\nI just Love Osho!\nThanks for sharing Marlena!\nLove \xf0\x9f\x92\x95 https://t.co/09Dk3pI8uR'
1062801407865249797,2018-11-14 20:16:16,"b'#WednesdayWisdom #WorldDiabetesDay @HealthRanger @mercola \n\nIf anyone needs help, I practice healing meditation on\xe2\x80\xa6 https://t.co/Yd3kVIaFAO'"
1062800195459710976,2018-11-14 20:11:27,b'@momo_sandiego @Jessicasquared9 @loveGoldenHeart @Rockyourmessage @JeanetteJoy @pismoeyedoc @Reflective_Soul\xe2\x80\xa6 https://t.co/vIyd6kzcG2'
1062799386051256321,2018-11-14 20:08:14,b'RT @momo_sandiego: \xe2\x80\x9cMeditation is the only cure for all sicknesses that man is prone\xc2\xa0to; a single medicine. I should remind you that the wo\xe2\x80\xa6'
1062798375534411778,2018-11-14 20:04:13,b'@Reflective_Soul @Jessicasquared9 @BethFratesMD @momo_sandiego @JeanetteJoy @always5star @JodiLivon @MediumMairin\xe2\x80\xa6 https://t.co/3w0rYkNiIT'
1062797588322234370,2018-11-14 20:01:05,"b'RT @Reflective_Soul: Having only one point of perception, it is easy to believe that others, see, hear, understand, feel, and perceive, sim\xe2\x80\xa6'"
1062443041510883328,2018-11-13 20:32:14,b'@Reflective_Soul @BethFratesMD @momo_sandiego @Rockyourmessage @farhandhalla @JodiLivon @MediumMairin @AmandaRay02\xe2\x80\xa6 https://t.co/y47XyoAIZE'
1062442891421929473,2018-11-13 20:31:39,b'RT @Reflective_Soul: I just wanted to give each of you a hug today and let you know that you are important and you matter a great deal \xf0\x9f\xa4\x97\n\nT\xe2\x80\xa6'
1062441044871204865,2018-11-13 20:24:18,"b""@Reflective_Soul It's a perfect image for a meme, isn't it?  \xf0\x9f\x98\x89  #Love"""
1062437795845885952,2018-11-13 20:11:24,b'Just when they thought no one was watching...  \xf0\x9f\xa4\xa3\n\n@HealthRanger @NJPeaceAction https://t.co/ZkQe16gZ6f'
1062437794369495042,2018-11-13 20:11:23,b'@HealthRanger @NJPeaceAction https://t.co/s3MSICDFqQ'
1062436693817655296,2018-11-13 20:07:01,b'@RichardReichle @GovJVentura @GovMurphy @FirstLadyNJ @narendramodi @BarackObama @realDonaldTrump @Reflective_Soul\xe2\x80\xa6 https://t.co/wOxfhZihWx'
1062435939979538433,2018-11-13 20:04:01,b'RT @VFPNational: #ReclaimArmisticeDay https://t.co/R1L66jOLYw'
1062435475758178304,2018-11-13 20:02:11,"b'@Reflective_Soul I know it is for you.  You are awesome, my friend.  \xf0\x9f\x99\x8f\xf0\x9f\x91\x8f\n\nIf even one-fourth of the world, what woul\xe2\x80\xa6 https://t.co/mA4IYsgl1V'"
