id,created_at,text
1066732425240354818,2018-11-25 16:36:43,b'@JeffreyWoolfe7 @SupperheatD @realDonaldTrump Show me your facts #TruthSquad'
1066732049455820808,2018-11-25 16:35:14,b'@piratestevefive @Manning_Eric @HerrAggressiv @SupperheatD @realDonaldTrump Brushed. up. Green card holders can vot\xe2\x80\xa6 https://t.co/TYRbgJ1yYz'
1066731423204343810,2018-11-25 16:32:44,b'@Manning_Eric @HerrAggressiv @SupperheatD @realDonaldTrump Same to ya \xf0\x9f\x98\x89\xf0\x9f\x91\x8d'
1066731359627091969,2018-11-25 16:32:29,"b""@xTCRP @Manning_Eric @HerrAggressiv @SupperheatD @realDonaldTrump I made a factual inaccuracy, I'm hardly alone the\xe2\x80\xa6 https://t.co/d0afJOsKIc"""
1066730921557196800,2018-11-25 16:30:45,b'@hernel_aitken @SupperheatD @realDonaldTrump Research done. You &amp; @BreitbarkNews are total \xf0\x9f\x90\x82\xf0\x9f\x92\xa9! #FactsMatter #TruthSquad'
1066730553079144448,2018-11-25 16:29:17,"b'@Manning_Eric @HerrAggressiv @SupperheatD @realDonaldTrump Legally speaking, a green card is treated the same way a\xe2\x80\xa6 https://t.co/NgwiIjPeXe'"
1066730341963046913,2018-11-25 16:28:27,"b'RT @OversightDems: ""I want to hold him accountable to the American people and hold him accountable to himself. Keep in mind, he is the one\xe2\x80\xa6'"
1066730312724553729,2018-11-25 16:28:20,"b'RT @chucktodd: Incoming House oversight chair @RepCummings: ""We\'re going to be very careful issuing subpoenas. ...we\'re going to do it very\xe2\x80\xa6'"
1066730262531371008,2018-11-25 16:28:08,b'Feeling fiery today. #TruthSquad #NotMyPresident #VoteThemOut #BlueWave https://t.co/Jx09k1b3ag'
1066729248835190786,2018-11-25 16:24:06,b'@HerrAggressiv @LilithHelborn @SupperheatD @realDonaldTrump Literal evidence of what? A person being factually inco\xe2\x80\xa6 https://t.co/1Wxk86pW45'
1066728890838728704,2018-11-25 16:22:41,"b'@Manning_Eric @HerrAggressiv @SupperheatD @realDonaldTrump About 40,000 of them are as they became eligible for gre\xe2\x80\xa6 https://t.co/2D8LtBmTe1'"
1066725668128468994,2018-11-25 16:09:52,"b'@HerrAggressiv @SupperheatD @realDonaldTrump Also, part 2: it does not matter at all if an election official tells\xe2\x80\xa6 https://t.co/YajDLRVv0Y'"
1066725450360197120,2018-11-25 16:09:00,"b""@HerrAggressiv @SupperheatD @realDonaldTrump 1.If he's a DACA recipient, then by definition, he is a citizen. 2. El\xe2\x80\xa6 https://t.co/JDK89yQbJ8"""
1066721109125545984,2018-11-25 15:51:45,"b'@ShelbyA06269608 @realDonaldTrump God has nothing to do with this guy. He is an adulterer, a thief, and absolutely\xe2\x80\xa6 https://t.co/M6i3LZCyYc'"
1066720886714236930,2018-11-25 15:50:52,"b'@TCFPC @Amore2love @realDonaldTrump @georgesoros OMG yes, that seems absolutely likely. George Soros gave up his ri\xe2\x80\xa6 https://t.co/Twvb0vcqNJ'"
1066720550595305474,2018-11-25 15:49:32,b'@PJMcIntyre1 @realDonaldTrump @SenateGOP @HouseGOP This is not how the world works. Go back to 6th grade social studies. Thanks! #TruthSquad'
1066720420848640001,2018-11-25 15:49:01,b'@shornbeck22 @realDonaldTrump False. He lost the popular vote; current polls from both conservative and liberal pol\xe2\x80\xa6 https://t.co/vOLVGiKSGg'
1066720180242432000,2018-11-25 15:48:04,"b""@ccrehoboth @realDonaldTrump of course they did, it is not Mexico's responibility to be the holding cell for u.s. i\xe2\x80\xa6 https://t.co/UjfOnFGcKT"""
1066719592494612480,2018-11-25 15:45:44,"b""@verdigrisisla @realDonaldTrump Lady, watch some comedy shows. You need it! Also, maybe don't watch conservative sh\xe2\x80\xa6 https://t.co/McX4vY2Ud1"""
1066719347069132805,2018-11-25 15:44:45,b'@Conservativesf2 @realDonaldTrump (2/2) ... Holding women and children (the vast majority of asylum seekers) at the\xe2\x80\xa6 https://t.co/Y8DAbo2nrH'
1066719168710496257,2018-11-25 15:44:03,"b'@Conservativesf2 @realDonaldTrump (1/2) Funny you should say so, new census rules for 2020 will exclude these peopl\xe2\x80\xa6 https://t.co/L5ycvJrWPc'"
1066718220030230529,2018-11-25 15:40:16,b'@AileenDB @realDonaldTrump Never going to happen. Deal with it.'
1066718138811715584,2018-11-25 15:39:57,b'@CheyneHowell @markhellyar1 @realDonaldTrump 1M? Do you understand how small a population that is compared to the e\xe2\x80\xa6 https://t.co/M7KVaSkcWb'
1066717010955038720,2018-11-25 15:35:28,"b'@davebron2009 @realDonaldTrump You\'re right, the ""wicked left"" are definitely destroying the nation by wanting to k\xe2\x80\xa6 https://t.co/4Fzu7IrJra'"
1066716686643093505,2018-11-25 15:34:11,"b""@SupperheatD @realDonaldTrump Learn how the process works and THEN criticize it---while you're at it, why don't you\xe2\x80\xa6 https://t.co/z0RjWTetGu"""
1066716429507018754,2018-11-25 15:33:10,b'@SupperheatD @realDonaldTrump THIS is absurd. 1. voter fraud is actually not a particularly easy crime to commit an\xe2\x80\xa6 https://t.co/wSVVcmudyv'
1066469603159752704,2018-11-24 23:12:22,b'@Zak_Bagans So excited for this #episode of #GhostAdventures \xe2\x9d\xa4\xef\xb8\x8f'
1066182259080863744,2018-11-24 04:10:33,b'@nataliemcosta @tutticontenti @realDonaldTrump Never been so grateful for the 9th Circuit! #saveus #notmypresident #NoWall #savethedoj'
1065406181923901441,2018-11-22 00:46:42,"b""#drinksgiving @ Klondike Kate's Restaurant &amp; Saloon https://t.co/Egu1geS6pB"""
1065281168126459904,2018-11-21 16:29:57,"b'RT @WtfAmerica4: @realDonaldTrump Not since you\xe2\x80\x99ve taken the reins, Putin and the murderer Prince come before American values.  America wil\xe2\x80\xa6'"
1064882599989002244,2018-11-20 14:06:11,"b""@mccormallie Lol I've wondered this!!!"""
1064882360045449216,2018-11-20 14:05:13,"b'#selfie because...good hair day! #diymakeup #glow #curlyhair #brunettes #browneyedgirl @ Downtown Frederick, Maryla\xe2\x80\xa6 https://t.co/ReP6POb5Xr'"
1064874425600876546,2018-11-20 13:33:42,"b""@EITMonline if there's no hands, it's called an aerial!"""
