id,created_at,text
1067111286318743552,2018-11-26 17:42:11,b'New from Pew Research: The U.S. class divide extends to searching for a religious congregation https://t.co/q7CYWsOKZy'
1067050957962469376,2018-11-26 13:42:27,b'New from Pew Research: Americans are divided over whether eating organic foods makes for better health https://t.co/UNIBEYMMjO'
1066936433116700672,2018-11-26 06:07:23,"b'Funny Quote of the Day: ""Success is simply a matter of luck. Ask any failure."" - Earl Wilson'"
1066625402867720192,2018-11-25 09:31:27,b'Pinned to Books for all occasions on @Pinterest: Books to Inspire Kids to Make a Difference one small act at a time\xe2\x80\xa6 https://t.co/fuX3pHVmNy'
1066573538348474368,2018-11-25 06:05:22,"b'Funny Quote of the Day: ""Indecision may or may not be my problem."" - Jimmy Buffett'"
1066266742652104704,2018-11-24 09:46:16,b'Pinned to Books for all occasions on @Pinterest: 10 Ispirational Books for Men That May Change Your Life. Click to\xe2\x80\xa6 https://t.co/KfW6buFZhF'
1066216756463714304,2018-11-24 06:27:38,"b'Funny Quote of the Day: ""An optimist is a person who starts a new diet on Thanksgiving Day."" - Irv Kupcinet'"
1065850583691784197,2018-11-23 06:12:36,"b'Funny Quote of the Day: ""Progress is man\'s ability to complicate simplicity."" - Thor Heyerdahl'"
1065748348332900352,2018-11-22 23:26:21,"b'Pinned to Books for all occasions on @Pinterest: 41 of the best poetry books of all time, including poetry for wome\xe2\x80\xa6 https://t.co/MtcyWW5NdW'"
1065748343501062144,2018-11-22 23:26:20,b'Pinned to Anxiety tips quotes and advice on @Pinterest: Free anxiety workbook for those who are looking to decrease\xe2\x80\xa6 https://t.co/zDm7pSRPxQ'
1065657743627956225,2018-11-22 17:26:19,b'Pinned to Anxiety tips quotes and advice on @Pinterest: 10 Ways to Cut Down on Stress &amp; Anxiety https://t.co/z3iEWtirIy'
1065657740964651008,2018-11-22 17:26:19,"b""Pinned to PTSD It's Real To Me on @Pinterest: PTSD | post traumatic stress disorder | veterans | trauma | quotes |\xe2\x80\xa6 https://t.co/CWIwLYhkm8"""
1065487437852565509,2018-11-22 06:09:35,"b'Funny Quote of the Day: ""Vegetables are a must on a diet. I suggest carrot cake, zucchini bread, and pumpkin pie."" - Jim Davis'"
1065281507860905984,2018-11-21 16:31:18,"b'New from Pew Research: Millennials, Gen X increase their ranks in the House, especially among Democrats https://t.co/NXYlo0HANo'"
1065220933437272065,2018-11-21 12:30:36,"b'New from Pew Research: When it comes to food ingredients, health-oriented eaters have a list they avoid https://t.co/AbcwZLyXy8'"
1065134173139152896,2018-11-21 06:45:50,"b'Pinned to Anxiety tips quotes and advice on @Pinterest: Anxiety is a difficult disorder to have! However, the first\xe2\x80\xa6 https://t.co/b0KBUoYtEm'"
1065125577357582336,2018-11-21 06:11:41,"b'Funny Quote of the Day: ""Thanksgiving, man. Not a good day to be my pants."" - Kevin James'"
1065015619622445056,2018-11-20 22:54:45,b'New partners join national governments to fight climate change https://t.co/9AyPUdRuzz https://t.co/QX6xJHGgos'
1064979335533248519,2018-11-20 20:30:34,b'New from Pew Research: Most say their family is OK with discussing politics \xe2\x80\x93 but it helps if the family agrees https://t.co/MyLFfnnrRG'
1064918813823635456,2018-11-20 16:30:05,b'New from Pew Research: Americans who find meaning in these four areas have higher life satisfaction https://t.co/4XKi3tx1tm'
1064918812410163200,2018-11-20 16:30:04,b'New from Pew Research: What keeps us going https://t.co/0fBy6RQbVj'
1064918810224984064,2018-11-20 16:30:04,b'New from Pew Research: Where Americans Find Meaning in Life https://t.co/RjaNp6KnJJ'
1064770813499453440,2018-11-20 06:41:59,"b'Funny Quote of the Day: ""Never fight an inanimate object."" - P. J. O\'Rourke'"
1064647161667903488,2018-11-19 22:30:38,b'New from Pew Research: Public Perspectives on Food Risks https://t.co/NdfB2fEsgb'
1064556621865648128,2018-11-19 16:30:51,b'New from Pew Research: Americans are narrowly divided over health effects of genetically modified foods https://t.co/qtyo2Ih5qG'
1064400776674623490,2018-11-19 06:11:35,"b'Funny Quote of the Day: ""I wonder if other dogs think poodles are members of a weird religious cult."" - Rita Rudner'"
1064142536724357120,2018-11-18 13:05:26,b'Pinned to Anxiety tips quotes and advice on @Pinterest: 5 tips for cope with Anxiety https://t.co/om0ePaUwpH'
1064141470549098497,2018-11-18 13:01:12,b'Pinned to Books for all occasions on @Pinterest: 10 Books For Adults Who Love Harry Potter https://t.co/5OGvaAlnJg'
1064141467470503936,2018-11-18 13:01:11,b'Pinned to Lose That Negativity on @Pinterest: Learn how to stop negative self-talk by identifying cognitive distort\xe2\x80\xa6 https://t.co/16245p8R1L'
1064141463955664897,2018-11-18 13:01:10,"b""Pinned to Books for all occasions on @Pinterest: When you're hoping to scratch that Harry Potter itch, these 13 boo\xe2\x80\xa6 https://t.co/1USAP2DTnI"""
1064038383729684482,2018-11-18 06:11:34,"b'Funny Quote of the Day: ""There are a handful of people whom money won\'t spoil, and we all count ourselves among them."" - Mignon McLaughlin'"
1063709683083550721,2018-11-17 08:25:25,b'Pinned to Books for all occasions on @Pinterest: First challenge: a book based on fairytales - I love fairytales so\xe2\x80\xa6 https://t.co/JWJ1JVNfUN'
1063708351777914882,2018-11-17 08:20:08,b'Pinned to Books for all occasions on @Pinterest: 8 books worth reading. These must read books are great for book cl\xe2\x80\xa6 https://t.co/JVNKNHF6tK'
1063708347495563264,2018-11-17 08:20:07,b'Pinned to Anxiety tips quotes and advice on @Pinterest: People who\xe2\x80\x99ve had a panic attack describe the experience in\xe2\x80\xa6 https://t.co/gGruqv9saj'
1063676009403334657,2018-11-17 06:11:37,"b'Funny Quote of the Day: ""People say that life is the thing, but I prefer reading."" - Logan Pearsall Smith'"
1063457265594900482,2018-11-16 15:42:24,b'New from Pew Research: Public Attitudes Toward Computer Algorithms https://t.co/lo7tt8mvHi'
1063169611309428736,2018-11-15 20:39:22,"b'New from Pew Research: Public Expects Gridlock, Deeper Divisions With Changed Political Landscape https://t.co/xYAbqWay2C'"
1063109169660747777,2018-11-15 16:39:12,"b'New from Pew Research: Early Benchmarks Show \xe2\x80\x98Post-Millennials\xe2\x80\x99 on Track to Be Most Diverse, Best-Educated Generati\xe2\x80\xa6 https://t.co/7cpcrkIqjo'"
1063048746370560001,2018-11-15 12:39:06,b'New from Pew Research: How Americans view some of the voting policies approved at the ballot box https://t.co/T1lOjNuQp2'
1062978685781860352,2018-11-15 08:00:42,b'Pinned to Books for all occasions on @Pinterest: Curl up on the couch with one of these 10 amazing books. https://t.co/V933eFaGE0'
1062977366710984704,2018-11-15 07:55:28,b'Pinned to Books for all occasions on @Pinterest: 13 environmental dystopian books for teens and adults. Including a\xe2\x80\xa6 https://t.co/lKBMgZ0TU9'
1062976059807883269,2018-11-15 07:50:16,"b""Pinned to PTSD It's Real To Me on @Pinterest: #PTSDPostTraumaticStressDisorder https://t.co/CbAwiLU1NR"""
1062964805546532864,2018-11-15 07:05:33,b'Pinned to Anxious Kids on @Pinterest: Must-Try Calming Strategies for Kids. Simple activities to help kids cope wit\xe2\x80\xa6 https://t.co/7z2chqSHiJ'
1062951169398595584,2018-11-15 06:11:22,"b'Funny Quote of the Day: ""Scratch a dog and you\'ll find a permanent job."" - Franklin P. Jones'"
1062807174420856837,2018-11-14 20:39:11,b'New from Pew Research: America\xe2\x80\x99s polarized views of Trump follow years of growing political partisanship https://t.co/CI77x7lBUg'
