id,created_at,text
1066950723982819330,2018-11-26 07:04:10,"b'One more person was just killed in #Florida. #POTUS, it\xe2\x80\x99s your job to take action. #BackfireTrump https://t.co/1OkVzy0rhg'"
1066878912964251649,2018-11-26 02:18:49,"b'Shooting in #Illinois just took an American life. #POTUS, please do something. #BackfireTrump https://t.co/pHu7JOQkHX'"
1066771142571159554,2018-11-25 19:10:34,"b""Another life was just lost in #Illinois. #POTUS, it's time to do something. #BackfireTrump https://t.co/e7bNU18aVe"""
1066630926887780352,2018-11-25 09:53:24,"b'One more person was just killed in #Alabama. #POTUS, it\xe2\x80\x99s your job to take action. #BackfireTrump https://t.co/mOYzdtMXdS'"
1066525543259144193,2018-11-25 02:54:39,b'ENTER https://t.co/pSpItUuov2'
1066525219270082561,2018-11-25 02:53:22,b'@elijahdaniel @SushiRollPhan @NathanZed he has entered the void'
1066525126672429056,2018-11-25 02:52:59,b'RT @ChrisCrocker: lil thought \xf0\x9f\x92\x95\xf0\x9f\xa4\x97 https://t.co/NqK4vTnppo'
1066525109337366528,2018-11-25 02:52:55,b'fucking bless https://t.co/UggcEFs9jz'
1066524729895456769,2018-11-25 02:51:25,b'i think some people will only message you back on snapchat when you\xe2\x80\x99ve seen their story'
1066420708291604482,2018-11-24 19:58:04,b'@cockspit really snuffed the value of life on this one \xf0\x9f\x98\x82\xf0\x9f\x92\x90'
1066420590398136324,2018-11-24 19:57:36,b'RT @cockspit: $2 https://t.co/wh1JaLfK0j'
1066420162247704577,2018-11-24 19:55:54,b'tee hee. https://t.co/qDv1XR30aE'
1066417247688843266,2018-11-24 19:44:19,b'i am thankful for the second after thanksgiving because everyone\xe2\x80\x99s finally stopping giving thanks but i\xe2\x80\x99ll always b\xe2\x80\xa6 https://t.co/Z1EDlfYbVU'
1066145036142809088,2018-11-24 01:42:39,"b'One more person was just killed in #Texas. #POTUS, it\xe2\x80\x99s your job to take action. #BackfireTrump https://t.co/mjyfrsiOQx'"
1065761543466467328,2018-11-23 00:18:47,"b""Another life was just lost in #Nevada. #POTUS, it's time to do something. #BackfireTrump https://t.co/y3rUmS3Div"""
1065657700812509184,2018-11-22 17:26:09,"b'#California is suffering today after fatal shooting. #POTUS, stop the bloodshed. #BackfireTrump https://t.co/7j8UJiFaDG'"
1065388785901477889,2018-11-21 23:37:35,"b'Another life just lost in #Maryland. #POTUS, please end the suffering. #BackfireTrump https://t.co/KaBdxzrhUk'"
1065316755973857281,2018-11-21 18:51:21,"b'One more person was just killed in #Mississippi. #POTUS, it\xe2\x80\x99s your job to take action. #BackfireTrump https://t.co/ARXbylM1CE'"
1065176768762515456,2018-11-21 09:35:06,"b""Another life was just lost in #Tennessee. #POTUS, it's time to do something. #BackfireTrump https://t.co/kLXeBG4kR6"""
1064876095693078529,2018-11-20 13:40:20,"b'Big tip, long tube.\nGordon Ramsey kissing your boob.\n\n~onanistic by me'"
