id,created_at,text
1067122792368406529,2018-11-26 18:27:54,b'@AliThurm Thank you! It feels so surreal. Thank you for your support xx'
1067111529357684741,2018-11-26 17:43:09,"b'@AnXYZdelight Thank you! It\xe2\x80\x99s been a long time coming, but so worth it! X'"
1067098345787858944,2018-11-26 16:50:46,b'Today I got my first canister of entonox!!\n\nI cannot thank each and every one of you enough \xf0\x9f\x92\x95 My doctor is incredib\xe2\x80\xa6 https://t.co/UeCkzq8hkM'
1066973600467570693,2018-11-26 08:35:04,"b'RT @APainPrincess: \xe2\x80\x9cWe use our #opiates to be able to live. To get up in the morning, be a semi-functioning human being. We are physically\xe2\x80\xa6'"
1066972656027803651,2018-11-26 08:31:19,b'RT @SpineAction: Patients in the UK with Hypermobile Ehlers-Danlos Syndrome are having to self fund diagnosis &amp; treatment of cranio-cervica\xe2\x80\xa6'
1066972497059479553,2018-11-26 08:30:41,b'RT @graemekwhippy: The BBC is cooking on gas when it comes to disability! Following hot on the heels of their Access Writers Room they are\xe2\x80\xa6'
1066240425302925312,2018-11-24 08:01:41,"b'@kbaczynski @GP_LakesDales @jenvcampbell Super lovely to meet you, hope to see you at a comic arts thing or another soon :D'"
1066051430912589824,2018-11-23 19:30:42,"b'Today was amazing! I read at @GP_LakesDales conference to a really receptive audience, met other creatives+ discuss\xe2\x80\xa6 https://t.co/QM2g6xW5OH'"
1066046596528381952,2018-11-23 19:11:29,b'@jenvcampbell @katiejlumsden @Kiran_MH @GrantaBooks @ExploreWellcome @wellcomebkprize @NineArchesPress @kirstylogan\xe2\x80\xa6 https://t.co/CxjSNbSQJo'
1063011537647034368,2018-11-15 10:11:15,"b'Yesterday a shop assistant assumed I wasn\xe2\x80\x99t disabled because my voice sounds young, and shouted at me to get out of\xe2\x80\xa6 https://t.co/82ESN007fl'"
1060103261200498688,2018-11-07 09:34:47,"b'RT @AChVoice: ""This is not just for #palliative patients. It\'s for you whatever your #health. It is so important to think about these thing\xe2\x80\xa6'"
1059199493923594240,2018-11-04 21:43:32,"b'@JonathanHumble @christheowl @VisibilityToday Also @JonathanHumble thank you for your lovely words, they\xe2\x80\x99re helping\xe2\x80\xa6 https://t.co/GLtLO3EEla'"
1059198126337220608,2018-11-04 21:38:06,"b'@kevmcveigh Thank you! It takes a lot to speak out, and I\xe2\x80\x99m gaining confidence to do it. It\xe2\x80\x99s sad that we seem to b\xe2\x80\xa6 https://t.co/O9qCvzWtCI'"
1059075797477179393,2018-11-04 13:32:01,b'@kimmoorepoet It was awful - but has reminded me why I must write! I guess it\xe2\x80\x99s also a sign that I am getting stron\xe2\x80\xa6 https://t.co/azLqP4WX1F'
1059074106090496000,2018-11-04 13:25:18,"b'@JonathanHumble @christheowl @VisibilityToday I talked with a close friend after, and recognised that I speak out a\xe2\x80\xa6 https://t.co/ESyMzjPz1g'"
1059072839733702658,2018-11-04 13:20:16,b'@christheowl I think the internet and political culture aren\xe2\x80\x99t helping. While I LOVE the internet and its inclusivi\xe2\x80\xa6 https://t.co/V3zX1YGcn8'
1059037736898908160,2018-11-04 11:00:47,"b'@christheowl @VisibilityToday I\xe2\x80\x99ve been disabled for 4 years, don\xe2\x80\x99t know if I\xe2\x80\x99m speaking out more + so getting a bi\xe2\x80\xa6 https://t.co/v0Da7lNrC6'"
