id,created_at,text
1064291211983360000,2018-11-18 22:56:13,b'@Megan_Mckenna_ why have you messed with your lips \xf0\x9f\x98\xaa'
1063918780756213762,2018-11-17 22:16:18,b'@Kathbum I love your jacket x'
1063474477571457024,2018-11-16 16:50:48,"b'@Schofe just watched you eating that hottest chip ever on my memory on Facebook, was you actually sick? Xx'"
1062464226671951877,2018-11-13 21:56:25,"b'RT @PureNietzsche: Love is proved not in how two souls come together, but in how they move away from each other.'"
1062463870982373376,2018-11-13 21:55:01,"b'RT @PureNietzsche: To live is to suffer, to survive is to find some meaning in the suffering.'"
1062463755077017600,2018-11-13 21:54:33,b'RT @PureNietzsche: The future influences the present just as much as the past.'
1062462863808323584,2018-11-13 21:51:00,b'RT @philosophy_muse: Education is the best provision for the journey to old age. Aristotle'
1061027943114309632,2018-11-09 22:49:09,"b'when she isn\xe2\x80\x99t well, the weight on my chest sometimes is like someone sitting on me. This is me almost every night,\xe2\x80\xa6 https://t.co/38XfKUOFbe'"
1061027444726079488,2018-11-09 22:47:10,b'PTSD -sucks! \nI thought it was something only soldiers went through and felt guilty when I was diagnosed.\nThe night\xe2\x80\xa6 https://t.co/5AQgm5aA2U'
1060653198275424256,2018-11-08 22:00:03,b'@Chloe_Sims George really reminds me of mario! @Mario_Falcone'
1060259537226211328,2018-11-07 19:55:47,b'RT @drninaansary: Sometimes you just have to learn to let go of the way you think things are supposed to go in your life. #TrustYourJourney\xe2\x80\xa6'
1059200560761581568,2018-11-04 21:47:47,b'@robbeckettcomic \xe2\x80\x9cbetter than being ginger!\xe2\x80\x9d\nGingerist!'
1058658484789669888,2018-11-03 09:53:46,b'@KatyAshworth \xf0\x9f\x99\x8b\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f right there with you! My maternity leave has just finished too but I get a \xe2\x80\x98rest\xe2\x80\x99 3 days  a week \xf0\x9f\x98\x9c'
1058478512972152832,2018-11-02 21:58:37,"b'@SamanthaFaiers aw watching the 1st episode of series 4 lil Paul has such a cute lisp, my lil harry who is 3 also h\xe2\x80\xa6 https://t.co/IQ9snsdxmj'"
1054122116654776320,2018-10-21 21:27:51,"b'@piersmorgan Should get executed, why should we pay millions in keeping them fed with a roof over their head!'"
1053203140659634176,2018-10-19 08:36:10,b'@theJeremyVine how ridiculous! What are they going to do ban all disney books and films?? Where will it end \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f w\xe2\x80\xa6 https://t.co/Up5VQ8vSE2'
1051947646758326274,2018-10-15 21:27:17,b'\xe2\x80\x9c He who has a why to live for can bear with almost any how\xe2\x80\x9d~Nietzsche'
1051878044711960577,2018-10-15 16:50:43,b'@Normandy_Post @bbcpaddy anything you could help with? X'
1050847702160945154,2018-10-12 20:36:30,"b'@DrRanj I took my son for his flu \xe2\x80\x98jab\xe2\x80\x99 which was done nasally, since he has had it done I\xe2\x80\x99ve felt nauseous, he has\xe2\x80\xa6 https://t.co/Mok8nXm2x5'"
1050846523423158275,2018-10-12 20:31:49,"b'@KatyAshworth Beautiful, what I have found looking for cards is they don\xe2\x80\x99t do ,welcome to your little boy/girl. It\xe2\x80\xa6 https://t.co/NjkZiYdy1r'"
1050755934367170561,2018-10-12 14:31:51,b'RT @_SJPeace_: Her body language is telling the entire story. \n\nRETWEET IF YOU SEE WHAT I SEE? https://t.co/8A8lSqQMPB'
1050380482276458496,2018-10-11 13:39:56,"b'@MrsGiFletcher #itsoktonotfeelok I\xe2\x80\x99ve been feeling like this for the last 8 months, I\xe2\x80\x99ve been incredibly lucky and\xe2\x80\xa6 https://t.co/o4y3BfXhR2'"
1050262477269815296,2018-10-11 05:51:02,"b""RT @thismorning: On #WorldMentalHealthDay we'd like to share a video we made to highlight male suicide. However the message is for everyone\xe2\x80\xa6"""
1050262138172903424,2018-10-11 05:49:41,"b'RT @GlasgowSLO: Another #Booktober pick for #WorldMentalHealthDay with a very personal touch: ""Michael Rosen\'s Sad Book"" @MichaelRosenYes A\xe2\x80\xa6'"
1050037329937731585,2018-10-10 14:56:22,b'@Mattjohnsons I don\xe2\x80\x99t think he is wrong @piersmorgan in what he says when you do suffer from mental health issues i\xe2\x80\xa6 https://t.co/6h48619Nrf'
1048614187906338817,2018-10-06 16:41:19,b'https://t.co/bwGjAK8c2f'
1047219128875061248,2018-10-02 20:17:51,"b'@P_Wicks01 catching up on the island, you killed a fish what\xe2\x80\x99s the difference?'"
1046171051850420225,2018-09-29 22:53:10,"b'So because she put the definition of \xe2\x80\x98woman\xe2\x80\x99 on a billboard, which is from the dictionary she is transphobic?? https://t.co/4Mou5BdVVb'"
1045441635172143105,2018-09-27 22:34:43,"b'Watching the historic hearing, have the women all used the same surgeon?'"
1045440796076445701,2018-09-27 22:31:23,"b'@Alyssa_Milano am watching from the uk , I don\xe2\x80\x99t understand if he has used the FBI before for cases why not his??'"
