id,created_at,text
1.06e+18,11/12/2018 19:01,ripstanlee not believe amazing man bring u much joy go sad ad
1.06e+18,10/31/2018 23:00,halloween
1.06e+18,10/28/2018 23:23,amazing time away wonderful family beautiful country call home memory make cherish forever
1.05e+18,10/21/2018 19:20,important me many i hate form bullying i see lot people use power
1.05e+18,10/21/2018 19:20,i living luton i big fan tommy robinson myself my child witness racial discriminati
1.05e+18,10/20/2018 11:01,iamsoldierx ptsd
1.05e+18,10/20/2018 11:01,people begin arrive leicester square support veteran ptsd iamsoldierx
1.05e+18,10/10/2018 23:47,worldmentalhealthawarenessday strangely i diagnose bipolar disorder i not sure exac
1.03e+18,8/3/2018 6:44,living luton past year i say i support agree tommyrobinson someone stand goo
1.02e+18,7/30/2018 20:27,never find seek not seek lose not also
1.02e+18,7/30/2018 20:27,please read statement write sign guardian galaxy cast support james gunn reinsta
1.02e+18,7/22/2018 20:18,shout instagram brilliant decorate company movie set designer
1.02e+18,7/19/2018 21:24,uncle nephew
1.02e+18,7/19/2018 21:18,i miss hold baby
9.87e+17,4/20/2018 6:45,hang lynda fun new people nearby sign badoo
9.86e+17,4/18/2018 6:18,hang lynda fun new people nearby sign badoo
9.86e+17,4/16/2018 2:49,hang lynda fun new people nearby sign badoo
9.85e+17,4/14/2018 1:20,hang lynda fun new people nearby sign badoo
9.83e+17,4/8/2018 12:16,hang lynda fun new people nearby sign badoo
9.67e+17,2/23/2018 12:30,imthere childline support young people struggle mental health areyouthere sign
9.61e+17,2/6/2018 11:10,different daughter selfie
9.61e+17,2/6/2018 11:10,another mum daughter selfie
9.61e+17,2/6/2018 11:09,i night saturday i produce i year old i i never get ask
9.46e+17,12/28/2017 10:50,i need job i want work i spend year bring my six wonderful child i ready new
9.45e+17,12/23/2017 15:54,merry christmas
9.42e+17,12/15/2017 10:14,world cup christmas song nround group ntop qualify quarter-finals vote start please
9.33e+17,11/21/2017 10:50,woman amazing mother girl age i say i would happy w
9.31e+17,11/14/2017 20:46,my daughter wear bekind wristband age get message
9.25e+17,10/29/2017 13:34,me my kid friend
9.25e+17,10/29/2017 13:33,halloween party
9.25e+17,10/29/2017 13:33,outside house decorate halloween
9.2e+17,10/16/2017 17:31,lovely natural phenomenon
9.04e+17,9/2/2017 13:18,watch gamegrenfell
8.95e+17,8/7/2017 17:11,eldest child work hmv sort gift get
8.92e+17,7/31/2017 9:00,still not dress bed head
8.92e+17,7/31/2017 8:58,newprofilepic
8.92e+17,7/31/2017 8:39,newprofilepic
8.92e+17,7/31/2017 8:38,one go six holiday i feel like i age year hard occupy little kid small budget idea
8.71e+17,6/4/2017 18:46,watch onelovemanchester benefit concert live right pm tonight
8.63e+17,5/11/2017 21:13,nice see could arsed turn tonight celebjuice
8.63e+17,5/11/2017 21:13,celebjuice love celeb juice sooo funny
8.63e+17,5/11/2017 21:11,check cracking time celebjuice right
8.63e+17,5/11/2017 21:03,freegino safe journey brexit
8.63e+17,5/11/2017 21:02,freegino
8.61e+17,5/6/2017 18:20,'s good live alone live someone make wish live alone
8.6e+17,5/3/2017 10:58,my beautiful daughter moment like make me proud mum
8.59e+17,5/1/2017 8:27,happy mayday labour government introduce bank holiday next labour government give
8.57e+17,4/26/2017 10:09,test football knowledge bingfootyquiz chance win xbox one fifa
8.57e+17,4/26/2017 10:09,test football knowledge bingfootyquiz chance win xbox one fifa
8.55e+17,4/19/2017 10:35,newprofilepic
8.54e+17,4/18/2017 19:34,hello lovely people
8.54e+17,4/18/2017 19:32,ok general election look forward let hope people actually vote time rather moan not
