id,created_at,text
1.06E+18,11/7/2018 7:16,twitter turn republican bitch
1.04E+18,9/26/2018 7:31,eww gross display mansplaining my like
1.04E+18,9/26/2018 7:17,i confuse black people don even always look alike talk thr
1.04E+18,9/21/2018 18:25,matter play politics right
1.04E+18,9/21/2018 1:41,mta conductor attention passenger npassengers listen intently nmta conductor
1.04E+18,9/20/2018 0:26,church
1.04E+18,9/18/2018 14:08,i not amaze trash dude concern rapist high school could cost one
1.04E+18,9/18/2018 13:40,hoe like ruin
1.04E+18,9/14/2018 6:19,idk bad people not get joke sarcasm not know inflation
1.04E+18,9/14/2018 5:56,yo someone please find man employ work woman inform employe
1.04E+18,9/14/2018 4:17,also voter need know election assembly district nyc go table even
1.04E+18,9/14/2018 4:16,i physically look list idk upstate show place sev
1.04E+18,9/14/2018 4:11,omfg like story my life adhd disability
1.04E+18,9/13/2018 0:46,saw my ex i miss dearly don want me okcupid i struggle od not text whim
1.04E+18,9/13/2018 0:41,i would watch win past time treat people disability respect
1.04E+18,9/12/2018 5:59,i tire amp lose twitter thread i post link explain man
1.04E+18,9/12/2018 5:51,i not christian believe murder inherently sin i quaker
1.04E+18,9/12/2018 5:43,yes actually i turn cheek bible say suppose tak
1.04E+18,9/12/2018 5:37,i certainly not best christian world go sit back amp
1.04E+18,9/12/2018 5:31,my question though totally sin completely shit
1.04E+18,9/12/2018 4:33,af i feel latina bear bab i kinda reject harsh cold american stereo
1.04E+18,9/12/2018 4:17,i af feel addition i feel like terrible progressive i feminist
1.04E+18,9/11/2018 23:59,i feel thread much especially bear amp raise nyc see post really bo
1.04E+18,9/11/2018 23:27,college my friend i know someone like always say pain olympics jus
1.04E+18,9/11/2018 4:52,i recently go latina america dead thought i hope i get parasite i lose weight fast i
1.04E+18,9/11/2018 4:51,ugh i relate much i try kill myself year ago right i lose pound
1.04E+18,9/10/2018 3:53,live nyc boston area my life i forget many place local govern
1.04E+18,9/10/2018 1:08,leave college point ny run bag put my purchased good put tras
1.04E+18,9/9/2018 3:41,upsetting hear i know de-clawing hav
1.04E+18,9/9/2018 1:47,word i think time come nyc millio
1.04E+18,9/9/2018 0:23,ohhh i sorry awful
1.04E+18,9/8/2018 23:56,curious i xve move around northeastern u
1.04E+18,9/8/2018 22:57,demi overdose fault bc grown woman choose drug mac miller overdoses ariana grande
1.04E+18,9/8/2018 21:47,please
1.04E+18,9/7/2018 4:47,i hate i don like get politics ass person i hear privilege ignore not
1.04E+18,9/6/2018 3:24,i jealous others especially also struggle depression etc amp relationship amp i
