id,created_at,text
1.06E+18,10/28/2018 15:51,really soviet u dress lulu aa
1.06E+18,10/25/2018 20:33,would scan first never know
1.05E+18,10/21/2018 22:08,daz think i try ask advice i diagnose autism suffer depression u get tip
1.05E+18,10/18/2018 14:06,mod custom song beatsaber
1.05E+18,10/8/2018 21:00,jackdaniels release advent calender next month
1.04E+18,9/19/2018 19:59,new diet include no pussy
1.03E+18,8/29/2018 10:51,play life strange release next month
1.03E+18,8/26/2018 15:41,chapter bendy relised
1.03E+18,8/25/2018 22:07,hey daz funny u react
1.02E+18,7/19/2018 11:26,cinema
1.02E+18,7/7/2018 13:23,well afford data like really world
1.01E+18,6/13/2018 21:03,lucifans know vote amp break another poll nsavelucifer pickupluc
1.00E+18,6/6/2018 22:42,mine
1.00E+18,5/29/2018 22:20,vr mod favourite horror game alien isolation
1.00E+18,5/26/2018 19:02,i officially find my spirit animal
9.97E+17,5/16/2018 15:33,na i sexy enough
9.95E+17,5/10/2018 11:05,dax
9.92E+17,5/3/2018 9:33,new chapter ink mchine
9.91E+17,4/29/2018 12:40,gd girl
9.84E+17,4/11/2018 12:14,i see u play outlast one possibility u scream outlast
9.81E+17,4/3/2018 11:53,daddy
9.77E+17,3/22/2018 16:52,tweet get billion retweets i guinness book record
9.72E+17,3/8/2018 0:16,keep dreaming
9.71E+17,3/5/2018 20:52,true daz
9.70E+17,3/2/2018 20:42,depend horny u
9.68E+17,2/27/2018 12:57,play sea thief far cry
9.68E+17,2/26/2018 17:43,i mean no thought great film
9.66E+17,2/19/2018 23:29,tea
9.66E+17,2/19/2018 16:21,yes please daz
9.66E+17,2/19/2018 16:20,tea
9.55E+17,1/20/2018 20:13,hey womble see video
9.53E+17,1/14/2018 20:03,meanie
9.52E+17,1/13/2018 19:13,sorry hear daz
9.50E+17,1/7/2018 12:39,congratulation
9.50E+17,1/6/2018 9:58,turn desk
9.48E+17,1/2/2018 1:45,u late mister
9.48E+17,1/1/2018 0:46,first thing happy new year hope ur great night family friend lot drink
9.25E+17,10/30/2017 18:09,i miss moment ur battleground
9.25E+17,10/29/2017 22:40,amaze hope see next vlog
9.24E+17,10/27/2017 22:49,could u live stream sims sunday
9.22E+17,10/22/2017 16:27,gd see u still get power ur
9.22E+17,10/21/2017 18:57,i get go my notification see
9.16E+17,10/6/2017 16:47,moot like board
9.16E+17,10/4/2017 19:43,wish see u
9.16E+17,10/4/2017 19:42,keep
9.16E+17,10/4/2017 19:42,u wish foot long
9.15E+17,10/3/2017 20:16,hey daz wonder happen season scrap mechanic
9.05E+17,9/6/2017 16:31,wheres rd
9.00E+17,8/23/2017 10:03,hell yes long i get bring my own gun
8.95E+17,8/7/2017 23:13,happy name
8.91E+17,7/27/2017 16:07,sure daz u might order self dont lie daz
8.90E+17,7/24/2017 19:56,get game throne finshed first season
8.79E+17,6/26/2017 22:33,u amaze daz
8.74E+17,6/12/2017 19:07,dare say i smell turd one smell turd cyanidesaysismellofturdswh
8.74E+17,6/11/2017 23:24,life strange realise
8.74E+17,6/11/2017 22:47,amaze setup still rock tv
8.74E+17,6/11/2017 22:22,life strange annoused
8.70E+17,5/31/2017 2:17,i join ur match u get daz
8.66E+17,5/20/2017 10:07,see u get back u alright im sure thy get u run soon daz
8.65E+17,5/18/2017 17:03,u still irland
8.60E+17,5/2/2017 20:51,chanle take
8.57E+17,4/26/2017 20:51,look like remastered version world war
8.57E+17,4/25/2017 11:57,long till see scared daz
8.56E+17,4/23/2017 17:01,till real outlast
8.56E+17,4/23/2017 17:00,think u already fiber
8.54E+17,4/18/2017 22:02,chapter two bendy ink machine available
8.54E+17,4/16/2017 9:19,u actual tv show
8.50E+17,4/7/2017 16:47,last daz
