id,created_at,text
1.07E+18,11/26/2018 16:17,reason i 'm not like autistic child i not vaccination many year my autism h
1.07E+18,11/25/2018 3:23,let exercise ninstead say frustrate don speak english nsay frustrating
1.06E+18,11/18/2018 16:07,reminder chronically ill disabled folk read productivity ncapitalis
1.06E+18,11/13/2018 23:48,good motto live worldkindnessday every tbh
1.06E+18,11/12/2018 2:12,make america great code make america whiter cisgender straighter nondisabled nthe good old
1.06E+18,11/12/2018 1:47,my favorite podcast time docudrama call tanis nif like spooky
1.06E+18,11/12/2018 1:43,yes i i not think my self-image issue anything my autism i think
1.06E+18,11/8/2018 23:59,please mark intersexdayofsolidarity amp remembrance enjoy new animated video envision world
1.06E+18,11/7/2018 4:32,congratulation make history first gay man elect governor u state rainbowwa
1.06E+18,11/7/2018 4:32,break massachusetts vote maintain anti-discrimination law protect trans nonbinary people nno one
1.06E+18,11/7/2018 4:32,not drill officially lesbian native american former mma-fighting congresswoman kansa well sharic
1.06E+18,11/4/2018 1:42,fyi i report tweet blatantly anti-semitic
1.06E+18,11/4/2018 1:36,gross anti-semite
1.06E+18,11/4/2018 1:35,look like negatively tweet queer people lot anything hide
1.06E+18,11/4/2018 1:32,i don think get opinion use word transgenders lol see also female
1.06E+18,11/4/2018 1:30,neither homophobia transphobia
1.06E+18,11/2/2018 4:41,happy november my fellow actuallyautistic pal nthe dawn happy flapping long sleeve season
1.06E+18,11/2/2018 4:30,i 'm attend university i 'm my th year i take reduce credit load 's really
1.06E+18,11/2/2018 4:27,recent year my depression bad my anxiety i 've try lot med bo
1.06E+18,11/2/2018 4:20,'s probably not joke people not preference pronoun use
1.06E+18,11/1/2018 20:31,happy autistics speak my fellow actuallyautistic people twitter nhere one my contribution
1.06E+18,10/31/2018 5:56,claim not phobe
1.06E+18,10/31/2018 5:38,everything radically autistic say nand i add love lgbt pers
1.06E+18,10/31/2018 3:51,professionally diagnose actuallyautistic think self-diagnosis valid try prove point self
1.06E+18,10/31/2018 3:46,i tend mostly bizarre dream haha 're typically weird i ca not even describe use word
1.06E+18,10/31/2018 3:45,i think atypical pretty problematic surface term autistic representation
1.06E+18,10/29/2018 23:01,edit clarification upon tad bit research i unsure phil smith author writhe write
1.06E+18,10/29/2018 22:53,not picture nno not essay unstrange mind maxfield sparrow
1.06E+18,10/29/2018 22:53,weight dream living racialized autism anthology nthe reason i jump inner voice thirt
1.06E+18,10/29/2018 22:53,loud hand autistic people speak anthology nwrithing write move towards mad poetics phil smith nauth
1.06E+18,10/29/2018 22:53,my personal neurodiversity library book actuallyautistic writer small mighty list
1.06E+18,10/29/2018 18:24,hate not mental illness nhate not mental illness nhate not mental illness nhate not mental illness
1.06E+18,10/28/2018 20:25,i don care progressive think politics don come place deeply care people
1.06E+18,10/28/2018 20:23,world population red hair world population green eye world population int
1.06E+18,10/28/2018 20:17,autchat transmasculine nonbinary person i wear exclusively consider others
1.06E+18,10/28/2018 20:11,autchat yes i lot difficulty clothing mostly sensory issue limit i
1.06E+18,10/28/2018 20:07,autchat i 'm devin pronoun ni 'm actuallyautistic university english student writer
1.06E+18,10/28/2018 0:48,grieve american murder pittsburgh u fight rise anti-semitism hateful rhetoric
1.06E+18,10/27/2018 2:28,please reconsider incredibly popular amongst actuallyautistic community
1.06E+18,10/24/2018 21:32,ask me count backward name animal i could think start letter
1.05E+18,10/23/2018 21:13,poem my actuallyautistic wordpress blog
1.05E+18,10/23/2018 21:11,transrightsarehumanrights nwontbeerased
1.05E+18,10/23/2018 20:41,me my presence radical act queer straight institution assimilation nwaiter sir
1.05E+18,10/23/2018 20:29,my ultimate autisticjoy
1.05E+18,10/22/2018 23:59,attack trans people right attack autistic community strongly condemn bigoted attack
1.05E+18,10/22/2018 19:11,my gender non-binary nmy body non-binary nmy body my own ntrans woman not male body ntrans men
1.05E+18,10/21/2018 23:17,cisgender non-trans people claim ally transgender community need prove spe
1.05E+18,10/21/2018 23:17,trump administration move exclude transgender people civil right protection define gender either mal
1.05E+18,10/21/2018 20:48,self-care bible idea good omg gon na make my own concept also remind me
1.05E+18,10/21/2018 20:45,masking pro my mood disorder symptom rarely visible others i believe
1.05E+18,10/21/2018 20:11,i definitely variation major depressive disorder strong seasonal component i xve also
1.05E+18,10/21/2018 20:09,oooh anthology reference one 's publish asan i 'm much
1.05E+18,10/21/2018 20:06,my name devin pronoun i 'm university english student locate mid-atlantic usa i 'm al
1.05E+18,10/21/2018 19:51,transgender people people not political stance not ideology not agenda human across spect
1.05E+18,10/21/2018 4:37,beautiful diversity stimming misunderstood empathy sensory processing intense self-advocac
1.05E+18,10/21/2018 4:33,anyone else spectrum score pretty low i 'm autistic i score i consider myself
