id,created_at,text
1.07e+18,11/23/2018 6:35,newprofilepic
1.06e+18,11/12/2018 16:05,today remember brave action troop ally wwi honor spend honor
1.06e+18,11/10/2018 17:14,good morning illinois
1.06e+18,11/10/2018 5:20,shout people actually see my tweet
1.06e+18,11/2/2018 17:13,i last episode already ad
1.06e+18,11/2/2018 17:12,maybe watch make murderer one weekend not best idea hilarious
1.05e+18,10/16/2018 22:34,end near ahhh adfb
1.05e+18,10/16/2018 15:15,whole entire month one big ca n't relate
1.05e+18,10/16/2018 6:32,my life right drop college stuck also lose my mind little
1.05e+18,10/16/2018 6:27,i lot problem i pacemaker anxiety depression expressive receptive language disorder i
1.05e+18,10/11/2018 18:03,lb baseball tee back
1.05e+18,10/10/2018 22:26,wow offend really
1.05e+18,10/9/2018 22:33,tokyo drift theme song lol
1.05e+18,10/9/2018 22:00,'s really scary time dude right i write song go vote friend theresistance thing
1.05e+18,10/7/2018 20:56,college class whoop me
1.05e+18,10/6/2018 17:20,unemployment low number since
1.05e+18,10/6/2018 17:19,even lie matt maltese
1.05e+18,10/6/2018 6:49,gender
1.05e+18,10/5/2018 17:06,thank malawi bab bbc
1.05e+18,10/4/2018 23:59,felt cute might delete
1.05e+18,10/4/2018 23:57,mind jake paul
1.05e+18,10/4/2018 23:56,part amp come monday amp wednesday want release part tomorrow underestimate much footage h
1.05e+18,10/4/2018 23:55,hahhhahhahaa holy shit
1.05e+18,10/4/2018 23:28,i hate sjws
1.05e+18,10/4/2018 23:25,i open blackboard
1.05e+18,10/4/2018 6:42,everyone little racist
1.05e+18,10/2/2018 20:20,take break twitter ill let u guy know video go plan go
1.04e+18,9/19/2018 16:40,i literally don know
1.04e+18,9/6/2018 18:22,youre bad definitely open
1.04e+18,9/6/2018 18:19,secret invasion
1e+18,5/26/2018 1:22,sex cool ever try make america great
1e+18,5/25/2018 17:56,me my cat
1e+18,5/25/2018 17:43,people hurt act like hurt
1e+18,5/24/2018 21:01,come write song progressive metal album me like
1e+18,5/24/2018 14:01,my heart spill excitement share new record 's labor love pain
9.99e+17,5/23/2018 23:50,i lay my eye wide open i stare light shin my window my mind win
9.99e+17,5/23/2018 12:58,happy birthday old me
9.99e+17,5/22/2018 23:58,white trash like black thug
9.99e+17,5/22/2018 16:49,love norco
9.99e+17,5/22/2018 14:50,nd story senior year i pass bathroom hit my head put dent stall later
9.99e+17,5/22/2018 14:46,junior year big nate kick soccer ball my face really hard i get knock my nose bleed eve
9.99e+17,5/22/2018 14:22,dear underclassman im bitch always scream move hallway stop touch thanks last
