id,created_at,text
1.07E+18,11/26/2018 15:06,everyone know tho
1.07E+18,11/26/2018 15:02,twitter not lie
1.07E+18,11/26/2018 15:01,yes yes i not return crush
1.07E+18,11/26/2018 14:59,inari stop nonsense smh
1.07E+18,11/26/2018 14:58,inariiiiiiiiii
1.07E+18,11/26/2018 14:54,drumstick
1.07E+18,11/26/2018 14:53,yusuke explain
1.07E+18,11/26/2018 14:51,dank
1.07E+18,11/26/2018 14:46,nononononononononononononononononononononononononononononono
1.07E+18,11/26/2018 14:45,lady n-never text first n-never us real name n-claims house cat insist sleep single
1.07E+18,11/26/2018 14:44,say my damn video game guy could not beat bos level
1.07E+18,11/26/2018 0:19,i not wife get
1.07E+18,11/26/2018 0:13,look nim flip bird
1.07E+18,11/25/2018 16:06,hey guy admin recently i join persona project call midnight channel musical currently
1.07E+18,11/25/2018 16:05,guy surgery grape
1.07E+18,11/25/2018 14:04,yusuke king break own neck
1.07E+18,11/25/2018 2:20,break chain dare u break chain
1.07E+18,11/25/2018 2:19,gramps surgery grape
1.07E+18,11/25/2018 2:19,surgery grape
1.07E+18,11/25/2018 2:16,bbbb come americaaaaaaaaaaaaa
1.07E+18,11/25/2018 2:16,hey usually announce stuff keep hope
1.07E+18,11/25/2018 1:56,xbd xbd p
1.07E+18,11/25/2018 1:56,i xaa straight xaa bi xaa gay groot
1.07E+18,11/24/2018 21:13,pose nthe headshape nthe eyecolor ncoincidence ni think not
1.07E+18,11/24/2018 17:52,xbf
1.07E+18,11/24/2018 13:14,pretty sheety joke make
1.07E+18,11/23/2018 16:54,sing true story actually
1.07E+18,11/23/2018 14:14,daughtership end sojiro neo featherman hawk my father
1.07E+18,11/23/2018 14:07,futabafriday nkaraoke my fellow social outcast naoya marie srsly tho naoya
1.07E+18,11/22/2018 23:14,busy family i could not help sketch something today whatever plan safe fun
1.07E+18,11/22/2018 18:10,like hug renren one kiss forehead renren
1.07E+18,11/22/2018 15:59,bbbbb
1.07E+18,11/22/2018 15:56,proficiency good give me princess braid cosplay
1.07E+18,11/22/2018 15:19,happy thanksgiving aka turkey nthe child turkey wait marie turkey cook nm
1.07E+18,11/22/2018 14:34,not inari nit not
1.07E+18,11/22/2018 14:30,american happy thanksgiving ni i live japan i 'm gon na say anyway ni 'm thankful
1.07E+18,11/22/2018 14:15,me yusuke everyday except switch place
1.07E+18,11/22/2018 13:26,fuck i owe ryuji hundred yen i make bet
1.07E+18,11/22/2018 13:23,wow yusuke really set bar low
1.07E+18,11/22/2018 4:01,my child aka socially inept trio nmodel rip marie futaba leblanc xelandis nxnalara naoya edit
1.07E+18,11/21/2018 21:25,two dork natural habitat
1.07E+18,11/21/2018 16:16,i walk shibuya try get new video game i see ren hold sign
1.07E+18,11/21/2018 1:34,i ligma
1.07E+18,11/21/2018 1:33,leave ren 's harem become leader akeshu clu
1.07E+18,11/21/2018 1:32,totally
1.07E+18,11/21/2018 1:26,i purely hypothetically drop ren
1.07E+18,11/21/2018 1:19,i futaba sakura i approve message
1.07E+18,11/21/2018 0:26,hmph not invite u wedding
1.07E+18,11/21/2018 0:16,wait really huh play skyward sword
1.07E+18,11/21/2018 0:15,not respond either akechi weird
1.06E+18,11/20/2018 21:30,xaaa
1.06E+18,11/20/2018 21:30,xaf xfa xfe
1.06E+18,11/20/2018 21:27,i 'm still wonder ren not answer my text though maybe 's play skyward sword
1.06E+18,11/20/2018 18:27,i want flower girl
1.06E+18,11/20/2018 18:18,own say account dont make ko-fi donation system like laughter cause account
1.06E+18,11/20/2018 12:45,gosh darnit i wish i live across country q-q
1.06E+18,11/19/2018 21:26,get first try lez go
1.06E+18,11/19/2018 21:25,like retweet get
1.06E+18,11/19/2018 21:24,get retweets i 'll convince say fuck
1.06E+18,11/19/2018 21:24,thing me inari
1.06E+18,11/19/2018 15:52,try my copic marker old sketch i find i 'll spiderman stuff soon npersona art
1.06E+18,11/19/2018 1:35,ann trouble nmerch haul
1.06E+18,11/19/2018 1:34,anyways i 'm shujin uniform futaba today
1.06E+18,11/19/2018 1:34,shinji delete delete delete delete deleeeeeete
1.06E+18,11/19/2018 1:32,smh my english voice amaze 're miss aaa
1.06E+18,11/19/2018 1:29,xcfcd xaf xaf xfe xaf xfa xaw
1.06E+18,11/18/2018 14:25,my child nnaoya forgotten nmarie hated nfutaba shut-in nthey socially inept squad
1.06E+18,11/18/2018 14:22,ahem nfour hundred follower nyou guy awesome i totally level nyo let 's keep farming
1.06E+18,11/18/2018 12:36,ryuji say fuck everyone ryuji say fuck world end sun explode akechi hate pan
1.06E+18,11/18/2018 12:02,ca not tell me say
1.06E+18,11/17/2018 22:33,u navis dank nbs
1.06E+18,11/17/2018 16:01,subway
1.06E+18,11/17/2018 14:44,really need wat h money
1.06E+18,11/17/2018 14:40,i 'll guide victory joker nthank make game nhope u like first photo i upload
1.06E+18,11/16/2018 15:47,spend money wisely young padawan
1.06E+18,11/16/2018 15:45,persona xaf xbac nphoto
1.06E+18,11/16/2018 12:58,really start spend money food rather lobster paint
1.06E+18,11/16/2018 11:37,headpats lavenza
1.06E+18,11/16/2018 11:36,i might spiderman persona mood minute 's fun npersona spiderman art
1.06E+18,11/15/2018 22:09,bwahahahahaha
1.06E+18,11/15/2018 19:55,i 'm good hacker
1.06E+18,11/15/2018 19:45,everything neverything inari
1.06E+18,11/15/2018 18:31,let me teach instead i superior
1.06E+18,11/15/2018 1:26,i not satisfy me simply say much stan lee work meant me instead i use teach u
1.06E+18,11/14/2018 14:09,aaaaaand 's door
1.06E+18,11/14/2018 12:38,i wonder i make profit
1.06E+18,11/13/2018 23:57,nice police car head
1.06E+18,11/13/2018 23:55,gasp my electronics jk my dude know computer everywhere right
1.06E+18,11/13/2018 23:53,thank god ni hotspot
1.06E+18,11/13/2018 23:52,tell futaba could fun dance outfit not expect pd
1.06E+18,11/13/2018 23:52,i splatoon face ryuji mwehehe
1.06E+18,11/13/2018 23:51,i 'll take credit card fite me
1.06E+18,11/13/2018 23:49,dont enjoy much even say own like queen
1.06E+18,11/13/2018 23:14,p i lie whole like thing ni make anyway
1.06E+18,11/13/2018 21:27,futaba 's room futaba rip p room rip k-keii futaba rip rig two
1.06E+18,11/13/2018 21:23,like i 'll force ren
1.06E+18,11/13/2018 14:18,inari issue
1.06E+18,11/13/2018 13:00,i life outside ren 's 's right not guy remember omit ren not present
1.06E+18,11/12/2018 22:30,rest peace stan lee leave soon thank make u happy creation
1.06E+18,11/12/2018 16:05,stole bubblegum no takebacks
1.06E+18,11/12/2018 15:03,eh probably
1.06E+18,11/12/2018 13:00,'s ann 's birthday everybody wooooooo
1.06E+18,11/12/2018 1:21,god teach u read line yosuke
1.06E+18,11/11/2018 19:20,beef ramen bowl interesting
1.06E+18,11/11/2018 19:17,le gasp ramen love ramen life
1.06E+18,11/11/2018 18:42,ya jelly
1.06E+18,11/11/2018 18:19,become trashcan
1.06E+18,11/11/2018 18:02,goddess miku say eat put fridge eat put
