id,created_at,text
1.07e+18,11/25/2018 21:26,i cant one think trial stupid imacele
1.07e+18,11/20/2018 22:07,i need man like nickknowles nimacele
1.06e+18,11/18/2018 21:14,don blink time crocodile turn tv imacele
1.06e+18,11/14/2018 17:20,cant wait
1.06e+18,11/10/2018 11:28,chugga chugga woo wooo
1.06e+18,11/10/2018 8:05,proud guy deserve every one
1.06e+18,10/29/2018 13:50,mum meet me could put piece paper next me i 'd dissapear
1.05e+18,10/11/2018 18:46,resonate me mentalhealthawareness
1.05e+18,10/11/2018 18:44,i know i 'm really late ni teenage girl suffer anxiety depression ocd eating
1.03e+18,8/27/2018 8:44,my mood i 'm meet
1.03e+18,8/27/2018 8:38,newprofilepic
1.03e+18,8/27/2018 8:37,appreciate guy xx
1.03e+18,8/26/2018 18:32,me rn
1.03e+18,8/22/2018 18:48,surprisingly i calm friend result dont define life get want
1.03e+18,8/19/2018 11:08,worldphotographyday
1.03e+18,8/14/2018 19:17,wooooo
1.03e+18,8/14/2018 14:18,buzz buzz bee
1.03e+18,8/12/2018 17:38,good evening uk xx
1.03e+18,8/11/2018 15:29,heyooo
1.02e+18,7/21/2018 9:24,my birthday wednesday u come surprise me
1.02e+18,7/16/2018 7:45,nor bloddy i
1.02e+18,7/11/2018 20:58,im devestaed boy u proud come home next time
1.02e+18,7/11/2018 20:44,engcro
1.02e+18,7/11/2018 20:33,need miracle engcro
1.02e+18,7/11/2018 20:26,try stay positive make far knock inferior team fall asleep
1.02e+18,7/11/2018 20:24,im devastate
1.02e+18,7/11/2018 20:23,engcro
1.02e+18,7/11/2018 20:10,i need vodka pancake game football
1.02e+18,7/11/2018 19:54,come lad
1.02e+18,7/11/2018 19:54,watch game like engcro
1.02e+18,7/11/2018 19:28,arghh jejeoekeoseuiw engcro
1.02e+18,7/11/2018 19:27,unhappy
1.02e+18,7/11/2018 18:32,engcro
1.02e+18,7/11/2018 18:09,come home lad
1.02e+18,7/11/2018 18:08,yes lad
1.02e+18,7/11/2018 18:04,arghh im cover my eye im nervous watch xbd
1.02e+18,7/11/2018 17:37,'s come home lad xbd xfb xae xbf
1.02e+18,7/10/2018 16:59,woooo
1.02e+18,7/9/2018 10:03,yesss let 's go england
1.02e+18,7/7/2018 15:39,my mum far n-camera show spectator colour floor get mr man
1.01e+18,7/3/2018 20:36,god sake stress much engcol
1.01e+18,7/3/2018 19:21,thank lord harry kane engcol
1.01e+18,6/24/2018 13:20,wooooooooooooo engpan
1.01e+18,6/24/2018 12:38,woooo
1.01e+18,6/20/2018 7:16,good night even though morning
1.01e+18,6/19/2018 20:01,woop wopp
1.01e+18,6/19/2018 19:19,tuesday selfie ncan remember world tell
1.01e+18,6/18/2018 19:50,thank lord engtun
1.01e+18,6/18/2018 19:11,swear god referee need go spec saver engtun
1.01e+18,6/18/2018 18:47,bloody hell game stressful exhaust my exams engtun
1.01e+18,6/17/2018 9:48,i understand mean my mother me triple time my father h
1.01e+18,6/15/2018 17:48,graduation
1.01e+18,6/12/2018 16:28,my teacher say u need like mock i get get one
1.01e+18,6/12/2018 16:26,aqamaths nthought id check see unit pressure safe say i get completely wrong think w
1e+18,6/3/2018 9:23,xac xac
1e+18,6/3/2018 9:20,askethanandgayson nif someone make movie life would hope would play
1e+18,6/3/2018 8:48,askethanandgayson nwhat movie picture video always make laugh no matter often watch
1e+18,6/3/2018 8:45,askethanandgayson nwhat cure hiccup
1e+18,5/29/2018 19:43,happy tuesday nhope amazing remember anything xx ntuesdayselfie
1e+18,5/29/2018 3:23,helluurr
1e+18,5/29/2018 3:22,i awake since god help me later
9.99e+17,5/23/2018 14:02,anyone else worry shoot realise use no equation equation sheet
9.99e+17,5/21/2018 21:31,even though i pass english lit year early i still remember lot stuff aqaenglishlit
9.98e+17,5/18/2018 18:28,every one say easy aqafrench write paper today i 'm like eehh try high write
9.96e+17,5/14/2018 15:45,fine i hate sacramments attonment course come uo
9.94e+17,5/8/2018 20:03,know anything read first word ntuesdayselfie
9.9e+17,4/28/2018 19:47,alarm go morning
9.85e+17,4/12/2018 18:47,ever want meet one person
9.85e+17,4/12/2018 18:43,aww hope ok remember people talk behind back behind reason love
9.84e+17,4/11/2018 20:13,relationship me haha jks fun tho
9.82e+17,4/6/2018 17:44,ever want meet opposite sex version
9.82e+17,4/5/2018 19:36,hope everyone ok xx
9.82e+17,4/5/2018 19:35,hope everyone ok
9.82e+17,4/4/2018 17:44,phone break cant watch ac
9.82e+17,4/4/2018 17:40,woooooo
9.82e+17,4/4/2018 17:20,argghh excite
9.82e+17,4/4/2018 16:44,guy ask me i dirty i reply no i shower
9.82e+17,4/4/2018 16:38,i dunno cat i need plus resemble my mood
9.82e+17,4/4/2018 16:32,good morning 's even
9.82e+17,4/4/2018 16:31,hope win
9.81e+17,4/4/2018 7:15,ca not start next chapter life keep re-reading last one wednesdaywisdom
9.81e+17,4/3/2018 8:03,hello
9.81e+17,4/3/2018 8:01,i huge savage conscience wo not let me get away thing
9.81e+17,4/1/2018 19:00,hmm 's tempt
9.8e+17,4/1/2018 17:03,woop
9.8e+17,4/1/2018 17:01,yahhhh
9.8e+17,4/1/2018 16:36,behind every exquisite thing exist something tragic
9.8e+17,4/1/2018 16:31,boo
9.52e+17,1/13/2018 14:31,photo shoot
9.05e+17,9/4/2017 9:07,i start yr tomorrow i 'm look forward my last year i nervous ac
9.01e+17,8/24/2017 12:08,i pass english lit year early
8.7e+17,6/1/2017 17:47,i two goofy girl love video 'd love meet chal
8.61e+17,5/7/2017 12:18,cat perfectly describes my mood
