id,created_at,text
1.0646E+18,11/19/2018 19:33,b'RT @Amica: #TheBadIdeaTour team is doing something #Supernatural \xe2\x80\x93 running 26.2 miles at the @SeattleMarathon to help @RandomActs fight chi\xe2\x80\xa6'
1.05049E+18,10/11/2018 20:48,b'@RuthieConnell @Stands Would be willing to share my GoFundMe 4 my recent hospital stay? The Bills keep growing and\xe2\x80\xa6 https://t.co/WaSSPDuymG'
1.05048E+18,10/11/2018 20:29,b'#Alwayskeepfighting #AKF #YouAreNotAlone #YouAreEnough https://t.co/Jp14VztHaj'
1.05048E+18,10/11/2018 20:26,"b""I was recently diagnosed with Severe Major Depression and Persistent depression disorder. I'm getting the treatment\xe2\x80\xa6 https://t.co/0jXTVMYaHG"""
1.02981E+18,8/15/2018 19:11,b'RT @jarpad: This is so special to me. Makes me laugh. Makes me cry (GOOD tears \xf0\x9f\x98\x81). A perfect picture of what the #spnfamily means to SO MAN\xe2\x80\xa6'
1.028E+18,8/10/2018 19:34,b'RT @GISH: Let\xe2\x80\x99s play for good. #GISH https://t.co/gMpW8d9ZdW'
1.0276E+18,8/9/2018 17:16,"b'RT @fckinbee: ""For the first thing a writer should be is\xe2\x80\x94excited. He should be a thing of fevers and enthusiasms. Without such vigor, he mi\xe2\x80\xa6'"
1.02538E+18,8/3/2018 13:53,"b""RT @MyDaughtersArmy: He had the image of his little brother's face tattooed onto his arm. This is the moment he shows it to him. https://t.\xe2\x80\xa6"""
1.02538E+18,8/3/2018 13:52,"b'RT @Lin_Manuel: Gmorning. \nYou have sh*t you wanna do in this life.\nYou gonna let someone else\xe2\x80\x99s words\xe2\x80\x94on this timeline, on your commute, y\xe2\x80\xa6'"
1.02483E+18,8/2/2018 1:28,"b""@TheMAURYShow @Alex8Calvert @mishacollins @kawalla0 Maury's got this handled \xf0\x9f\x98\x82"""
1.02434E+18,7/31/2018 17:01,b'Join me on a culinary adventure with Boar\xe2\x80\x99s Head for a chance to win two tickets around the world! https://t.co/0BQQm3zjDE #journeyboldly'
1.0229E+18,7/27/2018 17:38,b'@mishacollins Two of the cutest little demons ever! (I never thought I would say that.)'
1.0229E+18,7/27/2018 17:31,"b'RT @mishacollins: In episode 1402, Cas befriends two small demons. https://t.co/LKdNjN0imy'"
1.02282E+18,7/27/2018 12:29,b'@AceandTjShow my dog. 100%. Q man can be replaced but my dog is one of a kind \xf0\x9f\x98\x98\xf0\x9f\x90\xb6'
