id,created_at,text
1.06007E+18,11/7/2018 7:16,b'RT @yatocafe: once under 18 twitter turns 18... it\xe2\x80\x99s over for you republican bitches'
1.04485E+18,9/26/2018 7:31,b'@roscoebeaux @james_mathurin_ @Brain_of_Blonde @robdelaney Eww what a gross display of mansplaining \xe2\x80\x9cmy likes are m\xe2\x80\xa6 https://t.co/j9BHf27kUm'
1.04485E+18,9/26/2018 7:17,b'@PresherToBeReal I\xe2\x80\x99m just confused because black people don\xe2\x80\x99t even always look alike. So you\xe2\x80\x99re talking in this thr\xe2\x80\xa6 https://t.co/mpIUigJl0A'
1.0432E+18,9/21/2018 18:25,b'@61SummerLives @persephone_i @SenDougJones @Smiglett Does it matter if he\xe2\x80\x99s just playing politics if it\xe2\x80\x99s the right\xe2\x80\xa6 https://t.co/KsHeKEopXt'
1.04295E+18,9/21/2018 1:41,b'RT @thejessgoodwin: MTA conductor: Attention passengers\n\npassengers: *listen intently*\n\nMTA conductor: https://t.co/m1XX4AUkOJ'
1.04257E+18,9/20/2018 0:26,b'@LustforLo @obeycheryl you at church'
1.04205E+18,9/18/2018 14:08,"b'RT @IjeomaOluo: I\'m not amazed at all the trash dudes who are ""concerned"" that being a rapist in high school could cost you one of the most\xe2\x80\xa6'"
1.04205E+18,9/18/2018 13:40,b'@obeycheryl Hoes like you ruined it'
1.04049E+18,9/14/2018 6:19,"b'@_LoveSimone @obeycheryl Idk what\xe2\x80\x99s worse, people not getting the joke/sarcasm or not knowing what inflation is. Ma\xe2\x80\xa6 https://t.co/5jSqoWI26q'"
1.04048E+18,9/14/2018 5:56,b'@kent_imig Yo can someone please find out if this man is employed and working with any women and inform his employe\xe2\x80\xa6 https://t.co/E6Q2IIcmiG'
1.04045E+18,9/14/2018 4:17,b'@4casc @rtraister Also voters need to know the election and assembly districts in NYC. If you go to a table even on\xe2\x80\xa6 https://t.co/E81uN3XFIB'
1.04045E+18,9/14/2018 4:16,b'@4casc @rtraister I physically look at the lists (idk how they do it upstate when you show up at the place) and sev\xe2\x80\xa6 https://t.co/J52idTKbNf'
1.04045E+18,9/14/2018 4:11,b'Omfg this is like the story of my life. #ADHD #Disability https://t.co/Ix5uRajXjK'
1.04004E+18,9/13/2018 0:46,b'Just saw my ex who I miss dearly (but he don\xe2\x80\x99t want me) on OkCupid and I\xe2\x80\x99m struggling OD not to text him on a whim\xe2\x80\xa6 https://t.co/ydN1h3g1Xm'
1.04004E+18,9/13/2018 0:41,b'I would have watched @dylanalcott win! It\xe2\x80\x99s way past time to treat people with disability with respect. @usopen\xe2\x80\xa6 https://t.co/LUddGtupKx'
1.03976E+18,9/12/2018 5:59,b'@Pennino1921 @plgtre @TheDPGay I\xe2\x80\x99m tired &amp; lost in the twitter threads but I posted a link explaining all this. Man\xe2\x80\xa6 https://t.co/SjZQGtiA4V'
1.03975E+18,9/12/2018 5:51,b'@Pennino1921 @plgtre @TheDPGay I\xe2\x80\x99m not the only Christian to believe all murder is inherently sin (i.e. Quakers). E\xe2\x80\xa6 https://t.co/t8SHxFkcmW'
1.03975E+18,9/12/2018 5:43,"b'@Pennino1921 @plgtre @TheDPGay Yes, actually. I do. Turn the other cheek. The Bible says we\xe2\x80\x99re just supposed to tak\xe2\x80\xa6 https://t.co/ou8e17Vg9d'"
1.03975E+18,9/12/2018 5:37,b'@Pennino1921 @plgtre @TheDPGay I\xe2\x80\x99m certainly not the best Christian in the world but if we\xe2\x80\x99re going to sit back &amp; b\xe2\x80\xa6 https://t.co/IDNf703MXC'
