id,created_at,text
1.06711E+18,11/26/2018 17:47,b'TFW you write something one day that makes sense to you then but seems terribly misguided and weird the next morning. \xf0\x9f\x98\xb3'
1.06711E+18,11/26/2018 17:38,b'@base2wave Such a nice smile! \xf0\x9f\x98\x81'
1.06709E+18,11/26/2018 16:31,"b""@ZJemptv Wow, I didn't even know they still *made* Impalas... O_o"""
1.06692E+18,11/26/2018 4:43,b'@transscribe https://t.co/dLo9HEbRWE'
1.06692E+18,11/26/2018 4:42,"b""Oof -- sorry, another long and rambling thread.  But I'm glad I'm able to share this with all of you and get the fe\xe2\x80\xa6 https://t.co/6CuSCDCW22"""
1.06692E+18,11/26/2018 4:42,"b""I know it's not easy being trans.  It's a work in progress.  It's as much a drama as it is a comedy.  Figuring the\xe2\x80\xa6 https://t.co/VNVe146g0u"""
1.06692E+18,11/26/2018 4:42,"b""Which is why I'm here, with all of you.  To further figure myself out by talking with the rest of you, learning fro\xe2\x80\xa6 https://t.co/cbaL7t11ud"""
1.06692E+18,11/26/2018 4:42,"b""And the weird and totally unexpected thing was that it WORKED.  It felt like I'd finally put that last damn piece o\xe2\x80\xa6 https://t.co/QEzW9Mv3f9"""
1.06692E+18,11/26/2018 4:42,"b""A few more years pass and this past August I finally decided it's time to take this to the next level.  Time to sto\xe2\x80\xa6 https://t.co/vFm027GjPK"""
1.06692E+18,11/26/2018 4:42,"b""It wasn't until around 2015 -- when I finally found myself in a Pretty Good, Balanced, Comfortable Place IRL that I\xe2\x80\xa6 https://t.co/olhZnlpEd3"""
1.06692E+18,11/26/2018 4:42,"b""(A lot of mental and emotional ups and downs go here that I won't bore you with, other than that yes, I'd come back\xe2\x80\xa6 https://t.co/SWkv7UP558"""
1.06692E+18,11/26/2018 4:42,"b""A few years later I devised a sort of mental/emotional support system for myself by having a 'twin-spirit' sort of\xe2\x80\xa6 https://t.co/KNTDs8sJFf"""
1.06692E+18,11/26/2018 4:42,"b""Long story short, it wasn't until about 1991 when I realized that it might be gender/sexuality related.  (It's funn\xe2\x80\xa6 https://t.co/R5qa9euCZZ"""
1.06692E+18,11/26/2018 4:42,"b""I don't think I've ever had dysphoria to any strong, debilitating degree, or at least I don't think I have....?  In\xe2\x80\xa6 https://t.co/puyePZLN6V"""
1.06692E+18,11/26/2018 4:42,"b""The NYT article got me thinking more about my own sort-of dysphoria.  I've been debating how to talk about it here,\xe2\x80\xa6 https://t.co/PdaNjOCF7L"""
1.06691E+18,11/26/2018 4:12,b'@CiriAntares Thank you for this wonderful thread.  Glad they were so open-minded and truly wanted to know more. :)'
1.06687E+18,11/26/2018 1:31,b'Reading the spite and anger of ALC is such a whiplash from all the love and support I read just hours ago in respon\xe2\x80\xa6 https://t.co/P0vQPXl6at'
1.06687E+18,11/26/2018 1:26,"b""@ZJemptv She just seems so angry and fatalistic about everything.  I've never understood how people could live like that."""
1.06677E+18,11/25/2018 18:46,"b""RT @MagsVisaggs: remember: if you're saying that people shouldn't transition, you're saying that other people should suffer for your belief\xe2\x80\xa6"""
1.06656E+18,11/25/2018 4:52,"b""@ParkerMolloy I'm pretty sure she was using that more as a metaphor than literally, but still...that's a pretty nih\xe2\x80\xa6 https://t.co/jfsU9oQSzh"""
1.06655E+18,11/25/2018 4:41,"b""@GuildingLilly @BarbaraBranton7 Heh. I'm sure I'll get the same.  I'm quite prepared for it to be a learning experience!"""
1.06655E+18,11/25/2018 4:19,b'@l1quidcryst4l I am totally shipping Catra and Scorpia.  :p'
1.06655E+18,11/25/2018 4:17,"b""(Granted, I'm not calling her a fake.  I am DEFINITELY not a t*rf.  But I do think that just *maybe* she might have\xe2\x80\xa6 https://t.co/3QfbzfVmUP"""
1.06655E+18,11/25/2018 4:17,"b'I see this so often with conservative thinking, and it always boggles my mind: always focusing on the surface react\xe2\x80\xa6 https://t.co/6r2hhyoYxr'"
1.06655E+18,11/25/2018 4:17,"b'Oof.  Yeah, that NYT article just seemed so...miserable.  Like being trans can only lead to misery and self-loathin\xe2\x80\xa6 https://t.co/YUDAZEXbx0'"
1.06654E+18,11/25/2018 3:53,b'@melstonemusic Eesh. I got a few paragraphs in and stopped so hard I caused that record scratch sound effect. O_o'
1.06653E+18,11/25/2018 3:24,"b'Again... thank you for the kind words and support, everyone! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/XLezIFaEUT'"
1.06653E+18,11/25/2018 3:14,"b""@TrzTouristAllie Thank you!!  It's so hard to believe that sometimes when I'm the only one saying it to myself. \xe2\x9d\xa4\xef\xb8\x8f"""
1.06653E+18,11/25/2018 3:12,b'@BarbaraBranton7 @GuildingLilly I think part of my frustration is having Duded for so long and kept the Joanna part\xe2\x80\xa6 https://t.co/YPZeRQRfeP'
1.06653E+18,11/25/2018 3:08,"b""@BarbaraBranton7 @GuildingLilly Thank you. :)  It's not all appearance, but it's a good portion of it.  I'm definit\xe2\x80\xa6 https://t.co/BVsXKUcaeh"""
1.06639E+18,11/24/2018 17:46,"b""@GuildingLilly Thanks. :)  I think at the moment my worst enemies are lack of confidence and self-doubt, but they'v\xe2\x80\xa6 https://t.co/9iU3dmLzXU"""
1.06637E+18,11/24/2018 16:52,"b""@DianaSh64001589 Thank you. One of the reasons I started this handle was to do exactly that, and it's been wonderful so far. \xf0\x9f\x98\x81"""
1.06637E+18,11/24/2018 16:50,b'@base2wave They were great. Loved School of Seven Bells too. He was an amazing songwriter.'
1.06637E+18,11/24/2018 16:47,"b""Geez, I log off to go to bed, and come back to all this love and support! Y'all are so rad. \xf0\x9f\x98\xad\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f  Thank you!!"""
1.06619E+18,11/24/2018 4:31,b'@base2wave Thank you...needed to hear that. \xe2\x9d\xa4\xef\xb8\x8f'
1.06619E+18,11/24/2018 4:29,"b'@base2wave Cool.  Good luck, btw!  Also, I just finally noticed the Secret Machines reference. Me = music nerd. ;)'"
1.06618E+18,11/24/2018 4:18,"b""@base2wave Ooo, sweet!  I'd almost forgotten about that record and that Trent Reznor produced it.  I'll have to check it out again!"""
1.06618E+18,11/24/2018 4:07,"b'@base2wave Okay, spill - what did you buy? :p'"
1.06617E+18,11/24/2018 3:33,"b""Trans status: stuck between taking tentative steps and wondering who I'm trying to kid. :/"""
1.066E+18,11/23/2018 16:01,b'@base2wave Record store therapy sounds like a FINE idea!'
1.066E+18,11/23/2018 15:59,b'Depression can be a really fucking annoying beast sometimes.'
1.06565E+18,11/22/2018 16:55,"b""@transscribe Thankful I've met some really cool, friendly and supersmart trans people here in the last few months w\xe2\x80\xa6 https://t.co/hWpf3SAzdB"""
1.06547E+18,11/22/2018 4:58,"b'Night, all... hope everyone has a peaceful holiday. \xe2\x9d\xa4\xef\xb8\x8f'"
1.06545E+18,11/22/2018 3:57,"b""@RocChloeTg GAHHH THAT'S NOT NOW IT WORKS  *facepalm*\nIt's not a favor, it's a passive-aggressive attempt at power\xe2\x80\xa6 https://t.co/Pb8T47iSfq"""
1.0654E+18,11/22/2018 0:40,b'@base2wave Go home already!  Jeez!  :p'
1.06532E+18,11/21/2018 19:22,b'@RocChloeTg Woo!  Enjoy the sun!  \xf0\x9f\x8d\xb9\xe2\x98\x80\xef\xb8\x8f'
1.06531E+18,11/21/2018 18:44,b'*HUGS* to my trans brothers and sisters out there today who might have a stressful holiday tomorrow.  You are stron\xe2\x80\xa6 https://t.co/biMvAM5HhX'
1.06527E+18,11/21/2018 15:51,"b""Except for the thing about the family being taken over by the Horde, of course.  My family is still all D's as far as I know.  ;)"""
1.06527E+18,11/21/2018 15:50,"b""I'm far too old to be connecting with cartoon characters, but when I watched the new She-Ra and heard Scorpia's bac\xe2\x80\xa6 https://t.co/eRTENgpHJE"""
1.06509E+18,11/21/2018 3:43,b'@RocChloeTg What the hell is wrong with these people? \xf0\x9f\xa4\xac'
1.06509E+18,11/21/2018 3:37,"b""@ParkerMolloy I can only imagine how apoplectic he and his ilk would be if I'd tweeted something similar on and abo\xe2\x80\xa6 https://t.co/qwT0S0dOPD"""
1.06507E+18,11/21/2018 2:16,b'@RocChloeTg Oh no! Hope he gets better quick!'
1.065E+18,11/20/2018 22:11,b'Sending love today to my trans siblings out there.  We are all strong together.  We watch out for each other. \xe2\x9d\xa4\xef\xb8\x8f #TDOR'
1.06494E+18,11/20/2018 18:09,"b""@ParkerMolloy It's kind of telling that his entire team is way back in the middle of the field and not defending him at all."""
1.06494E+18,11/20/2018 17:58,b'I should probably amend this: \n\nI have no problems with religion and/or spirituality.  There are ways it can help l\xe2\x80\xa6 https://t.co/ojAfSc5AXI'
1.06492E+18,11/20/2018 16:54,"b""@ZJemptv They're kind of weirdly obsessed about this stuff, aren't they? https://t.co/jnfnpbe0ud"""
1.06492E+18,11/20/2018 16:47,"b""@GrumpyTradDad So stop it with 'Gender dysphoric people can still be loved' like we're some kind of fucking abomina\xe2\x80\xa6 https://t.co/G6kLCL2rgT"""
1.06492E+18,11/20/2018 16:45,"b""@GrumpyTradDad I'm not here to proselytize.  I'm just here to state that to spew hate, distrust and disgust at othe\xe2\x80\xa6 https://t.co/5aS7e6fpwI"""
1.06492E+18,11/20/2018 16:42,"b'@GrumpyTradDad Listen to yourself.  Listen to the words you just told me.  ""Christ says you\'re doing it wrong.""  An\xe2\x80\xa6 https://t.co/PPhTC72Ene'"
1.06492E+18,11/20/2018 16:39,"b'@GrumpyTradDad And this is why I said I was EX-Catholic.  Spirituality and religion is supposed to free your mind,\xe2\x80\xa6 https://t.co/2KoNDtVVms'"
1.06492E+18,11/20/2018 16:22,b'Apologies ahead of time -- I have absolutely no fucks to give for those with #TDOR hot takes today.  *Especially* t\xe2\x80\xa6 https://t.co/LFqRDyoBhM'
1.06492E+18,11/20/2018 16:18,"b""@GrumpyTradDad As an ex-Catholic, I remember one of the biggest celebrations aside from Jesus' birth is his death.\xe2\x80\xa6 https://t.co/CrA1pidkow"""
1.0649E+18,11/20/2018 15:25,"b""@transscribe It's so weird how I can gauge how batshit these pundits are by whether or not they have an AM radio ta\xe2\x80\xa6 https://t.co/2Vd3Y5S8GP"""
1.0649E+18,11/20/2018 15:13,"b'RT @transscribe: So here\xe2\x80\x99s what I\xe2\x80\x99m doing today.\n\nIf you are a trans woman of color and a writer, DM me and I will connect you with an edit\xe2\x80\xa6'"
1.0649E+18,11/20/2018 15:01,"b'@CampaignLife ""...we are opposed to the unscientific ideological indoctrination of kids at an inappropriate age.""\xe2\x80\xa6 https://t.co/V8MdZRzGId'"
1.06474E+18,11/20/2018 4:51,b'Deep love and respect to my trans brothers and sisters. \xe2\x9d\xa4\xef\xb8\x8f  #TDOR'
1.06473E+18,11/20/2018 4:00,"b'RT @capsule_169: The time traveller appeared at important parts of his life with help and advice. She was so cool and beautiful, and he wis\xe2\x80\xa6'"
1.0646E+18,11/19/2018 19:40,"b""@RocChloeTg That's a hell of a lot of really awesome stuff worth being proud of!!!   \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f"""
1.06457E+18,11/19/2018 17:07,"b""I've accepted I've wasted a lot of years in ignorance and avoidance.  No use fretting about lost time at the point.\xe2\x80\xa6 https://t.co/dI3oRIZG0S"""
1.06457E+18,11/19/2018 17:07,b'One completely unexpected yet welcome side-effect to coming to terms with being trans is discovering how much of my\xe2\x80\xa6 https://t.co/E4loUGJKp5'
1.06455E+18,11/19/2018 16:21,"b""@ZJemptv This whole story is such a weird hot take.  It's kind of like watching this generation's 'Reefer Madness'.\xe2\x80\xa6 https://t.co/NpmiLDrPdX"""
1.06437E+18,11/19/2018 3:50,"b'@RocChloeTg Oof.  Sorry to hear that.  *hugs*  Good on your brother, though.'"
1.06436E+18,11/19/2018 3:38,"b'@RocChloeTg Thanks again, much appreciated! \xe2\x9d\xa4\xef\xb8\x8f'"
1.06436E+18,11/19/2018 3:27,"b""@RocChloeTg Thanks!  :)  Some days it feels like I haven't even gotten past the starting line."""
1.06436E+18,11/19/2018 3:11,b'Still so far to go.  But heading in the right direction.'
1.06435E+18,11/19/2018 2:37,b'@transscribe Yay! \xf0\x9f\x98\x81'
1.06419E+18,11/18/2018 16:21,"b""@siobhanfreya I do love that Jerry and Gavin's body language the entire time was 'must not dopeslap... must not dopeslap...'"""
1.06392E+18,11/17/2018 22:27,b'TFW you have a general conversation about LGBT things with someone and you suddenly realize that maybe coming out a\xe2\x80\xa6 https://t.co/dIlqP29Ho4'
1.06387E+18,11/17/2018 19:03,"b'RT @thejeffreymarsh: If someone discovered they are trans 5 minutes ago, that\xe2\x80\x99s completely valid. \xe2\x80\x9cKnowing I was different since third grad\xe2\x80\xa6'"
