id,created_at,text
1.06398E+18,11/18/2018 2:29,b'Stare at my boobs and tell them they\xe2\x80\x99re beautiful'
1.05761E+18,10/31/2018 12:13,b'\xd8\xa7\xd9\x84\xd8\xaa\xd8\xb0\xd8\xa7\xd9\x83\xd8\xb1 \xd8\xb7\xd8\xa7\xd8\xb1\xd8\xaa \xd9\x85\xd9\x86 \xd8\xa7\xd9\x88\xd9\x84 \xd9\xa1\xd9\xa0 \xd8\xab\xd9\x88\xd8\xa7\xd9\x86\xd9\x8a ...'
1.05696E+18,10/29/2018 17:09,b'\xd8\xa8\xd8\xae\xd8\xb5\xd9\x88\xd8\xb5 \xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8 \xd9\x85\xd8\xa7\xd8\xb9\xd9\x86\xd8\xaf\xd9\x87\xd9\x85 sense of humor ..'
1.05629E+18,10/27/2018 20:47,b'@Amohdm0 \xd8\xa7\xd9\x84\xd8\xb4\xd9\x86\xd8\xa8 \xd8\xb0\xd8\xa7 \xd9\x85\xd8\xa7\xd9\x87\xd9\x88 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xb1\xd8\xac\xd8\xa7\xd9\x84 \xd8\xa7\xd9\x86 \xd9\x84\xd9\x82\xd9\x8a\xd8\xaa\xd9\x86 \xd9\x85\xd8\xb5\xd9\x88\xd8\xb1 \xd9\x85\xd8\xb9 \xd9\x82\xd8\xb7\xd8\xa7\xd9\x88\xd9\x87 \xf0\x9f\x98\xa4\xf0\x9f\x98\xa4'
1.05629E+18,10/27/2018 20:46,b'@AThiccFish It\xe2\x80\x99s called abuse'
1.05629E+18,10/27/2018 20:42,b'My new bio is enlightening ugh my mind'
1.05505E+18,10/24/2018 10:44,b'My favorite hoodie is now stained with paint but i\xe2\x80\x99m not even mad about it'
1.05493E+18,10/24/2018 2:54,b'@Talalcx https://t.co/td7fVky7nn'
1.05487E+18,10/23/2018 22:42,b'@schmancypingu Lmaoo i can relate'
1.05486E+18,10/23/2018 22:39,b'Be nice'
1.05486E+18,10/23/2018 22:32,b'@schmancypingu Block \xe2\x80\x98em sis'
1.05485E+18,10/23/2018 21:47,b'RT @Semisviel: https://t.co/CTsOPzNC8N'
1.05485E+18,10/23/2018 21:44,b'@AThiccFish \xd9\x84\xd9\x84\xd8\xa7\xd9\x85\xd8\xa7\xd9\x86\xd9\x87 \xd9\x84\xd9\x88 \xd8\xb9\xd8\xb7\xd9\x88\xd9\x86\xd9\x8a \xd8\xa7\xd9\x8a\xd8\xa7\xd9\x87\xd8\xa7 \xd8\xa8\xd8\xa8\xd9\x84\xd8\xa7\xd8\xb4 \xd9\x85\xd8\xa7 \xd9\x84\xd8\xa8\xd8\xb3\xd8\xaa\xd9\x87\xd8\xa7'
1.05479E+18,10/23/2018 17:55,b'Girls are the best'
1.05476E+18,10/23/2018 15:53,b'I\xe2\x80\x99m lonely'
1.05472E+18,10/23/2018 12:50,b'@AThiccFish 28362928201837291010/10'
1.05411E+18,10/21/2018 20:52,b'\xd8\xa7\xd9\x83\xd8\xb1\xd9\x87 \xd8\xa7\xd9\x84\xd8\xa7\xd8\xb7\xd9\x81\xd8\xa7\xd9\x84 \xd9\x88 \xd9\x85\xd8\xa7 \xd8\xa7\xd8\xaa\xd9\x85\xd9\x86\xd9\x89 \xd8\xa7\xd9\x86\xd9\x8a \xd8\xa7\xd9\x86\xd8\xac\xd8\xa8\xd9\x87\xd9\x85 \xd8\xa7\xd9\x84\xd8\xa7 \xd8\xa8\xd8\xb9\xd8\xaf \xd9\x85\xd8\xb1\xd9\x88\xd8\xb1 \xd9\x88\xd9\x82\xd8\xaa \xd8\xac\xd8\xaf\xd9\x8b\xd8\xa7 \xd8\xac\xd8\xaf\xd9\x8b\xd8\xa7 \xd8\xac\xd8\xaf\xd9\x8b\xd8\xa7 \xd8\xb7\xd9\x88\xd9\x8a\xd9\x84'
1.05407E+18,10/21/2018 17:51,"b'The clouds looked pretty today, so i had to take pictures \xf0\x9f\x92\x9e\xe2\x98\x81\xef\xb8\x8f https://t.co/2xDmcgqcq2'"
