id,created_at,text
1.06682E+18,11/25/2018 22:32,b'Omg lol same https://t.co/GmPf5Pz2nX'
1.06682E+18,11/25/2018 22:32,b'RT @graydoIanpriv: I got goggle marks https://t.co/JhveAtU7L4'
1.06607E+18,11/23/2018 20:27,"b'RT @nollandolan: i\xe2\x80\x99m legit so thankful for the twins, they\xe2\x80\x99ve helped so many people through tough times and made so many people happy inclu\xe2\x80\xa6'"
1.06581E+18,11/23/2018 3:39,b'@3CutePetRats Aww'
1.06581E+18,11/23/2018 3:37,"b'The theme from ""The Sleeping Beauty"" on flite and yes I got glasses tweet me any suggestions to play!! https://t.co/bAqae9GQa9'"
1.06581E+18,11/23/2018 3:36,b'RT @GraysonDolan: Happy thanksgiving everyone! Thankful for all of you and love all of you too haha \xe2\x99\xa5\xef\xb8\x8f'
1.06581E+18,11/23/2018 3:34,"b'RT @3CutePetRats: If you can read this, you\xe2\x80\x99ve helped me reach 10 followers. Thank you!'"
1.0645E+18,11/19/2018 12:40,b'RT @EthanDolan: Wow surpassed 1 BILLION views on our channel. Thanks for watching us do stuff \xf0\x9f\x92\x99'
1.0645E+18,11/19/2018 12:40,b'Look at this she is amazing! Lol @graydoIanpriv  @ethandoIanprv https://t.co/xmqNYjQnXK'
1.0645E+18,11/19/2018 12:38,b'RT @nollandolan: @GraysonDolan @jamescharles omg this is the cutest thing ever awhhhhb'
1.0645E+18,11/19/2018 12:38,b'RT @GraysonDolan: Fuck yeah I did @jamescharles https://t.co/i3tWMOOLO4'
1.0642E+18,11/18/2018 16:38,b'RT @IamBabyBenjamin: this looks like a police sketch made of me in 1913 after an incident involving the thames river and a crest steamboat\xe2\x80\xa6'
1.06393E+18,11/17/2018 23:14,b'@3CutePetRats I still care about you. And you should know that'
1.06393E+18,11/17/2018 23:13,"b""@3CutePetRats I'm still here for you and BTW people have been saying really mean things behind my back and no one h\xe2\x80\xa6 https://t.co/XyNNKrtwaz"""
1.06128E+18,11/10/2018 15:48,b'@3CutePetRats Lol I wake up at 6:30 am'
1.05995E+18,11/6/2018 23:22,b'RT @graydoIanpriv: Is no shave November going well or is my beard just filled in with a brow pen? https://t.co/Tr5EcwlJpt'
1.05943E+18,11/5/2018 12:42,b'RT @GraysonDolan: If you know where we live PLEASE do not come to our house. We will not take a picture with you on or anywhere near our pr\xe2\x80\xa6'
1.05943E+18,11/5/2018 12:41,b'RT @GraysonDolan: HAPPY HALLOWEEN \xf0\x9f\x8e\x83 Have a fun safe night everyone \xf0\x9f\x96\xa4 this is my favorite day omfg'
1.05891E+18,11/4/2018 2:44,b'I love when the trees change colors lol https://t.co/sGKBd8wRl0'
1.05856E+18,11/3/2018 3:27,b'RT @graydoIanpriv: Idk what to caption this I\xe2\x80\x99m just looking sideways I guess https://t.co/Z2JT7QmZAG'
1.05812E+18,11/1/2018 22:32,"b'RT @aaronmackayy: saying Emma Chamberlain 100,000 times in one breath https://t.co/JwQhbKrjIp https://t.co/SjdyE5hOD5'"
1.0578E+18,11/1/2018 0:58,b'@prvshanedawson @graydoIanpriv @ethandoIanprv Omg I need that my two actually three favorite YouTubers doing a coll\xe2\x80\xa6 https://t.co/VP7PIZ1GG4'
1.05777E+18,10/31/2018 23:13,b'RT @ethandoIanprv: Sister stapled \xf0\x9f\xa4\xaa https://t.co/9DlcoLyYfD'
1.05777E+18,10/31/2018 23:13,b'RT @laurDIY: I have like 45 different sources of stress right now and am SO OVER IT'
1.05777E+18,10/31/2018 23:13,b'This was my Halloween costume! I hope everyone has a fun safe night... And gets LOTS of candy!\xf0\x9f\x8d\xac\xf0\x9f\x8d\xad\xf0\x9f\x8d\xab\xf0\x9f\x8e\x83 https://t.co/Oqv9zSLVqX'
1.05777E+18,10/31/2018 23:11,b'@ethandoIanprv Aww\xf0\x9f\x92\x96\xf0\x9f\x92\x93\xf0\x9f\x92\x93\xf0\x9f\x92\x96\xf0\x9f\x92\x97'
1.05777E+18,10/31/2018 23:11,b'RT @ethandoIanprv: went trick or treating with the little cuz https://t.co/DpatjGfhfy'
1.05772E+18,10/31/2018 19:46,b'RT @graydoIanpriv: HAPPY HALLOWEEN \xf0\x9f\x8e\x83 Have a fun safe night everyone \xf0\x9f\x96\xa4'
