id,created_at,text
1.05381E+18,10/21/2018 0:40,"b'@Garrett_Watts i\xe2\x80\x99m so glad i watched your video tonight, I sometimes forget how much I own my friends for helping m\xe2\x80\xa6 https://t.co/vbexGr78it'"
1.03934E+18,9/11/2018 2:15,b'Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/qdjxRO7rPp'
1.02756E+18,8/9/2018 14:22,"b'@nicholasmegalis @RyDoon what should i name this cutie, it\xe2\x80\x99s a boy and he\xe2\x80\x99s frickin crazy https://t.co/O2UXVDlSmS'"
1.02544E+18,8/3/2018 17:57,"b'i\xe2\x80\x99m literally shaking rn, i can\xe2\x80\x99t believe @BasicallyIDoWrk liked my tweet! literally about to cry'"
1.02544E+18,8/3/2018 17:38,b'@BasicallyIDoWrk so glad you suggested @blueapron just got my package today!! can\xe2\x80\x99t wait to use it!! Thank you Marc\xe2\x80\xa6 https://t.co/LbjUlYP4hI'
9.78992E+17,3/28/2018 13:47,b'@MsVixen queeeen'
9.7871E+17,3/27/2018 19:05,b'@DaithiDeNogla it\xe2\x80\x99s national joe day!!'
9.78709E+17,3/27/2018 19:04,b'@Terroriser it\xe2\x80\x99s only goals once i\xe2\x80\x99m invited'
9.77718E+17,3/25/2018 1:23,"b'@MsVixen god if i could meet you, i\xe2\x80\x99d literally die from crying so much'"
9.58839E+17,1/31/2018 23:05,b'@GassyMexican @Curvyllama hi'
9.49759E+17,1/6/2018 21:46,b'@nicholasmegalis i\xe2\x80\x99m never happy'
9.49759E+17,1/6/2018 21:44,b'@camerondallas i wish'
9.41487E+17,12/15/2017 1:56,b'@justanactor hi'
9.32027E+17,11/18/2017 23:23,b'@MiniLaddd is this you https://t.co/vAOnfnMBtQ'
9.29234E+17,11/11/2017 6:27,b'@BasicallyIDoWrk hehe hi Marcel'
9.29234E+17,11/11/2017 6:25,b'@RyDoon i need help. my depression has been getting horrible lately and i can\xe2\x80\x99t find anyway to smile or be happy'
9.18649E+17,10/13/2017 1:27,b'@sabrinaclaudio it still hasn\xe2\x80\x99t hit me yet that i\xe2\x80\x99ll never be able to meet you'
9.18647E+17,10/13/2017 1:16,b'@thegreatkhalid it still hasn\xe2\x80\x99t hit me yet that i\xe2\x80\x99ll never be able to meet you'
8.94591E+17,8/7/2017 16:10,b'@thegreatkhalid i just experienced a heart break :( i need advice'
8.94392E+17,8/7/2017 2:56,"b""@LordMinion777 hi wade! i haven't heard from you in a while! hope everything is still going great!"""
8.94392E+17,8/7/2017 2:55,"b""i miss the times when @Jack_Septic_Eye and @markiplier were able to reply to everyone's tweets. i remember when Jack said Happy Bday to me"""
8.55434E+17,4/21/2017 14:53,b'RT @nicholasmegalis: RT IF YOU ARE A WEIRDO. I NEED MORE WEIRDOS IN MY LIFE. RT SO I KNOW WHO YOU ARE. THANK YOU.'
7.97107E+17,11/11/2016 16:00,b'RT @Jpw03: @wolfy71302 @markiplier @LordMinion777 @pewdiepie @Jack_Septic_Eye @muyskerm happy birthday!'
7.08746E+17,3/12/2016 20:07,b'why is it that Tom Payne totally ignores me like @justanactor WHATS GOOD! Jk ily\xf0\x9f\x92\x95'
5.18367E+17,10/4/2014 11:49,"b""@RyDoon @nicholasmegalis I'm totally coming!"""
4.91717E+17,7/22/2014 22:49,"b""@nicholasmegalis \xf0\x9f\x98\x82 lol why aren't you Dm'ing me?"""
4.89599E+17,7/17/2014 2:35,b'@Jack_Septic_Eye Irish chocolate= beSt chocolate http://t.co/Q91ljU5D4H'
4.88333E+17,7/13/2014 14:45,b'@Jack_Septic_Eye thanks so much Jack you just made my day!'
4.48169E+17,3/24/2014 18:45,b'RT @WesthillClass14: There will be a vigil tonight for Reed at our concession stand from 7-8. Bring warm clothes and extra candles. \xf0\x9f\x92\x99'
4.38129E+17,2/25/2014 1:49,b'@LordMinion777 @Zombiemold @Jpw03 @Foxtrot44'
4.38128E+17,2/25/2014 1:47,"b'Thanks Wade, Jp, Molly, Latin,and Zombie for making today the best day ever! Hope to  see you guys tommorow http://t.co/rsYrjZJ6qK'"
