id,created_at,text
1.06E+18,11/19/2018 19:33,rt thebadideatour team is doing something supernatural xe x x running miles at the to help fight chi
1.05E+18,10/11/2018 20:48,would be willing to share my gofundme my recent hospital stay the bills keep growing and
1.05E+18,10/11/2018 20:29,alwayskeepfighting akf youarenotalone youareenough
1.05E+18,10/11/2018 20:26,i was recently diagnosed with severe major depression and persistent depression disorder i'm getting the treatment
1.03E+18,8/15/2018 19:11,rt this is so special to me makes me laugh makes me cry good tears a perfect picture of what the spnfamily means to so man
1.03E+18,8/10/2018 19:34,rt let play for good gish
1.03E+18,8/9/2018 17:16,rt for the first thing a writer should be is xe x xexcited he should be a thing of fevers and enthusiasms without such vigor he mi
1.03E+18,8/3/2018 13:53,rt he had the image of his little brother's face tattooed onto his arm this is the moment he shows it to him
1.03E+18,8/3/2018 13:52,rt gmorning nyou have sh t you wanna do in this life nyou gonna let someone else words xe x xon this timeline on your commute y
1.02E+18,8/2/2018 1:28,maury's got this handled
1.02E+18,7/31/2018 17:01,join me on a culinary adventure with boar head for a chance to win two tickets around the world journeyboldly
1.02E+18,7/27/2018 17:38,two of the cutest little demons ever i never thought i would say that
1.02E+18,7/27/2018 17:31,rt in episode cas befriends two small demons
1.02E+18,7/27/2018 12:29,my dog q man can be replaced but my dog is one of a kind
1.02E+18,7/25/2018 13:21,lil mini wheats representin that daily dose of iron xe xc xcaa xf xf xa xc
1.02E+18,7/11/2018 15:55,rt whenever i outside maddie never lets me go unsupervised here proof
1.02E+18,7/11/2018 14:01,eventually i roll the window up and me carl and isaiah sit in the suv eating rotisserie chicken n ni feel like
1.02E+18,7/11/2018 13:59,and my neck starts to cramp just at the mention of those words and carl starts to massage my shoulders and it feel
1.02E+18,7/11/2018 13:58,when she's done unloading the chicken into the car she fixes an intense look towards me and just as i'm about to sa
1.02E+18,7/11/2018 13:57,but i'm just staring at her because i feel like i'm witnessing a loaves and fishes type of moment nkeepreading almostover
1.02E+18,7/11/2018 13:55,i'm sad to see her leave because i just met beyonce and all i did was complain about chicken but she returns to m
1.02E+18,7/11/2018 13:54,well i'm freaking out and a little apprehensive because i know she has all those kids and i only have one rotisseri
1.02E+18,7/11/2018 13:51,anyways while contemplating this beyonce's beyonce's head pops up and she is standing there like the black mess
1.02E+18,7/11/2018 13:49,rolling it down there was not anyone to be seen and i started to get frustrated because could not these people tell
1.02E+18,7/11/2018 13:47,this is a hella long tweet but i swear it will be worth it n nlast night i had a dream that i was sitting in the ba
1.02E+18,7/9/2018 15:35,it's a whole new world lol
1.02E+18,7/9/2018 14:50,i've sent emails and am caught up at work what is this i even had a conversation with d
1.02E+18,7/9/2018 14:49,i'm so sorry
1.02E+18,7/9/2018 14:47,i cant move forward in my current ff and now i have to actually work at work what is this
1.02E+18,7/8/2018 19:46,yes i dropped him off
1.01E+18,6/24/2018 2:07,i'd sell my soul for some hamilton tickets interested
1.01E+18,6/20/2018 11:08,rt you sitting down n nhere corey lewandowski mockingly saying womp womp to the story of a year-old girl with down syndr
9.86E+17,4/18/2018 0:13,jim xe xd xab
9.74E+17,3/16/2018 1:24,it's just you
9.70E+17,3/2/2018 14:31,another morning xf xf xc xe and another cup of ketocoffee xe x xwith energy that
9.57E+17,1/25/2018 23:11,as more children die from the flu here are the symptoms parents should look out for
9.56E+17,1/23/2018 2:25,rt just asked our dog do you need to go potty n ncue alexa thinking we were talking to her again a patty in a
9.55E+17,1/20/2018 14:18,rt high difficulty level escape room concept u are laying in bed and u have one hour to get out of bed
9.51E+17,1/11/2018 12:39,rt senior dog meets a puppy and starts to feel like a puppy himself
9.51E+17,1/11/2018 12:39,annoysmemorethananything when my racist family make horrible comments on other's differences yet me not buying d
9.51E+17,1/11/2018 12:37,annoysmemorethananything when people use something that is obviously not political to make a ignorant political statement
9.47E+17,12/30/2017 20:15,check out ibotta and get cash back install using my referral code and you will get an extra
9.43E+17,12/17/2017 22:10,check out my first book looking at new beginnings by brianna holbrook at smashwords
9.41E+17,12/13/2017 23:47,i entered to win a nintendoswitch xboxonex djispark and more in full sail's daysofgear giveaway enter here
9.40E+17,12/10/2017 13:23,need a dog sitter check me out on new customers get off use code rollover
9.38E+17,12/5/2017 2:47,groans louder
9.38E+17,12/5/2017 2:02,i entered to win a nintendoswitch xboxonex djispark and more in full sail's daysofgear giveaway enter here
9.35E+17,11/25/2017 21:51,join ibotta to earn cash back rewards on everyday purchases sign up and get
9.34E+17,11/24/2017 21:50,win a free christmas mini session
9.33E+17,11/20/2017 19:04,rt me joe about halfway through the speech i gonna wish you a happy birth nbiden it xe x xs my birthday nme joe n nhappy
9.31E+17,11/16/2017 21:48,them you don t have the perfect do nme shows them this pic
9.30E+17,11/14/2017 12:47,rt rise up and attend opening night of with and his wife make a donation to
9.29E+17,11/9/2017 13:38,nothing like starting a rainy thursday with your favorite treat ball xe xd xa
9.28E+17,11/6/2017 22:18,if you're outraged too demand congress ban ar-s and weaponsofwar now texaschurchmassacre
9.28E+17,11/6/2017 17:15,amen
9.26E+17,11/3/2017 12:34,i had a dream i was tweeting something super witty this is the result i assume
9.26E+17,11/3/2017 10:00,sorry ca not come
9.24E+17,10/26/2017 23:55,newprofilepic
9.24E+17,10/26/2017 23:53,why
9.20E+17,10/17/2017 2:31,me too metoo
9.20E+17,10/15/2017 15:18,i second that
9.15E+17,10/3/2017 11:40,there's a nami walk in atlanta ga this saturday at am
9.15E+17,10/3/2017 11:38,nami walk in atlanta this saturday
9.14E+17,9/30/2017 22:00,puppy sitting this little ham
9.12E+17,9/24/2017 14:09,join ibotta to earn cash back rewards on everyday purchases sign up and get
9.10E+17,9/20/2017 13:29,rt my son wrote a song called n i just want to eat bread now ni knew he d surpass me but not so soon
9.07E+17,9/10/2017 14:33,rt hurrcaneirma where is the ocean
9.07E+17,9/10/2017 14:32,rt fast amp furious irmastorm edition aeba nhurrcaneirma floridastrong
9.07E+17,9/10/2017 14:31,rt hurrcaneirma n nsave your pets nsave your pets nsave your pets nsave your pets nsave your pets nsave your pets nsave your pets nsave
9.06E+17,9/8/2017 22:44,rt i know there's a lot going on in the world right now so just a reminder you're loved amp u are never alone we xe x xll weather
9.03E+17,8/30/2017 0:50,kingpet
9.03E+17,8/29/2017 23:56,we were born to standout aa
9.02E+17,8/28/2017 14:16,rt k in raised funds spnfamily f xf xf xf xbc texas flood and hurricane relief created by family business beer company
9.01E+17,8/24/2017 22:50,that is the funniest broadcast i have ever seen do xc xbdeestamishacollins
9.00E+17,8/23/2017 13:27,whose idea was it to take off of fire them leavetheofficealone stevecarelljusthadhisglowup
8.99E+17,8/20/2017 21:45,rt sorry no people should be outraged by this consent
8.97E+17,8/15/2017 15:54,rt no one is born hating another person because of the color of his skin or his background or his religion
8.95E+17,8/9/2017 0:42,rt august is going to be a bitofaday for a few reasons
8.92E+17,7/31/2017 1:47,complete simple fun surveys and earn points that can be converted into cash or gift cards join mintvine
8.91E+17,7/28/2017 11:29,rt rise up the immigrants we get the job done music video has been nominated for a vma
8.90E+17,7/27/2017 2:00,rt five deferments nfive of them nfor bone spurs n nbonespurstrump has no idea what real bravery or service is n ninstead he
8.88E+17,7/20/2017 1:00,i just used to order free photos from my phone use invite code bholbrook to get bonus prints
8.83E+17,7/5/2017 21:42,tag your gishwhes porn please i opened this with children around
8.81E+17,7/1/2017 11:33,rt many challenges accepted requested burn i challenge amp hamforall
8.80E+17,6/27/2017 0:54,rt i gave my daughter a pacifier here so she wouldn be able to say anything embarrassing about me while i was recording
8.79E+17,6/26/2017 23:55,i may have not had a voice of my own but i could borrow hers for a wh
8.79E+17,6/25/2017 14:41,ifyouevercatchme i wanted to get caught
8.79E+17,6/25/2017 14:39,inevergetboredbecause mac and cheese exists
8.79E+17,6/24/2017 23:14,slay steve slay bitch had his glowup
8.79E+17,6/24/2017 23:12,he had his glowup slay bitch
8.79E+17,6/24/2017 23:12,rt someone plz tell me when steve carell got grey and turned into george clooney's brother
8.79E+17,6/24/2017 23:12,rt ayyyyyyeeeeee steve carell out here killin the game on all y'all js
8.79E+17,6/24/2017 23:11,steve carell had his glow up this year stevecarell glowup theoffice
8.79E+17,6/24/2017 23:05,ifalcoholdidntexist cries
8.79E+17,6/24/2017 23:04,ifalcoholdidntexist my parents would still be disappointed in me
8.75E+17,6/14/2017 20:54,rt good morning ntake care of yourself ntake care of your neighbor ntake care
8.75E+17,6/13/2017 16:52,love it
