id,created_at,text
1.07E+18,11/26/2018 0:42,working my ass off on this commission think it's about done now and deadline is due the end of the week fully
1.07E+18,11/21/2018 12:56,ohh kate so sorry to hear that keep your head up sending love and good vibed to you and coco hop
1.07E+18,11/21/2018 2:11,not the best pic excuse the horrible lighting but i wanted to show the work i did on the background for now no
1.06E+18,11/20/2018 0:08,now what do i wanna use tho copic markers ecoline brush pens gouache xf xf xa x
1.06E+18,11/20/2018 0:06,sooo i'm a busy little bee i've been wanting to do some neo-traditional tattoo art again for so long going bac
1.06E+18,11/20/2018 0:02,thank you a
1.06E+18,11/19/2018 15:15,dat is geen reden om niet meer trots te zijn op je eigen werk a dankjewel tho
1.06E+18,11/19/2018 14:59,made with winsor and newton oil paint on a primed hardboard canvas first time painting with oils n nart artist
1.06E+18,11/18/2018 21:36,isnt he adorable
1.06E+18,11/18/2018 21:36,aaa n nart artist creative painting cyberpunk neotokyo neon vaporwave
1.06E+18,11/18/2018 16:09,part of an album cover project i'm working on cute little pupper b n nart artist creative painting cerberus
1.06E+18,11/15/2018 18:44,new skull listed on etsy n n taxidermy gothic baroque victorian skull roedeer
1.06E+18,11/14/2018 0:51,very friendly and happy pupper a commission in progress n painting cerberus demon
1.06E+18,11/12/2018 23:03,this one is off to a new home i should be making more of these it was so much fun doing it and i still got a lot
1.06E+18,11/11/2018 13:37,aww yeah for some reason something keeps me from going back it's weird
1.06E+18,11/11/2018 12:32,helloooo n nso yeah it's been a while since i streamed first cause i was abroad and sick and busy with halloween s
1.06E+18,11/5/2018 15:52,god i love red dead redemption ii
1.06E+18,10/26/2018 6:32,rdr is my favorite game of all time so you have no idea how excited i am to play if it's half as good as the pre
1.06E+18,10/26/2018 6:29,hey guys im back from isra xc xabl again all is well a and now let's go play some red dead redemption
1.05E+18,10/19/2018 20:30,yeah its sure is a long flight but wifi and movies make it a lot better
1.05E+18,10/19/2018 20:24,have a safe flight and have fun in la twitchcon super jelly of you guys i miss la so much
1.05E+18,10/19/2018 20:21,ohh have a safe flight and enjoy la is amazing
1.05E+18,10/18/2018 23:58,today we went to an art store and i think i found a successor to my favorite brush that i wore out and i also foun
1.05E+18,10/18/2018 18:52,hahahahaha xd
1.05E+18,10/17/2018 18:28,bliss
1.05E+18,10/15/2018 23:21,i'll be playing some reruns every now and then and pretend i'm still active during this time
1.05E+18,10/11/2018 11:20,thank you
1.05E+18,10/10/2018 20:26,here's an update on my current painting a n nart creative painting oilpainting neotokyo cyberpunk neon
1.05E+18,10/10/2018 18:43,my gosh guys you are all so sweet
1.05E+18,10/10/2018 18:43,thank you really means a lot
1.05E+18,10/10/2018 18:42,aww thanks sweetheart i will not disappear from twitch fully i'll try and stop by your stream
1.05E+18,10/10/2018 13:43,thanks darling
1.05E+18,10/10/2018 13:04,to anyone dealing with mental health issues i truly hope things will be better for you soon talk to your loved on
1.05E+18,10/10/2018 12:57,if i do feel like streaming i will but do not get your hopes up too much i hope things will be better after a bre
1.05E+18,10/10/2018 12:52,cause of this i feel pressured to stream a lot this week to make up for that but that pressure makes me feel terri
1.05E+18,10/10/2018 12:45,i try my hardest but lately i really have not felt good about streaming i'm actually thinking of taking a break til
1.05E+18,10/10/2018 12:43,due to all this i'm not able to stick to a regular schedule when it comes to streaming cause i literally do not kno
1.05E+18,10/10/2018 12:38,it's worldmentalhealthday this is kinda of a big one for me and one of the reasons my streams are kind of on and
1.05E+18,10/9/2018 18:53,no stream tonight either cause a migraine just struck me what even is my life
1.05E+18,10/8/2018 16:36,hahaha yaaay knee surgery sisters xd
1.05E+18,10/8/2018 15:26,i'm okay tho i might get knee surgery in a few months so that kinda sucks
1.05E+18,10/8/2018 14:21,no stream today had to go to the doctor this afternoon ended up in the hospital so yeah tonight i just want t
1.05E+18,10/7/2018 21:13,it's was not pointed at anyone in particular it's just something that i come across so many times
1.05E+18,10/7/2018 17:15,okay rant over enjoy your videogames cooking knitting sword fighting whatever it is that you like a
1.05E+18,10/7/2018 17:13,it's so exhausting having to defend yourself every time stop being a narrowminded dumbass and let us enjoy things
1.05E+18,10/7/2018 17:01,you know what's not cool assuming girls always get help or ca not figure things out on their own in videogames n nse
1.05E+18,10/7/2018 12:58,aahhh i miss streaming but i have a deadline coming up and i should really really really work on that today if i
1.05E+18,10/7/2018 12:53,i'm crying xd
1.05E+18,10/6/2018 11:09,rt there are exactly two creative moods n n i have no ideas whatsoever n n i have works in progress and i'm gonna start
1.05E+18,10/3/2018 23:10,i do not believe you sir
1.05E+18,10/3/2018 13:13,live now let's see if i can finish the dogskull n n twitchstreamer
1.05E+18,10/3/2018 12:10,i'm gonna be live this afternoon since i'll be raiding tonight in wow will be on in about an hour or so a
1.05E+18,10/2/2018 15:37,taking tonight off to work a bit on a commission in private there's work to be done xf xf xa x
1.05E+18,10/2/2018 12:25,yeah i think it really sorts out the creative sector especially now that there are so many
1.05E+18,10/2/2018 12:17,i gotta say i love the new tag system on it's so much easier to find what i'm looking for instead of goi
1.05E+18,10/1/2018 23:48,painting made me feel better after a bit tho a
1.05E+18,10/1/2018 23:47,okay so eh layers of fear kinda gave me an anxiety attack not sure if i'm gonna continue this sorry for quitt
1.05E+18,10/1/2018 19:03,live now with the first layers of fear stream this is gonna be terrible n
1.05E+18,10/1/2018 17:54,i probably tweeted this before but i'm craving to do some neo-traditional tattoo art again soon
1.05E+18,10/1/2018 12:17,first layers of fear stream tonight oh dear
1.05E+18,10/1/2018 12:16,ohhh absolutely love the light on this one
1.05E+18,9/30/2018 18:54,ahh like that a
1.05E+18,9/30/2018 14:12,i agree
